07:16:50 Pod redisoperator-56c8dfdfb-mbwql 801:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mbwql to acto-cluster-10-worker
07:22:26 StatefulSet rfr-test-cluster 1530:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:22:56 StatefulSet rfr-test-cluster 1530:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:16:53 Pod rfs-test-cluster-54df69f8df-9zh8t 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9zh8t to acto-cluster-10-worker2
07:16:53 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Created container sentinel-config-copy
07:17:06 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Started container sentinel-config-copy
07:17:08 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Container image "redis:6.2.6-alpine" already present on machine
07:17:08 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Created container sentinel
07:17:09 Pod rfs-test-cluster-54df69f8df-9zh8t 875:	Started container sentinel
07:16:53 Pod rfs-test-cluster-54df69f8df-wjdds 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wjdds to acto-cluster-10-worker
07:16:53 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Created container sentinel-config-copy
07:17:05 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Started container sentinel-config-copy
07:17:06 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Container image "redis:6.2.6-alpine" already present on machine
07:17:06 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Created container sentinel
07:17:07 Pod rfs-test-cluster-54df69f8df-wjdds 869:	Started container sentinel
07:16:53 Pod rfs-test-cluster-54df69f8df-wt429 865:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wt429 to acto-cluster-10-worker3
07:16:53 Pod rfs-test-cluster-54df69f8df-wt429 871:	Container image "redis:6.2.6-alpine" already present on machine
07:16:53 Pod rfs-test-cluster-54df69f8df-wt429 871:	Created container sentinel-config-copy
07:17:06 Pod rfs-test-cluster-54df69f8df-wt429 871:	Started container sentinel-config-copy
07:17:08 Pod rfs-test-cluster-54df69f8df-wt429 871:	Container image "redis:6.2.6-alpine" already present on machine
07:17:08 Pod rfs-test-cluster-54df69f8df-wt429 871:	Created container sentinel
07:17:09 Pod rfs-test-cluster-54df69f8df-wt429 871:	Started container sentinel
07:16:53 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-wjdds
07:16:53 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-wt429
07:16:53 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-9zh8t
07:16:53 PodDisruptionBudget rfs-test-cluster 855:	No matching pods found
07:16:53 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
