07:20:54 Pod redisoperator-56c8dfdfb-jqn4s 800:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-jqn4s to acto-cluster-13-worker3
07:35:03 Pod rfr-test-cluster-0 2459:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker2
07:35:03 Pod rfr-test-cluster-0 2461:	Container image "redis:6.2.6-alpine" already present on machine
07:35:03 Pod rfr-test-cluster-0 2461:	Created container redis
07:35:03 Pod rfr-test-cluster-0 2461:	Started container redis
07:35:03 Pod rfr-test-cluster-0 2461:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:03 Pod rfr-test-cluster-0 2461:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.434357ms
07:35:03 Pod rfr-test-cluster-0 2461:	Created container redis-exporter
07:35:06 Pod rfr-test-cluster-0 2461:	Started container redis-exporter
07:35:33 Pod rfr-test-cluster-0 2461:	Readiness probe failed: 
07:20:56 Pod rfr-test-cluster-1 834:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
07:20:57 Pod rfr-test-cluster-1 838:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfr-test-cluster-1 838:	Created container redis
07:20:57 Pod rfr-test-cluster-1 838:	Started container redis
07:20:57 Pod rfr-test-cluster-1 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:20:58 Pod rfr-test-cluster-1 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.872992ms
07:20:58 Pod rfr-test-cluster-1 838:	Created container redis-exporter
07:21:03 Pod rfr-test-cluster-1 838:	Started container redis-exporter
07:21:36 Pod rfr-test-cluster-1 838:	Readiness probe failed: 
07:25:00 Pod rfr-test-cluster-1 838:	Stopping container redis
07:25:00 Pod rfr-test-cluster-1 838:	Stopping container redis-exporter
07:35:03 Pod rfr-test-cluster-1 2462:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker
07:35:03 Pod rfr-test-cluster-1 2466:	Container image "redis:6.2.6-alpine" already present on machine
07:35:03 Pod rfr-test-cluster-1 2466:	Created container redis
07:35:03 Pod rfr-test-cluster-1 2466:	Started container redis
07:35:03 Pod rfr-test-cluster-1 2466:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:03 Pod rfr-test-cluster-1 2466:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 205.620435ms
07:35:03 Pod rfr-test-cluster-1 2466:	Created container redis-exporter
07:35:06 Pod rfr-test-cluster-1 2466:	Started container redis-exporter
07:35:33 Pod rfr-test-cluster-1 2466:	Readiness probe failed: 
07:20:56 Pod rfr-test-cluster-2 839:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker
07:20:57 Pod rfr-test-cluster-2 844:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfr-test-cluster-2 844:	Created container redis
07:20:57 Pod rfr-test-cluster-2 844:	Started container redis
07:20:57 Pod rfr-test-cluster-2 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:20:58 Pod rfr-test-cluster-2 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 292.709557ms
07:20:58 Pod rfr-test-cluster-2 844:	Created container redis-exporter
07:21:03 Pod rfr-test-cluster-2 844:	Started container redis-exporter
07:21:36 Pod rfr-test-cluster-2 844:	Readiness probe failed: 
07:25:28 Pod rfr-test-cluster-2 844:	Stopping container redis
07:25:28 Pod rfr-test-cluster-2 844:	Stopping container redis-exporter
07:35:03 Pod rfr-test-cluster-2 2467:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
07:35:03 Pod rfr-test-cluster-2 2472:	Container image "redis:6.2.6-alpine" already present on machine
07:35:03 Pod rfr-test-cluster-2 2472:	Created container redis
07:35:03 Pod rfr-test-cluster-2 2472:	Started container redis
07:35:03 Pod rfr-test-cluster-2 2472:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:03 Pod rfr-test-cluster-2 2472:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 152.151481ms
07:35:03 Pod rfr-test-cluster-2 2472:	Created container redis-exporter
07:35:06 Pod rfr-test-cluster-2 2472:	Started container redis-exporter
07:35:33 Pod rfr-test-cluster-2 2472:	Readiness probe failed: 
07:20:56 PodDisruptionBudget rfr-test-cluster 825:	No matching pods found
07:20:56 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:20:56 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:20:56 StatefulSet rfr-test-cluster 829:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:25:02 StatefulSet rfr-test-cluster 1432:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.securityContext.windowsOptions.gmsaCredentialSpecName: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.securityContext.windowsOptions.hostProcess: Forbidden: not allowed when feature gate 'WindowsHostProcessContainers' is not enabled]
07:25:59 StatefulSet rfr-test-cluster 1432:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.securityContext.windowsOptions.gmsaCredentialSpecName: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.securityContext.windowsOptions.hostProcess: Forbidden: not allowed when feature gate 'WindowsHostProcessContainers' is not enabled]
07:20:57 Pod rfs-test-cluster-54df69f8df-mcbws 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mcbws to acto-cluster-13-worker
07:20:57 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Created container sentinel-config-copy
07:21:14 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Started container sentinel-config-copy
07:21:16 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Container image "redis:6.2.6-alpine" already present on machine
07:21:16 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Created container sentinel
07:21:17 Pod rfs-test-cluster-54df69f8df-mcbws 868:	Started container sentinel
07:20:57 Pod rfs-test-cluster-54df69f8df-mwpdr 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mwpdr to acto-cluster-13-worker3
07:20:57 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Created container sentinel-config-copy
07:21:14 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Started container sentinel-config-copy
07:21:16 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Container image "redis:6.2.6-alpine" already present on machine
07:21:16 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Created container sentinel
07:21:17 Pod rfs-test-cluster-54df69f8df-mwpdr 861:	Started container sentinel
07:20:57 Pod rfs-test-cluster-54df69f8df-xk4qr 865:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-xk4qr to acto-cluster-13-worker2
07:20:57 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Container image "redis:6.2.6-alpine" already present on machine
07:20:57 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Created container sentinel-config-copy
07:21:13 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Started container sentinel-config-copy
07:21:16 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Container image "redis:6.2.6-alpine" already present on machine
07:21:16 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Created container sentinel
07:21:17 Pod rfs-test-cluster-54df69f8df-xk4qr 869:	Started container sentinel
07:20:56 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-mwpdr
07:20:57 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-mcbws
07:20:57 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-xk4qr
07:20:56 PodDisruptionBudget rfs-test-cluster 851:	No matching pods found
07:20:56 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
