08:02:41 Pod redisoperator-56c8dfdfb-84x8z 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-84x8z to acto-cluster-2-worker3
08:16:28 Pod rfr-test-cluster-1 2354:	Readiness probe failed: 
08:02:44 Pod rfr-test-cluster-2 834:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:02:45 Pod rfr-test-cluster-2 839:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfr-test-cluster-2 839:	Created container redis
08:02:45 Pod rfr-test-cluster-2 839:	Started container redis
08:02:45 Pod rfr-test-cluster-2 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:02:45 Pod rfr-test-cluster-2 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 234.779503ms
08:02:45 Pod rfr-test-cluster-2 839:	Created container redis-exporter
08:02:48 Pod rfr-test-cluster-2 839:	Started container redis-exporter
08:03:24 Pod rfr-test-cluster-2 839:	Readiness probe failed: 
08:06:16 Pod rfr-test-cluster-2 839:	Stopping container redis
08:06:16 Pod rfr-test-cluster-2 839:	Stopping container redis-exporter
08:15:48 Pod rfr-test-cluster-2 2355:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:15:48 Pod rfr-test-cluster-2 2358:	Container image "redis:6.2.6-alpine" already present on machine
08:15:48 Pod rfr-test-cluster-2 2358:	Created container redis
08:15:49 Pod rfr-test-cluster-2 2358:	Started container redis
08:15:49 Pod rfr-test-cluster-2 2358:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:15:49 Pod rfr-test-cluster-2 2358:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.131888ms
08:15:49 Pod rfr-test-cluster-2 2358:	Created container redis-exporter
08:15:51 Pod rfr-test-cluster-2 2358:	Started container redis-exporter
08:16:28 Pod rfr-test-cluster-2 2358:	Readiness probe failed: 
08:02:43 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
08:02:44 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:02:44 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:02:44 StatefulSet rfr-test-cluster 824:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:05:48 StatefulSet rfr-test-cluster 1325:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:06:47 StatefulSet rfr-test-cluster 1334:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:02:44 Pod rfs-test-cluster-54df69f8df-gbvvq 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gbvvq to acto-cluster-2-worker
08:02:45 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Created container sentinel-config-copy
08:02:58 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Started container sentinel-config-copy
08:02:59 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Container image "redis:6.2.6-alpine" already present on machine
08:02:59 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Created container sentinel
08:02:59 Pod rfs-test-cluster-54df69f8df-gbvvq 856:	Started container sentinel
08:02:44 Pod rfs-test-cluster-54df69f8df-r9j26 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-r9j26 to acto-cluster-2-worker2
08:02:45 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Created container sentinel-config-copy
08:02:59 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Started container sentinel-config-copy
08:03:01 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Container image "redis:6.2.6-alpine" already present on machine
08:03:01 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Created container sentinel
08:03:01 Pod rfs-test-cluster-54df69f8df-r9j26 865:	Started container sentinel
08:02:44 Pod rfs-test-cluster-54df69f8df-tczct 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-tczct to acto-cluster-2-worker3
08:02:45 Pod rfs-test-cluster-54df69f8df-tczct 864:	Container image "redis:6.2.6-alpine" already present on machine
08:02:45 Pod rfs-test-cluster-54df69f8df-tczct 864:	Created container sentinel-config-copy
08:02:59 Pod rfs-test-cluster-54df69f8df-tczct 864:	Started container sentinel-config-copy
08:03:01 Pod rfs-test-cluster-54df69f8df-tczct 864:	Container image "redis:6.2.6-alpine" already present on machine
08:03:01 Pod rfs-test-cluster-54df69f8df-tczct 864:	Created container sentinel
08:03:01 Pod rfs-test-cluster-54df69f8df-tczct 864:	Started container sentinel
08:02:44 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-gbvvq
08:02:44 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-tczct
08:02:44 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-r9j26
08:02:44 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
08:02:44 Deployment rfs-test-cluster 849:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
