09:48:11 Pod redisoperator-56c8dfdfb-zvs77 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zvs77 to acto-cluster-5-worker
10:01:19 Pod rfr-test-cluster-0 2344:	Created container redis-exporter
10:01:23 Pod rfr-test-cluster-0 2344:	Started container redis-exporter
10:01:58 Pod rfr-test-cluster-0 2344:	Readiness probe failed: 
09:48:14 Pod rfr-test-cluster-1 822:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker2
09:48:14 Pod rfr-test-cluster-1 825:	Container image "redis:6.2.6-alpine" already present on machine
09:48:14 Pod rfr-test-cluster-1 825:	Created container redis
09:48:15 Pod rfr-test-cluster-1 825:	Started container redis
09:48:15 Pod rfr-test-cluster-1 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:48:15 Pod rfr-test-cluster-1 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 247.750469ms
09:48:15 Pod rfr-test-cluster-1 825:	Created container redis-exporter
09:48:18 Pod rfr-test-cluster-1 825:	Started container redis-exporter
09:48:54 Pod rfr-test-cluster-1 825:	Readiness probe failed: 
09:51:18 Pod rfr-test-cluster-1 825:	Stopping container redis
09:51:18 Pod rfr-test-cluster-1 825:	Stopping container redis-exporter
10:01:18 Pod rfr-test-cluster-1 2343:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
10:01:19 Pod rfr-test-cluster-1 2347:	Container image "redis:6.2.6-alpine" already present on machine
10:01:19 Pod rfr-test-cluster-1 2347:	Created container redis
10:01:19 Pod rfr-test-cluster-1 2347:	Started container redis
10:01:19 Pod rfr-test-cluster-1 2347:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:01:19 Pod rfr-test-cluster-1 2347:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 180.162974ms
10:01:19 Pod rfr-test-cluster-1 2347:	Created container redis-exporter
10:01:22 Pod rfr-test-cluster-1 2347:	Started container redis-exporter
10:01:58 Pod rfr-test-cluster-1 2347:	Readiness probe failed: 
09:48:14 Pod rfr-test-cluster-2 827:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker
09:48:14 Pod rfr-test-cluster-2 830:	Container image "redis:6.2.6-alpine" already present on machine
09:48:14 Pod rfr-test-cluster-2 830:	Created container redis
09:48:15 Pod rfr-test-cluster-2 830:	Started container redis
09:48:15 Pod rfr-test-cluster-2 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:48:15 Pod rfr-test-cluster-2 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 257.189713ms
09:48:15 Pod rfr-test-cluster-2 830:	Created container redis-exporter
09:48:18 Pod rfr-test-cluster-2 830:	Started container redis-exporter
09:48:54 Pod rfr-test-cluster-2 830:	Readiness probe failed: 
09:51:46 Pod rfr-test-cluster-2 830:	Stopping container redis
09:51:46 Pod rfr-test-cluster-2 830:	Stopping container redis-exporter
10:01:18 Pod rfr-test-cluster-2 2348:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
10:01:19 Pod rfr-test-cluster-2 2353:	Container image "redis:6.2.6-alpine" already present on machine
10:01:19 Pod rfr-test-cluster-2 2353:	Created container redis
10:01:19 Pod rfr-test-cluster-2 2353:	Started container redis
10:01:19 Pod rfr-test-cluster-2 2353:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
10:01:19 Pod rfr-test-cluster-2 2353:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 132.491243ms
10:01:19 Pod rfr-test-cluster-2 2353:	Created container redis-exporter
10:01:24 Pod rfr-test-cluster-2 2353:	Started container redis-exporter
10:01:58 Pod rfr-test-cluster-2 2353:	Readiness probe failed: 
09:48:13 PodDisruptionBudget rfr-test-cluster 811:	No matching pods found
09:48:14 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:48:14 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:48:14 StatefulSet rfr-test-cluster 815:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:51:20 StatefulSet rfr-test-cluster 1317:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
09:52:17 StatefulSet rfr-test-cluster 1326:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
09:48:14 Pod rfs-test-cluster-54df69f8df-5m555 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5m555 to acto-cluster-5-worker2
09:48:14 Pod rfs-test-cluster-54df69f8df-5m555 855:	Container image "redis:6.2.6-alpine" already present on machine
09:48:14 Pod rfs-test-cluster-54df69f8df-5m555 855:	Created container sentinel-config-copy
09:48:31 Pod rfs-test-cluster-54df69f8df-5m555 855:	Started container sentinel-config-copy
09:48:33 Pod rfs-test-cluster-54df69f8df-5m555 855:	Container image "redis:6.2.6-alpine" already present on machine
09:48:33 Pod rfs-test-cluster-54df69f8df-5m555 855:	Created container sentinel
09:48:34 Pod rfs-test-cluster-54df69f8df-5m555 855:	Started container sentinel
09:48:14 Pod rfs-test-cluster-54df69f8df-6fhwz 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6fhwz to acto-cluster-5-worker
09:48:14 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Container image "redis:6.2.6-alpine" already present on machine
09:48:14 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Created container sentinel-config-copy
09:48:31 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Started container sentinel-config-copy
09:48:32 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Container image "redis:6.2.6-alpine" already present on machine
09:48:32 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Created container sentinel
09:48:33 Pod rfs-test-cluster-54df69f8df-6fhwz 849:	Started container sentinel
09:48:14 Pod rfs-test-cluster-54df69f8df-fzjv7 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fzjv7 to acto-cluster-5-worker3
09:48:15 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Container image "redis:6.2.6-alpine" already present on machine
09:48:15 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Created container sentinel-config-copy
09:48:31 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Started container sentinel-config-copy
09:48:33 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Container image "redis:6.2.6-alpine" already present on machine
09:48:33 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Created container sentinel
09:48:33 Pod rfs-test-cluster-54df69f8df-fzjv7 852:	Started container sentinel
09:48:14 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-6fhwz
09:48:14 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-5m555
09:48:14 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-fzjv7
09:48:14 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
09:48:14 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
