07:37:13 Pod redisoperator-56c8dfdfb-dj5kx 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dj5kx to acto-cluster-10-worker2
07:37:56 Pod rfr-test-cluster-1 840:	Readiness probe failed: 
07:40:18 Pod rfr-test-cluster-1 840:	Stopping container redis
07:40:18 Pod rfr-test-cluster-1 840:	Stopping container redis-exporter
07:50:20 Pod rfr-test-cluster-1 2359:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-10-worker3
07:50:20 Pod rfr-test-cluster-1 2361:	Container image "redis:6.2.6-alpine" already present on machine
07:50:20 Pod rfr-test-cluster-1 2361:	Created container redis
07:50:20 Pod rfr-test-cluster-1 2361:	Started container redis
07:50:20 Pod rfr-test-cluster-1 2361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:21 Pod rfr-test-cluster-1 2361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 167.889262ms
07:50:21 Pod rfr-test-cluster-1 2361:	Created container redis-exporter
07:50:23 Pod rfr-test-cluster-1 2361:	Started container redis-exporter
07:50:50 Pod rfr-test-cluster-1 2361:	Readiness probe failed: 
07:37:16 Pod rfr-test-cluster-2 839:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker
07:37:16 Pod rfr-test-cluster-2 844:	Container image "redis:6.2.6-alpine" already present on machine
07:37:16 Pod rfr-test-cluster-2 844:	Created container redis
07:37:17 Pod rfr-test-cluster-2 844:	Started container redis
07:37:17 Pod rfr-test-cluster-2 844:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:37:17 Pod rfr-test-cluster-2 844:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 272.730407ms
07:37:17 Pod rfr-test-cluster-2 844:	Created container redis-exporter
07:37:20 Pod rfr-test-cluster-2 844:	Started container redis-exporter
07:37:56 Pod rfr-test-cluster-2 844:	Readiness probe failed: 
07:40:19 Pod rfr-test-cluster-2 844:	Stopping container redis
07:40:19 Pod rfr-test-cluster-2 844:	Stopping container redis-exporter
07:50:20 Pod rfr-test-cluster-2 2366:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-10-worker
07:50:20 Pod rfr-test-cluster-2 2369:	Container image "redis:6.2.6-alpine" already present on machine
07:50:20 Pod rfr-test-cluster-2 2369:	Created container redis
07:50:20 Pod rfr-test-cluster-2 2369:	Started container redis
07:50:20 Pod rfr-test-cluster-2 2369:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:50:21 Pod rfr-test-cluster-2 2369:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.997164ms
07:50:21 Pod rfr-test-cluster-2 2369:	Created container redis-exporter
07:50:23 Pod rfr-test-cluster-2 2369:	Started container redis-exporter
07:50:50 Pod rfr-test-cluster-2 2369:	Readiness probe failed: 
07:37:15 PodDisruptionBudget rfr-test-cluster 824:	No matching pods found
07:37:16 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:37:16 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:37:16 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:40:20 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
07:40:20 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:40:20 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
07:40:20 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:40:49 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.limits[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[wdfxnhgjxv]: Invalid value: "wdfxnhgjxv": must be a standard resource for containers]
07:37:16 Pod rfs-test-cluster-54df69f8df-nkfbq 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nkfbq to acto-cluster-10-worker
07:37:17 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Container image "redis:6.2.6-alpine" already present on machine
07:37:17 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Created container sentinel-config-copy
07:37:31 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Started container sentinel-config-copy
07:37:34 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Container image "redis:6.2.6-alpine" already present on machine
07:37:34 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Created container sentinel
07:37:34 Pod rfs-test-cluster-54df69f8df-nkfbq 869:	Started container sentinel
07:37:16 Pod rfs-test-cluster-54df69f8df-txsqx 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-txsqx to acto-cluster-10-worker2
07:37:17 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Container image "redis:6.2.6-alpine" already present on machine
07:37:17 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Created container sentinel-config-copy
07:37:32 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Started container sentinel-config-copy
07:37:34 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Container image "redis:6.2.6-alpine" already present on machine
07:37:34 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Created container sentinel
07:37:35 Pod rfs-test-cluster-54df69f8df-txsqx 860:	Started container sentinel
07:37:16 Pod rfs-test-cluster-54df69f8df-z95w4 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z95w4 to acto-cluster-10-worker3
07:37:17 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Container image "redis:6.2.6-alpine" already present on machine
07:37:17 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Created container sentinel-config-copy
07:37:32 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Started container sentinel-config-copy
07:37:34 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Container image "redis:6.2.6-alpine" already present on machine
07:37:34 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Created container sentinel
07:37:35 Pod rfs-test-cluster-54df69f8df-z95w4 868:	Started container sentinel
07:37:16 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-txsqx
07:37:16 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-z95w4
07:37:16 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-nkfbq
07:37:16 PodDisruptionBudget rfs-test-cluster 850:	No matching pods found
07:37:16 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
