07:23:07 Pod redisoperator-56c8dfdfb-2g4ff 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2g4ff to acto-cluster-8-worker
07:23:10 Pod rfr-test-cluster-0 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:10 Pod rfr-test-cluster-0 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 273.969068ms
07:23:10 Pod rfr-test-cluster-0 830:	Created container redis-exporter
07:23:13 Pod rfr-test-cluster-0 830:	Started container redis-exporter
07:23:49 Pod rfr-test-cluster-0 830:	Readiness probe failed: 
07:29:13 Pod rfr-test-cluster-0 830:	Stopping container redis
07:29:13 Pod rfr-test-cluster-0 830:	Stopping container redis-exporter
07:29:14 Pod rfr-test-cluster-0 1690:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
07:29:14 Pod rfr-test-cluster-0 1691:	Container image "redis:6.2.6-alpine" already present on machine
07:29:14 Pod rfr-test-cluster-0 1691:	Created container redis
07:29:14 Pod rfr-test-cluster-0 1691:	Started container redis
07:29:14 Pod rfr-test-cluster-0 1691:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:29:14 Pod rfr-test-cluster-0 1691:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.790429ms
07:29:14 Pod rfr-test-cluster-0 1691:	Created container redis-exporter
07:29:17 Pod rfr-test-cluster-0 1691:	Started container redis-exporter
07:29:44 Pod rfr-test-cluster-0 1691:	Readiness probe failed: 
07:32:36 Pod rfr-test-cluster-0 1691:	Stopping container redis
07:32:36 Pod rfr-test-cluster-0 1691:	Stopping container redis-exporter
07:32:37 Pod rfr-test-cluster-0 2071:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
07:32:38 Pod rfr-test-cluster-0 2072:	Container image "redis:6.2.6-alpine" already present on machine
07:32:38 Pod rfr-test-cluster-0 2072:	Created container redis
07:32:38 Pod rfr-test-cluster-0 2072:	Started container redis
07:32:38 Pod rfr-test-cluster-0 2072:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:38 Pod rfr-test-cluster-0 2072:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.590658ms
07:32:38 Pod rfr-test-cluster-0 2072:	Created container redis-exporter
07:32:40 Pod rfr-test-cluster-0 2072:	Started container redis-exporter
07:37:12 Pod rfr-test-cluster-0 2072:	Stopping container redis
07:37:12 Pod rfr-test-cluster-0 2072:	Stopping container redis-exporter
07:46:41 Pod rfr-test-cluster-0 3604:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker
07:46:41 Pod rfr-test-cluster-0 3606:	Container image "redis:6.2.6-alpine" already present on machine
07:46:41 Pod rfr-test-cluster-0 3606:	Created container redis
07:46:42 Pod rfr-test-cluster-0 3606:	Started container redis
07:46:42 Pod rfr-test-cluster-0 3606:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:46:42 Pod rfr-test-cluster-0 3606:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 182.665452ms
07:46:42 Pod rfr-test-cluster-0 3606:	Created container redis-exporter
07:46:44 Pod rfr-test-cluster-0 3606:	Started container redis-exporter
07:47:21 Pod rfr-test-cluster-0 3606:	Readiness probe failed: 
07:23:09 Pod rfr-test-cluster-1 832:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
07:23:10 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfr-test-cluster-1 835:	Created container redis
07:23:10 Pod rfr-test-cluster-1 835:	Started container redis
07:23:10 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:10 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 248.671967ms
07:23:10 Pod rfr-test-cluster-1 835:	Created container redis-exporter
07:23:14 Pod rfr-test-cluster-1 835:	Started container redis-exporter
07:23:49 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
07:28:15 Pod rfr-test-cluster-1 835:	Stopping container redis
07:28:15 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
07:28:17 Pod rfr-test-cluster-1 1529:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
07:28:17 Pod rfr-test-cluster-1 1531:	Container image "redis:6.2.6-alpine" already present on machine
07:28:17 Pod rfr-test-cluster-1 1531:	Created container redis
07:28:17 Pod rfr-test-cluster-1 1531:	Started container redis
07:28:17 Pod rfr-test-cluster-1 1531:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:28:18 Pod rfr-test-cluster-1 1531:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 141.584113ms
07:28:18 Pod rfr-test-cluster-1 1531:	Created container redis-exporter
07:28:20 Pod rfr-test-cluster-1 1531:	Started container redis-exporter
07:33:12 Pod rfr-test-cluster-1 1531:	Stopping container redis
07:33:12 Pod rfr-test-cluster-1 1531:	Stopping container redis-exporter
07:33:14 Pod rfr-test-cluster-1 2193:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
07:33:14 Pod rfr-test-cluster-1 2195:	Container image "redis:6.2.6-alpine" already present on machine
07:33:14 Pod rfr-test-cluster-1 2195:	Created container redis
07:33:14 Pod rfr-test-cluster-1 2195:	Started container redis
07:33:14 Pod rfr-test-cluster-1 2195:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:33:14 Pod rfr-test-cluster-1 2195:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.460344ms
07:33:14 Pod rfr-test-cluster-1 2195:	Created container redis-exporter
07:33:17 Pod rfr-test-cluster-1 2195:	Started container redis-exporter
07:33:44 Pod rfr-test-cluster-1 2195:	Readiness probe failed: 
07:36:39 Pod rfr-test-cluster-1 2195:	Stopping container redis
07:36:39 Pod rfr-test-cluster-1 2195:	Stopping container redis-exporter
07:46:41 Pod rfr-test-cluster-1 3607:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker2
07:46:41 Pod rfr-test-cluster-1 3611:	Container image "redis:6.2.6-alpine" already present on machine
07:46:41 Pod rfr-test-cluster-1 3611:	Created container redis
07:46:42 Pod rfr-test-cluster-1 3611:	Started container redis
07:46:42 Pod rfr-test-cluster-1 3611:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:46:42 Pod rfr-test-cluster-1 3611:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.775598ms
07:46:42 Pod rfr-test-cluster-1 3611:	Created container redis-exporter
07:46:45 Pod rfr-test-cluster-1 3611:	Started container redis-exporter
07:47:21 Pod rfr-test-cluster-1 3611:	Readiness probe failed: 
07:23:09 Pod rfr-test-cluster-2 837:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
07:23:10 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfr-test-cluster-2 840:	Created container redis
07:23:10 Pod rfr-test-cluster-2 840:	Started container redis
07:23:10 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:10 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 405.9714ms
07:23:10 Pod rfr-test-cluster-2 840:	Created container redis-exporter
07:23:13 Pod rfr-test-cluster-2 840:	Started container redis-exporter
07:23:49 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
07:28:42 Pod rfr-test-cluster-2 840:	Stopping container redis
07:28:42 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
07:28:43 Pod rfr-test-cluster-2 1604:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
07:28:44 Pod rfr-test-cluster-2 1605:	Container image "redis:6.2.6-alpine" already present on machine
07:28:44 Pod rfr-test-cluster-2 1605:	Created container redis
07:28:44 Pod rfr-test-cluster-2 1605:	Started container redis
07:28:44 Pod rfr-test-cluster-2 1605:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:28:44 Pod rfr-test-cluster-2 1605:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.260628ms
07:28:44 Pod rfr-test-cluster-2 1605:	Created container redis-exporter
07:28:47 Pod rfr-test-cluster-2 1605:	Started container redis-exporter
07:32:42 Pod rfr-test-cluster-2 1605:	Stopping container redis
07:32:42 Pod rfr-test-cluster-2 1605:	Stopping container redis-exporter
07:32:43 Pod rfr-test-cluster-2 2112:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
07:32:44 Pod rfr-test-cluster-2 2114:	Container image "redis:6.2.6-alpine" already present on machine
07:32:44 Pod rfr-test-cluster-2 2114:	Created container redis
07:32:44 Pod rfr-test-cluster-2 2114:	Started container redis
07:32:44 Pod rfr-test-cluster-2 2114:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:32:44 Pod rfr-test-cluster-2 2114:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 157.69516ms
07:32:44 Pod rfr-test-cluster-2 2114:	Created container redis-exporter
07:32:47 Pod rfr-test-cluster-2 2114:	Started container redis-exporter
07:36:42 Pod rfr-test-cluster-2 2114:	Stopping container redis
07:36:42 Pod rfr-test-cluster-2 2114:	Stopping container redis-exporter
07:46:41 Pod rfr-test-cluster-2 3612:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
07:46:41 Pod rfr-test-cluster-2 3614:	Container image "redis:6.2.6-alpine" already present on machine
07:46:41 Pod rfr-test-cluster-2 3614:	Created container redis
07:46:42 Pod rfr-test-cluster-2 3614:	Started container redis
07:46:42 Pod rfr-test-cluster-2 3614:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:46:42 Pod rfr-test-cluster-2 3614:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.268976ms
07:46:42 Pod rfr-test-cluster-2 3614:	Created container redis-exporter
07:46:45 Pod rfr-test-cluster-2 3614:	Started container redis-exporter
07:47:21 Pod rfr-test-cluster-2 3614:	Readiness probe failed: 
07:23:09 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
07:23:09 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:23:09 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:23:09 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:36:40 StatefulSet rfr-test-cluster 2586:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:37:13 StatefulSet rfr-test-cluster 2586:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:23:09 Pod rfs-test-cluster-54df69f8df-7s6jh 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7s6jh to acto-cluster-8-worker3
07:23:10 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Created container sentinel-config-copy
07:23:23 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Started container sentinel-config-copy
07:23:26 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Container image "redis:6.2.6-alpine" already present on machine
07:23:26 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Created container sentinel
07:23:26 Pod rfs-test-cluster-54df69f8df-7s6jh 865:	Started container sentinel
07:23:09 Pod rfs-test-cluster-54df69f8df-8868r 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8868r to acto-cluster-8-worker
07:23:10 Pod rfs-test-cluster-54df69f8df-8868r 866:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfs-test-cluster-54df69f8df-8868r 866:	Created container sentinel-config-copy
07:23:24 Pod rfs-test-cluster-54df69f8df-8868r 866:	Started container sentinel-config-copy
07:23:26 Pod rfs-test-cluster-54df69f8df-8868r 866:	Container image "redis:6.2.6-alpine" already present on machine
07:23:26 Pod rfs-test-cluster-54df69f8df-8868r 866:	Created container sentinel
07:23:26 Pod rfs-test-cluster-54df69f8df-8868r 866:	Started container sentinel
07:23:09 Pod rfs-test-cluster-54df69f8df-rx9mt 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rx9mt to acto-cluster-8-worker2
07:23:10 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Container image "redis:6.2.6-alpine" already present on machine
07:23:10 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Created container sentinel-config-copy
07:23:24 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Started container sentinel-config-copy
07:23:27 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Container image "redis:6.2.6-alpine" already present on machine
07:23:27 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Created container sentinel
07:23:27 Pod rfs-test-cluster-54df69f8df-rx9mt 858:	Started container sentinel
07:23:09 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-rx9mt
07:23:09 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-8868r
07:23:09 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-7s6jh
07:23:09 PodDisruptionBudget rfs-test-cluster 847:	No matching pods found
07:23:09 Deployment rfs-test-cluster 851:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
