08:32:20 Pod redisoperator-56c8dfdfb-l9jtq 815:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-l9jtq to acto-cluster-9-worker
08:35:26 Pod rfr-test-cluster-1 1364:	Started container redis
08:35:26 Pod rfr-test-cluster-1 1364:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:35:27 Pod rfr-test-cluster-1 1364:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 150.936188ms
08:35:27 Pod rfr-test-cluster-1 1364:	Created container redis-exporter
08:35:29 Pod rfr-test-cluster-1 1364:	Started container redis-exporter
08:40:25 Pod rfr-test-cluster-1 1364:	Stopping container redis
08:40:25 Pod rfr-test-cluster-1 1364:	Stopping container redis-exporter
08:40:26 Pod rfr-test-cluster-1 2042:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
08:40:27 Pod rfr-test-cluster-1 2043:	Container image "redis:6.2.6-alpine" already present on machine
08:40:27 Pod rfr-test-cluster-1 2043:	Created container redis
08:40:27 Pod rfr-test-cluster-1 2043:	Started container redis
08:40:27 Pod rfr-test-cluster-1 2043:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:40:27 Pod rfr-test-cluster-1 2043:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 182.395395ms
08:40:27 Pod rfr-test-cluster-1 2043:	Created container redis-exporter
08:40:30 Pod rfr-test-cluster-1 2043:	Started container redis-exporter
08:41:06 Pod rfr-test-cluster-1 2043:	Readiness probe failed: 
08:43:51 Pod rfr-test-cluster-1 2043:	Stopping container redis
08:43:51 Pod rfr-test-cluster-1 2043:	Stopping container redis-exporter
08:53:53 Pod rfr-test-cluster-1 3450:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker
08:53:53 Pod rfr-test-cluster-1 3457:	Container image "redis:6.2.6-alpine" already present on machine
08:53:53 Pod rfr-test-cluster-1 3457:	Created container redis
08:53:54 Pod rfr-test-cluster-1 3457:	Started container redis
08:53:54 Pod rfr-test-cluster-1 3457:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:53:54 Pod rfr-test-cluster-1 3457:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.473871ms
08:53:54 Pod rfr-test-cluster-1 3457:	Created container redis-exporter
08:53:57 Pod rfr-test-cluster-1 3457:	Started container redis-exporter
08:54:33 Pod rfr-test-cluster-1 3457:	Readiness probe failed: 
08:32:22 Pod rfr-test-cluster-2 860:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
08:32:23 Pod rfr-test-cluster-2 864:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfr-test-cluster-2 864:	Created container redis
08:32:23 Pod rfr-test-cluster-2 864:	Started container redis
08:32:23 Pod rfr-test-cluster-2 864:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:32:23 Pod rfr-test-cluster-2 864:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 239.351286ms
08:32:23 Pod rfr-test-cluster-2 864:	Created container redis-exporter
08:32:26 Pod rfr-test-cluster-2 864:	Started container redis-exporter
08:33:02 Pod rfr-test-cluster-2 864:	Readiness probe failed: 
08:35:26 Pod rfr-test-cluster-2 864:	Stopping container redis
08:35:26 Pod rfr-test-cluster-2 864:	Stopping container redis-exporter
08:35:27 Pod rfr-test-cluster-2 1395:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
08:35:28 Pod rfr-test-cluster-2 1396:	Container image "redis:6.2.6-alpine" already present on machine
08:35:28 Pod rfr-test-cluster-2 1396:	Created container redis
08:35:28 Pod rfr-test-cluster-2 1396:	Started container redis
08:35:28 Pod rfr-test-cluster-2 1396:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:35:28 Pod rfr-test-cluster-2 1396:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.009379ms
08:35:28 Pod rfr-test-cluster-2 1396:	Created container redis-exporter
08:35:31 Pod rfr-test-cluster-2 1396:	Started container redis-exporter
08:39:55 Pod rfr-test-cluster-2 1396:	Stopping container redis
08:39:55 Pod rfr-test-cluster-2 1396:	Stopping container redis-exporter
08:39:56 Pod rfr-test-cluster-2 1957:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
08:39:56 Pod rfr-test-cluster-2 1960:	Container image "redis:6.2.6-alpine" already present on machine
08:39:57 Pod rfr-test-cluster-2 1960:	Created container redis
08:39:57 Pod rfr-test-cluster-2 1960:	Started container redis
08:39:57 Pod rfr-test-cluster-2 1960:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:57 Pod rfr-test-cluster-2 1960:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.194552ms
08:39:57 Pod rfr-test-cluster-2 1960:	Created container redis-exporter
08:40:00 Pod rfr-test-cluster-2 1960:	Started container redis-exporter
08:43:55 Pod rfr-test-cluster-2 1960:	Stopping container redis
08:43:55 Pod rfr-test-cluster-2 1960:	Stopping container redis-exporter
08:53:53 Pod rfr-test-cluster-2 3455:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker2
08:53:53 Pod rfr-test-cluster-2 3461:	Container image "redis:6.2.6-alpine" already present on machine
08:53:53 Pod rfr-test-cluster-2 3461:	Created container redis
08:53:54 Pod rfr-test-cluster-2 3461:	Started container redis
08:53:54 Pod rfr-test-cluster-2 3461:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:53:54 Pod rfr-test-cluster-2 3461:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.346859ms
08:53:54 Pod rfr-test-cluster-2 3461:	Created container redis-exporter
08:53:57 Pod rfr-test-cluster-2 3461:	Started container redis-exporter
08:54:33 Pod rfr-test-cluster-2 3461:	Readiness probe failed: 
08:32:22 PodDisruptionBudget rfr-test-cluster 841:	No matching pods found
08:32:22 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:32:22 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:32:22 StatefulSet rfr-test-cluster 845:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:43:52 StatefulSet rfr-test-cluster 2412:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
08:43:52 StatefulSet rfr-test-cluster 2430:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
08:43:56 StatefulSet rfr-test-cluster 2430:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
08:44:27 StatefulSet rfr-test-cluster 2430:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.limits[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[jhxhcqjvkh]: Invalid value: "jhxhcqjvkh": must be a standard resource for containers]
08:32:22 Pod rfs-test-cluster-54df69f8df-84cxg 878:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-84cxg to acto-cluster-9-worker3
08:32:23 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Created container sentinel-config-copy
08:32:39 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Started container sentinel-config-copy
08:32:41 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Container image "redis:6.2.6-alpine" already present on machine
08:32:41 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Created container sentinel
08:32:41 Pod rfs-test-cluster-54df69f8df-84cxg 883:	Started container sentinel
08:32:22 Pod rfs-test-cluster-54df69f8df-ckblh 881:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ckblh to acto-cluster-9-worker2
08:32:23 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Created container sentinel-config-copy
08:32:38 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Started container sentinel-config-copy
08:32:40 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Container image "redis:6.2.6-alpine" already present on machine
08:32:40 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Created container sentinel
08:32:40 Pod rfs-test-cluster-54df69f8df-ckblh 888:	Started container sentinel
08:32:22 Pod rfs-test-cluster-54df69f8df-pzc96 875:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pzc96 to acto-cluster-9-worker
08:32:23 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Container image "redis:6.2.6-alpine" already present on machine
08:32:23 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Created container sentinel-config-copy
08:32:39 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Started container sentinel-config-copy
08:32:41 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Container image "redis:6.2.6-alpine" already present on machine
08:32:41 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Created container sentinel
08:32:41 Pod rfs-test-cluster-54df69f8df-pzc96 879:	Started container sentinel
08:32:22 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-pzc96
08:32:22 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-84cxg
08:32:22 ReplicaSet rfs-test-cluster-54df69f8df 872:	Created pod: rfs-test-cluster-54df69f8df-ckblh
08:32:22 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
08:32:22 Deployment rfs-test-cluster 871:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
