04:40:26 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-sv5fc 748:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-sv5fc to acto-cluster-2-worker2
04:48:40 Pod test-cluster-1 1951:	Started container zookeeper
04:51:27 Pod test-cluster-1 1951:	Stopping container zookeeper
04:51:59 Pod test-cluster-1 2402:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker3
04:52:00 Pod test-cluster-1 2404:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:52:00 Pod test-cluster-1 2404:	Created container zookeeper
04:52:00 Pod test-cluster-1 2404:	Started container zookeeper
04:54:41 Pod test-cluster-1 2404:	Stopping container zookeeper
04:55:12 Pod test-cluster-1 2858:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker3
04:55:13 Pod test-cluster-1 2859:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:55:13 Pod test-cluster-1 2859:	Created container zookeeper
04:55:13 Pod test-cluster-1 2859:	Started container zookeeper
04:58:01 Pod test-cluster-1 2859:	Stopping container zookeeper
04:58:33 Pod test-cluster-1 3314:	Successfully assigned acto-namespace/test-cluster-1 to acto-cluster-2-worker3
04:58:33 Pod test-cluster-1 3315:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:58:33 Pod test-cluster-1 3315:	Created container zookeeper
04:58:34 Pod test-cluster-1 3315:	Started container zookeeper
04:41:56 Pod test-cluster-2 1040:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:41:57 Pod test-cluster-2 1070:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:41:57 Pod test-cluster-2 1070:	Created container zookeeper
04:41:57 Pod test-cluster-2 1070:	Started container zookeeper
04:44:03 Pod test-cluster-2 1070:	Stopping container zookeeper
04:44:36 Pod test-cluster-2 1371:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:44:37 Pod test-cluster-2 1372:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:44:37 Pod test-cluster-2 1372:	Created container zookeeper
04:44:37 Pod test-cluster-2 1372:	Started container zookeeper
04:47:25 Pod test-cluster-2 1372:	Stopping container zookeeper
04:47:57 Pod test-cluster-2 1830:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:47:57 Pod test-cluster-2 1831:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:47:57 Pod test-cluster-2 1831:	Created container zookeeper
04:47:57 Pod test-cluster-2 1831:	Started container zookeeper
04:50:35 Pod test-cluster-2 1831:	Stopping container zookeeper
04:51:07 Pod test-cluster-2 2276:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:51:08 Pod test-cluster-2 2277:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:51:08 Pod test-cluster-2 2277:	Created container zookeeper
04:51:08 Pod test-cluster-2 2277:	Started container zookeeper
04:53:59 Pod test-cluster-2 2277:	Stopping container zookeeper
04:54:31 Pod test-cluster-2 2746:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:54:31 Pod test-cluster-2 2747:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:54:31 Pod test-cluster-2 2747:	Created container zookeeper
04:54:31 Pod test-cluster-2 2747:	Started container zookeeper
04:57:09 Pod test-cluster-2 2747:	Stopping container zookeeper
04:57:41 Pod test-cluster-2 3186:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-2-worker2
04:57:41 Pod test-cluster-2 3187:	Container image "pravega/zookeeper:0.2.14" already present on machine
04:57:41 Pod test-cluster-2 3187:	Created container zookeeper
04:57:42 Pod test-cluster-2 3187:	Started container zookeeper
04:40:59 StatefulSet test-cluster 834:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
04:40:59 StatefulSet test-cluster 834:	create Pod test-cluster-0 in StatefulSet test-cluster successful
04:41:24 StatefulSet test-cluster 866:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
04:41:24 StatefulSet test-cluster 866:	create Pod test-cluster-1 in StatefulSet test-cluster successful
04:41:51 StatefulSet test-cluster 973:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
04:41:51 StatefulSet test-cluster 973:	create Pod test-cluster-2 in StatefulSet test-cluster successful
04:44:03 StatefulSet test-cluster 1293:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
04:44:56 StatefulSet test-cluster 1374:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
04:45:48 StatefulSet test-cluster 1516:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
04:40:56 Pod zkapp 819:	Successfully assigned acto-namespace/zkapp to acto-cluster-2-worker
04:40:56 Pod zkapp 820:	Container image "tylergu1998/zkapp:v1" already present on machine
04:40:56 Pod zkapp 820:	Created container zkapp
04:40:57 Pod zkapp 820:	Started container zkapp
