09:55:13 Pod redisoperator-56c8dfdfb-rq8tm 797:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-rq8tm to acto-cluster-13-worker3
10:04:19 StatefulSet rfr-test-cluster 1342:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
09:55:15 Pod rfs-test-cluster-54df69f8df-52gmm 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-52gmm to acto-cluster-13-worker
09:55:16 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Created container sentinel-config-copy
09:55:31 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Started container sentinel-config-copy
09:55:33 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Container image "redis:6.2.6-alpine" already present on machine
09:55:33 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Created container sentinel
09:55:34 Pod rfs-test-cluster-54df69f8df-52gmm 869:	Started container sentinel
09:55:15 Pod rfs-test-cluster-54df69f8df-88pgr 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-88pgr to acto-cluster-13-worker3
09:55:16 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Created container sentinel-config-copy
09:55:32 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Started container sentinel-config-copy
09:55:35 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Container image "redis:6.2.6-alpine" already present on machine
09:55:35 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Created container sentinel
09:55:35 Pod rfs-test-cluster-54df69f8df-88pgr 868:	Started container sentinel
09:55:15 Pod rfs-test-cluster-54df69f8df-qjmtt 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qjmtt to acto-cluster-13-worker2
09:55:16 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Container image "redis:6.2.6-alpine" already present on machine
09:55:16 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Created container sentinel-config-copy
09:55:33 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Started container sentinel-config-copy
09:55:35 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Container image "redis:6.2.6-alpine" already present on machine
09:55:35 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Created container sentinel
09:55:35 Pod rfs-test-cluster-54df69f8df-qjmtt 862:	Started container sentinel
09:55:15 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-qjmtt
09:55:15 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-88pgr
09:55:15 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-52gmm
09:55:15 PodDisruptionBudget rfs-test-cluster 851:	No matching pods found
09:55:15 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
