06:08:22 Pod redisoperator-56c8dfdfb-6r64c 804:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6r64c to acto-cluster-8-worker
06:15:58 Pod rfr-test-cluster-0 840:	Stopping container redis
06:15:58 Pod rfr-test-cluster-0 840:	Stopping container redis-exporter
06:15:59 Pod rfr-test-cluster-0 1977:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:16:01 Pod rfr-test-cluster-0 1979:	Container image "redis:6.2.6-alpine" already present on machine
06:16:01 Pod rfr-test-cluster-0 1979:	Created container redis
06:16:02 Pod rfr-test-cluster-0 1979:	Started container redis
06:16:02 Pod rfr-test-cluster-0 1979:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:16:02 Pod rfr-test-cluster-0 1979:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.245095ms
06:16:02 Pod rfr-test-cluster-0 1979:	Created container redis-exporter
06:16:05 Pod rfr-test-cluster-0 1979:	Started container redis-exporter
06:17:07 Pod rfr-test-cluster-0 1979:	Stopping container redis
06:17:07 Pod rfr-test-cluster-0 1979:	Stopping container redis-exporter
06:17:10 Pod rfr-test-cluster-0 2138:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:17:11 Pod rfr-test-cluster-0 2139:	Container image "redis:6.2.6-alpine" already present on machine
06:17:11 Pod rfr-test-cluster-0 2139:	Created container redis
06:17:12 Pod rfr-test-cluster-0 2139:	Started container redis
06:17:12 Pod rfr-test-cluster-0 2139:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:17:12 Pod rfr-test-cluster-0 2139:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.937438ms
06:17:12 Pod rfr-test-cluster-0 2139:	Created container redis-exporter
06:17:15 Pod rfr-test-cluster-0 2139:	Started container redis-exporter
06:21:58 Pod rfr-test-cluster-0 2139:	Stopping container redis
06:21:58 Pod rfr-test-cluster-0 2139:	Stopping container redis-exporter
06:21:59 Pod rfr-test-cluster-0 2794:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:22:00 Pod rfr-test-cluster-0 2797:	Container image "redis:6.2.6-alpine" already present on machine
06:22:00 Pod rfr-test-cluster-0 2797:	Created container redis
06:22:00 Pod rfr-test-cluster-0 2797:	Started container redis
06:22:00 Pod rfr-test-cluster-0 2797:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:22:00 Pod rfr-test-cluster-0 2797:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.960578ms
06:22:00 Pod rfr-test-cluster-0 2797:	Created container redis-exporter
06:22:03 Pod rfr-test-cluster-0 2797:	Started container redis-exporter
06:22:39 Pod rfr-test-cluster-0 2797:	Readiness probe failed: 
06:25:22 Pod rfr-test-cluster-0 2797:	Stopping container redis
06:25:22 Pod rfr-test-cluster-0 2797:	Stopping container redis-exporter
06:25:23 Pod rfr-test-cluster-0 3184:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:25:23 Pod rfr-test-cluster-0 3188:	Container image "redis:6.2.6-alpine" already present on machine
06:25:23 Pod rfr-test-cluster-0 3188:	Created container redis
06:25:24 Pod rfr-test-cluster-0 3188:	Started container redis
06:25:24 Pod rfr-test-cluster-0 3188:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:24 Pod rfr-test-cluster-0 3188:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.417851ms
06:25:24 Pod rfr-test-cluster-0 3188:	Created container redis-exporter
06:25:26 Pod rfr-test-cluster-0 3188:	Started container redis-exporter
06:29:58 Pod rfr-test-cluster-0 3188:	Stopping container redis
06:29:58 Pod rfr-test-cluster-0 3188:	Stopping container redis-exporter
06:29:59 Pod rfr-test-cluster-0 3822:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-8-worker2
06:30:00 Pod rfr-test-cluster-0 3824:	Container image "redis:6.2.6-alpine" already present on machine
06:30:00 Pod rfr-test-cluster-0 3824:	Created container redis
06:30:00 Pod rfr-test-cluster-0 3824:	Started container redis
06:30:00 Pod rfr-test-cluster-0 3824:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:30:00 Pod rfr-test-cluster-0 3824:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 107.200434ms
06:30:00 Pod rfr-test-cluster-0 3824:	Created container redis-exporter
06:30:04 Pod rfr-test-cluster-0 3824:	Started container redis-exporter
06:30:40 Pod rfr-test-cluster-0 3824:	Readiness probe failed: 
06:08:25 Pod rfr-test-cluster-1 839:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:08:26 Pod rfr-test-cluster-1 843:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfr-test-cluster-1 843:	Created container redis
06:08:26 Pod rfr-test-cluster-1 843:	Started container redis
06:08:26 Pod rfr-test-cluster-1 843:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:08:27 Pod rfr-test-cluster-1 843:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 274.163956ms
06:08:27 Pod rfr-test-cluster-1 843:	Created container redis-exporter
06:08:30 Pod rfr-test-cluster-1 843:	Started container redis-exporter
06:09:05 Pod rfr-test-cluster-1 843:	Readiness probe failed: 
06:15:11 Pod rfr-test-cluster-1 843:	Stopping container redis
06:15:11 Pod rfr-test-cluster-1 843:	Stopping container redis-exporter
06:15:14 Pod rfr-test-cluster-1 1833:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:15:15 Pod rfr-test-cluster-1 1834:	Container image "redis:6.2.6-alpine" already present on machine
06:15:15 Pod rfr-test-cluster-1 1834:	Created container redis
06:15:15 Pod rfr-test-cluster-1 1834:	Started container redis
06:15:15 Pod rfr-test-cluster-1 1834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:15 Pod rfr-test-cluster-1 1834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 191.646956ms
06:15:15 Pod rfr-test-cluster-1 1834:	Created container redis-exporter
06:15:17 Pod rfr-test-cluster-1 1834:	Started container redis-exporter
06:17:58 Pod rfr-test-cluster-1 1834:	Stopping container redis
06:17:58 Pod rfr-test-cluster-1 1834:	Stopping container redis-exporter
06:17:59 Pod rfr-test-cluster-1 2286:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:18:00 Pod rfr-test-cluster-1 2287:	Container image "redis:6.2.6-alpine" already present on machine
06:18:00 Pod rfr-test-cluster-1 2287:	Created container redis
06:18:00 Pod rfr-test-cluster-1 2287:	Started container redis
06:18:00 Pod rfr-test-cluster-1 2287:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:18:00 Pod rfr-test-cluster-1 2287:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.124845ms
06:18:00 Pod rfr-test-cluster-1 2287:	Created container redis-exporter
06:18:03 Pod rfr-test-cluster-1 2287:	Started container redis-exporter
06:18:40 Pod rfr-test-cluster-1 2287:	Readiness probe failed: 
06:21:25 Pod rfr-test-cluster-1 2287:	Stopping container redis
06:21:25 Pod rfr-test-cluster-1 2287:	Stopping container redis-exporter
06:21:27 Pod rfr-test-cluster-1 2676:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:21:28 Pod rfr-test-cluster-1 2679:	Container image "redis:6.2.6-alpine" already present on machine
06:21:28 Pod rfr-test-cluster-1 2679:	Created container redis
06:21:28 Pod rfr-test-cluster-1 2679:	Started container redis
06:21:28 Pod rfr-test-cluster-1 2679:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:21:28 Pod rfr-test-cluster-1 2679:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.799885ms
06:21:28 Pod rfr-test-cluster-1 2679:	Created container redis-exporter
06:21:31 Pod rfr-test-cluster-1 2679:	Started container redis-exporter
06:25:58 Pod rfr-test-cluster-1 2679:	Stopping container redis
06:25:58 Pod rfr-test-cluster-1 2679:	Stopping container redis-exporter
06:26:00 Pod rfr-test-cluster-1 3306:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:26:00 Pod rfr-test-cluster-1 3309:	Container image "redis:6.2.6-alpine" already present on machine
06:26:00 Pod rfr-test-cluster-1 3309:	Created container redis
06:26:00 Pod rfr-test-cluster-1 3309:	Started container redis
06:26:00 Pod rfr-test-cluster-1 3309:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:26:00 Pod rfr-test-cluster-1 3309:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.51375ms
06:26:00 Pod rfr-test-cluster-1 3309:	Created container redis-exporter
06:26:03 Pod rfr-test-cluster-1 3309:	Started container redis-exporter
06:26:30 Pod rfr-test-cluster-1 3309:	Readiness probe failed: 
06:29:26 Pod rfr-test-cluster-1 3309:	Stopping container redis
06:29:26 Pod rfr-test-cluster-1 3309:	Stopping container redis-exporter
06:29:27 Pod rfr-test-cluster-1 3708:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
06:29:28 Pod rfr-test-cluster-1 3710:	Container image "redis:6.2.6-alpine" already present on machine
06:29:28 Pod rfr-test-cluster-1 3710:	Created container redis
06:29:28 Pod rfr-test-cluster-1 3710:	Started container redis
06:29:28 Pod rfr-test-cluster-1 3710:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:29:28 Pod rfr-test-cluster-1 3710:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.058602ms
06:29:28 Pod rfr-test-cluster-1 3710:	Created container redis-exporter
06:29:31 Pod rfr-test-cluster-1 3710:	Started container redis-exporter
06:08:25 Pod rfr-test-cluster-2 844:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:08:26 Pod rfr-test-cluster-2 847:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfr-test-cluster-2 847:	Created container redis
06:08:27 Pod rfr-test-cluster-2 847:	Started container redis
06:08:27 Pod rfr-test-cluster-2 847:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:08:27 Pod rfr-test-cluster-2 847:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 306.120181ms
06:08:27 Pod rfr-test-cluster-2 847:	Created container redis-exporter
06:08:30 Pod rfr-test-cluster-2 847:	Started container redis-exporter
06:09:05 Pod rfr-test-cluster-2 847:	Readiness probe failed: 
06:15:28 Pod rfr-test-cluster-2 847:	Stopping container redis
06:15:28 Pod rfr-test-cluster-2 847:	Stopping container redis-exporter
06:15:29 Pod rfr-test-cluster-2 1892:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:15:29 Pod rfr-test-cluster-2 1893:	Container image "redis:6.2.6-alpine" already present on machine
06:15:29 Pod rfr-test-cluster-2 1893:	Created container redis
06:15:30 Pod rfr-test-cluster-2 1893:	Started container redis
06:15:30 Pod rfr-test-cluster-2 1893:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:15:30 Pod rfr-test-cluster-2 1893:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 111.455461ms
06:15:30 Pod rfr-test-cluster-2 1893:	Created container redis-exporter
06:15:33 Pod rfr-test-cluster-2 1893:	Started container redis-exporter
06:17:28 Pod rfr-test-cluster-2 1893:	Stopping container redis
06:17:28 Pod rfr-test-cluster-2 1893:	Stopping container redis-exporter
06:17:29 Pod rfr-test-cluster-2 1893:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:17:29 Pod rfr-test-cluster-2 1893:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:17:29 Pod rfr-test-cluster-2 2202:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:17:30 Pod rfr-test-cluster-2 2203:	Container image "redis:6.2.6-alpine" already present on machine
06:17:30 Pod rfr-test-cluster-2 2203:	Created container redis
06:17:30 Pod rfr-test-cluster-2 2203:	Started container redis
06:17:30 Pod rfr-test-cluster-2 2203:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:17:30 Pod rfr-test-cluster-2 2203:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.008619ms
06:17:30 Pod rfr-test-cluster-2 2203:	Created container redis-exporter
06:17:33 Pod rfr-test-cluster-2 2203:	Started container redis-exporter
06:21:28 Pod rfr-test-cluster-2 2203:	Stopping container redis
06:21:28 Pod rfr-test-cluster-2 2203:	Stopping container redis-exporter
06:21:29 Pod rfr-test-cluster-2 2203:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:21:29 Pod rfr-test-cluster-2 2203:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
06:21:30 Pod rfr-test-cluster-2 2713:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:21:31 Pod rfr-test-cluster-2 2717:	Container image "redis:6.2.6-alpine" already present on machine
06:21:31 Pod rfr-test-cluster-2 2717:	Created container redis
06:21:31 Pod rfr-test-cluster-2 2717:	Started container redis
06:21:31 Pod rfr-test-cluster-2 2717:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:21:31 Pod rfr-test-cluster-2 2717:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.400146ms
06:21:31 Pod rfr-test-cluster-2 2717:	Created container redis-exporter
06:21:34 Pod rfr-test-cluster-2 2717:	Started container redis-exporter
06:25:28 Pod rfr-test-cluster-2 2717:	Stopping container redis
06:25:28 Pod rfr-test-cluster-2 2717:	Stopping container redis-exporter
06:25:29 Pod rfr-test-cluster-2 3228:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:25:30 Pod rfr-test-cluster-2 3231:	Container image "redis:6.2.6-alpine" already present on machine
06:25:30 Pod rfr-test-cluster-2 3231:	Created container redis
06:25:30 Pod rfr-test-cluster-2 3231:	Started container redis
06:25:30 Pod rfr-test-cluster-2 3231:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:30 Pod rfr-test-cluster-2 3231:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 224.942896ms
06:25:30 Pod rfr-test-cluster-2 3231:	Created container redis-exporter
06:25:33 Pod rfr-test-cluster-2 3231:	Started container redis-exporter
06:29:28 Pod rfr-test-cluster-2 3231:	Stopping container redis
06:29:28 Pod rfr-test-cluster-2 3231:	Stopping container redis-exporter
06:29:29 Pod rfr-test-cluster-2 3740:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
06:29:29 Pod rfr-test-cluster-2 3744:	Container image "redis:6.2.6-alpine" already present on machine
06:29:29 Pod rfr-test-cluster-2 3744:	Created container redis
06:29:30 Pod rfr-test-cluster-2 3744:	Started container redis
06:29:30 Pod rfr-test-cluster-2 3744:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:29:30 Pod rfr-test-cluster-2 3744:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.047347ms
06:29:30 Pod rfr-test-cluster-2 3744:	Created container redis-exporter
06:29:32 Pod rfr-test-cluster-2 3744:	Started container redis-exporter
06:08:25 PodDisruptionBudget rfr-test-cluster 829:	No matching pods found
06:08:25 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:08:25 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:08:25 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:11:29 Pod rfs-test-cluster-54df69f8df-8prpz 1326:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8prpz to acto-cluster-8-worker
06:11:29 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Container image "redis:6.2.6-alpine" already present on machine
06:11:29 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Created container sentinel-config-copy
06:11:43 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Started container sentinel-config-copy
06:11:45 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Container image "redis:6.2.6-alpine" already present on machine
06:11:45 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Created container sentinel
06:11:45 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Started container sentinel
06:12:47 Pod rfs-test-cluster-54df69f8df-8prpz 1328:	Stopping container sentinel
06:11:29 Pod rfs-test-cluster-54df69f8df-9rpp9 1330:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9rpp9 to acto-cluster-8-worker3
06:11:29 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Container image "redis:6.2.6-alpine" already present on machine
06:11:29 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Created container sentinel-config-copy
06:11:43 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Started container sentinel-config-copy
06:11:44 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Container image "redis:6.2.6-alpine" already present on machine
06:11:44 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Created container sentinel
06:11:45 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Started container sentinel
06:12:47 Pod rfs-test-cluster-54df69f8df-9rpp9 1334:	Stopping container sentinel
06:08:25 Pod rfs-test-cluster-54df69f8df-d8sp6 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d8sp6 to acto-cluster-8-worker3
06:08:26 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Created container sentinel-config-copy
06:08:43 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Started container sentinel-config-copy
06:08:45 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Container image "redis:6.2.6-alpine" already present on machine
06:08:45 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Created container sentinel
06:08:46 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Started container sentinel
06:12:47 Pod rfs-test-cluster-54df69f8df-d8sp6 874:	Stopping container sentinel
06:13:50 Pod rfs-test-cluster-54df69f8df-ps5sx 1650:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ps5sx to acto-cluster-8-worker3
06:13:50 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Container image "redis:6.2.6-alpine" already present on machine
06:13:50 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Created container sentinel-config-copy
06:14:05 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Started container sentinel-config-copy
06:14:09 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Container image "redis:6.2.6-alpine" already present on machine
06:14:09 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Created container sentinel
06:14:09 Pod rfs-test-cluster-54df69f8df-ps5sx 1654:	Started container sentinel
06:08:25 Pod rfs-test-cluster-54df69f8df-r8qll 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-r8qll to acto-cluster-8-worker2
06:08:26 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Created container sentinel-config-copy
06:08:43 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Started container sentinel-config-copy
06:08:44 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Container image "redis:6.2.6-alpine" already present on machine
06:08:44 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Created container sentinel
06:08:45 Pod rfs-test-cluster-54df69f8df-r8qll 875:	Started container sentinel
06:08:25 Pod rfs-test-cluster-54df69f8df-vjv9t 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-vjv9t to acto-cluster-8-worker
06:08:26 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Container image "redis:6.2.6-alpine" already present on machine
06:08:26 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Created container sentinel-config-copy
06:08:43 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Started container sentinel-config-copy
06:08:45 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Container image "redis:6.2.6-alpine" already present on machine
06:08:45 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Created container sentinel
06:08:46 Pod rfs-test-cluster-54df69f8df-vjv9t 869:	Started container sentinel
06:08:25 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-vjv9t
06:08:25 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-d8sp6
06:08:25 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-r8qll
06:11:29 ReplicaSet rfs-test-cluster-54df69f8df 1324:	Created pod: rfs-test-cluster-54df69f8df-8prpz
06:11:29 ReplicaSet rfs-test-cluster-54df69f8df 1324:	Created pod: rfs-test-cluster-54df69f8df-9rpp9
06:12:47 ReplicaSet rfs-test-cluster-54df69f8df 1501:	Deleted pod: rfs-test-cluster-54df69f8df-9rpp9
06:12:47 ReplicaSet rfs-test-cluster-54df69f8df 1501:	Deleted pod: rfs-test-cluster-54df69f8df-8prpz
06:12:47 ReplicaSet rfs-test-cluster-54df69f8df 1501:	Deleted pod: rfs-test-cluster-54df69f8df-d8sp6
06:13:50 ReplicaSet rfs-test-cluster-54df69f8df 1648:	Created pod: rfs-test-cluster-54df69f8df-ps5sx
06:08:25 PodDisruptionBudget rfs-test-cluster 855:	No matching pods found
06:08:25 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:11:29 Deployment rfs-test-cluster 1322:	Scaled up replica set rfs-test-cluster-54df69f8df to 5
06:12:47 Deployment rfs-test-cluster 1499:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
