05:42:46 Pod redisoperator-56c8dfdfb-q7j2d 799:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-q7j2d to acto-cluster-13-worker2
05:43:01 Pod rfr-test-cluster-1 862:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 266.103795ms
05:43:01 Pod rfr-test-cluster-1 862:	Created container redis-exporter
05:43:08 Pod rfr-test-cluster-1 862:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-1 862:	Readiness probe failed: 
05:47:19 Pod rfr-test-cluster-1 862:	Stopping container redis
05:47:19 Pod rfr-test-cluster-1 862:	Stopping container redis-exporter
05:57:21 Pod rfr-test-cluster-1 2496:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker
05:57:21 Pod rfr-test-cluster-1 2501:	Container image "redis:6.2.6-alpine" already present on machine
05:57:21 Pod rfr-test-cluster-1 2501:	Created container redis
05:57:21 Pod rfr-test-cluster-1 2501:	Started container redis
05:57:21 Pod rfr-test-cluster-1 2501:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:57:22 Pod rfr-test-cluster-1 2501:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 147.611727ms
05:57:22 Pod rfr-test-cluster-1 2501:	Created container redis-exporter
05:57:24 Pod rfr-test-cluster-1 2501:	Started container redis-exporter
05:57:51 Pod rfr-test-cluster-1 2501:	Readiness probe failed: 
05:42:54 Pod rfr-test-cluster-2 863:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
05:42:57 Pod rfr-test-cluster-2 869:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfr-test-cluster-2 869:	Created container redis
05:43:03 Pod rfr-test-cluster-2 869:	Started container redis
05:43:03 Pod rfr-test-cluster-2 869:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:03 Pod rfr-test-cluster-2 869:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.574064ms
05:43:04 Pod rfr-test-cluster-2 869:	Created container redis-exporter
05:43:09 Pod rfr-test-cluster-2 869:	Started container redis-exporter
05:43:36 Pod rfr-test-cluster-2 869:	Readiness probe failed: 
05:47:21 Pod rfr-test-cluster-2 869:	Stopping container redis
05:47:21 Pod rfr-test-cluster-2 869:	Stopping container redis-exporter
05:57:21 Pod rfr-test-cluster-2 2505:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker2
05:57:21 Pod rfr-test-cluster-2 2510:	Container image "redis:6.2.6-alpine" already present on machine
05:57:21 Pod rfr-test-cluster-2 2510:	Created container redis
05:57:21 Pod rfr-test-cluster-2 2510:	Started container redis
05:57:21 Pod rfr-test-cluster-2 2510:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:57:22 Pod rfr-test-cluster-2 2510:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 172.878228ms
05:57:22 Pod rfr-test-cluster-2 2510:	Created container redis-exporter
05:57:25 Pod rfr-test-cluster-2 2510:	Started container redis-exporter
05:57:51 Pod rfr-test-cluster-2 2510:	Readiness probe failed: 
05:42:54 PodDisruptionBudget rfr-test-cluster 848:	No matching pods found
05:42:54 StatefulSet rfr-test-cluster 852:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:42:54 StatefulSet rfr-test-cluster 852:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:42:54 StatefulSet rfr-test-cluster 852:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:47:21 StatefulSet rfr-test-cluster 1479:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
05:47:52 StatefulSet rfr-test-cluster 1479:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
05:42:55 Pod rfs-test-cluster-54df69f8df-79z56 889:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-79z56 to acto-cluster-13-worker2
05:42:57 Pod rfs-test-cluster-54df69f8df-79z56 893:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-79z56 893:	Created container sentinel-config-copy
05:43:36 Pod rfs-test-cluster-54df69f8df-79z56 893:	Started container sentinel-config-copy
05:43:39 Pod rfs-test-cluster-54df69f8df-79z56 893:	Container image "redis:6.2.6-alpine" already present on machine
05:43:39 Pod rfs-test-cluster-54df69f8df-79z56 893:	Created container sentinel
05:43:40 Pod rfs-test-cluster-54df69f8df-79z56 893:	Started container sentinel
05:42:55 Pod rfs-test-cluster-54df69f8df-7dt2q 888:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7dt2q to acto-cluster-13-worker3
05:42:57 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Created container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-7dt2q 892:	Started container sentinel
05:42:55 Pod rfs-test-cluster-54df69f8df-pg27m 884:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pg27m to acto-cluster-13-worker
05:42:57 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Container image "redis:6.2.6-alpine" already present on machine
05:42:57 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Created container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-pg27m 890:	Started container sentinel
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 881:	Created pod: rfs-test-cluster-54df69f8df-pg27m
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 881:	Created pod: rfs-test-cluster-54df69f8df-79z56
05:42:55 ReplicaSet rfs-test-cluster-54df69f8df 881:	Created pod: rfs-test-cluster-54df69f8df-7dt2q
05:42:55 PodDisruptionBudget rfs-test-cluster 874:	No matching pods found
05:42:55 Deployment rfs-test-cluster 879:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
