05:11:48 Pod cockroach-operator-manager-57b7fbd794-wbv8n 754:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-wbv8n to acto-cluster-2-worker
05:15:24 PersistentVolumeClaim datadir-test-cluster-2 1223:	Successfully provisioned volume pvc-4791ece9-8b39-4c30-a822-179a20972627
05:15:24 Pod test-cluster-0 1197:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-2-worker3
05:15:25 Pod test-cluster-0 1272:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:25 Pod test-cluster-0 1272:	Created container db-init
05:15:25 Pod test-cluster-0 1272:	Started container db-init
05:15:26 Pod test-cluster-0 1272:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:26 Pod test-cluster-0 1272:	Created container db
05:15:26 Pod test-cluster-0 1272:	Started container db
05:18:59 Pod test-cluster-0 1272:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:19:20 Pod test-cluster-0 1272:	Stopping container db
05:19:46 Pod test-cluster-0 1916:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-2-worker3
05:19:47 Pod test-cluster-0 1917:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:47 Pod test-cluster-0 1917:	Created container db-init
05:19:47 Pod test-cluster-0 1917:	Started container db-init
05:19:47 Pod test-cluster-0 1917:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:19:47 Pod test-cluster-0 1917:	Created container db
05:19:48 Pod test-cluster-0 1917:	Started container db
05:21:31 Pod test-cluster-0 1917:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:21:50 Pod test-cluster-0 1917:	Stopping container db
05:26:57 Pod test-cluster-0 2771:	Successfully assigned cockroach-operator-system/test-cluster-0 to acto-cluster-2-worker3
05:26:58 Pod test-cluster-0 2772:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:26:58 Pod test-cluster-0 2772:	Created container db-init
05:26:58 Pod test-cluster-0 2772:	Started container db-init
05:26:58 Pod test-cluster-0 2772:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:26:58 Pod test-cluster-0 2772:	Created container db
05:26:58 Pod test-cluster-0 2772:	Started container db
05:27:12 Pod test-cluster-0 2772:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:15:24 Pod test-cluster-1 1206:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-2-worker
05:15:25 Pod test-cluster-1 1274:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:25 Pod test-cluster-1 1274:	Created container db-init
05:15:25 Pod test-cluster-1 1274:	Started container db-init
05:15:26 Pod test-cluster-1 1274:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:26 Pod test-cluster-1 1274:	Created container db
05:15:26 Pod test-cluster-1 1274:	Started container db
05:18:45 Pod test-cluster-1 1274:	Stopping container db
05:18:54 Pod test-cluster-1 1753:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-2-worker
05:18:55 Pod test-cluster-1 1754:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:18:55 Pod test-cluster-1 1754:	Created container db-init
05:18:55 Pod test-cluster-1 1754:	Started container db-init
05:18:55 Pod test-cluster-1 1754:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:18:55 Pod test-cluster-1 1754:	Created container db
05:18:55 Pod test-cluster-1 1754:	Started container db
05:19:09 Pod test-cluster-1 1754:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:21:12 Pod test-cluster-1 1754:	Stopping container db
05:21:20 Pod test-cluster-1 2151:	Successfully assigned cockroach-operator-system/test-cluster-1 to acto-cluster-2-worker
05:21:20 Pod test-cluster-1 2152:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:20 Pod test-cluster-1 2152:	Created container db-init
05:21:20 Pod test-cluster-1 2152:	Started container db-init
05:21:21 Pod test-cluster-1 2152:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:21:21 Pod test-cluster-1 2152:	Created container db
05:21:21 Pod test-cluster-1 2152:	Started container db
05:21:35 Pod test-cluster-1 2152:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:15:25 Pod test-cluster-2 1215:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-2-worker2
05:15:26 Pod test-cluster-2 1293:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:26 Pod test-cluster-2 1293:	Created container db-init
05:15:26 Pod test-cluster-2 1293:	Started container db-init
05:15:26 Pod test-cluster-2 1293:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:26 Pod test-cluster-2 1293:	Created container db
05:15:26 Pod test-cluster-2 1293:	Started container db
05:18:21 Pod test-cluster-2 1293:	Stopping container db
05:18:30 Pod test-cluster-2 1670:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-2-worker2
05:18:31 Pod test-cluster-2 1671:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:18:31 Pod test-cluster-2 1671:	Created container db-init
05:18:31 Pod test-cluster-2 1671:	Started container db-init
05:18:31 Pod test-cluster-2 1671:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:18:31 Pod test-cluster-2 1671:	Created container db
05:18:32 Pod test-cluster-2 1671:	Started container db
05:19:00 Pod test-cluster-2 1671:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:20:49 Pod test-cluster-2 1671:	Stopping container db
05:20:57 Pod test-cluster-2 2075:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-2-worker2
05:20:57 Pod test-cluster-2 2076:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:20:57 Pod test-cluster-2 2076:	Created container db-init
05:20:58 Pod test-cluster-2 2076:	Started container db-init
05:20:58 Pod test-cluster-2 2076:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:20:58 Pod test-cluster-2 2076:	Created container db
05:20:58 Pod test-cluster-2 2076:	Started container db
05:21:27 Pod test-cluster-2 2076:	Readiness probe failed: HTTP probe failed with statuscode: 503
05:12:42 Pod test-cluster-vcheck-28006872--1-mzn9v 902:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006872--1-mzn9v to acto-cluster-2-worker2
05:12:42 Pod test-cluster-vcheck-28006872--1-mzn9v 904:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:12:42 Pod test-cluster-vcheck-28006872--1-mzn9v 904:	Created container crdb
05:12:43 Pod test-cluster-vcheck-28006872--1-mzn9v 904:	Started container crdb
05:12:42 Job test-cluster-vcheck-28006872 901:	Created pod: test-cluster-vcheck-28006872--1-mzn9v
05:15:16 Job test-cluster-vcheck-28006872 905:	Job completed
05:14:44 Pod test-cluster-vcheck-28006874--1-7bl7p 1098:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006874--1-7bl7p to acto-cluster-2-worker3
05:14:45 Pod test-cluster-vcheck-28006874--1-7bl7p 1099:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:14:45 Pod test-cluster-vcheck-28006874--1-7bl7p 1099:	Created container crdb
05:14:45 Pod test-cluster-vcheck-28006874--1-7bl7p 1099:	Started container crdb
05:14:44 Job test-cluster-vcheck-28006874 1097:	Created pod: test-cluster-vcheck-28006874--1-7bl7p
05:17:19 Job test-cluster-vcheck-28006874 1101:	Job completed
05:15:16 Pod test-cluster-vcheck-28006875--1-k6ffn 1161:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006875--1-k6ffn to acto-cluster-2-worker2
05:15:16 Pod test-cluster-vcheck-28006875--1-k6ffn 1163:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
05:15:17 Pod test-cluster-vcheck-28006875--1-k6ffn 1163:	Created container crdb
05:15:17 Pod test-cluster-vcheck-28006875--1-k6ffn 1163:	Started container crdb
05:15:20 Pod test-cluster-vcheck-28006875--1-k6ffn 1163:	Stopping container crdb
05:15:16 Job test-cluster-vcheck-28006875 1158:	Created pod: test-cluster-vcheck-28006875--1-k6ffn
05:15:20 StatefulSet test-cluster 1193:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
05:15:20 StatefulSet test-cluster 1193:	create Pod test-cluster-0 in StatefulSet test-cluster successful
05:15:20 StatefulSet test-cluster 1193:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
05:15:20 StatefulSet test-cluster 1193:	create Pod test-cluster-1 in StatefulSet test-cluster successful
05:15:20 StatefulSet test-cluster 1193:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
05:15:20 StatefulSet test-cluster 1193:	create Pod test-cluster-2 in StatefulSet test-cluster successful
05:18:21 StatefulSet test-cluster 1631:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
05:18:45 StatefulSet test-cluster 1675:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
05:19:20 StatefulSet test-cluster 1847:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
