09:19:13 Pod redisoperator-56c8dfdfb-clkfk 802:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-clkfk to acto-cluster-0-worker
09:19:31 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Started container sentinel-config-copy
09:19:33 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Container image "redis:6.2.6-alpine" already present on machine
09:19:33 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Created container sentinel
09:19:34 Pod rfs-test-cluster-54df69f8df-v4n2t 873:	Started container sentinel
09:19:16 Pod rfs-test-cluster-54df69f8df-zd784 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-zd784 to acto-cluster-0-worker
09:19:16 Pod rfs-test-cluster-54df69f8df-zd784 864:	Container image "redis:6.2.6-alpine" already present on machine
09:19:16 Pod rfs-test-cluster-54df69f8df-zd784 864:	Created container sentinel-config-copy
09:19:33 Pod rfs-test-cluster-54df69f8df-zd784 864:	Started container sentinel-config-copy
09:19:35 Pod rfs-test-cluster-54df69f8df-zd784 864:	Container image "redis:6.2.6-alpine" already present on machine
09:19:35 Pod rfs-test-cluster-54df69f8df-zd784 864:	Created container sentinel
09:19:35 Pod rfs-test-cluster-54df69f8df-zd784 864:	Started container sentinel
09:19:16 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-zd784
09:19:16 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-87vk8
09:19:16 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-v4n2t
09:19:16 PodDisruptionBudget rfs-test-cluster 855:	No matching pods found
09:19:16 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
