07:12:07 Pod redisoperator-56c8dfdfb-c84cl 780:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c84cl to acto-cluster-15-worker
07:19:14 Pod rfr-test-cluster-0 1837:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:19:15 Pod rfr-test-cluster-0 1840:	Container image "redis:6.2.6-alpine" already present on machine
07:19:15 Pod rfr-test-cluster-0 1840:	Created container redis
07:19:15 Pod rfr-test-cluster-0 1840:	Started container redis
07:19:15 Pod rfr-test-cluster-0 1840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:15 Pod rfr-test-cluster-0 1840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.299361ms
07:19:15 Pod rfr-test-cluster-0 1840:	Created container redis-exporter
07:19:17 Pod rfr-test-cluster-0 1840:	Started container redis-exporter
07:23:47 Pod rfr-test-cluster-0 1840:	Stopping container redis
07:23:47 Pod rfr-test-cluster-0 1840:	Stopping container redis-exporter
07:23:48 Pod rfr-test-cluster-0 2471:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:23:49 Pod rfr-test-cluster-0 2474:	Container image "redis:6.2.6-alpine" already present on machine
07:23:49 Pod rfr-test-cluster-0 2474:	Created container redis
07:23:49 Pod rfr-test-cluster-0 2474:	Started container redis
07:23:49 Pod rfr-test-cluster-0 2474:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:49 Pod rfr-test-cluster-0 2474:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.72062ms
07:23:49 Pod rfr-test-cluster-0 2474:	Created container redis-exporter
07:23:55 Pod rfr-test-cluster-0 2474:	Started container redis-exporter
07:24:28 Pod rfr-test-cluster-0 2474:	Readiness probe failed: 
07:27:11 Pod rfr-test-cluster-0 2474:	Stopping container redis
07:27:11 Pod rfr-test-cluster-0 2474:	Stopping container redis-exporter
07:27:12 Pod rfr-test-cluster-0 2858:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:27:12 Pod rfr-test-cluster-0 2862:	Container image "redis:6.2.6-alpine" already present on machine
07:27:12 Pod rfr-test-cluster-0 2862:	Created container redis
07:27:13 Pod rfr-test-cluster-0 2862:	Started container redis
07:27:13 Pod rfr-test-cluster-0 2862:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:13 Pod rfr-test-cluster-0 2862:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.064672ms
07:27:13 Pod rfr-test-cluster-0 2862:	Created container redis-exporter
07:27:17 Pod rfr-test-cluster-0 2862:	Started container redis-exporter
07:31:46 Pod rfr-test-cluster-0 2862:	Stopping container redis
07:31:46 Pod rfr-test-cluster-0 2862:	Stopping container redis-exporter
07:31:47 Pod rfr-test-cluster-0 3494:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:31:48 Pod rfr-test-cluster-0 3498:	Container image "redis:6.2.6-alpine" already present on machine
07:31:48 Pod rfr-test-cluster-0 3498:	Created container redis
07:31:48 Pod rfr-test-cluster-0 3498:	Started container redis
07:31:48 Pod rfr-test-cluster-0 3498:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:48 Pod rfr-test-cluster-0 3498:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.557008ms
07:31:48 Pod rfr-test-cluster-0 3498:	Created container redis-exporter
07:31:51 Pod rfr-test-cluster-0 3498:	Started container redis-exporter
07:32:27 Pod rfr-test-cluster-0 3498:	Readiness probe failed: 
07:35:14 Pod rfr-test-cluster-0 3498:	Stopping container redis
07:35:14 Pod rfr-test-cluster-0 3498:	Stopping container redis-exporter
07:35:15 Pod rfr-test-cluster-0 3890:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-15-worker3
07:35:15 Pod rfr-test-cluster-0 3892:	Container image "redis:6.2.6-alpine" already present on machine
07:35:15 Pod rfr-test-cluster-0 3892:	Created container redis
07:35:15 Pod rfr-test-cluster-0 3892:	Started container redis
07:35:15 Pod rfr-test-cluster-0 3892:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:16 Pod rfr-test-cluster-0 3892:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.111647ms
07:35:16 Pod rfr-test-cluster-0 3892:	Created container redis-exporter
07:35:18 Pod rfr-test-cluster-0 3892:	Started container redis-exporter
07:35:45 Pod rfr-test-cluster-0 3892:	Readiness probe failed: 
07:12:10 Pod rfr-test-cluster-1 814:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:12:12 Pod rfr-test-cluster-1 820:	Container image "redis:6.2.6-alpine" already present on machine
07:12:12 Pod rfr-test-cluster-1 820:	Created container redis
07:12:15 Pod rfr-test-cluster-1 820:	Started container redis
07:12:15 Pod rfr-test-cluster-1 820:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:15 Pod rfr-test-cluster-1 820:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.217124ms
07:12:15 Pod rfr-test-cluster-1 820:	Created container redis-exporter
07:12:17 Pod rfr-test-cluster-1 820:	Started container redis-exporter
07:12:50 Pod rfr-test-cluster-1 820:	Readiness probe failed: 
07:15:12 Pod rfr-test-cluster-1 820:	Stopping container redis
07:15:12 Pod rfr-test-cluster-1 820:	Stopping container redis-exporter
07:15:13 Pod rfr-test-cluster-1 1323:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:15:14 Pod rfr-test-cluster-1 1325:	Container image "redis:6.2.6-alpine" already present on machine
07:15:14 Pod rfr-test-cluster-1 1325:	Created container redis
07:15:14 Pod rfr-test-cluster-1 1325:	Started container redis
07:15:14 Pod rfr-test-cluster-1 1325:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:14 Pod rfr-test-cluster-1 1325:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 166.90277ms
07:15:14 Pod rfr-test-cluster-1 1325:	Created container redis-exporter
07:15:16 Pod rfr-test-cluster-1 1325:	Started container redis-exporter
07:19:47 Pod rfr-test-cluster-1 1325:	Stopping container redis
07:19:47 Pod rfr-test-cluster-1 1325:	Stopping container redis-exporter
07:19:48 Pod rfr-test-cluster-1 1954:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:19:48 Pod rfr-test-cluster-1 1956:	Container image "redis:6.2.6-alpine" already present on machine
07:19:48 Pod rfr-test-cluster-1 1956:	Created container redis
07:19:48 Pod rfr-test-cluster-1 1956:	Started container redis
07:19:49 Pod rfr-test-cluster-1 1956:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:49 Pod rfr-test-cluster-1 1956:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 138.777905ms
07:19:49 Pod rfr-test-cluster-1 1956:	Created container redis-exporter
07:19:51 Pod rfr-test-cluster-1 1956:	Started container redis-exporter
07:20:18 Pod rfr-test-cluster-1 1956:	Readiness probe failed: 
07:23:12 Pod rfr-test-cluster-1 1956:	Stopping container redis
07:23:12 Pod rfr-test-cluster-1 1956:	Stopping container redis-exporter
07:23:14 Pod rfr-test-cluster-1 2349:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:23:15 Pod rfr-test-cluster-1 2351:	Container image "redis:6.2.6-alpine" already present on machine
07:23:15 Pod rfr-test-cluster-1 2351:	Created container redis
07:23:15 Pod rfr-test-cluster-1 2351:	Started container redis
07:23:15 Pod rfr-test-cluster-1 2351:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:15 Pod rfr-test-cluster-1 2351:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 129.764322ms
07:23:15 Pod rfr-test-cluster-1 2351:	Created container redis-exporter
07:23:18 Pod rfr-test-cluster-1 2351:	Started container redis-exporter
07:27:46 Pod rfr-test-cluster-1 2351:	Stopping container redis
07:27:46 Pod rfr-test-cluster-1 2351:	Stopping container redis-exporter
07:27:48 Pod rfr-test-cluster-1 2983:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:27:48 Pod rfr-test-cluster-1 2988:	Container image "redis:6.2.6-alpine" already present on machine
07:27:48 Pod rfr-test-cluster-1 2988:	Created container redis
07:27:49 Pod rfr-test-cluster-1 2988:	Started container redis
07:27:49 Pod rfr-test-cluster-1 2988:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:49 Pod rfr-test-cluster-1 2988:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.760653ms
07:27:49 Pod rfr-test-cluster-1 2988:	Created container redis-exporter
07:27:51 Pod rfr-test-cluster-1 2988:	Started container redis-exporter
07:28:28 Pod rfr-test-cluster-1 2988:	Readiness probe failed: 
07:31:11 Pod rfr-test-cluster-1 2988:	Stopping container redis
07:31:11 Pod rfr-test-cluster-1 2988:	Stopping container redis-exporter
07:31:12 Pod rfr-test-cluster-1 3373:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:31:13 Pod rfr-test-cluster-1 3378:	Container image "redis:6.2.6-alpine" already present on machine
07:31:13 Pod rfr-test-cluster-1 3378:	Created container redis
07:31:13 Pod rfr-test-cluster-1 3378:	Started container redis
07:31:13 Pod rfr-test-cluster-1 3378:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:13 Pod rfr-test-cluster-1 3378:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.834197ms
07:31:13 Pod rfr-test-cluster-1 3378:	Created container redis-exporter
07:31:17 Pod rfr-test-cluster-1 3378:	Started container redis-exporter
07:35:46 Pod rfr-test-cluster-1 3378:	Stopping container redis
07:35:46 Pod rfr-test-cluster-1 3378:	Stopping container redis-exporter
07:35:49 Pod rfr-test-cluster-1 4009:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
07:35:50 Pod rfr-test-cluster-1 4013:	Container image "redis:6.2.6-alpine" already present on machine
07:35:50 Pod rfr-test-cluster-1 4013:	Created container redis
07:35:50 Pod rfr-test-cluster-1 4013:	Started container redis
07:35:50 Pod rfr-test-cluster-1 4013:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:50 Pod rfr-test-cluster-1 4013:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 175.672174ms
07:35:50 Pod rfr-test-cluster-1 4013:	Created container redis-exporter
07:35:53 Pod rfr-test-cluster-1 4013:	Started container redis-exporter
07:36:29 Pod rfr-test-cluster-1 4013:	Readiness probe failed: 
07:12:10 Pod rfr-test-cluster-2 819:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:12:12 Pod rfr-test-cluster-2 824:	Container image "redis:6.2.6-alpine" already present on machine
07:12:12 Pod rfr-test-cluster-2 824:	Created container redis
07:12:15 Pod rfr-test-cluster-2 824:	Started container redis
07:12:15 Pod rfr-test-cluster-2 824:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:15 Pod rfr-test-cluster-2 824:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 307.292441ms
07:12:15 Pod rfr-test-cluster-2 824:	Created container redis-exporter
07:12:18 Pod rfr-test-cluster-2 824:	Started container redis-exporter
07:12:50 Pod rfr-test-cluster-2 824:	Readiness probe failed: 
07:15:16 Pod rfr-test-cluster-2 824:	Stopping container redis
07:15:16 Pod rfr-test-cluster-2 824:	Stopping container redis-exporter
07:15:17 Pod rfr-test-cluster-2 1362:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:15:18 Pod rfr-test-cluster-2 1365:	Container image "redis:6.2.6-alpine" already present on machine
07:15:18 Pod rfr-test-cluster-2 1365:	Created container redis
07:15:18 Pod rfr-test-cluster-2 1365:	Started container redis
07:15:18 Pod rfr-test-cluster-2 1365:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:18 Pod rfr-test-cluster-2 1365:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.485661ms
07:15:18 Pod rfr-test-cluster-2 1365:	Created container redis-exporter
07:15:21 Pod rfr-test-cluster-2 1365:	Started container redis-exporter
07:19:16 Pod rfr-test-cluster-2 1365:	Stopping container redis
07:19:16 Pod rfr-test-cluster-2 1365:	Stopping container redis-exporter
07:19:17 Pod rfr-test-cluster-2 1871:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:19:18 Pod rfr-test-cluster-2 1872:	Container image "redis:6.2.6-alpine" already present on machine
07:19:18 Pod rfr-test-cluster-2 1872:	Created container redis
07:19:18 Pod rfr-test-cluster-2 1872:	Started container redis
07:19:18 Pod rfr-test-cluster-2 1872:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:19:18 Pod rfr-test-cluster-2 1872:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 118.311373ms
07:19:18 Pod rfr-test-cluster-2 1872:	Created container redis-exporter
07:19:21 Pod rfr-test-cluster-2 1872:	Started container redis-exporter
07:23:16 Pod rfr-test-cluster-2 1872:	Stopping container redis
07:23:16 Pod rfr-test-cluster-2 1872:	Stopping container redis-exporter
07:23:17 Pod rfr-test-cluster-2 2386:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:23:18 Pod rfr-test-cluster-2 2389:	Container image "redis:6.2.6-alpine" already present on machine
07:23:18 Pod rfr-test-cluster-2 2389:	Created container redis
07:23:18 Pod rfr-test-cluster-2 2389:	Started container redis
07:23:18 Pod rfr-test-cluster-2 2389:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:23:18 Pod rfr-test-cluster-2 2389:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.964937ms
07:23:18 Pod rfr-test-cluster-2 2389:	Created container redis-exporter
07:23:23 Pod rfr-test-cluster-2 2389:	Started container redis-exporter
07:27:17 Pod rfr-test-cluster-2 2389:	Stopping container redis
07:27:17 Pod rfr-test-cluster-2 2389:	Stopping container redis-exporter
07:27:18 Pod rfr-test-cluster-2 2903:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:27:19 Pod rfr-test-cluster-2 2906:	Container image "redis:6.2.6-alpine" already present on machine
07:27:19 Pod rfr-test-cluster-2 2906:	Created container redis
07:27:19 Pod rfr-test-cluster-2 2906:	Started container redis
07:27:19 Pod rfr-test-cluster-2 2906:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:20 Pod rfr-test-cluster-2 2906:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 174.647172ms
07:27:20 Pod rfr-test-cluster-2 2906:	Created container redis-exporter
07:27:22 Pod rfr-test-cluster-2 2906:	Started container redis-exporter
07:31:16 Pod rfr-test-cluster-2 2906:	Stopping container redis
07:31:16 Pod rfr-test-cluster-2 2906:	Stopping container redis-exporter
07:31:17 Pod rfr-test-cluster-2 3413:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:31:18 Pod rfr-test-cluster-2 3415:	Container image "redis:6.2.6-alpine" already present on machine
07:31:18 Pod rfr-test-cluster-2 3415:	Created container redis
07:31:18 Pod rfr-test-cluster-2 3415:	Started container redis
07:31:18 Pod rfr-test-cluster-2 3415:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:31:18 Pod rfr-test-cluster-2 3415:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.768504ms
07:31:18 Pod rfr-test-cluster-2 3415:	Created container redis-exporter
07:31:21 Pod rfr-test-cluster-2 3415:	Started container redis-exporter
07:35:16 Pod rfr-test-cluster-2 3415:	Stopping container redis
07:35:16 Pod rfr-test-cluster-2 3415:	Stopping container redis-exporter
07:35:17 Pod rfr-test-cluster-2 3922:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
07:35:18 Pod rfr-test-cluster-2 3924:	Container image "redis:6.2.6-alpine" already present on machine
07:35:18 Pod rfr-test-cluster-2 3924:	Created container redis
07:35:18 Pod rfr-test-cluster-2 3924:	Started container redis
07:35:18 Pod rfr-test-cluster-2 3924:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:35:18 Pod rfr-test-cluster-2 3924:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 120.09336ms
07:35:18 Pod rfr-test-cluster-2 3924:	Created container redis-exporter
07:35:21 Pod rfr-test-cluster-2 3924:	Started container redis-exporter
07:12:10 PodDisruptionBudget rfr-test-cluster 805:	No matching pods found
07:12:10 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:12:10 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:12:10 StatefulSet rfr-test-cluster 808:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:45:32 Pod rfs-test-cluster-54df69f8df-5dgxd 5231:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5dgxd to acto-cluster-15-worker3
07:45:33 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Container image "redis:6.2.6-alpine" already present on machine
07:45:33 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Created container sentinel-config-copy
07:45:47 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Started container sentinel-config-copy
07:45:48 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Container image "redis:6.2.6-alpine" already present on machine
07:45:48 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Created container sentinel
07:45:48 Pod rfs-test-cluster-54df69f8df-5dgxd 5235:	Started container sentinel
07:12:10 Pod rfs-test-cluster-54df69f8df-9knrn 843:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9knrn to acto-cluster-15-worker3
07:12:12 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Container image "redis:6.2.6-alpine" already present on machine
07:12:12 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Created container sentinel-config-copy
07:12:26 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Started container sentinel-config-copy
07:12:28 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Container image "redis:6.2.6-alpine" already present on machine
07:12:28 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Created container sentinel
07:12:28 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Started container sentinel
07:41:09 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Stopping container sentinel
07:41:10 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:41:10 Pod rfs-test-cluster-54df69f8df-9knrn 848:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:12:10 Pod rfs-test-cluster-54df69f8df-drclk 839:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-drclk to acto-cluster-15-worker
07:12:12 Pod rfs-test-cluster-54df69f8df-drclk 840:	Container image "redis:6.2.6-alpine" already present on machine
07:12:12 Pod rfs-test-cluster-54df69f8df-drclk 840:	Created container sentinel-config-copy
07:12:28 Pod rfs-test-cluster-54df69f8df-drclk 840:	Started container sentinel-config-copy
07:12:30 Pod rfs-test-cluster-54df69f8df-drclk 840:	Container image "redis:6.2.6-alpine" already present on machine
07:12:30 Pod rfs-test-cluster-54df69f8df-drclk 840:	Created container sentinel
07:12:30 Pod rfs-test-cluster-54df69f8df-drclk 840:	Started container sentinel
07:41:59 Pod rfs-test-cluster-54df69f8df-drclk 840:	Stopping container sentinel
07:42:00 Pod rfs-test-cluster-54df69f8df-drclk 840:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:42:00 Pod rfs-test-cluster-54df69f8df-drclk 840:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:43:52 Pod rfs-test-cluster-54df69f8df-g6x24 4991:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-g6x24 to acto-cluster-15-worker3
07:43:53 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Container image "redis:6.2.6-alpine" already present on machine
07:43:53 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Created container sentinel-config-copy
07:44:04 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Started container sentinel-config-copy
07:44:06 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Container image "redis:6.2.6-alpine" already present on machine
07:44:06 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Created container sentinel
07:44:06 Pod rfs-test-cluster-54df69f8df-g6x24 4992:	Started container sentinel
07:44:42 Pod rfs-test-cluster-54df69f8df-hb2fv 5107:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hb2fv to acto-cluster-15-worker2
07:44:43 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Container image "redis:6.2.6-alpine" already present on machine
07:44:43 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Created container sentinel-config-copy
07:44:56 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Started container sentinel-config-copy
07:44:58 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Container image "redis:6.2.6-alpine" already present on machine
07:44:58 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Created container sentinel
07:44:58 Pod rfs-test-cluster-54df69f8df-hb2fv 5110:	Started container sentinel
07:12:10 Pod rfs-test-cluster-54df69f8df-hmnts 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hmnts to acto-cluster-15-worker2
07:12:12 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Container image "redis:6.2.6-alpine" already present on machine
07:12:13 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Created container sentinel-config-copy
07:12:25 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Started container sentinel-config-copy
07:12:27 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Container image "redis:6.2.6-alpine" already present on machine
07:12:27 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Created container sentinel
07:12:27 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Started container sentinel
07:42:50 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Stopping container sentinel
07:42:50 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:42:50 Pod rfs-test-cluster-54df69f8df-hmnts 849:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:12:10 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-drclk
07:12:10 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-9knrn
07:12:10 ReplicaSet rfs-test-cluster-54df69f8df 836:	Created pod: rfs-test-cluster-54df69f8df-hmnts
07:41:09 ReplicaSet rfs-test-cluster-54df69f8df 4601:	Deleted pod: rfs-test-cluster-54df69f8df-9knrn
07:41:59 ReplicaSet rfs-test-cluster-54df69f8df 4734:	Deleted pod: rfs-test-cluster-54df69f8df-drclk
07:42:50 ReplicaSet rfs-test-cluster-54df69f8df 4865:	Deleted pod: rfs-test-cluster-54df69f8df-hmnts
07:43:52 ReplicaSet rfs-test-cluster-54df69f8df 4989:	Created pod: rfs-test-cluster-54df69f8df-g6x24
07:44:42 ReplicaSet rfs-test-cluster-54df69f8df 5105:	Created pod: rfs-test-cluster-54df69f8df-hb2fv
