08:20:18 Pod redisoperator-56c8dfdfb-mw22j 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-mw22j to acto-cluster-13-worker3
08:20:24 Pod rfr-test-cluster-0 832:	Started container redis-exporter
08:20:51 Pod rfr-test-cluster-0 832:	Readiness probe failed: 
08:24:23 Pod rfr-test-cluster-0 832:	Stopping container redis
08:24:23 Pod rfr-test-cluster-0 832:	Stopping container redis-exporter
08:33:25 Pod rfr-test-cluster-0 2356:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker2
08:33:25 Pod rfr-test-cluster-0 2359:	Container image "redis:6.2.6-alpine" already present on machine
08:33:25 Pod rfr-test-cluster-0 2359:	Created container redis
08:33:26 Pod rfr-test-cluster-0 2359:	Started container redis
08:33:26 Pod rfr-test-cluster-0 2359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:33:26 Pod rfr-test-cluster-0 2359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.939292ms
08:33:26 Pod rfr-test-cluster-0 2359:	Created container redis-exporter
08:33:28 Pod rfr-test-cluster-0 2359:	Started container redis-exporter
08:34:05 Pod rfr-test-cluster-0 2359:	Readiness probe failed: 
08:20:21 Pod rfr-test-cluster-1 830:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
08:20:21 Pod rfr-test-cluster-1 835:	Container image "redis:6.2.6-alpine" already present on machine
08:20:21 Pod rfr-test-cluster-1 835:	Created container redis
08:20:21 Pod rfr-test-cluster-1 835:	Started container redis
08:20:21 Pod rfr-test-cluster-1 835:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:22 Pod rfr-test-cluster-1 835:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 260.707354ms
08:20:22 Pod rfr-test-cluster-1 835:	Created container redis-exporter
08:20:24 Pod rfr-test-cluster-1 835:	Started container redis-exporter
08:20:51 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
08:23:25 Pod rfr-test-cluster-1 835:	Stopping container redis
08:23:25 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
08:33:25 Pod rfr-test-cluster-1 2357:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker3
08:33:25 Pod rfr-test-cluster-1 2361:	Container image "redis:6.2.6-alpine" already present on machine
08:33:25 Pod rfr-test-cluster-1 2361:	Created container redis
08:33:26 Pod rfr-test-cluster-1 2361:	Started container redis
08:33:26 Pod rfr-test-cluster-1 2361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:33:26 Pod rfr-test-cluster-1 2361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 183.651816ms
08:33:26 Pod rfr-test-cluster-1 2361:	Created container redis-exporter
08:33:28 Pod rfr-test-cluster-1 2361:	Started container redis-exporter
08:34:05 Pod rfr-test-cluster-1 2361:	Readiness probe failed: 
08:20:21 Pod rfr-test-cluster-2 837:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
08:20:21 Pod rfr-test-cluster-2 839:	Container image "redis:6.2.6-alpine" already present on machine
08:20:21 Pod rfr-test-cluster-2 839:	Created container redis
08:20:21 Pod rfr-test-cluster-2 839:	Started container redis
08:20:21 Pod rfr-test-cluster-2 839:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:22 Pod rfr-test-cluster-2 839:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 262.536008ms
08:20:22 Pod rfr-test-cluster-2 839:	Created container redis-exporter
08:20:24 Pod rfr-test-cluster-2 839:	Started container redis-exporter
08:20:51 Pod rfr-test-cluster-2 839:	Readiness probe failed: 
08:23:52 Pod rfr-test-cluster-2 839:	Stopping container redis
08:23:52 Pod rfr-test-cluster-2 839:	Stopping container redis-exporter
08:33:25 Pod rfr-test-cluster-2 2365:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker
08:33:25 Pod rfr-test-cluster-2 2368:	Container image "redis:6.2.6-alpine" already present on machine
08:33:25 Pod rfr-test-cluster-2 2368:	Created container redis
08:33:26 Pod rfr-test-cluster-2 2368:	Started container redis
08:33:26 Pod rfr-test-cluster-2 2368:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:33:26 Pod rfr-test-cluster-2 2368:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 136.512586ms
08:33:26 Pod rfr-test-cluster-2 2368:	Created container redis-exporter
08:33:28 Pod rfr-test-cluster-2 2368:	Started container redis-exporter
08:34:05 Pod rfr-test-cluster-2 2368:	Readiness probe failed: 
08:20:20 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
08:20:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:20:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:20:21 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:23:26 StatefulSet rfr-test-cluster 1343:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
08:24:25 StatefulSet rfr-test-cluster 1343:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
08:20:21 Pod rfs-test-cluster-54df69f8df-5hfqb 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5hfqb to acto-cluster-13-worker3
08:20:21 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Container image "redis:6.2.6-alpine" already present on machine
08:20:22 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Created container sentinel-config-copy
08:20:36 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Started container sentinel-config-copy
08:20:37 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Container image "redis:6.2.6-alpine" already present on machine
08:20:37 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Created container sentinel
08:20:37 Pod rfs-test-cluster-54df69f8df-5hfqb 866:	Started container sentinel
08:20:21 Pod rfs-test-cluster-54df69f8df-5tfvs 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5tfvs to acto-cluster-13-worker
08:20:21 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Container image "redis:6.2.6-alpine" already present on machine
08:20:21 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Created container sentinel-config-copy
08:20:32 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Started container sentinel-config-copy
08:20:34 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Container image "redis:6.2.6-alpine" already present on machine
08:20:34 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Created container sentinel
08:20:34 Pod rfs-test-cluster-54df69f8df-5tfvs 861:	Started container sentinel
08:20:21 Pod rfs-test-cluster-54df69f8df-nd84j 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nd84j to acto-cluster-13-worker2
08:20:21 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Container image "redis:6.2.6-alpine" already present on machine
08:20:22 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Created container sentinel-config-copy
08:20:35 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Started container sentinel-config-copy
08:20:37 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Container image "redis:6.2.6-alpine" already present on machine
08:20:37 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Created container sentinel
08:20:37 Pod rfs-test-cluster-54df69f8df-nd84j 863:	Started container sentinel
08:20:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-5tfvs
08:20:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-nd84j
08:20:21 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-5hfqb
08:20:21 PodDisruptionBudget rfs-test-cluster 847:	No matching pods found
08:20:21 Deployment rfs-test-cluster 850:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:21:11 Endpoints rfs-test-cluster 981:	Failed to update endpoint acto-namespace/rfs-test-cluster: Operation cannot be fulfilled on endpoints "rfs-test-cluster": the object has been modified; please apply your changes to the latest version and try again
