06:56:53 Pod redisoperator-56c8dfdfb-g546l 788:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-g546l to acto-cluster-7-worker
07:14:03 Pod rfr-test-cluster-0 3148:	Stopping container redis
07:14:03 Pod rfr-test-cluster-0 3148:	Stopping container redis-exporter
07:14:06 Pod rfr-test-cluster-0 3284:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:14:07 Pod rfr-test-cluster-0 3285:	Container image "redis:6.2.6-alpine" already present on machine
07:14:07 Pod rfr-test-cluster-0 3285:	Created container redis
07:14:07 Pod rfr-test-cluster-0 3285:	Started container redis
07:14:07 Pod rfr-test-cluster-0 3285:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:14:08 Pod rfr-test-cluster-0 3285:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.229246ms
07:14:08 Pod rfr-test-cluster-0 3285:	Created container redis-exporter
07:14:11 Pod rfr-test-cluster-0 3285:	Started container redis-exporter
07:15:06 Pod rfr-test-cluster-0 3285:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:15:06 Pod rfr-test-cluster-0 3285:	Stopping container redis
07:15:06 Pod rfr-test-cluster-0 3285:	Stopping container redis-exporter
07:15:07 Pod rfr-test-cluster-0 3514:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
07:15:07 Pod rfr-test-cluster-0 3516:	Container image "redis:6.2.6-alpine" already present on machine
07:15:07 Pod rfr-test-cluster-0 3516:	Created container redis
07:15:08 Pod rfr-test-cluster-0 3516:	Started container redis
07:15:08 Pod rfr-test-cluster-0 3516:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:08 Pod rfr-test-cluster-0 3516:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 100.416406ms
07:15:08 Pod rfr-test-cluster-0 3516:	Created container redis-exporter
07:15:10 Pod rfr-test-cluster-0 3516:	Started container redis-exporter
06:56:55 Pod rfr-test-cluster-1 822:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
06:56:56 Pod rfr-test-cluster-1 827:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfr-test-cluster-1 827:	Created container redis
06:56:56 Pod rfr-test-cluster-1 827:	Started container redis
06:56:56 Pod rfr-test-cluster-1 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:56:56 Pod rfr-test-cluster-1 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 260.853506ms
06:56:57 Pod rfr-test-cluster-1 827:	Created container redis-exporter
06:56:59 Pod rfr-test-cluster-1 827:	Started container redis-exporter
06:57:35 Pod rfr-test-cluster-1 827:	Readiness probe failed: 
06:59:58 Pod rfr-test-cluster-1 827:	Stopping container redis
06:59:58 Pod rfr-test-cluster-1 827:	Stopping container redis-exporter
07:00:00 Pod rfr-test-cluster-1 1342:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:00:00 Pod rfr-test-cluster-1 1344:	Container image "redis:6.2.6-alpine" already present on machine
07:00:00 Pod rfr-test-cluster-1 1344:	Created container redis
07:00:00 Pod rfr-test-cluster-1 1344:	Started container redis
07:00:00 Pod rfr-test-cluster-1 1344:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:01 Pod rfr-test-cluster-1 1344:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 223.360629ms
07:00:01 Pod rfr-test-cluster-1 1344:	Created container redis-exporter
07:00:03 Pod rfr-test-cluster-1 1344:	Started container redis-exporter
07:05:28 Pod rfr-test-cluster-1 1344:	Stopping container redis
07:05:28 Pod rfr-test-cluster-1 1344:	Stopping container redis-exporter
07:05:30 Pod rfr-test-cluster-1 2051:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:05:30 Pod rfr-test-cluster-1 2052:	Container image "redis:6.2.6-alpine" already present on machine
07:05:30 Pod rfr-test-cluster-1 2052:	Created container redis
07:05:30 Pod rfr-test-cluster-1 2052:	Started container redis
07:05:30 Pod rfr-test-cluster-1 2052:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:05:31 Pod rfr-test-cluster-1 2052:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 212.184267ms
07:05:31 Pod rfr-test-cluster-1 2052:	Created container redis-exporter
07:05:33 Pod rfr-test-cluster-1 2052:	Started container redis-exporter
07:06:00 Pod rfr-test-cluster-1 2052:	Readiness probe failed: 
07:08:57 Pod rfr-test-cluster-1 2052:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:08:58 Pod rfr-test-cluster-1 2544:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:08:58 Pod rfr-test-cluster-1 2545:	Container image "redis:6.2.6-alpine" already present on machine
07:08:58 Pod rfr-test-cluster-1 2545:	Created container redis
07:08:58 Pod rfr-test-cluster-1 2545:	Started container redis
07:08:58 Pod rfr-test-cluster-1 2545:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:08:59 Pod rfr-test-cluster-1 2545:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.895737ms
07:08:59 Pod rfr-test-cluster-1 2545:	Created container redis-exporter
07:09:01 Pod rfr-test-cluster-1 2545:	Started container redis-exporter
07:09:58 Pod rfr-test-cluster-1 2545:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:09:58 Pod rfr-test-cluster-1 2545:	Stopping container redis
07:09:58 Pod rfr-test-cluster-1 2545:	Stopping container redis-exporter
07:09:59 Pod rfr-test-cluster-1 2701:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:09:59 Pod rfr-test-cluster-1 2705:	Container image "redis:6.2.6-alpine" already present on machine
07:09:59 Pod rfr-test-cluster-1 2705:	Created container redis
07:10:00 Pod rfr-test-cluster-1 2705:	Started container redis
07:10:00 Pod rfr-test-cluster-1 2705:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:10:00 Pod rfr-test-cluster-1 2705:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.430075ms
07:10:00 Pod rfr-test-cluster-1 2705:	Created container redis-exporter
07:10:02 Pod rfr-test-cluster-1 2705:	Started container redis-exporter
07:10:39 Pod rfr-test-cluster-1 2705:	Readiness probe failed: 
07:14:09 Pod rfr-test-cluster-1 2705:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:14:09 Pod rfr-test-cluster-1 2705:	Stopping container redis
07:14:09 Pod rfr-test-cluster-1 2705:	Stopping container redis-exporter
07:14:11 Pod rfr-test-cluster-1 3318:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:14:12 Pod rfr-test-cluster-1 3321:	Container image "redis:6.2.6-alpine" already present on machine
07:14:12 Pod rfr-test-cluster-1 3321:	Created container redis
07:14:12 Pod rfr-test-cluster-1 3321:	Started container redis
07:14:12 Pod rfr-test-cluster-1 3321:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:14:12 Pod rfr-test-cluster-1 3321:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 128.759025ms
07:14:12 Pod rfr-test-cluster-1 3321:	Created container redis-exporter
07:14:15 Pod rfr-test-cluster-1 3321:	Started container redis-exporter
07:15:00 Pod rfr-test-cluster-1 3321:	Stopping container redis
07:15:00 Pod rfr-test-cluster-1 3321:	Stopping container redis-exporter
07:15:01 Pod rfr-test-cluster-1 3479:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker
07:15:01 Pod rfr-test-cluster-1 3482:	Container image "redis:6.2.6-alpine" already present on machine
07:15:01 Pod rfr-test-cluster-1 3482:	Created container redis
07:15:01 Pod rfr-test-cluster-1 3482:	Started container redis
07:15:01 Pod rfr-test-cluster-1 3482:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:02 Pod rfr-test-cluster-1 3482:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 274.660225ms
07:15:02 Pod rfr-test-cluster-1 3482:	Created container redis-exporter
07:15:04 Pod rfr-test-cluster-1 3482:	Started container redis-exporter
06:56:55 Pod rfr-test-cluster-2 829:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
06:56:56 Pod rfr-test-cluster-2 833:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfr-test-cluster-2 833:	Created container redis
06:56:56 Pod rfr-test-cluster-2 833:	Started container redis
06:56:56 Pod rfr-test-cluster-2 833:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:56:57 Pod rfr-test-cluster-2 833:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 243.327358ms
06:56:57 Pod rfr-test-cluster-2 833:	Created container redis-exporter
06:56:59 Pod rfr-test-cluster-2 833:	Started container redis-exporter
06:57:35 Pod rfr-test-cluster-2 833:	Readiness probe failed: 
06:59:59 Pod rfr-test-cluster-2 833:	Stopping container redis
06:59:59 Pod rfr-test-cluster-2 833:	Stopping container redis-exporter
07:00:01 Pod rfr-test-cluster-2 1366:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:00:02 Pod rfr-test-cluster-2 1368:	Container image "redis:6.2.6-alpine" already present on machine
07:00:02 Pod rfr-test-cluster-2 1368:	Created container redis
07:00:02 Pod rfr-test-cluster-2 1368:	Started container redis
07:00:02 Pod rfr-test-cluster-2 1368:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:00:02 Pod rfr-test-cluster-2 1368:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.471335ms
07:00:02 Pod rfr-test-cluster-2 1368:	Created container redis-exporter
07:00:05 Pod rfr-test-cluster-2 1368:	Started container redis-exporter
07:04:58 Pod rfr-test-cluster-2 1368:	Stopping container redis
07:04:58 Pod rfr-test-cluster-2 1368:	Stopping container redis-exporter
07:04:59 Pod rfr-test-cluster-2 1968:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:05:00 Pod rfr-test-cluster-2 1969:	Container image "redis:6.2.6-alpine" already present on machine
07:05:00 Pod rfr-test-cluster-2 1969:	Created container redis
07:05:00 Pod rfr-test-cluster-2 1969:	Started container redis
07:05:00 Pod rfr-test-cluster-2 1969:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:05:00 Pod rfr-test-cluster-2 1969:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.838313ms
07:05:00 Pod rfr-test-cluster-2 1969:	Created container redis-exporter
07:05:03 Pod rfr-test-cluster-2 1969:	Started container redis-exporter
07:06:03 Pod rfr-test-cluster-2 1969:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:06:03 Pod rfr-test-cluster-2 1969:	Stopping container redis
07:06:03 Pod rfr-test-cluster-2 1969:	Stopping container redis-exporter
07:06:06 Pod rfr-test-cluster-2 2151:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:06:07 Pod rfr-test-cluster-2 2154:	Container image "redis:6.2.6-alpine" already present on machine
07:06:07 Pod rfr-test-cluster-2 2154:	Created container redis
07:06:07 Pod rfr-test-cluster-2 2154:	Started container redis
07:06:07 Pod rfr-test-cluster-2 2154:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:06:07 Pod rfr-test-cluster-2 2154:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 107.192589ms
07:06:07 Pod rfr-test-cluster-2 2154:	Created container redis-exporter
07:06:10 Pod rfr-test-cluster-2 2154:	Started container redis-exporter
07:06:46 Pod rfr-test-cluster-2 2154:	Readiness probe failed: 
07:09:57 Pod rfr-test-cluster-2 2154:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:09:57 Pod rfr-test-cluster-2 2154:	Stopping container redis
07:09:57 Pod rfr-test-cluster-2 2154:	Stopping container redis-exporter
07:09:59 Pod rfr-test-cluster-2 2681:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:09:59 Pod rfr-test-cluster-2 2682:	Container image "redis:6.2.6-alpine" already present on machine
07:09:59 Pod rfr-test-cluster-2 2682:	Created container redis
07:09:59 Pod rfr-test-cluster-2 2682:	Started container redis
07:09:59 Pod rfr-test-cluster-2 2682:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:10:00 Pod rfr-test-cluster-2 2682:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 252.12921ms
07:10:00 Pod rfr-test-cluster-2 2682:	Created container redis-exporter
07:10:02 Pod rfr-test-cluster-2 2682:	Started container redis-exporter
07:10:29 Pod rfr-test-cluster-2 2682:	Readiness probe failed: 
07:12:28 Pod rfr-test-cluster-2 2682:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:12:28 Pod rfr-test-cluster-2 2682:	Stopping container redis
07:12:28 Pod rfr-test-cluster-2 2682:	Stopping container redis-exporter
07:12:29 Pod rfr-test-cluster-2 3061:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:12:30 Pod rfr-test-cluster-2 3062:	Container image "redis:6.2.6-alpine" already present on machine
07:12:30 Pod rfr-test-cluster-2 3062:	Created container redis
07:12:30 Pod rfr-test-cluster-2 3062:	Started container redis
07:12:30 Pod rfr-test-cluster-2 3062:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:12:30 Pod rfr-test-cluster-2 3062:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 108.006625ms
07:12:30 Pod rfr-test-cluster-2 3062:	Created container redis-exporter
07:12:32 Pod rfr-test-cluster-2 3062:	Started container redis-exporter
07:14:42 Pod rfr-test-cluster-2 3062:	Usage of EmptyDir volume "redis-data" exceeds the limit "5". 
07:14:42 Pod rfr-test-cluster-2 3062:	Stopping container redis
07:14:42 Pod rfr-test-cluster-2 3062:	Stopping container redis-exporter
07:14:43 Pod rfr-test-cluster-2 3404:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:14:45 Pod rfr-test-cluster-2 3405:	Container image "redis:6.2.6-alpine" already present on machine
07:14:45 Pod rfr-test-cluster-2 3405:	Created container redis
07:14:46 Pod rfr-test-cluster-2 3405:	Started container redis
07:14:46 Pod rfr-test-cluster-2 3405:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:14:46 Pod rfr-test-cluster-2 3405:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.039123ms
07:14:46 Pod rfr-test-cluster-2 3405:	Created container redis-exporter
07:14:48 Pod rfr-test-cluster-2 3405:	Started container redis-exporter
07:15:28 Pod rfr-test-cluster-2 3405:	Stopping container redis
07:15:28 Pod rfr-test-cluster-2 3405:	Stopping container redis-exporter
07:15:28 Pod rfr-test-cluster-2 3405:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
07:15:30 Pod rfr-test-cluster-2 3591:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker2
07:15:30 Pod rfr-test-cluster-2 3592:	Container image "redis:6.2.6-alpine" already present on machine
07:15:30 Pod rfr-test-cluster-2 3592:	Created container redis
07:15:30 Pod rfr-test-cluster-2 3592:	Started container redis
07:15:30 Pod rfr-test-cluster-2 3592:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:15:30 Pod rfr-test-cluster-2 3592:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 121.899998ms
07:15:30 Pod rfr-test-cluster-2 3592:	Created container redis-exporter
07:15:33 Pod rfr-test-cluster-2 3592:	Started container redis-exporter
07:16:00 Pod rfr-test-cluster-2 3592:	Readiness probe failed: 
06:56:55 PodDisruptionBudget rfr-test-cluster 813:	No matching pods found
06:56:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:56:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:56:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:06:06 StatefulSet rfr-test-cluster 2094:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-2
07:06:06 StatefulSet rfr-test-cluster 2094:	delete Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:06:07 StatefulSet rfr-test-cluster 2155:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-0
07:06:07 StatefulSet rfr-test-cluster 2155:	delete Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:08:58 StatefulSet rfr-test-cluster 2499:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-1
07:08:58 StatefulSet rfr-test-cluster 2499:	delete Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:56:55 Pod rfs-test-cluster-54df69f8df-67tc8 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-67tc8 to acto-cluster-7-worker2
06:56:56 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Created container sentinel-config-copy
06:57:11 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Started container sentinel-config-copy
06:57:15 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Container image "redis:6.2.6-alpine" already present on machine
06:57:15 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Created container sentinel
06:57:16 Pod rfs-test-cluster-54df69f8df-67tc8 857:	Started container sentinel
06:56:55 Pod rfs-test-cluster-54df69f8df-lsbpz 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lsbpz to acto-cluster-7-worker3
06:56:56 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Created container sentinel-config-copy
06:57:14 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Started container sentinel-config-copy
06:57:17 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Container image "redis:6.2.6-alpine" already present on machine
06:57:17 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Created container sentinel
06:57:18 Pod rfs-test-cluster-54df69f8df-lsbpz 852:	Started container sentinel
06:56:55 Pod rfs-test-cluster-54df69f8df-pv8mx 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pv8mx to acto-cluster-7-worker
06:56:56 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Container image "redis:6.2.6-alpine" already present on machine
06:56:56 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Created container sentinel-config-copy
06:57:15 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Started container sentinel-config-copy
06:57:17 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Container image "redis:6.2.6-alpine" already present on machine
06:57:17 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Created container sentinel
06:57:19 Pod rfs-test-cluster-54df69f8df-pv8mx 858:	Started container sentinel
06:56:55 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-lsbpz
06:56:55 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-67tc8
06:56:55 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-pv8mx
06:56:55 PodDisruptionBudget rfs-test-cluster 839:	No matching pods found
06:56:55 Deployment rfs-test-cluster 843:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
