08:10:07 Pod redisoperator-56c8dfdfb-dxnr2 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dxnr2 to acto-cluster-8-worker2
08:23:14 Pod rfr-test-cluster-0 2342:	Started container redis
08:23:14 Pod rfr-test-cluster-0 2342:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:23:14 Pod rfr-test-cluster-0 2342:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.187685ms
08:23:14 Pod rfr-test-cluster-0 2342:	Created container redis-exporter
08:23:18 Pod rfr-test-cluster-0 2342:	Started container redis-exporter
08:23:53 Pod rfr-test-cluster-0 2342:	Readiness probe failed: 
08:10:09 Pod rfr-test-cluster-1 834:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker2
08:10:10 Pod rfr-test-cluster-1 840:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfr-test-cluster-1 840:	Created container redis
08:10:10 Pod rfr-test-cluster-1 840:	Started container redis
08:10:10 Pod rfr-test-cluster-1 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:10:11 Pod rfr-test-cluster-1 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 326.954009ms
08:10:11 Pod rfr-test-cluster-1 840:	Created container redis-exporter
08:10:14 Pod rfr-test-cluster-1 840:	Started container redis-exporter
08:10:49 Pod rfr-test-cluster-1 840:	Readiness probe failed: 
08:13:12 Pod rfr-test-cluster-1 840:	Stopping container redis
08:13:12 Pod rfr-test-cluster-1 840:	Stopping container redis-exporter
08:23:13 Pod rfr-test-cluster-1 2341:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker2
08:23:14 Pod rfr-test-cluster-1 2345:	Container image "redis:6.2.6-alpine" already present on machine
08:23:14 Pod rfr-test-cluster-1 2345:	Created container redis
08:23:14 Pod rfr-test-cluster-1 2345:	Started container redis
08:23:14 Pod rfr-test-cluster-1 2345:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:23:14 Pod rfr-test-cluster-1 2345:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.280432ms
08:23:14 Pod rfr-test-cluster-1 2345:	Created container redis-exporter
08:23:18 Pod rfr-test-cluster-1 2345:	Started container redis-exporter
08:23:53 Pod rfr-test-cluster-1 2345:	Readiness probe failed: 
08:10:09 Pod rfr-test-cluster-2 838:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker3
08:10:10 Pod rfr-test-cluster-2 842:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfr-test-cluster-2 842:	Created container redis
08:10:10 Pod rfr-test-cluster-2 842:	Started container redis
08:10:10 Pod rfr-test-cluster-2 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:10:11 Pod rfr-test-cluster-2 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 350.952668ms
08:10:11 Pod rfr-test-cluster-2 842:	Created container redis-exporter
08:10:14 Pod rfr-test-cluster-2 842:	Started container redis-exporter
08:10:49 Pod rfr-test-cluster-2 842:	Readiness probe failed: 
08:13:13 Pod rfr-test-cluster-2 842:	Stopping container redis
08:13:13 Pod rfr-test-cluster-2 842:	Stopping container redis-exporter
08:23:13 Pod rfr-test-cluster-2 2346:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker
08:23:14 Pod rfr-test-cluster-2 2351:	Container image "redis:6.2.6-alpine" already present on machine
08:23:14 Pod rfr-test-cluster-2 2351:	Created container redis
08:23:14 Pod rfr-test-cluster-2 2351:	Started container redis
08:23:14 Pod rfr-test-cluster-2 2351:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:23:14 Pod rfr-test-cluster-2 2351:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 174.684874ms
08:23:15 Pod rfr-test-cluster-2 2351:	Created container redis-exporter
08:23:18 Pod rfr-test-cluster-2 2351:	Started container redis-exporter
08:23:53 Pod rfr-test-cluster-2 2351:	Readiness probe failed: 
08:10:09 PodDisruptionBudget rfr-test-cluster 823:	No matching pods found
08:10:09 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:10:09 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:10:09 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:13:12 StatefulSet rfr-test-cluster 1330:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.configMapKeyRef.key: Required value]
08:13:43 StatefulSet rfr-test-cluster 1330:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.configMapKeyRef.key: Required value]
08:10:09 Pod rfs-test-cluster-54df69f8df-fkcg5 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fkcg5 to acto-cluster-8-worker
08:10:10 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Created container sentinel-config-copy
08:10:25 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Started container sentinel-config-copy
08:10:26 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Container image "redis:6.2.6-alpine" already present on machine
08:10:26 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Created container sentinel
08:10:26 Pod rfs-test-cluster-54df69f8df-fkcg5 868:	Started container sentinel
08:10:09 Pod rfs-test-cluster-54df69f8df-ks9q7 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ks9q7 to acto-cluster-8-worker3
08:10:10 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Created container sentinel-config-copy
08:10:24 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Started container sentinel-config-copy
08:10:26 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Container image "redis:6.2.6-alpine" already present on machine
08:10:26 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Created container sentinel
08:10:26 Pod rfs-test-cluster-54df69f8df-ks9q7 867:	Started container sentinel
08:10:09 Pod rfs-test-cluster-54df69f8df-xswjj 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-xswjj to acto-cluster-8-worker2
08:10:10 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Container image "redis:6.2.6-alpine" already present on machine
08:10:10 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Created container sentinel-config-copy
08:10:26 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Started container sentinel-config-copy
08:10:28 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Container image "redis:6.2.6-alpine" already present on machine
08:10:28 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Created container sentinel
08:10:28 Pod rfs-test-cluster-54df69f8df-xswjj 861:	Started container sentinel
08:10:09 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-xswjj
08:10:09 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-ks9q7
08:10:09 ReplicaSet rfs-test-cluster-54df69f8df 855:	Created pod: rfs-test-cluster-54df69f8df-fkcg5
08:10:09 PodDisruptionBudget rfs-test-cluster 850:	No matching pods found
08:10:09 Deployment rfs-test-cluster 854:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
