07:49:27 Pod redisoperator-56c8dfdfb-lrxfh 811:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lrxfh to acto-cluster-14-worker2
08:00:26 Pod rfs-test-cluster-54df69f8df-z64mh 884:	Stopping container sentinel
07:49:32 ReplicaSet rfs-test-cluster-54df69f8df 871:	Created pod: rfs-test-cluster-54df69f8df-8zhzn
07:49:32 ReplicaSet rfs-test-cluster-54df69f8df 871:	Created pod: rfs-test-cluster-54df69f8df-z64mh
07:49:32 ReplicaSet rfs-test-cluster-54df69f8df 871:	Created pod: rfs-test-cluster-54df69f8df-xp4gt
07:59:36 ReplicaSet rfs-test-cluster-54df69f8df 2030:	Deleted pod: rfs-test-cluster-54df69f8df-8zhzn
08:00:26 ReplicaSet rfs-test-cluster-54df69f8df 2154:	Deleted pod: rfs-test-cluster-54df69f8df-z64mh
08:01:16 ReplicaSet rfs-test-cluster-54df69f8df 2277:	Deleted pod: rfs-test-cluster-54df69f8df-xp4gt
08:02:22 ReplicaSet rfs-test-cluster-54df69f8df 2406:	Created pod: rfs-test-cluster-54df69f8df-mp8gm
08:03:14 ReplicaSet rfs-test-cluster-54df69f8df 2528:	Created pod: rfs-test-cluster-54df69f8df-ltmjb
08:04:04 ReplicaSet rfs-test-cluster-54df69f8df 2656:	Created pod: rfs-test-cluster-54df69f8df-c4smt
07:58:46 Pod rfs-test-cluster-6d54f84994-99q95 1922:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-99q95 to acto-cluster-14-worker2
07:58:46 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Container image "redis:6.2.6-alpine" already present on machine
07:58:46 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Created container sentinel-config-copy
07:59:00 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Started container sentinel-config-copy
07:59:02 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Container image "redis:6.2.6-alpine" already present on machine
07:59:02 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Created container sentinel
07:59:02 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Started container sentinel
08:03:14 Pod rfs-test-cluster-6d54f84994-99q95 1925:	Stopping container sentinel
08:00:26 Pod rfs-test-cluster-6d54f84994-jw5hk 2167:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-jw5hk to acto-cluster-14-worker3
08:00:27 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Container image "redis:6.2.6-alpine" already present on machine
08:00:27 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Created container sentinel-config-copy
08:00:38 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Started container sentinel-config-copy
08:00:41 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Container image "redis:6.2.6-alpine" already present on machine
08:00:41 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Created container sentinel
08:00:41 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Started container sentinel
08:04:54 Pod rfs-test-cluster-6d54f84994-jw5hk 2169:	Stopping container sentinel
07:59:36 Pod rfs-test-cluster-6d54f84994-k8bgf 2042:	Successfully assigned acto-namespace/rfs-test-cluster-6d54f84994-k8bgf to acto-cluster-14-worker
07:59:38 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Container image "redis:6.2.6-alpine" already present on machine
07:59:38 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Created container sentinel-config-copy
07:59:51 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Started container sentinel-config-copy
07:59:53 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Container image "redis:6.2.6-alpine" already present on machine
07:59:53 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Created container sentinel
07:59:53 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Started container sentinel
08:04:04 Pod rfs-test-cluster-6d54f84994-k8bgf 2046:	Stopping container sentinel
07:58:46 ReplicaSet rfs-test-cluster-6d54f84994 1919:	Created pod: rfs-test-cluster-6d54f84994-99q95
07:59:36 ReplicaSet rfs-test-cluster-6d54f84994 2040:	Created pod: rfs-test-cluster-6d54f84994-k8bgf
08:00:26 ReplicaSet rfs-test-cluster-6d54f84994 2164:	Created pod: rfs-test-cluster-6d54f84994-jw5hk
08:03:14 ReplicaSet rfs-test-cluster-6d54f84994 2518:	Deleted pod: rfs-test-cluster-6d54f84994-99q95
08:04:04 ReplicaSet rfs-test-cluster-6d54f84994 2646:	Deleted pod: rfs-test-cluster-6d54f84994-k8bgf
08:04:54 ReplicaSet rfs-test-cluster-6d54f84994 2772:	Deleted pod: rfs-test-cluster-6d54f84994-jw5hk
07:49:32 PodDisruptionBudget rfs-test-cluster 866:	No matching pods found
07:49:32 Deployment rfs-test-cluster 869:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
07:58:46 Deployment rfs-test-cluster 1918:	Scaled up replica set rfs-test-cluster-6d54f84994 to 1
07:59:36 Deployment rfs-test-cluster 2017:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
07:59:36 Deployment rfs-test-cluster 2032:	Scaled up replica set rfs-test-cluster-6d54f84994 to 2
08:00:26 Deployment rfs-test-cluster 2113:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:00:26 Deployment rfs-test-cluster 2156:	Scaled up replica set rfs-test-cluster-6d54f84994 to 3
08:01:16 Deployment rfs-test-cluster 2253:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
08:02:22 Deployment rfs-test-cluster 2403:	Scaled up replica set rfs-test-cluster-54df69f8df to 1
08:03:14 Deployment rfs-test-cluster 2495:	Scaled down replica set rfs-test-cluster-6d54f84994 to 2
08:03:14 Deployment rfs-test-cluster 2521:	(combined from similar events): Scaled down replica set rfs-test-cluster-6d54f84994 to 0
