00:59:04 Pod redis-operator-54fb85ff56-lv998 816:	Successfully assigned redis-operator/redis-operator-54fb85ff56-lv998 to acto-cluster-1-worker3
00:59:47 Pod test-cluster-follower-1 1095:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
00:59:47 Pod test-cluster-follower-1 1095:	Created container test-cluster-follower
00:59:48 Pod test-cluster-follower-1 1095:	Started container test-cluster-follower
00:59:48 Pod test-cluster-follower-1 1095:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
00:59:48 Pod test-cluster-follower-1 1095:	Created container redis-exporter
00:59:50 Pod test-cluster-follower-1 1095:	Started container redis-exporter
01:02:30 Pod test-cluster-follower-1 1095:	Stopping container test-cluster-follower
01:02:30 Pod test-cluster-follower-1 1095:	Stopping container redis-exporter
01:03:01 Pod test-cluster-follower-1 1828:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker2
01:03:02 Pod test-cluster-follower-1 1829:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:03:02 Pod test-cluster-follower-1 1829:	Created container test-cluster-follower
01:03:03 Pod test-cluster-follower-1 1829:	Started container test-cluster-follower
01:03:03 Pod test-cluster-follower-1 1829:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:03:03 Pod test-cluster-follower-1 1829:	Created container redis-exporter
01:03:04 Pod test-cluster-follower-1 1829:	Started container redis-exporter
01:06:11 Pod test-cluster-follower-1 1829:	Stopping container test-cluster-follower
01:06:11 Pod test-cluster-follower-1 1829:	Stopping container redis-exporter
01:06:42 Pod test-cluster-follower-1 2624:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-1-worker2
01:06:45 Pod test-cluster-follower-1 2625:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:06:45 Pod test-cluster-follower-1 2625:	Created container test-cluster-follower
01:06:46 Pod test-cluster-follower-1 2625:	Started container test-cluster-follower
01:06:46 Pod test-cluster-follower-1 2625:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:06:46 Pod test-cluster-follower-1 2625:	Created container redis-exporter
01:06:47 Pod test-cluster-follower-1 2625:	Started container redis-exporter
01:00:22 Pod test-cluster-follower-2 1205:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker
01:00:23 Pod test-cluster-follower-2 1273:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:00:23 Pod test-cluster-follower-2 1273:	Created container test-cluster-follower
01:00:25 Pod test-cluster-follower-2 1273:	Started container test-cluster-follower
01:00:25 Pod test-cluster-follower-2 1273:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:00:25 Pod test-cluster-follower-2 1273:	Created container redis-exporter
01:00:26 Pod test-cluster-follower-2 1273:	Started container redis-exporter
01:01:28 Pod test-cluster-follower-2 1273:	Stopping container test-cluster-follower
01:01:28 Pod test-cluster-follower-2 1273:	Stopping container redis-exporter
01:01:59 Pod test-cluster-follower-2 1600:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker
01:02:01 Pod test-cluster-follower-2 1601:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:02:01 Pod test-cluster-follower-2 1601:	Created container test-cluster-follower
01:02:02 Pod test-cluster-follower-2 1601:	Started container test-cluster-follower
01:02:02 Pod test-cluster-follower-2 1601:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:02:02 Pod test-cluster-follower-2 1601:	Created container redis-exporter
01:02:04 Pod test-cluster-follower-2 1601:	Started container redis-exporter
01:05:10 Pod test-cluster-follower-2 1601:	Stopping container test-cluster-follower
01:05:10 Pod test-cluster-follower-2 1601:	Stopping container redis-exporter
01:05:41 Pod test-cluster-follower-2 2397:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker
01:05:42 Pod test-cluster-follower-2 2398:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:05:42 Pod test-cluster-follower-2 2398:	Created container test-cluster-follower
01:05:44 Pod test-cluster-follower-2 2398:	Started container test-cluster-follower
01:05:44 Pod test-cluster-follower-2 2398:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:05:44 Pod test-cluster-follower-2 2398:	Created container redis-exporter
01:05:45 Pod test-cluster-follower-2 2398:	Started container redis-exporter
00:59:07 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 865:	waiting for first consumer to be created before binding
00:59:07 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 875:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
00:59:07 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 875:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
00:59:10 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 875:	Successfully provisioned volume pvc-b74b676a-a7a6-4a31-8492-f7d87f248437
00:59:42 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1030:	waiting for first consumer to be created before binding
00:59:42 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1037:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
00:59:42 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1037:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
00:59:46 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1037:	Successfully provisioned volume pvc-c974bd0d-1399-487e-80d2-4ed2b0ff9dce
01:00:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1203:	waiting for first consumer to be created before binding
01:00:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1210:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
01:00:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1210:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
01:00:21 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1210:	Successfully provisioned volume pvc-8924d262-9757-484d-a395-79e82010e577
00:59:07 StatefulSet test-cluster-follower 862:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
00:59:07 StatefulSet test-cluster-follower 862:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
00:59:42 StatefulSet test-cluster-follower 874:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
00:59:42 StatefulSet test-cluster-follower 874:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
01:00:17 StatefulSet test-cluster-follower 1035:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
01:00:17 StatefulSet test-cluster-follower 1035:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
01:01:28 StatefulSet test-cluster-follower 1484:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
01:02:30 StatefulSet test-cluster-follower 1605:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
01:03:31 StatefulSet test-cluster-follower 1835:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
00:59:12 Pod test-cluster-leader-0 842:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker3
00:59:13 Pod test-cluster-leader-0 923:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
00:59:13 Pod test-cluster-leader-0 923:	Created container test-cluster-leader
00:59:14 Pod test-cluster-leader-0 923:	Started container test-cluster-leader
00:59:14 Pod test-cluster-leader-0 923:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
00:59:14 Pod test-cluster-leader-0 923:	Created container redis-exporter
00:59:15 Pod test-cluster-leader-0 923:	Started container redis-exporter
01:03:30 Pod test-cluster-leader-0 923:	Stopping container test-cluster-leader
01:03:30 Pod test-cluster-leader-0 923:	Stopping container redis-exporter
01:04:03 Pod test-cluster-leader-0 2058:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker3
01:04:05 Pod test-cluster-leader-0 2060:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:04:05 Pod test-cluster-leader-0 2060:	Created container test-cluster-leader
01:04:06 Pod test-cluster-leader-0 2060:	Started container test-cluster-leader
01:04:06 Pod test-cluster-leader-0 2060:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:04:06 Pod test-cluster-leader-0 2060:	Created container redis-exporter
01:04:07 Pod test-cluster-leader-0 2060:	Started container redis-exporter
01:07:12 Pod test-cluster-leader-0 2060:	Stopping container test-cluster-leader
01:07:12 Pod test-cluster-leader-0 2060:	Stopping container redis-exporter
01:07:44 Pod test-cluster-leader-0 2850:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker3
01:07:46 Pod test-cluster-leader-0 2852:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:07:46 Pod test-cluster-leader-0 2852:	Created container test-cluster-leader
01:07:47 Pod test-cluster-leader-0 2852:	Started container test-cluster-leader
01:07:47 Pod test-cluster-leader-0 2852:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:07:47 Pod test-cluster-leader-0 2852:	Created container redis-exporter
01:07:48 Pod test-cluster-leader-0 2852:	Started container redis-exporter
00:59:47 Pod test-cluster-leader-1 1051:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker2
00:59:48 Pod test-cluster-leader-1 1103:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
00:59:48 Pod test-cluster-leader-1 1103:	Created container test-cluster-leader
00:59:49 Pod test-cluster-leader-1 1103:	Started container test-cluster-leader
00:59:49 Pod test-cluster-leader-1 1103:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
00:59:49 Pod test-cluster-leader-1 1103:	Created container redis-exporter
00:59:51 Pod test-cluster-leader-1 1103:	Started container redis-exporter
01:02:29 Pod test-cluster-leader-1 1103:	Stopping container test-cluster-leader
01:02:29 Pod test-cluster-leader-1 1103:	Stopping container redis-exporter
01:03:00 Pod test-cluster-leader-1 1809:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker2
01:03:00 Pod test-cluster-leader-1 1811:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:03:00 Pod test-cluster-leader-1 1811:	Created container test-cluster-leader
01:03:02 Pod test-cluster-leader-1 1811:	Started container test-cluster-leader
01:03:02 Pod test-cluster-leader-1 1811:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:03:02 Pod test-cluster-leader-1 1811:	Created container redis-exporter
01:03:03 Pod test-cluster-leader-1 1811:	Started container redis-exporter
01:06:11 Pod test-cluster-leader-1 1811:	Stopping container test-cluster-leader
01:06:11 Pod test-cluster-leader-1 1811:	Stopping container redis-exporter
01:06:42 Pod test-cluster-leader-1 2611:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker2
01:06:44 Pod test-cluster-leader-1 2616:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:06:44 Pod test-cluster-leader-1 2616:	Created container test-cluster-leader
01:06:45 Pod test-cluster-leader-1 2616:	Started container test-cluster-leader
01:06:45 Pod test-cluster-leader-1 2616:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:06:45 Pod test-cluster-leader-1 2616:	Created container redis-exporter
01:06:47 Pod test-cluster-leader-1 2616:	Started container redis-exporter
01:00:23 Pod test-cluster-leader-2 1226:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker
01:00:24 Pod test-cluster-leader-2 1276:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:00:24 Pod test-cluster-leader-2 1276:	Created container test-cluster-leader
01:00:25 Pod test-cluster-leader-2 1276:	Started container test-cluster-leader
01:00:25 Pod test-cluster-leader-2 1276:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:00:25 Pod test-cluster-leader-2 1276:	Created container redis-exporter
01:00:26 Pod test-cluster-leader-2 1276:	Started container redis-exporter
01:01:28 Pod test-cluster-leader-2 1276:	Stopping container test-cluster-leader
01:01:28 Pod test-cluster-leader-2 1276:	Stopping container redis-exporter
01:01:58 Pod test-cluster-leader-2 1579:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker
01:01:59 Pod test-cluster-leader-2 1580:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:01:59 Pod test-cluster-leader-2 1580:	Created container test-cluster-leader
01:02:00 Pod test-cluster-leader-2 1580:	Started container test-cluster-leader
01:02:00 Pod test-cluster-leader-2 1580:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:02:00 Pod test-cluster-leader-2 1580:	Created container redis-exporter
01:02:02 Pod test-cluster-leader-2 1580:	Started container redis-exporter
01:05:09 Pod test-cluster-leader-2 1580:	Stopping container test-cluster-leader
01:05:09 Pod test-cluster-leader-2 1580:	Stopping container redis-exporter
01:05:40 Pod test-cluster-leader-2 2377:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker
01:05:41 Pod test-cluster-leader-2 2378:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
01:05:41 Pod test-cluster-leader-2 2378:	Created container test-cluster-leader
01:05:42 Pod test-cluster-leader-2 2378:	Started container test-cluster-leader
01:05:42 Pod test-cluster-leader-2 2378:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
01:05:42 Pod test-cluster-leader-2 2378:	Created container redis-exporter
01:05:44 Pod test-cluster-leader-2 2378:	Started container redis-exporter
00:59:07 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 840:	waiting for first consumer to be created before binding
00:59:07 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 847:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
00:59:07 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 847:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
00:59:11 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 847:	Successfully provisioned volume pvc-a59aeefb-a6a5-4354-b5ee-c241bfdfbb00
00:59:42 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1045:	waiting for first consumer to be created before binding
00:59:42 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1055:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
00:59:42 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1055:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
00:59:46 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1055:	Successfully provisioned volume pvc-bf04a818-4f4f-4caa-a141-7f7497cb6465
01:00:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1222:	waiting for first consumer to be created before binding
01:00:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1230:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
01:00:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1230:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
01:00:22 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1230:	Successfully provisioned volume pvc-0f951b4a-a667-4fce-b7ad-a84ff2b35fc3
00:59:07 StatefulSet test-cluster-leader 837:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
00:59:07 StatefulSet test-cluster-leader 837:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
00:59:42 StatefulSet test-cluster-leader 845:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
00:59:42 StatefulSet test-cluster-leader 845:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
01:00:18 StatefulSet test-cluster-leader 1054:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
01:00:18 StatefulSet test-cluster-leader 1054:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
01:01:28 StatefulSet test-cluster-leader 1473:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
01:02:29 StatefulSet test-cluster-leader 1583:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
01:03:30 StatefulSet test-cluster-leader 1814:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
