21:55:22 Pod redis-operator-54fb85ff56-r8g9w 842:	Successfully assigned redis-operator/redis-operator-54fb85ff56-r8g9w to acto-cluster-1-worker2
22:10:16 Pod test-cluster-follower-1 3740:	Started container test-cluster-follower
22:10:16 Pod test-cluster-follower-1 3740:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:10:16 Pod test-cluster-follower-1 3740:	Created container redis-exporter
22:10:17 Pod test-cluster-follower-1 3740:	Started container redis-exporter
21:56:40 Pod test-cluster-follower-2 1253:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker3
21:56:41 Pod test-cluster-follower-2 1300:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:56:41 Pod test-cluster-follower-2 1300:	Created container test-cluster-follower
21:56:43 Pod test-cluster-follower-2 1300:	Started container test-cluster-follower
21:56:43 Pod test-cluster-follower-2 1300:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:56:43 Pod test-cluster-follower-2 1300:	Created container redis-exporter
21:56:44 Pod test-cluster-follower-2 1300:	Started container redis-exporter
21:59:50 Pod test-cluster-follower-2 1300:	Stopping container test-cluster-follower
21:59:50 Pod test-cluster-follower-2 1300:	Stopping container redis-exporter
22:00:21 Pod test-cluster-follower-2 1936:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker3
22:00:23 Pod test-cluster-follower-2 1938:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:00:23 Pod test-cluster-follower-2 1938:	Created container test-cluster-follower
22:00:24 Pod test-cluster-follower-2 1938:	Started container test-cluster-follower
22:00:24 Pod test-cluster-follower-2 1938:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:00:24 Pod test-cluster-follower-2 1938:	Created container redis-exporter
22:00:26 Pod test-cluster-follower-2 1938:	Started container redis-exporter
22:08:40 Pod test-cluster-follower-2 1938:	Stopping container test-cluster-follower
22:08:40 Pod test-cluster-follower-2 1938:	Stopping container redis-exporter
22:09:11 Pod test-cluster-follower-2 3494:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-1-worker3
22:09:13 Pod test-cluster-follower-2 3497:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:09:13 Pod test-cluster-follower-2 3497:	Created container test-cluster-follower
22:09:13 Pod test-cluster-follower-2 3497:	Started container test-cluster-follower
22:09:13 Pod test-cluster-follower-2 3497:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:09:13 Pod test-cluster-follower-2 3497:	Created container redis-exporter
22:09:15 Pod test-cluster-follower-2 3497:	Started container redis-exporter
21:55:25 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 894:	waiting for first consumer to be created before binding
21:55:25 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 902:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:55:25 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 902:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
21:55:28 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 902:	Successfully provisioned volume pvc-4754255f-ac20-4b39-8abc-cb056ae37402
21:56:00 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1054:	waiting for first consumer to be created before binding
21:56:00 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1061:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:56:00 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1061:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
21:56:04 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1061:	Successfully provisioned volume pvc-71a6ae18-61d7-4ba1-a3c2-2b7a3ac7bcae
21:56:35 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1250:	waiting for first consumer to be created before binding
21:56:35 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1258:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:56:35 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1258:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
21:56:39 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1258:	Successfully provisioned volume pvc-f26736b4-d545-42ea-a3c2-19515d91a18a
21:55:25 StatefulSet test-cluster-follower 889:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
21:55:25 StatefulSet test-cluster-follower 889:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
21:56:00 StatefulSet test-cluster-follower 901:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
21:56:00 StatefulSet test-cluster-follower 901:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
21:56:35 StatefulSet test-cluster-follower 1060:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
21:56:35 StatefulSet test-cluster-follower 1060:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
21:59:50 StatefulSet test-cluster-follower 1818:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
22:00:51 StatefulSet test-cluster-follower 1940:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
22:01:53 StatefulSet test-cluster-follower 2173:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
21:55:29 Pod test-cluster-leader-0 870:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker2
21:55:30 Pod test-cluster-leader-0 950:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:55:30 Pod test-cluster-leader-0 950:	Created container test-cluster-leader
21:55:31 Pod test-cluster-leader-0 950:	Started container test-cluster-leader
21:55:31 Pod test-cluster-leader-0 950:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:55:31 Pod test-cluster-leader-0 950:	Created container redis-exporter
21:55:33 Pod test-cluster-leader-0 950:	Started container redis-exporter
22:01:52 Pod test-cluster-leader-0 950:	Stopping container test-cluster-leader
22:01:52 Pod test-cluster-leader-0 950:	Stopping container redis-exporter
22:02:23 Pod test-cluster-leader-0 2383:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker2
22:02:24 Pod test-cluster-leader-0 2384:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:02:24 Pod test-cluster-leader-0 2384:	Created container test-cluster-leader
22:02:25 Pod test-cluster-leader-0 2384:	Started container test-cluster-leader
22:02:25 Pod test-cluster-leader-0 2384:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:02:25 Pod test-cluster-leader-0 2384:	Created container redis-exporter
22:02:26 Pod test-cluster-leader-0 2384:	Started container redis-exporter
22:10:43 Pod test-cluster-leader-0 2384:	Stopping container test-cluster-leader
22:10:43 Pod test-cluster-leader-0 2384:	Stopping container redis-exporter
22:11:14 Pod test-cluster-leader-0 3966:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-1-worker2
22:11:16 Pod test-cluster-leader-0 3970:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:11:16 Pod test-cluster-leader-0 3970:	Created container test-cluster-leader
22:11:16 Pod test-cluster-leader-0 3970:	Started container test-cluster-leader
22:11:16 Pod test-cluster-leader-0 3970:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:11:16 Pod test-cluster-leader-0 3970:	Created container redis-exporter
22:11:17 Pod test-cluster-leader-0 3970:	Started container redis-exporter
21:56:04 Pod test-cluster-leader-1 1074:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker
21:56:05 Pod test-cluster-leader-1 1119:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:56:05 Pod test-cluster-leader-1 1119:	Created container test-cluster-leader
21:56:06 Pod test-cluster-leader-1 1119:	Started container test-cluster-leader
21:56:06 Pod test-cluster-leader-1 1119:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:56:06 Pod test-cluster-leader-1 1119:	Created container redis-exporter
21:56:07 Pod test-cluster-leader-1 1119:	Started container redis-exporter
22:00:51 Pod test-cluster-leader-1 1119:	Stopping container test-cluster-leader
22:00:51 Pod test-cluster-leader-1 1119:	Stopping container redis-exporter
22:01:22 Pod test-cluster-leader-1 2152:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker
22:01:22 Pod test-cluster-leader-1 2153:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:01:22 Pod test-cluster-leader-1 2153:	Created container test-cluster-leader
22:01:23 Pod test-cluster-leader-1 2153:	Started container test-cluster-leader
22:01:23 Pod test-cluster-leader-1 2153:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:01:23 Pod test-cluster-leader-1 2153:	Created container redis-exporter
22:01:24 Pod test-cluster-leader-1 2153:	Started container redis-exporter
22:09:42 Pod test-cluster-leader-1 2153:	Stopping container test-cluster-leader
22:09:42 Pod test-cluster-leader-1 2153:	Stopping container redis-exporter
22:10:13 Pod test-cluster-leader-1 3739:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-1-worker
22:10:14 Pod test-cluster-leader-1 3741:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:10:14 Pod test-cluster-leader-1 3741:	Created container test-cluster-leader
22:10:15 Pod test-cluster-leader-1 3741:	Started container test-cluster-leader
22:10:15 Pod test-cluster-leader-1 3741:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:10:15 Pod test-cluster-leader-1 3741:	Created container redis-exporter
22:10:16 Pod test-cluster-leader-1 3741:	Started container redis-exporter
21:56:39 Pod test-cluster-leader-2 1230:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker3
21:56:40 Pod test-cluster-leader-2 1297:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:56:40 Pod test-cluster-leader-2 1297:	Created container test-cluster-leader
21:56:41 Pod test-cluster-leader-2 1297:	Started container test-cluster-leader
21:56:41 Pod test-cluster-leader-2 1297:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:56:41 Pod test-cluster-leader-2 1297:	Created container redis-exporter
21:56:43 Pod test-cluster-leader-2 1297:	Started container redis-exporter
21:59:49 Pod test-cluster-leader-2 1297:	Stopping container test-cluster-leader
21:59:49 Pod test-cluster-leader-2 1297:	Stopping container redis-exporter
22:00:20 Pod test-cluster-leader-2 1919:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker3
22:00:21 Pod test-cluster-leader-2 1921:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:00:21 Pod test-cluster-leader-2 1921:	Created container test-cluster-leader
22:00:23 Pod test-cluster-leader-2 1921:	Started container test-cluster-leader
22:00:23 Pod test-cluster-leader-2 1921:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:00:23 Pod test-cluster-leader-2 1921:	Created container redis-exporter
22:00:25 Pod test-cluster-leader-2 1921:	Started container redis-exporter
22:08:39 Pod test-cluster-leader-2 1921:	Stopping container test-cluster-leader
22:08:39 Pod test-cluster-leader-2 1921:	Stopping container redis-exporter
22:09:11 Pod test-cluster-leader-2 3504:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-1-worker3
22:09:14 Pod test-cluster-leader-2 3505:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:09:14 Pod test-cluster-leader-2 3505:	Created container test-cluster-leader
22:09:15 Pod test-cluster-leader-2 3505:	Started container test-cluster-leader
22:09:15 Pod test-cluster-leader-2 3505:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:09:15 Pod test-cluster-leader-2 3505:	Created container redis-exporter
22:09:16 Pod test-cluster-leader-2 3505:	Started container redis-exporter
21:55:24 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 868:	waiting for first consumer to be created before binding
21:55:24 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 875:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:55:24 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 875:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
21:55:29 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 875:	Successfully provisioned volume pvc-ae5603df-c0b0-4153-a86b-e26998d276dd
21:56:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1071:	waiting for first consumer to be created before binding
21:56:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1078:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:56:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1078:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
21:56:03 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1078:	Successfully provisioned volume pvc-cb2d7c30-790e-472a-8140-c51f9f83b23c
21:56:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1227:	waiting for first consumer to be created before binding
21:56:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:56:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
21:56:38 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	Successfully provisioned volume pvc-5896e773-cd64-4d59-a382-e029ccaf6490
21:55:24 StatefulSet test-cluster-leader 866:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
21:55:24 StatefulSet test-cluster-leader 866:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
21:56:00 StatefulSet test-cluster-leader 874:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
21:56:00 StatefulSet test-cluster-leader 874:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
21:56:34 StatefulSet test-cluster-leader 1077:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
21:56:34 StatefulSet test-cluster-leader 1077:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
21:59:49 StatefulSet test-cluster-leader 1807:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
22:00:51 StatefulSet test-cluster-leader 1923:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
22:01:52 StatefulSet test-cluster-leader 2157:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
