06:35:32 Pod redisoperator-56c8dfdfb-dpsnm 792:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dpsnm to acto-cluster-7-worker3
06:44:34 Pod rfr-test-cluster-0 1682:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:44:34 Pod rfr-test-cluster-0 1682:	Stopping container redis
06:44:35 Pod rfr-test-cluster-0 2168:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:44:36 Pod rfr-test-cluster-0 2171:	Container image "redis:6.2.6-alpine" already present on machine
06:44:36 Pod rfr-test-cluster-0 2171:	Created container redis
06:44:36 Pod rfr-test-cluster-0 2171:	Started container redis
06:44:36 Pod rfr-test-cluster-0 2171:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:44:36 Pod rfr-test-cluster-0 2171:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.596372ms
06:44:36 Pod rfr-test-cluster-0 2171:	Created container redis-exporter
06:44:39 Pod rfr-test-cluster-0 2171:	Started container redis-exporter
06:45:35 Pod rfr-test-cluster-0 2171:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:45:35 Pod rfr-test-cluster-0 2171:	Stopping container redis
06:45:35 Pod rfr-test-cluster-0 2171:	Stopping container redis-exporter
06:45:36 Pod rfr-test-cluster-0 2373:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:45:37 Pod rfr-test-cluster-0 2376:	Container image "redis:6.2.6-alpine" already present on machine
06:45:37 Pod rfr-test-cluster-0 2376:	Created container redis
06:45:37 Pod rfr-test-cluster-0 2376:	Started container redis
06:45:37 Pod rfr-test-cluster-0 2376:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:45:37 Pod rfr-test-cluster-0 2376:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 146.67034ms
06:45:37 Pod rfr-test-cluster-0 2376:	Created container redis-exporter
06:45:40 Pod rfr-test-cluster-0 2376:	Started container redis-exporter
06:46:16 Pod rfr-test-cluster-0 2376:	Readiness probe failed: 
06:48:28 Pod rfr-test-cluster-0 2376:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:48:28 Pod rfr-test-cluster-0 2376:	Stopping container redis
06:48:28 Pod rfr-test-cluster-0 2376:	Stopping container redis-exporter
06:48:29 Pod rfr-test-cluster-0 2778:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:48:29 Pod rfr-test-cluster-0 2779:	Container image "redis:6.2.6-alpine" already present on machine
06:48:29 Pod rfr-test-cluster-0 2779:	Created container redis
06:48:29 Pod rfr-test-cluster-0 2779:	Started container redis
06:48:29 Pod rfr-test-cluster-0 2779:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:48:30 Pod rfr-test-cluster-0 2779:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.003631ms
06:48:30 Pod rfr-test-cluster-0 2779:	Created container redis-exporter
06:48:32 Pod rfr-test-cluster-0 2779:	Started container redis-exporter
06:48:59 Pod rfr-test-cluster-0 2779:	Readiness probe failed: 
06:50:37 Pod rfr-test-cluster-0 2779:	Stopping container redis
06:50:37 Pod rfr-test-cluster-0 2779:	Stopping container redis-exporter
06:50:38 Pod rfr-test-cluster-0 3070:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-7-worker3
06:50:39 Pod rfr-test-cluster-0 3072:	Container image "redis:6.2.6-alpine" already present on machine
06:50:39 Pod rfr-test-cluster-0 3072:	Created container redis
06:50:39 Pod rfr-test-cluster-0 3072:	Started container redis
06:50:39 Pod rfr-test-cluster-0 3072:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:50:39 Pod rfr-test-cluster-0 3072:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 140.302999ms
06:50:39 Pod rfr-test-cluster-0 3072:	Created container redis-exporter
06:50:42 Pod rfr-test-cluster-0 3072:	Started container redis-exporter
06:35:35 Pod rfr-test-cluster-1 827:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:35:35 Pod rfr-test-cluster-1 831:	Container image "redis:6.2.6-alpine" already present on machine
06:35:35 Pod rfr-test-cluster-1 831:	Created container redis
06:35:36 Pod rfr-test-cluster-1 831:	Started container redis
06:35:36 Pod rfr-test-cluster-1 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:35:36 Pod rfr-test-cluster-1 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 270.326608ms
06:35:36 Pod rfr-test-cluster-1 831:	Created container redis-exporter
06:35:39 Pod rfr-test-cluster-1 831:	Started container redis-exporter
06:36:15 Pod rfr-test-cluster-1 831:	Readiness probe failed: 
06:39:39 Pod rfr-test-cluster-1 831:	Stopping container redis
06:39:39 Pod rfr-test-cluster-1 831:	Stopping container redis-exporter
06:39:40 Pod rfr-test-cluster-1 1432:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:39:41 Pod rfr-test-cluster-1 1433:	Container image "redis:6.2.6-alpine" already present on machine
06:39:41 Pod rfr-test-cluster-1 1433:	Created container redis
06:39:41 Pod rfr-test-cluster-1 1433:	Started container redis
06:39:41 Pod rfr-test-cluster-1 1433:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:41 Pod rfr-test-cluster-1 1433:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 183.510871ms
06:39:41 Pod rfr-test-cluster-1 1433:	Created container redis-exporter
06:39:44 Pod rfr-test-cluster-1 1433:	Started container redis-exporter
06:40:34 Pod rfr-test-cluster-1 1433:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:40:34 Pod rfr-test-cluster-1 1433:	Stopping container redis
06:40:34 Pod rfr-test-cluster-1 1433:	Stopping container redis-exporter
06:40:36 Pod rfr-test-cluster-1 1587:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:40:37 Pod rfr-test-cluster-1 1589:	Container image "redis:6.2.6-alpine" already present on machine
06:40:37 Pod rfr-test-cluster-1 1589:	Created container redis
06:40:37 Pod rfr-test-cluster-1 1589:	Started container redis
06:40:37 Pod rfr-test-cluster-1 1589:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:40:37 Pod rfr-test-cluster-1 1589:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.902405ms
06:40:37 Pod rfr-test-cluster-1 1589:	Created container redis-exporter
06:40:39 Pod rfr-test-cluster-1 1589:	Started container redis-exporter
06:41:35 Pod rfr-test-cluster-1 1589:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:41:35 Pod rfr-test-cluster-1 1589:	Stopping container redis
06:41:35 Pod rfr-test-cluster-1 1589:	Stopping container redis-exporter
06:41:37 Pod rfr-test-cluster-1 1766:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:41:38 Pod rfr-test-cluster-1 1773:	Container image "redis:6.2.6-alpine" already present on machine
06:41:38 Pod rfr-test-cluster-1 1773:	Created container redis
06:41:38 Pod rfr-test-cluster-1 1773:	Started container redis
06:41:38 Pod rfr-test-cluster-1 1773:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:41:38 Pod rfr-test-cluster-1 1773:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.744195ms
06:41:39 Pod rfr-test-cluster-1 1773:	Created container redis-exporter
06:41:42 Pod rfr-test-cluster-1 1773:	Started container redis-exporter
06:42:17 Pod rfr-test-cluster-1 1773:	Readiness probe failed: 
06:45:18 Pod rfr-test-cluster-1 1773:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:45:18 Pod rfr-test-cluster-1 1773:	Stopping container redis
06:45:18 Pod rfr-test-cluster-1 1773:	Stopping container redis-exporter
06:45:19 Pod rfr-test-cluster-1 2277:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:45:19 Pod rfr-test-cluster-1 2280:	Container image "redis:6.2.6-alpine" already present on machine
06:45:19 Pod rfr-test-cluster-1 2280:	Created container redis
06:45:19 Pod rfr-test-cluster-1 2280:	Started container redis
06:45:19 Pod rfr-test-cluster-1 2280:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:45:19 Pod rfr-test-cluster-1 2280:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.012094ms
06:45:19 Pod rfr-test-cluster-1 2280:	Created container redis-exporter
06:45:22 Pod rfr-test-cluster-1 2280:	Started container redis-exporter
06:45:49 Pod rfr-test-cluster-1 2280:	Readiness probe failed: 
06:48:19 Pod rfr-test-cluster-1 2280:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:48:19 Pod rfr-test-cluster-1 2280:	Stopping container redis
06:48:19 Pod rfr-test-cluster-1 2280:	Stopping container redis-exporter
06:48:20 Pod rfr-test-cluster-1 2713:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:48:21 Pod rfr-test-cluster-1 2715:	Container image "redis:6.2.6-alpine" already present on machine
06:48:21 Pod rfr-test-cluster-1 2715:	Created container redis
06:48:21 Pod rfr-test-cluster-1 2715:	Started container redis
06:48:21 Pod rfr-test-cluster-1 2715:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:48:21 Pod rfr-test-cluster-1 2715:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 105.207737ms
06:48:21 Pod rfr-test-cluster-1 2715:	Created container redis-exporter
06:48:24 Pod rfr-test-cluster-1 2715:	Started container redis-exporter
06:49:00 Pod rfr-test-cluster-1 2715:	Readiness probe failed: 
06:51:37 Pod rfr-test-cluster-1 2715:	Stopping container redis
06:51:37 Pod rfr-test-cluster-1 2715:	Stopping container redis-exporter
06:51:39 Pod rfr-test-cluster-1 3238:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-7-worker2
06:51:41 Pod rfr-test-cluster-1 3240:	Container image "redis:6.2.6-alpine" already present on machine
06:51:41 Pod rfr-test-cluster-1 3240:	Created container redis
06:51:42 Pod rfr-test-cluster-1 3240:	Started container redis
06:51:42 Pod rfr-test-cluster-1 3240:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:42 Pod rfr-test-cluster-1 3240:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.850368ms
06:51:42 Pod rfr-test-cluster-1 3240:	Created container redis-exporter
06:51:45 Pod rfr-test-cluster-1 3240:	Started container redis-exporter
06:52:19 Pod rfr-test-cluster-1 3240:	Readiness probe failed: 
06:35:35 Pod rfr-test-cluster-2 833:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:35:36 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
06:35:36 Pod rfr-test-cluster-2 836:	Created container redis
06:35:36 Pod rfr-test-cluster-2 836:	Started container redis
06:35:36 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:35:36 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 248.52454ms
06:35:36 Pod rfr-test-cluster-2 836:	Created container redis-exporter
06:35:39 Pod rfr-test-cluster-2 836:	Started container redis-exporter
06:36:15 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
06:40:07 Pod rfr-test-cluster-2 836:	Stopping container redis
06:40:07 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
06:40:09 Pod rfr-test-cluster-2 1509:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:40:09 Pod rfr-test-cluster-2 1511:	Container image "redis:6.2.6-alpine" already present on machine
06:40:09 Pod rfr-test-cluster-2 1511:	Created container redis
06:40:10 Pod rfr-test-cluster-2 1511:	Started container redis
06:40:10 Pod rfr-test-cluster-2 1511:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:40:10 Pod rfr-test-cluster-2 1511:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.124224ms
06:40:10 Pod rfr-test-cluster-2 1511:	Created container redis-exporter
06:40:12 Pod rfr-test-cluster-2 1511:	Started container redis-exporter
06:40:49 Pod rfr-test-cluster-2 1511:	Readiness probe failed: 
06:41:42 Pod rfr-test-cluster-2 1511:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:41:42 Pod rfr-test-cluster-2 1511:	Stopping container redis
06:41:42 Pod rfr-test-cluster-2 1511:	Stopping container redis-exporter
06:41:43 Pod rfr-test-cluster-2 1809:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:41:44 Pod rfr-test-cluster-2 1810:	Container image "redis:6.2.6-alpine" already present on machine
06:41:44 Pod rfr-test-cluster-2 1810:	Created container redis
06:41:44 Pod rfr-test-cluster-2 1810:	Started container redis
06:41:44 Pod rfr-test-cluster-2 1810:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:41:44 Pod rfr-test-cluster-2 1810:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 175.54651ms
06:41:44 Pod rfr-test-cluster-2 1810:	Created container redis-exporter
06:41:47 Pod rfr-test-cluster-2 1810:	Started container redis-exporter
06:42:23 Pod rfr-test-cluster-2 1810:	Readiness probe failed: 
06:45:24 Pod rfr-test-cluster-2 1810:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:45:24 Pod rfr-test-cluster-2 1810:	Stopping container redis
06:45:24 Pod rfr-test-cluster-2 1810:	Stopping container redis-exporter
06:45:25 Pod rfr-test-cluster-2 2320:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:45:25 Pod rfr-test-cluster-2 2324:	Container image "redis:6.2.6-alpine" already present on machine
06:45:25 Pod rfr-test-cluster-2 2324:	Created container redis
06:45:25 Pod rfr-test-cluster-2 2324:	Started container redis
06:45:25 Pod rfr-test-cluster-2 2324:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:45:25 Pod rfr-test-cluster-2 2324:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.169101ms
06:45:25 Pod rfr-test-cluster-2 2324:	Created container redis-exporter
06:45:28 Pod rfr-test-cluster-2 2324:	Started container redis-exporter
06:45:55 Pod rfr-test-cluster-2 2324:	Readiness probe failed: 
06:48:26 Pod rfr-test-cluster-2 2324:	Usage of EmptyDir volume "redis-data" exceeds the limit "1". 
06:48:26 Pod rfr-test-cluster-2 2324:	Stopping container redis
06:48:26 Pod rfr-test-cluster-2 2324:	Stopping container redis-exporter
06:48:27 Pod rfr-test-cluster-2 2749:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:48:28 Pod rfr-test-cluster-2 2753:	Container image "redis:6.2.6-alpine" already present on machine
06:48:28 Pod rfr-test-cluster-2 2753:	Created container redis
06:48:28 Pod rfr-test-cluster-2 2753:	Started container redis
06:48:28 Pod rfr-test-cluster-2 2753:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:48:28 Pod rfr-test-cluster-2 2753:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.977694ms
06:48:28 Pod rfr-test-cluster-2 2753:	Created container redis-exporter
06:48:30 Pod rfr-test-cluster-2 2753:	Started container redis-exporter
06:49:07 Pod rfr-test-cluster-2 2753:	Readiness probe failed: 
06:51:07 Pod rfr-test-cluster-2 2753:	Stopping container redis
06:51:07 Pod rfr-test-cluster-2 2753:	Stopping container redis-exporter
06:51:08 Pod rfr-test-cluster-2 3153:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-7-worker
06:51:09 Pod rfr-test-cluster-2 3155:	Container image "redis:6.2.6-alpine" already present on machine
06:51:09 Pod rfr-test-cluster-2 3155:	Created container redis
06:51:09 Pod rfr-test-cluster-2 3155:	Started container redis
06:51:09 Pod rfr-test-cluster-2 3155:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:51:09 Pod rfr-test-cluster-2 3155:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 143.737124ms
06:51:09 Pod rfr-test-cluster-2 3155:	Created container redis-exporter
06:51:12 Pod rfr-test-cluster-2 3155:	Started container redis-exporter
06:35:34 PodDisruptionBudget rfr-test-cluster 817:	No matching pods found
06:35:35 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:35:35 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:35:35 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:40:36 StatefulSet rfr-test-cluster 1548:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-1
06:40:36 StatefulSet rfr-test-cluster 1548:	delete Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:41:43 StatefulSet rfr-test-cluster 1771:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-2
06:41:43 StatefulSet rfr-test-cluster 1771:	delete Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:44:35 StatefulSet rfr-test-cluster 2121:	StatefulSet acto-namespace/rfr-test-cluster is recreating failed Pod rfr-test-cluster-0
06:44:35 StatefulSet rfr-test-cluster 2121:	delete Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:35:35 Pod rfs-test-cluster-54df69f8df-88vwg 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-88vwg to acto-cluster-7-worker3
06:35:36 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Container image "redis:6.2.6-alpine" already present on machine
06:35:36 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Created container sentinel-config-copy
06:35:52 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Started container sentinel-config-copy
06:35:54 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Container image "redis:6.2.6-alpine" already present on machine
06:35:54 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Created container sentinel
06:35:54 Pod rfs-test-cluster-54df69f8df-88vwg 859:	Started container sentinel
06:35:35 Pod rfs-test-cluster-54df69f8df-q4zvv 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-q4zvv to acto-cluster-7-worker2
06:35:36 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Container image "redis:6.2.6-alpine" already present on machine
06:35:36 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Created container sentinel-config-copy
06:35:50 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Started container sentinel-config-copy
06:35:51 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Container image "redis:6.2.6-alpine" already present on machine
06:35:51 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Created container sentinel
06:35:51 Pod rfs-test-cluster-54df69f8df-q4zvv 860:	Started container sentinel
06:35:35 Pod rfs-test-cluster-54df69f8df-rtwnr 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rtwnr to acto-cluster-7-worker
06:35:36 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Container image "redis:6.2.6-alpine" already present on machine
06:35:36 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Created container sentinel-config-copy
06:35:51 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Started container sentinel-config-copy
06:35:53 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Container image "redis:6.2.6-alpine" already present on machine
06:35:53 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Created container sentinel
06:35:54 Pod rfs-test-cluster-54df69f8df-rtwnr 854:	Started container sentinel
06:35:35 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-rtwnr
06:35:35 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-88vwg
06:35:35 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-q4zvv
06:35:35 PodDisruptionBudget rfs-test-cluster 843:	No matching pods found
06:35:35 Deployment rfs-test-cluster 847:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
