02:53:03 Pod redis-operator-54fb85ff56-2pzwq 859:	Successfully assigned redis-operator/redis-operator-54fb85ff56-2pzwq to acto-cluster-0-worker3
03:12:53 Pod test-cluster-follower-2 4676:	Created container redis-exporter
03:12:55 Pod test-cluster-follower-2 4676:	Started container redis-exporter
02:53:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 907:	waiting for first consumer to be created before binding
02:53:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 914:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:53:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 914:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
02:53:10 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 914:	Successfully provisioned volume pvc-173a97b7-0159-40e3-acfe-7cc0c48c6c27
02:53:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1095:	waiting for first consumer to be created before binding
02:53:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1102:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:53:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1102:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
02:53:45 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1102:	Successfully provisioned volume pvc-de0d1466-c5c4-468f-8fef-b3ea72dade09
02:54:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1268:	waiting for first consumer to be created before binding
02:54:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1278:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:54:17 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1278:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
02:54:21 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1278:	Successfully provisioned volume pvc-e06b04c0-f809-44e8-a3f4-4561d647f39c
02:53:06 StatefulSet test-cluster-follower 905:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
02:53:06 StatefulSet test-cluster-follower 905:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
02:53:41 StatefulSet test-cluster-follower 913:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
02:53:41 StatefulSet test-cluster-follower 913:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
02:54:17 StatefulSet test-cluster-follower 1101:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
02:54:17 StatefulSet test-cluster-follower 1101:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
02:55:27 StatefulSet test-cluster-follower 1528:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
02:56:29 StatefulSet test-cluster-follower 1645:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
02:57:30 StatefulSet test-cluster-follower 1879:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
03:03:19 StatefulSet test-cluster-follower 3229:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower failed error: Pod "test-cluster-follower-2" is invalid: [spec.containers[2].name: Invalid value: "ACTOKEY": a lowercase RFC 1123 label must consist of lower case alphanumeric characters or '-', and must start and end with an alphanumeric character (e.g. 'my-name',  or '123-abc', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?'), spec.containers[2].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')]
02:53:10 Pod test-cluster-leader-0 887:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-0-worker2
02:53:11 Pod test-cluster-leader-0 955:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:53:11 Pod test-cluster-leader-0 955:	Created container test-cluster-leader
02:53:12 Pod test-cluster-leader-0 955:	Started container test-cluster-leader
02:53:12 Pod test-cluster-leader-0 955:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:53:12 Pod test-cluster-leader-0 955:	Created container redis-exporter
02:53:13 Pod test-cluster-leader-0 955:	Started container redis-exporter
02:57:29 Pod test-cluster-leader-0 955:	Stopping container test-cluster-leader
02:57:29 Pod test-cluster-leader-0 955:	Stopping container redis-exporter
02:57:59 Pod test-cluster-leader-0 2089:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-0-worker2
02:58:00 Pod test-cluster-leader-0 2090:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:58:00 Pod test-cluster-leader-0 2090:	Created container test-cluster-leader
02:58:01 Pod test-cluster-leader-0 2090:	Started container test-cluster-leader
02:58:01 Pod test-cluster-leader-0 2090:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:58:01 Pod test-cluster-leader-0 2090:	Created container redis-exporter
02:58:03 Pod test-cluster-leader-0 2090:	Started container redis-exporter
03:01:09 Pod test-cluster-leader-0 2090:	Stopping container test-cluster-leader
03:01:09 Pod test-cluster-leader-0 2090:	Stopping container redis-exporter
03:01:40 Pod test-cluster-leader-0 2886:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-0-worker2
03:01:42 Pod test-cluster-leader-0 2890:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:01:42 Pod test-cluster-leader-0 2890:	Created container test-cluster-leader
03:01:43 Pod test-cluster-leader-0 2890:	Started container test-cluster-leader
03:01:43 Pod test-cluster-leader-0 2890:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:01:43 Pod test-cluster-leader-0 2890:	Created container redis-exporter
03:01:45 Pod test-cluster-leader-0 2890:	Started container redis-exporter
02:53:45 Pod test-cluster-leader-1 1071:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-0-worker3
02:53:46 Pod test-cluster-leader-1 1130:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:53:46 Pod test-cluster-leader-1 1130:	Created container test-cluster-leader
02:53:47 Pod test-cluster-leader-1 1130:	Started container test-cluster-leader
02:53:47 Pod test-cluster-leader-1 1130:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:53:47 Pod test-cluster-leader-1 1130:	Created container redis-exporter
02:53:48 Pod test-cluster-leader-1 1130:	Started container redis-exporter
02:56:28 Pod test-cluster-leader-1 1130:	Stopping container test-cluster-leader
02:56:28 Pod test-cluster-leader-1 1130:	Stopping container redis-exporter
02:56:58 Pod test-cluster-leader-1 1852:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-0-worker3
02:56:59 Pod test-cluster-leader-1 1853:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:56:59 Pod test-cluster-leader-1 1853:	Created container test-cluster-leader
02:57:01 Pod test-cluster-leader-1 1853:	Started container test-cluster-leader
02:57:01 Pod test-cluster-leader-1 1853:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:57:01 Pod test-cluster-leader-1 1853:	Created container redis-exporter
02:57:02 Pod test-cluster-leader-1 1853:	Started container redis-exporter
03:00:08 Pod test-cluster-leader-1 1853:	Stopping container test-cluster-leader
03:00:08 Pod test-cluster-leader-1 1853:	Stopping container redis-exporter
03:00:39 Pod test-cluster-leader-1 2655:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-0-worker3
03:00:41 Pod test-cluster-leader-1 2658:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:00:41 Pod test-cluster-leader-1 2658:	Created container test-cluster-leader
03:00:42 Pod test-cluster-leader-1 2658:	Started container test-cluster-leader
03:00:42 Pod test-cluster-leader-1 2658:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:00:42 Pod test-cluster-leader-1 2658:	Created container redis-exporter
03:00:43 Pod test-cluster-leader-1 2658:	Started container redis-exporter
02:54:19 Pod test-cluster-leader-2 1249:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-0-worker
02:54:20 Pod test-cluster-leader-2 1303:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:54:20 Pod test-cluster-leader-2 1303:	Created container test-cluster-leader
02:54:21 Pod test-cluster-leader-2 1303:	Started container test-cluster-leader
02:54:21 Pod test-cluster-leader-2 1303:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:54:21 Pod test-cluster-leader-2 1303:	Created container redis-exporter
02:54:22 Pod test-cluster-leader-2 1303:	Started container redis-exporter
02:55:27 Pod test-cluster-leader-2 1303:	Stopping container test-cluster-leader
02:55:27 Pod test-cluster-leader-2 1303:	Stopping container redis-exporter
02:55:57 Pod test-cluster-leader-2 1622:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-0-worker
02:55:58 Pod test-cluster-leader-2 1623:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:55:58 Pod test-cluster-leader-2 1623:	Created container test-cluster-leader
02:55:59 Pod test-cluster-leader-2 1623:	Started container test-cluster-leader
02:55:59 Pod test-cluster-leader-2 1623:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:55:59 Pod test-cluster-leader-2 1623:	Created container redis-exporter
02:56:00 Pod test-cluster-leader-2 1623:	Started container redis-exporter
02:59:07 Pod test-cluster-leader-2 1623:	Stopping container test-cluster-leader
02:59:07 Pod test-cluster-leader-2 1623:	Stopping container redis-exporter
02:59:38 Pod test-cluster-leader-2 2426:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-0-worker
02:59:40 Pod test-cluster-leader-2 2427:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
02:59:40 Pod test-cluster-leader-2 2427:	Created container test-cluster-leader
02:59:41 Pod test-cluster-leader-2 2427:	Started container test-cluster-leader
02:59:41 Pod test-cluster-leader-2 2427:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
02:59:41 Pod test-cluster-leader-2 2427:	Created container redis-exporter
02:59:42 Pod test-cluster-leader-2 2427:	Started container redis-exporter
03:02:47 Pod test-cluster-leader-2 2427:	Stopping container test-cluster-leader
03:02:47 Pod test-cluster-leader-2 2427:	Stopping container redis-exporter
03:12:50 Pod test-cluster-leader-2 4668:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-0-worker
03:12:51 Pod test-cluster-leader-2 4669:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:12:51 Pod test-cluster-leader-2 4669:	Created container test-cluster-leader
03:12:52 Pod test-cluster-leader-2 4669:	Started container test-cluster-leader
03:12:52 Pod test-cluster-leader-2 4669:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:12:52 Pod test-cluster-leader-2 4669:	Created container redis-exporter
03:12:53 Pod test-cluster-leader-2 4669:	Started container redis-exporter
02:53:06 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 885:	waiting for first consumer to be created before binding
02:53:06 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 891:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:53:06 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 891:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
02:53:09 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 891:	Successfully provisioned volume pvc-bfe3c6f0-04bc-48ad-b455-4df03f4bf8b6
02:53:40 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1070:	waiting for first consumer to be created before binding
02:53:40 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1077:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:53:40 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1077:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
02:53:44 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1077:	Successfully provisioned volume pvc-89adc863-aa28-4b31-a525-93332a99be8c
02:54:15 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1246:	waiting for first consumer to be created before binding
02:54:15 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1253:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
02:54:15 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1253:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
02:54:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1253:	Successfully provisioned volume pvc-0fa5e070-2ecb-4509-aad7-d41f20bc5ca1
02:53:06 StatefulSet test-cluster-leader 883:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
02:53:06 StatefulSet test-cluster-leader 883:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
02:53:40 StatefulSet test-cluster-leader 889:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
02:53:40 StatefulSet test-cluster-leader 889:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
02:54:15 StatefulSet test-cluster-leader 1076:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
02:54:15 StatefulSet test-cluster-leader 1076:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
02:55:27 StatefulSet test-cluster-leader 1517:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
02:56:28 StatefulSet test-cluster-leader 1625:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
02:57:29 StatefulSet test-cluster-leader 1858:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
03:03:18 StatefulSet test-cluster-leader 3210:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader failed error: Pod "test-cluster-leader-2" is invalid: [spec.containers[2].name: Invalid value: "ACTOKEY": a lowercase RFC 1123 label must consist of lower case alphanumeric characters or '-', and must start and end with an alphanumeric character (e.g. 'my-name',  or '123-abc', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?'), spec.containers[2].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')]
