08:20:53 Pod redisoperator-56c8dfdfb-j24hc 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-j24hc to acto-cluster-14-worker
08:34:00 Pod rfr-test-cluster-0 2338:	Container image "redis:6.2.6-alpine" already present on machine
08:34:00 Pod rfr-test-cluster-0 2338:	Created container redis
08:34:00 Pod rfr-test-cluster-0 2338:	Started container redis
08:34:00 Pod rfr-test-cluster-0 2338:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:00 Pod rfr-test-cluster-0 2338:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 167.293778ms
08:34:00 Pod rfr-test-cluster-0 2338:	Created container redis-exporter
08:34:03 Pod rfr-test-cluster-0 2338:	Started container redis-exporter
08:34:39 Pod rfr-test-cluster-0 2338:	Readiness probe failed: 
08:20:55 Pod rfr-test-cluster-1 824:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker2
08:20:56 Pod rfr-test-cluster-1 827:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfr-test-cluster-1 827:	Created container redis
08:20:56 Pod rfr-test-cluster-1 827:	Started container redis
08:20:56 Pod rfr-test-cluster-1 827:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:57 Pod rfr-test-cluster-1 827:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 316.957512ms
08:20:57 Pod rfr-test-cluster-1 827:	Created container redis-exporter
08:20:59 Pod rfr-test-cluster-1 827:	Started container redis-exporter
08:21:36 Pod rfr-test-cluster-1 827:	Readiness probe failed: 
08:23:58 Pod rfr-test-cluster-1 827:	Stopping container redis
08:23:58 Pod rfr-test-cluster-1 827:	Stopping container redis-exporter
08:33:59 Pod rfr-test-cluster-1 2339:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker3
08:34:00 Pod rfr-test-cluster-1 2344:	Container image "redis:6.2.6-alpine" already present on machine
08:34:00 Pod rfr-test-cluster-1 2344:	Created container redis
08:34:00 Pod rfr-test-cluster-1 2344:	Started container redis
08:34:00 Pod rfr-test-cluster-1 2344:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:00 Pod rfr-test-cluster-1 2344:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 129.917992ms
08:34:00 Pod rfr-test-cluster-1 2344:	Created container redis-exporter
08:34:03 Pod rfr-test-cluster-1 2344:	Started container redis-exporter
08:34:39 Pod rfr-test-cluster-1 2344:	Readiness probe failed: 
08:20:55 Pod rfr-test-cluster-2 829:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker3
08:20:56 Pod rfr-test-cluster-2 832:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfr-test-cluster-2 832:	Created container redis
08:20:56 Pod rfr-test-cluster-2 832:	Started container redis
08:20:56 Pod rfr-test-cluster-2 832:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:20:57 Pod rfr-test-cluster-2 832:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 280.438888ms
08:20:57 Pod rfr-test-cluster-2 832:	Created container redis-exporter
08:20:59 Pod rfr-test-cluster-2 832:	Started container redis-exporter
08:21:36 Pod rfr-test-cluster-2 832:	Readiness probe failed: 
08:24:00 Pod rfr-test-cluster-2 832:	Stopping container redis
08:24:00 Pod rfr-test-cluster-2 832:	Stopping container redis-exporter
08:33:59 Pod rfr-test-cluster-2 2343:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker2
08:34:00 Pod rfr-test-cluster-2 2348:	Container image "redis:6.2.6-alpine" already present on machine
08:34:00 Pod rfr-test-cluster-2 2348:	Created container redis
08:34:00 Pod rfr-test-cluster-2 2348:	Started container redis
08:34:00 Pod rfr-test-cluster-2 2348:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:34:00 Pod rfr-test-cluster-2 2348:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.561761ms
08:34:00 Pod rfr-test-cluster-2 2348:	Created container redis-exporter
08:34:04 Pod rfr-test-cluster-2 2348:	Started container redis-exporter
08:34:39 Pod rfr-test-cluster-2 2348:	Readiness probe failed: 
08:20:55 PodDisruptionBudget rfr-test-cluster 811:	No matching pods found
08:20:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:20:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:20:55 StatefulSet rfr-test-cluster 817:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:23:59 StatefulSet rfr-test-cluster 1318:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:24:29 StatefulSet rfr-test-cluster 1318:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:20:56 Pod rfs-test-cluster-54df69f8df-2w8pc 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2w8pc to acto-cluster-14-worker
08:20:56 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Created container sentinel-config-copy
08:21:10 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Started container sentinel-config-copy
08:21:13 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Container image "redis:6.2.6-alpine" already present on machine
08:21:13 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Created container sentinel
08:21:14 Pod rfs-test-cluster-54df69f8df-2w8pc 850:	Started container sentinel
08:20:56 Pod rfs-test-cluster-54df69f8df-4tsrb 851:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4tsrb to acto-cluster-14-worker3
08:20:56 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Created container sentinel-config-copy
08:21:09 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Started container sentinel-config-copy
08:21:11 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Container image "redis:6.2.6-alpine" already present on machine
08:21:11 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Created container sentinel
08:21:11 Pod rfs-test-cluster-54df69f8df-4tsrb 856:	Started container sentinel
08:20:56 Pod rfs-test-cluster-54df69f8df-6rr5j 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6rr5j to acto-cluster-14-worker2
08:20:56 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Container image "redis:6.2.6-alpine" already present on machine
08:20:56 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Created container sentinel-config-copy
08:21:10 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Started container sentinel-config-copy
08:21:14 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Container image "redis:6.2.6-alpine" already present on machine
08:21:14 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Created container sentinel
08:21:14 Pod rfs-test-cluster-54df69f8df-6rr5j 858:	Started container sentinel
08:20:56 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-2w8pc
08:20:56 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-4tsrb
08:20:56 ReplicaSet rfs-test-cluster-54df69f8df 844:	Created pod: rfs-test-cluster-54df69f8df-6rr5j
08:20:55 PodDisruptionBudget rfs-test-cluster 839:	No matching pods found
08:20:56 Deployment rfs-test-cluster 843:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
