07:42:49 Pod redisoperator-56c8dfdfb-fk9xk 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fk9xk to acto-cluster-6-worker2
07:43:10 Pod rfs-test-cluster-54df69f8df-hgn6p 854:	Started container sentinel
07:42:52 Pod rfs-test-cluster-54df69f8df-lgts7 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lgts7 to acto-cluster-6-worker3
07:42:53 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Container image "redis:6.2.6-alpine" already present on machine
07:42:53 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Created container sentinel-config-copy
07:43:08 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Started container sentinel-config-copy
07:43:10 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Container image "redis:6.2.6-alpine" already present on machine
07:43:10 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Created container sentinel
07:43:11 Pod rfs-test-cluster-54df69f8df-lgts7 855:	Started container sentinel
07:42:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-7whz9
07:42:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-hgn6p
07:42:52 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-lgts7
07:42:52 PodDisruptionBudget rfs-test-cluster 834:	No matching pods found
07:42:52 Deployment rfs-test-cluster 837:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
