08:20:59 Pod redisoperator-56c8dfdfb-pljr5 790:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-pljr5 to acto-cluster-2-worker2
08:21:02 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:21:02 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:21:02 StatefulSet rfr-test-cluster 820:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:24:07 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:25:05 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:21:02 Pod rfs-test-cluster-54df69f8df-g76kc 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-g76kc to acto-cluster-2-worker
08:21:03 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Created container sentinel-config-copy
08:21:17 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Started container sentinel-config-copy
08:21:20 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Container image "redis:6.2.6-alpine" already present on machine
08:21:20 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Created container sentinel
08:21:21 Pod rfs-test-cluster-54df69f8df-g76kc 862:	Started container sentinel
08:21:02 Pod rfs-test-cluster-54df69f8df-q59cd 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-q59cd to acto-cluster-2-worker2
08:21:03 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Created container sentinel-config-copy
08:21:16 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Started container sentinel-config-copy
08:21:17 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Container image "redis:6.2.6-alpine" already present on machine
08:21:17 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Created container sentinel
08:21:17 Pod rfs-test-cluster-54df69f8df-q59cd 860:	Started container sentinel
08:21:02 Pod rfs-test-cluster-54df69f8df-rzkmn 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rzkmn to acto-cluster-2-worker3
08:21:03 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Container image "redis:6.2.6-alpine" already present on machine
08:21:03 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Created container sentinel-config-copy
08:21:16 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Started container sentinel-config-copy
08:21:17 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Container image "redis:6.2.6-alpine" already present on machine
08:21:17 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Created container sentinel
08:21:18 Pod rfs-test-cluster-54df69f8df-rzkmn 855:	Started container sentinel
08:21:02 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-rzkmn
08:21:02 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-q59cd
08:21:02 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-g76kc
08:21:02 PodDisruptionBudget rfs-test-cluster 843:	No matching pods found
08:21:02 Deployment rfs-test-cluster 846:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
