09:08:36 Pod redisoperator-56c8dfdfb-sc5cr 793:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-sc5cr to acto-cluster-2-worker2
09:09:18 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
09:11:40 Pod rfr-test-cluster-1 835:	Stopping container redis
09:11:40 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
09:21:42 Pod rfr-test-cluster-1 2353:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
09:21:43 Pod rfr-test-cluster-1 2357:	Container image "redis:6.2.6-alpine" already present on machine
09:21:43 Pod rfr-test-cluster-1 2357:	Created container redis
09:21:43 Pod rfr-test-cluster-1 2357:	Started container redis
09:21:43 Pod rfr-test-cluster-1 2357:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:21:43 Pod rfr-test-cluster-1 2357:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.383368ms
09:21:43 Pod rfr-test-cluster-1 2357:	Created container redis-exporter
09:21:46 Pod rfr-test-cluster-1 2357:	Started container redis-exporter
09:22:22 Pod rfr-test-cluster-1 2357:	Readiness probe failed: 
09:08:38 Pod rfr-test-cluster-2 838:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
09:08:38 Pod rfr-test-cluster-2 842:	Container image "redis:6.2.6-alpine" already present on machine
09:08:38 Pod rfr-test-cluster-2 842:	Created container redis
09:08:39 Pod rfr-test-cluster-2 842:	Started container redis
09:08:39 Pod rfr-test-cluster-2 842:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:08:39 Pod rfr-test-cluster-2 842:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.050916ms
09:08:39 Pod rfr-test-cluster-2 842:	Created container redis-exporter
09:08:42 Pod rfr-test-cluster-2 842:	Started container redis-exporter
09:09:18 Pod rfr-test-cluster-2 842:	Readiness probe failed: 
09:11:42 Pod rfr-test-cluster-2 842:	Stopping container redis
09:11:42 Pod rfr-test-cluster-2 842:	Stopping container redis-exporter
09:21:42 Pod rfr-test-cluster-2 2359:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker
09:21:43 Pod rfr-test-cluster-2 2364:	Container image "redis:6.2.6-alpine" already present on machine
09:21:43 Pod rfr-test-cluster-2 2364:	Created container redis
09:21:43 Pod rfr-test-cluster-2 2364:	Started container redis
09:21:43 Pod rfr-test-cluster-2 2364:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:21:43 Pod rfr-test-cluster-2 2364:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.41868ms
09:21:43 Pod rfr-test-cluster-2 2364:	Created container redis-exporter
09:21:46 Pod rfr-test-cluster-2 2364:	Started container redis-exporter
09:22:22 Pod rfr-test-cluster-2 2364:	Readiness probe failed: 
09:08:38 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
09:08:38 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:08:38 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:08:38 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:11:41 StatefulSet rfr-test-cluster 1338:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
09:12:11 StatefulSet rfr-test-cluster 1338:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
09:08:38 Pod rfs-test-cluster-54df69f8df-2khb8 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-2khb8 to acto-cluster-2-worker3
09:08:39 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Container image "redis:6.2.6-alpine" already present on machine
09:08:39 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Created container sentinel-config-copy
09:08:54 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Started container sentinel-config-copy
09:08:56 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Container image "redis:6.2.6-alpine" already present on machine
09:08:56 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Created container sentinel
09:08:56 Pod rfs-test-cluster-54df69f8df-2khb8 859:	Started container sentinel
09:08:38 Pod rfs-test-cluster-54df69f8df-42bq6 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-42bq6 to acto-cluster-2-worker2
09:08:39 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Container image "redis:6.2.6-alpine" already present on machine
09:08:39 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Created container sentinel-config-copy
09:08:53 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Started container sentinel-config-copy
09:08:56 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Container image "redis:6.2.6-alpine" already present on machine
09:08:56 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Created container sentinel
09:08:56 Pod rfs-test-cluster-54df69f8df-42bq6 866:	Started container sentinel
09:08:38 Pod rfs-test-cluster-54df69f8df-x67dm 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-x67dm to acto-cluster-2-worker
09:08:39 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Container image "redis:6.2.6-alpine" already present on machine
09:08:39 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Created container sentinel-config-copy
09:08:55 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Started container sentinel-config-copy
09:08:57 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Container image "redis:6.2.6-alpine" already present on machine
09:08:57 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Created container sentinel
09:08:57 Pod rfs-test-cluster-54df69f8df-x67dm 867:	Started container sentinel
09:08:38 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-2khb8
09:08:38 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-42bq6
09:08:38 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-x67dm
09:08:38 PodDisruptionBudget rfs-test-cluster 848:	No matching pods found
09:08:38 Deployment rfs-test-cluster 852:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
