06:39:43 Pod redisoperator-56c8dfdfb-g5cbx 785:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-g5cbx to acto-cluster-15-worker3
06:39:48 Pod rfr-test-cluster-1 822:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 393.936056ms
06:39:48 Pod rfr-test-cluster-1 822:	Created container redis-exporter
06:39:51 Pod rfr-test-cluster-1 822:	Started container redis-exporter
06:40:26 Pod rfr-test-cluster-1 822:	Readiness probe failed: 
06:42:48 Pod rfr-test-cluster-1 822:	Stopping container redis
06:42:48 Pod rfr-test-cluster-1 822:	Stopping container redis-exporter
06:52:50 Pod rfr-test-cluster-1 2340:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker3
06:52:50 Pod rfr-test-cluster-1 2345:	Container image "redis:6.2.6-alpine" already present on machine
06:52:50 Pod rfr-test-cluster-1 2345:	Created container redis
06:52:51 Pod rfr-test-cluster-1 2345:	Started container redis
06:52:51 Pod rfr-test-cluster-1 2345:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:52:51 Pod rfr-test-cluster-1 2345:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.850802ms
06:52:51 Pod rfr-test-cluster-1 2345:	Created container redis-exporter
06:52:54 Pod rfr-test-cluster-1 2345:	Started container redis-exporter
06:53:30 Pod rfr-test-cluster-1 2345:	Readiness probe failed: 
06:39:46 Pod rfr-test-cluster-2 824:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
06:39:47 Pod rfr-test-cluster-2 829:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfr-test-cluster-2 829:	Created container redis
06:39:48 Pod rfr-test-cluster-2 829:	Started container redis
06:39:48 Pod rfr-test-cluster-2 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:48 Pod rfr-test-cluster-2 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 257.515339ms
06:39:48 Pod rfr-test-cluster-2 829:	Created container redis-exporter
06:39:51 Pod rfr-test-cluster-2 829:	Started container redis-exporter
06:40:26 Pod rfr-test-cluster-2 829:	Readiness probe failed: 
06:42:50 Pod rfr-test-cluster-2 829:	Stopping container redis
06:42:50 Pod rfr-test-cluster-2 829:	Stopping container redis-exporter
06:52:50 Pod rfr-test-cluster-2 2346:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker
06:52:50 Pod rfr-test-cluster-2 2350:	Container image "redis:6.2.6-alpine" already present on machine
06:52:50 Pod rfr-test-cluster-2 2350:	Created container redis
06:52:51 Pod rfr-test-cluster-2 2350:	Started container redis
06:52:51 Pod rfr-test-cluster-2 2350:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:52:51 Pod rfr-test-cluster-2 2350:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.074127ms
06:52:51 Pod rfr-test-cluster-2 2350:	Created container redis-exporter
06:52:53 Pod rfr-test-cluster-2 2350:	Started container redis-exporter
06:53:30 Pod rfr-test-cluster-2 2350:	Readiness probe failed: 
06:39:46 PodDisruptionBudget rfr-test-cluster 808:	No matching pods found
06:39:46 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:39:46 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:39:46 StatefulSet rfr-test-cluster 811:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:42:49 StatefulSet rfr-test-cluster 1319:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:43:22 StatefulSet rfr-test-cluster 1319:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:39:46 Pod rfs-test-cluster-54df69f8df-8dmvx 841:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8dmvx to acto-cluster-15-worker2
06:39:47 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Created container sentinel-config-copy
06:40:03 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Started container sentinel-config-copy
06:40:04 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Container image "redis:6.2.6-alpine" already present on machine
06:40:04 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Created container sentinel
06:40:04 Pod rfs-test-cluster-54df69f8df-8dmvx 846:	Started container sentinel
06:39:46 Pod rfs-test-cluster-54df69f8df-8td7g 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8td7g to acto-cluster-15-worker3
06:39:47 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Created container sentinel-config-copy
06:40:02 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Started container sentinel-config-copy
06:40:03 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Container image "redis:6.2.6-alpine" already present on machine
06:40:04 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Created container sentinel
06:40:04 Pod rfs-test-cluster-54df69f8df-8td7g 851:	Started container sentinel
06:39:46 Pod rfs-test-cluster-54df69f8df-b97nm 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-b97nm to acto-cluster-15-worker
06:39:47 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Container image "redis:6.2.6-alpine" already present on machine
06:39:47 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Created container sentinel-config-copy
06:40:01 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Started container sentinel-config-copy
06:40:02 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Container image "redis:6.2.6-alpine" already present on machine
06:40:02 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Created container sentinel
06:40:02 Pod rfs-test-cluster-54df69f8df-b97nm 853:	Started container sentinel
06:39:46 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-8dmvx
06:39:46 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-8td7g
06:39:46 ReplicaSet rfs-test-cluster-54df69f8df 839:	Created pod: rfs-test-cluster-54df69f8df-b97nm
06:39:46 PodDisruptionBudget rfs-test-cluster 834:	No matching pods found
06:39:46 Deployment rfs-test-cluster 837:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
