06:00:24 Pod redisoperator-56c8dfdfb-lm7wl 786:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lm7wl to acto-cluster-11-worker2
06:18:56 Pod rfr-test-cluster-2 2997:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-11-worker
06:18:59 Pod rfr-test-cluster-2 3001:	Pulling image "redis:6.2.6-alpine"
06:18:59 Pod rfr-test-cluster-2 3001:	Successfully pulled image "redis:6.2.6-alpine" in 184.164429ms
06:18:59 Pod rfr-test-cluster-2 3001:	Created container redis
06:19:00 Pod rfr-test-cluster-2 3001:	Started container redis
06:19:00 Pod rfr-test-cluster-2 3001:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:19:00 Pod rfr-test-cluster-2 3001:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.740689ms
06:19:00 Pod rfr-test-cluster-2 3001:	Created container redis-exporter
06:19:03 Pod rfr-test-cluster-2 3001:	Started container redis-exporter
06:19:36 Pod rfr-test-cluster-2 3001:	Readiness probe failed: 
06:00:27 PodDisruptionBudget rfr-test-cluster 825:	No matching pods found
06:00:27 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:00:27 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:00:27 StatefulSet rfr-test-cluster 828:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:08:54 StatefulSet rfr-test-cluster 1973:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[0].imagePullPolicy: Unsupported value: "ACTOKEY": supported values: "Always", "IfNotPresent", "Never"
06:00:28 Pod rfs-test-cluster-54df69f8df-c2lq2 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-c2lq2 to acto-cluster-11-worker
06:00:28 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Created container sentinel-config-copy
06:00:40 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Started container sentinel-config-copy
06:00:42 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Container image "redis:6.2.6-alpine" already present on machine
06:00:42 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Created container sentinel
06:00:42 Pod rfs-test-cluster-54df69f8df-c2lq2 864:	Started container sentinel
06:00:28 Pod rfs-test-cluster-54df69f8df-lmkdc 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lmkdc to acto-cluster-11-worker2
06:00:28 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Created container sentinel-config-copy
06:00:41 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Started container sentinel-config-copy
06:00:43 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Container image "redis:6.2.6-alpine" already present on machine
06:00:43 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Created container sentinel
06:00:43 Pod rfs-test-cluster-54df69f8df-lmkdc 870:	Started container sentinel
06:00:28 Pod rfs-test-cluster-54df69f8df-rhbj2 863:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rhbj2 to acto-cluster-11-worker3
06:00:28 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Container image "redis:6.2.6-alpine" already present on machine
06:00:28 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Created container sentinel-config-copy
06:00:40 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Started container sentinel-config-copy
06:00:41 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Container image "redis:6.2.6-alpine" already present on machine
06:00:41 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Created container sentinel
06:00:41 Pod rfs-test-cluster-54df69f8df-rhbj2 871:	Started container sentinel
06:00:28 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-c2lq2
06:00:28 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-lmkdc
06:00:28 ReplicaSet rfs-test-cluster-54df69f8df 856:	Created pod: rfs-test-cluster-54df69f8df-rhbj2
06:00:27 PodDisruptionBudget rfs-test-cluster 851:	No matching pods found
06:00:28 Deployment rfs-test-cluster 855:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
