09:14:07 Pod redisoperator-56c8dfdfb-c66jg 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-c66jg to acto-cluster-13-worker
09:14:11 Pod rfr-test-cluster-1 835:	Created container redis-exporter
09:14:14 Pod rfr-test-cluster-1 835:	Started container redis-exporter
09:14:50 Pod rfr-test-cluster-1 835:	Readiness probe failed: 
09:17:12 Pod rfr-test-cluster-1 835:	Stopping container redis
09:17:12 Pod rfr-test-cluster-1 835:	Stopping container redis-exporter
09:27:14 Pod rfr-test-cluster-1 2348:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
09:27:14 Pod rfr-test-cluster-1 2353:	Container image "redis:6.2.6-alpine" already present on machine
09:27:14 Pod rfr-test-cluster-1 2353:	Created container redis
09:27:15 Pod rfr-test-cluster-1 2353:	Started container redis
09:27:15 Pod rfr-test-cluster-1 2353:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:27:15 Pod rfr-test-cluster-1 2353:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 176.343936ms
09:27:15 Pod rfr-test-cluster-1 2353:	Created container redis-exporter
09:27:17 Pod rfr-test-cluster-1 2353:	Started container redis-exporter
09:27:54 Pod rfr-test-cluster-1 2353:	Readiness probe failed: 
09:14:10 Pod rfr-test-cluster-2 836:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker
09:14:10 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
09:14:10 Pod rfr-test-cluster-2 840:	Created container redis
09:14:11 Pod rfr-test-cluster-2 840:	Started container redis
09:14:11 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:14:11 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 399.62507ms
09:14:11 Pod rfr-test-cluster-2 840:	Created container redis-exporter
09:14:14 Pod rfr-test-cluster-2 840:	Started container redis-exporter
09:14:50 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
09:17:14 Pod rfr-test-cluster-2 840:	Stopping container redis
09:17:14 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
09:27:14 Pod rfr-test-cluster-2 2355:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
09:27:14 Pod rfr-test-cluster-2 2358:	Container image "redis:6.2.6-alpine" already present on machine
09:27:14 Pod rfr-test-cluster-2 2358:	Created container redis
09:27:15 Pod rfr-test-cluster-2 2358:	Started container redis
09:27:15 Pod rfr-test-cluster-2 2358:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:27:15 Pod rfr-test-cluster-2 2358:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 159.79006ms
09:27:15 Pod rfr-test-cluster-2 2358:	Created container redis-exporter
09:27:17 Pod rfr-test-cluster-2 2358:	Started container redis-exporter
09:27:54 Pod rfr-test-cluster-2 2358:	Readiness probe failed: 
09:14:10 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
09:14:10 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:14:10 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:14:10 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:17:13 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers]
09:17:13 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
09:17:43 StatefulSet rfr-test-cluster 1335:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers]
09:14:10 Pod rfs-test-cluster-54df69f8df-5c7g9 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-5c7g9 to acto-cluster-13-worker
09:14:11 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Container image "redis:6.2.6-alpine" already present on machine
09:14:11 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Created container sentinel-config-copy
09:14:26 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Started container sentinel-config-copy
09:14:29 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Container image "redis:6.2.6-alpine" already present on machine
09:14:29 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Created container sentinel
09:14:29 Pod rfs-test-cluster-54df69f8df-5c7g9 861:	Started container sentinel
09:14:10 Pod rfs-test-cluster-54df69f8df-hgdqm 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-hgdqm to acto-cluster-13-worker3
09:14:11 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Container image "redis:6.2.6-alpine" already present on machine
09:14:11 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Created container sentinel-config-copy
09:14:27 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Started container sentinel-config-copy
09:14:28 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Container image "redis:6.2.6-alpine" already present on machine
09:14:28 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Created container sentinel
09:14:29 Pod rfs-test-cluster-54df69f8df-hgdqm 866:	Started container sentinel
09:14:10 Pod rfs-test-cluster-54df69f8df-mlcf2 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mlcf2 to acto-cluster-13-worker2
09:14:11 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Container image "redis:6.2.6-alpine" already present on machine
09:14:11 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Created container sentinel-config-copy
09:14:26 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Started container sentinel-config-copy
09:14:29 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Container image "redis:6.2.6-alpine" already present on machine
09:14:29 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Created container sentinel
09:14:29 Pod rfs-test-cluster-54df69f8df-mlcf2 864:	Started container sentinel
09:14:10 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-5c7g9
09:14:10 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-mlcf2
09:14:10 ReplicaSet rfs-test-cluster-54df69f8df 853:	Created pod: rfs-test-cluster-54df69f8df-hgdqm
09:14:10 PodDisruptionBudget rfs-test-cluster 848:	No matching pods found
09:14:10 Deployment rfs-test-cluster 851:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
