06:18:44 Pod redisoperator-56c8dfdfb-6vrdq 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-6vrdq to acto-cluster-0-worker
06:24:55 Pod rfr-test-cluster-1 1650:	Created container redis
06:24:55 Pod rfr-test-cluster-1 1650:	Started container redis
06:24:55 Pod rfr-test-cluster-1 1650:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:24:55 Pod rfr-test-cluster-1 1650:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 117.082224ms
06:24:55 Pod rfr-test-cluster-1 1650:	Created container redis-exporter
06:24:58 Pod rfr-test-cluster-1 1650:	Started container redis-exporter
06:29:49 Pod rfr-test-cluster-1 1650:	Stopping container redis
06:29:49 Pod rfr-test-cluster-1 1650:	Stopping container redis-exporter
06:39:17 Pod rfr-test-cluster-1 3211:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
06:39:18 Pod rfr-test-cluster-1 3217:	Container image "redis:6.2.6-alpine" already present on machine
06:39:18 Pod rfr-test-cluster-1 3217:	Created container redis
06:39:18 Pod rfr-test-cluster-1 3217:	Started container redis
06:39:18 Pod rfr-test-cluster-1 3217:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:18 Pod rfr-test-cluster-1 3217:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 130.081133ms
06:39:18 Pod rfr-test-cluster-1 3217:	Created container redis-exporter
06:39:21 Pod rfr-test-cluster-1 3217:	Started container redis-exporter
06:39:57 Pod rfr-test-cluster-1 3217:	Readiness probe failed: 
06:18:46 Pod rfr-test-cluster-2 835:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker3
06:18:46 Pod rfr-test-cluster-2 838:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfr-test-cluster-2 838:	Created container redis
06:18:47 Pod rfr-test-cluster-2 838:	Started container redis
06:18:47 Pod rfr-test-cluster-2 838:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:18:47 Pod rfr-test-cluster-2 838:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.668088ms
06:18:47 Pod rfr-test-cluster-2 838:	Created container redis-exporter
06:18:50 Pod rfr-test-cluster-2 838:	Started container redis-exporter
06:19:26 Pod rfr-test-cluster-2 838:	Readiness probe failed: 
06:25:19 Pod rfr-test-cluster-2 838:	Stopping container redis
06:25:19 Pod rfr-test-cluster-2 838:	Stopping container redis-exporter
06:25:20 Pod rfr-test-cluster-2 1722:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker3
06:25:20 Pod rfr-test-cluster-2 1725:	Container image "redis:6.2.6-alpine" already present on machine
06:25:20 Pod rfr-test-cluster-2 1725:	Created container redis
06:25:20 Pod rfr-test-cluster-2 1725:	Started container redis
06:25:20 Pod rfr-test-cluster-2 1725:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:20 Pod rfr-test-cluster-2 1725:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 115.431184ms
06:25:20 Pod rfr-test-cluster-2 1725:	Created container redis-exporter
06:25:23 Pod rfr-test-cluster-2 1725:	Started container redis-exporter
06:29:18 Pod rfr-test-cluster-2 1725:	Stopping container redis
06:29:18 Pod rfr-test-cluster-2 1725:	Stopping container redis-exporter
06:39:17 Pod rfr-test-cluster-2 3216:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker3
06:39:18 Pod rfr-test-cluster-2 3220:	Container image "redis:6.2.6-alpine" already present on machine
06:39:18 Pod rfr-test-cluster-2 3220:	Created container redis
06:39:18 Pod rfr-test-cluster-2 3220:	Started container redis
06:39:18 Pod rfr-test-cluster-2 3220:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:39:18 Pod rfr-test-cluster-2 3220:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.94932ms
06:39:18 Pod rfr-test-cluster-2 3220:	Created container redis-exporter
06:39:21 Pod rfr-test-cluster-2 3220:	Started container redis-exporter
06:39:57 Pod rfr-test-cluster-2 3220:	Readiness probe failed: 
06:18:46 PodDisruptionBudget rfr-test-cluster 819:	No matching pods found
06:18:46 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:18:46 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:18:46 StatefulSet rfr-test-cluster 823:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:29:16 StatefulSet rfr-test-cluster 2195:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.tolerations[0].operator: Invalid value: "": operator must be Exists when `key` is empty, which means "match all values and all keys"
06:18:46 Pod rfs-test-cluster-54df69f8df-24vjk 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-24vjk to acto-cluster-0-worker
06:18:47 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Created container sentinel-config-copy
06:19:01 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Started container sentinel-config-copy
06:19:03 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Container image "redis:6.2.6-alpine" already present on machine
06:19:03 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Created container sentinel
06:19:03 Pod rfs-test-cluster-54df69f8df-24vjk 862:	Started container sentinel
06:18:46 Pod rfs-test-cluster-54df69f8df-42dwb 852:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-42dwb to acto-cluster-0-worker3
06:18:47 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Created container sentinel-config-copy
06:19:00 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Started container sentinel-config-copy
06:19:02 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Container image "redis:6.2.6-alpine" already present on machine
06:19:02 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Created container sentinel
06:19:02 Pod rfs-test-cluster-54df69f8df-42dwb 855:	Started container sentinel
06:18:46 Pod rfs-test-cluster-54df69f8df-gkbfw 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-gkbfw to acto-cluster-0-worker2
06:18:47 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Container image "redis:6.2.6-alpine" already present on machine
06:18:47 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Created container sentinel-config-copy
06:19:00 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Started container sentinel-config-copy
06:19:03 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Container image "redis:6.2.6-alpine" already present on machine
06:19:03 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Created container sentinel
06:19:03 Pod rfs-test-cluster-54df69f8df-gkbfw 864:	Started container sentinel
06:18:46 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-42dwb
06:18:46 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-24vjk
06:18:46 ReplicaSet rfs-test-cluster-54df69f8df 850:	Created pod: rfs-test-cluster-54df69f8df-gkbfw
06:18:46 PodDisruptionBudget rfs-test-cluster 845:	No matching pods found
06:18:46 Deployment rfs-test-cluster 849:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
