23:31:02 Pod redis-operator-54fb85ff56-fwn6p 817:	Successfully assigned redis-operator/redis-operator-54fb85ff56-fwn6p to acto-cluster-4-worker3
23:42:25 Pod test-cluster-follower-1 3425:	Created container redis-exporter
23:42:26 Pod test-cluster-follower-1 3425:	Started container redis-exporter
23:32:21 Pod test-cluster-follower-2 1208:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-4-worker2
23:32:22 Pod test-cluster-follower-2 1261:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:32:22 Pod test-cluster-follower-2 1261:	Created container test-cluster-follower
23:32:24 Pod test-cluster-follower-2 1261:	Started container test-cluster-follower
23:32:24 Pod test-cluster-follower-2 1261:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:32:24 Pod test-cluster-follower-2 1261:	Created container redis-exporter
23:32:26 Pod test-cluster-follower-2 1261:	Started container redis-exporter
23:33:29 Pod test-cluster-follower-2 1261:	Stopping container test-cluster-follower
23:33:29 Pod test-cluster-follower-2 1261:	Stopping container redis-exporter
23:34:00 Pod test-cluster-follower-2 1602:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-4-worker2
23:34:04 Pod test-cluster-follower-2 1605:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:34:04 Pod test-cluster-follower-2 1605:	Created container test-cluster-follower
23:34:06 Pod test-cluster-follower-2 1605:	Started container test-cluster-follower
23:34:06 Pod test-cluster-follower-2 1605:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:34:06 Pod test-cluster-follower-2 1605:	Created container redis-exporter
23:34:07 Pod test-cluster-follower-2 1605:	Started container redis-exporter
23:37:09 Pod test-cluster-follower-2 1605:	Stopping container test-cluster-follower
23:37:09 Pod test-cluster-follower-2 1605:	Stopping container redis-exporter
23:37:40 Pod test-cluster-follower-2 2400:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-4-worker2
23:37:42 Pod test-cluster-follower-2 2402:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:37:42 Pod test-cluster-follower-2 2402:	Created container test-cluster-follower
23:37:44 Pod test-cluster-follower-2 2402:	Started container test-cluster-follower
23:37:44 Pod test-cluster-follower-2 2402:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:37:44 Pod test-cluster-follower-2 2402:	Created container redis-exporter
23:37:45 Pod test-cluster-follower-2 2402:	Started container redis-exporter
23:40:50 Pod test-cluster-follower-2 2402:	Stopping container test-cluster-follower
23:40:50 Pod test-cluster-follower-2 2402:	Stopping container redis-exporter
23:41:20 Pod test-cluster-follower-2 3197:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-4-worker2
23:41:23 Pod test-cluster-follower-2 3199:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:41:23 Pod test-cluster-follower-2 3199:	Created container test-cluster-follower
23:41:24 Pod test-cluster-follower-2 3199:	Started container test-cluster-follower
23:41:24 Pod test-cluster-follower-2 3199:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:41:24 Pod test-cluster-follower-2 3199:	Created container redis-exporter
23:41:26 Pod test-cluster-follower-2 3199:	Started container redis-exporter
23:31:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 867:	waiting for first consumer to be created before binding
23:31:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:31:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
23:31:10 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	Successfully provisioned volume pvc-26a33066-9daf-4ba8-ab2c-30b6d6c32acc
23:31:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1045:	waiting for first consumer to be created before binding
23:31:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1052:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:31:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1052:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
23:31:45 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1052:	Successfully provisioned volume pvc-229ceef0-a7ba-4f55-87a3-25e00f10013f
23:32:16 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1207:	waiting for first consumer to be created before binding
23:32:16 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1214:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:32:16 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1214:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
23:32:20 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1214:	Successfully provisioned volume pvc-b751b7a8-1741-4b02-8fd8-a5bd3ad9c865
23:31:06 StatefulSet test-cluster-follower 864:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
23:31:06 StatefulSet test-cluster-follower 864:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
23:31:41 StatefulSet test-cluster-follower 876:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
23:31:41 StatefulSet test-cluster-follower 876:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
23:32:16 StatefulSet test-cluster-follower 1051:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
23:32:16 StatefulSet test-cluster-follower 1051:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
23:33:29 StatefulSet test-cluster-follower 1489:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
23:34:31 StatefulSet test-cluster-follower 1606:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
23:35:32 StatefulSet test-cluster-follower 1842:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
23:31:10 Pod test-cluster-leader-0 849:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-4-worker
23:31:11 Pod test-cluster-leader-0 921:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:31:11 Pod test-cluster-leader-0 921:	Created container test-cluster-leader
23:31:13 Pod test-cluster-leader-0 921:	Started container test-cluster-leader
23:31:13 Pod test-cluster-leader-0 921:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:31:13 Pod test-cluster-leader-0 921:	Created container redis-exporter
23:31:15 Pod test-cluster-leader-0 921:	Started container redis-exporter
23:35:31 Pod test-cluster-leader-0 921:	Stopping container test-cluster-leader
23:35:31 Pod test-cluster-leader-0 921:	Stopping container redis-exporter
23:36:02 Pod test-cluster-leader-0 2055:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-4-worker
23:36:02 Pod test-cluster-leader-0 2057:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:36:02 Pod test-cluster-leader-0 2057:	Created container test-cluster-leader
23:36:04 Pod test-cluster-leader-0 2057:	Started container test-cluster-leader
23:36:04 Pod test-cluster-leader-0 2057:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:36:04 Pod test-cluster-leader-0 2057:	Created container redis-exporter
23:36:05 Pod test-cluster-leader-0 2057:	Started container redis-exporter
23:39:11 Pod test-cluster-leader-0 2057:	Stopping container test-cluster-leader
23:39:11 Pod test-cluster-leader-0 2057:	Stopping container redis-exporter
23:39:42 Pod test-cluster-leader-0 2848:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-4-worker
23:39:44 Pod test-cluster-leader-0 2854:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:39:44 Pod test-cluster-leader-0 2854:	Created container test-cluster-leader
23:39:45 Pod test-cluster-leader-0 2854:	Started container test-cluster-leader
23:39:45 Pod test-cluster-leader-0 2854:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:39:45 Pod test-cluster-leader-0 2854:	Created container redis-exporter
23:39:46 Pod test-cluster-leader-0 2854:	Started container redis-exporter
23:42:52 Pod test-cluster-leader-0 2854:	Stopping container test-cluster-leader
23:42:52 Pod test-cluster-leader-0 2854:	Stopping container redis-exporter
23:43:23 Pod test-cluster-leader-0 3653:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-4-worker
23:43:24 Pod test-cluster-leader-0 3655:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:43:24 Pod test-cluster-leader-0 3655:	Created container test-cluster-leader
23:43:25 Pod test-cluster-leader-0 3655:	Started container test-cluster-leader
23:43:25 Pod test-cluster-leader-0 3655:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:43:25 Pod test-cluster-leader-0 3655:	Created container redis-exporter
23:43:26 Pod test-cluster-leader-0 3655:	Started container redis-exporter
23:31:47 Pod test-cluster-leader-1 1029:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-4-worker3
23:31:48 Pod test-cluster-leader-1 1105:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:31:48 Pod test-cluster-leader-1 1105:	Created container test-cluster-leader
23:31:49 Pod test-cluster-leader-1 1105:	Started container test-cluster-leader
23:31:49 Pod test-cluster-leader-1 1105:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:31:49 Pod test-cluster-leader-1 1105:	Created container redis-exporter
23:31:50 Pod test-cluster-leader-1 1105:	Started container redis-exporter
23:34:30 Pod test-cluster-leader-1 1105:	Stopping container test-cluster-leader
23:34:30 Pod test-cluster-leader-1 1105:	Stopping container redis-exporter
23:35:00 Pod test-cluster-leader-1 1819:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-4-worker3
23:35:01 Pod test-cluster-leader-1 1820:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:35:01 Pod test-cluster-leader-1 1820:	Created container test-cluster-leader
23:35:02 Pod test-cluster-leader-1 1820:	Started container test-cluster-leader
23:35:02 Pod test-cluster-leader-1 1820:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:35:02 Pod test-cluster-leader-1 1820:	Created container redis-exporter
23:35:03 Pod test-cluster-leader-1 1820:	Started container redis-exporter
23:38:10 Pod test-cluster-leader-1 1820:	Stopping container test-cluster-leader
23:38:10 Pod test-cluster-leader-1 1820:	Stopping container redis-exporter
23:38:41 Pod test-cluster-leader-1 2627:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-4-worker3
23:38:43 Pod test-cluster-leader-1 2631:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:38:43 Pod test-cluster-leader-1 2631:	Created container test-cluster-leader
23:38:44 Pod test-cluster-leader-1 2631:	Started container test-cluster-leader
23:38:44 Pod test-cluster-leader-1 2631:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:38:44 Pod test-cluster-leader-1 2631:	Created container redis-exporter
23:38:45 Pod test-cluster-leader-1 2631:	Started container redis-exporter
23:41:51 Pod test-cluster-leader-1 2631:	Stopping container test-cluster-leader
23:41:51 Pod test-cluster-leader-1 2631:	Stopping container redis-exporter
23:42:21 Pod test-cluster-leader-1 3427:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-4-worker3
23:42:24 Pod test-cluster-leader-1 3430:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:42:24 Pod test-cluster-leader-1 3430:	Created container test-cluster-leader
23:42:25 Pod test-cluster-leader-1 3430:	Started container test-cluster-leader
23:42:25 Pod test-cluster-leader-1 3430:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:42:25 Pod test-cluster-leader-1 3430:	Created container redis-exporter
23:42:26 Pod test-cluster-leader-1 3430:	Started container redis-exporter
23:32:23 Pod test-cluster-leader-2 1231:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-4-worker2
23:32:24 Pod test-cluster-leader-2 1279:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:32:24 Pod test-cluster-leader-2 1279:	Created container test-cluster-leader
23:32:25 Pod test-cluster-leader-2 1279:	Started container test-cluster-leader
23:32:25 Pod test-cluster-leader-2 1279:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:32:25 Pod test-cluster-leader-2 1279:	Created container redis-exporter
23:32:26 Pod test-cluster-leader-2 1279:	Started container redis-exporter
23:33:28 Pod test-cluster-leader-2 1279:	Stopping container test-cluster-leader
23:33:28 Pod test-cluster-leader-2 1279:	Stopping container redis-exporter
23:33:59 Pod test-cluster-leader-2 1586:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-4-worker2
23:34:01 Pod test-cluster-leader-2 1588:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:34:01 Pod test-cluster-leader-2 1588:	Created container test-cluster-leader
23:34:02 Pod test-cluster-leader-2 1588:	Started container test-cluster-leader
23:34:02 Pod test-cluster-leader-2 1588:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:34:02 Pod test-cluster-leader-2 1588:	Created container redis-exporter
23:34:05 Pod test-cluster-leader-2 1588:	Started container redis-exporter
23:37:09 Pod test-cluster-leader-2 1588:	Stopping container test-cluster-leader
23:37:09 Pod test-cluster-leader-2 1588:	Stopping container redis-exporter
23:37:40 Pod test-cluster-leader-2 2394:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-4-worker2
23:37:42 Pod test-cluster-leader-2 2396:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:37:42 Pod test-cluster-leader-2 2396:	Created container test-cluster-leader
23:37:43 Pod test-cluster-leader-2 2396:	Started container test-cluster-leader
23:37:43 Pod test-cluster-leader-2 2396:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:37:43 Pod test-cluster-leader-2 2396:	Created container redis-exporter
23:37:45 Pod test-cluster-leader-2 2396:	Started container redis-exporter
23:40:49 Pod test-cluster-leader-2 2396:	Stopping container test-cluster-leader
23:40:49 Pod test-cluster-leader-2 2396:	Stopping container redis-exporter
23:41:20 Pod test-cluster-leader-2 3188:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-4-worker2
23:41:22 Pod test-cluster-leader-2 3192:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:41:22 Pod test-cluster-leader-2 3192:	Created container test-cluster-leader
23:41:24 Pod test-cluster-leader-2 3192:	Started container test-cluster-leader
23:41:24 Pod test-cluster-leader-2 3192:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:41:24 Pod test-cluster-leader-2 3192:	Created container redis-exporter
23:41:25 Pod test-cluster-leader-2 3192:	Started container redis-exporter
23:31:05 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 847:	waiting for first consumer to be created before binding
23:31:05 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 854:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:31:05 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 854:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
23:31:10 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 854:	Successfully provisioned volume pvc-688c2783-23db-44c7-b0e7-25b707a4fa90
23:31:41 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1028:	waiting for first consumer to be created before binding
23:31:41 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1035:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:31:41 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1035:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
23:31:46 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1035:	Successfully provisioned volume pvc-396965d2-826a-4f64-abbd-8f1de1ba79cf
23:32:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1226:	waiting for first consumer to be created before binding
23:32:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1235:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
23:32:18 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1235:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
23:32:22 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1235:	Successfully provisioned volume pvc-c0e87275-652f-45f5-aa18-e8c693927b39
23:31:05 StatefulSet test-cluster-leader 842:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
23:31:05 StatefulSet test-cluster-leader 842:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
23:31:41 StatefulSet test-cluster-leader 853:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
23:31:41 StatefulSet test-cluster-leader 853:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
23:32:18 StatefulSet test-cluster-leader 1034:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
23:32:18 StatefulSet test-cluster-leader 1034:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
23:33:28 StatefulSet test-cluster-leader 1476:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
23:34:30 StatefulSet test-cluster-leader 1587:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
23:35:31 StatefulSet test-cluster-leader 1821:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
