08:39:18 Pod redisoperator-56c8dfdfb-zhx2x 796:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-zhx2x to acto-cluster-2-worker
08:39:24 Pod rfr-test-cluster-0 831:	Started container redis-exporter
08:40:00 Pod rfr-test-cluster-0 831:	Readiness probe failed: 
08:43:22 Pod rfr-test-cluster-0 831:	Stopping container redis
08:43:22 Pod rfr-test-cluster-0 831:	Stopping container redis-exporter
08:43:23 Pod rfr-test-cluster-0 1507:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
08:43:24 Pod rfr-test-cluster-0 1508:	Container image "redis:6.2.6-alpine" already present on machine
08:43:24 Pod rfr-test-cluster-0 1508:	Created container redis
08:43:24 Pod rfr-test-cluster-0 1508:	Started container redis
08:43:24 Pod rfr-test-cluster-0 1508:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:43:24 Pod rfr-test-cluster-0 1508:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 110.81776ms
08:43:24 Pod rfr-test-cluster-0 1508:	Created container redis-exporter
08:43:24 Pod rfr-test-cluster-0 1508:	Started container redis-exporter
08:44:03 Pod rfr-test-cluster-0 1508:	Readiness probe failed: 
08:46:46 Pod rfr-test-cluster-0 1508:	Stopping container redis
08:46:46 Pod rfr-test-cluster-0 1508:	Stopping container redis-exporter
08:46:47 Pod rfr-test-cluster-0 1891:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-2-worker
08:46:47 Pod rfr-test-cluster-0 1892:	Container image "redis:6.2.6-alpine" already present on machine
08:46:47 Pod rfr-test-cluster-0 1892:	Created container redis
08:46:47 Pod rfr-test-cluster-0 1892:	Started container redis
08:46:47 Pod rfr-test-cluster-0 1892:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:46:48 Pod rfr-test-cluster-0 1892:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 113.912265ms
08:46:48 Pod rfr-test-cluster-0 1892:	Created container redis-exporter
08:46:48 Pod rfr-test-cluster-0 1892:	Started container redis-exporter
08:39:20 Pod rfr-test-cluster-1 829:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
08:39:20 Pod rfr-test-cluster-1 834:	Container image "redis:6.2.6-alpine" already present on machine
08:39:20 Pod rfr-test-cluster-1 834:	Created container redis
08:39:21 Pod rfr-test-cluster-1 834:	Started container redis
08:39:21 Pod rfr-test-cluster-1 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:21 Pod rfr-test-cluster-1 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 363.939885ms
08:39:21 Pod rfr-test-cluster-1 834:	Created container redis-exporter
08:39:24 Pod rfr-test-cluster-1 834:	Started container redis-exporter
08:40:00 Pod rfr-test-cluster-1 834:	Readiness probe failed: 
08:42:32 Pod rfr-test-cluster-1 834:	Stopping container redis
08:42:32 Pod rfr-test-cluster-1 834:	Stopping container redis-exporter
08:42:33 Pod rfr-test-cluster-1 1358:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
08:42:34 Pod rfr-test-cluster-1 1359:	Container image "redis:6.2.6-alpine" already present on machine
08:42:34 Pod rfr-test-cluster-1 1359:	Created container redis
08:42:35 Pod rfr-test-cluster-1 1359:	Started container redis
08:42:35 Pod rfr-test-cluster-1 1359:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:42:35 Pod rfr-test-cluster-1 1359:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 170.072389ms
08:42:35 Pod rfr-test-cluster-1 1359:	Created container redis-exporter
08:42:35 Pod rfr-test-cluster-1 1359:	Started container redis-exporter
08:47:22 Pod rfr-test-cluster-1 1359:	Stopping container redis
08:47:22 Pod rfr-test-cluster-1 1359:	Stopping container redis-exporter
08:47:23 Pod rfr-test-cluster-1 2024:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-2-worker3
08:47:24 Pod rfr-test-cluster-1 2026:	Container image "redis:6.2.6-alpine" already present on machine
08:47:24 Pod rfr-test-cluster-1 2026:	Created container redis
08:47:24 Pod rfr-test-cluster-1 2026:	Started container redis
08:47:24 Pod rfr-test-cluster-1 2026:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:47:24 Pod rfr-test-cluster-1 2026:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 131.846244ms
08:47:24 Pod rfr-test-cluster-1 2026:	Created container redis-exporter
08:47:24 Pod rfr-test-cluster-1 2026:	Started container redis-exporter
08:48:03 Pod rfr-test-cluster-1 2026:	Readiness probe failed: 
08:39:20 Pod rfr-test-cluster-2 836:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:39:20 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
08:39:20 Pod rfr-test-cluster-2 840:	Created container redis
08:39:21 Pod rfr-test-cluster-2 840:	Started container redis
08:39:21 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:21 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 379.030846ms
08:39:21 Pod rfr-test-cluster-2 840:	Created container redis-exporter
08:39:24 Pod rfr-test-cluster-2 840:	Started container redis-exporter
08:40:00 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
08:42:52 Pod rfr-test-cluster-2 840:	Stopping container redis
08:42:52 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
08:42:53 Pod rfr-test-cluster-2 1421:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:42:54 Pod rfr-test-cluster-2 1422:	Container image "redis:6.2.6-alpine" already present on machine
08:42:54 Pod rfr-test-cluster-2 1422:	Created container redis
08:42:54 Pod rfr-test-cluster-2 1422:	Started container redis
08:42:54 Pod rfr-test-cluster-2 1422:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:42:54 Pod rfr-test-cluster-2 1422:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.742599ms
08:42:54 Pod rfr-test-cluster-2 1422:	Created container redis-exporter
08:42:54 Pod rfr-test-cluster-2 1422:	Started container redis-exporter
08:46:52 Pod rfr-test-cluster-2 1422:	Stopping container redis
08:46:52 Pod rfr-test-cluster-2 1422:	Stopping container redis-exporter
08:46:53 Pod rfr-test-cluster-2 1934:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-2-worker2
08:46:53 Pod rfr-test-cluster-2 1936:	Container image "redis:6.2.6-alpine" already present on machine
08:46:53 Pod rfr-test-cluster-2 1936:	Created container redis
08:46:53 Pod rfr-test-cluster-2 1936:	Started container redis
08:46:53 Pod rfr-test-cluster-2 1936:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:46:53 Pod rfr-test-cluster-2 1936:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 124.014431ms
08:46:53 Pod rfr-test-cluster-2 1936:	Created container redis-exporter
08:46:54 Pod rfr-test-cluster-2 1936:	Started container redis-exporter
08:39:20 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
08:39:20 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:39:20 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:39:20 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:41:30 Endpoints rfr-test-cluster 943:	Failed to update endpoint acto-namespace/rfr-test-cluster: Operation cannot be fulfilled on endpoints "rfr-test-cluster": the object has been modified; please apply your changes to the latest version and try again
08:39:20 Pod rfs-test-cluster-54df69f8df-9mppf 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-9mppf to acto-cluster-2-worker2
08:39:21 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Container image "redis:6.2.6-alpine" already present on machine
08:39:21 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Created container sentinel-config-copy
08:39:37 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Started container sentinel-config-copy
08:39:40 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Container image "redis:6.2.6-alpine" already present on machine
08:39:40 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Created container sentinel
08:39:40 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Started container sentinel
08:52:27 Pod rfs-test-cluster-54df69f8df-9mppf 864:	Stopping container sentinel
08:39:20 Pod rfs-test-cluster-54df69f8df-fks6j 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fks6j to acto-cluster-2-worker
08:39:21 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Container image "redis:6.2.6-alpine" already present on machine
08:39:21 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Created container sentinel-config-copy
08:39:39 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Started container sentinel-config-copy
08:39:41 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Container image "redis:6.2.6-alpine" already present on machine
08:39:41 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Created container sentinel
08:39:41 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Started container sentinel
08:51:37 Pod rfs-test-cluster-54df69f8df-fks6j 861:	Stopping container sentinel
08:39:20 Pod rfs-test-cluster-54df69f8df-jnn5t 859:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-jnn5t to acto-cluster-2-worker3
08:39:21 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Container image "redis:6.2.6-alpine" already present on machine
08:39:21 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Created container sentinel-config-copy
08:39:39 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Started container sentinel-config-copy
08:39:41 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Container image "redis:6.2.6-alpine" already present on machine
08:39:41 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Created container sentinel
08:39:41 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Started container sentinel
08:53:17 Pod rfs-test-cluster-54df69f8df-jnn5t 866:	Stopping container sentinel
08:39:20 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-fks6j
08:39:20 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-9mppf
08:39:20 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-jnn5t
08:51:37 ReplicaSet rfs-test-cluster-54df69f8df 2498:	Deleted pod: rfs-test-cluster-54df69f8df-fks6j
08:52:27 ReplicaSet rfs-test-cluster-54df69f8df 2630:	Deleted pod: rfs-test-cluster-54df69f8df-9mppf
08:53:17 ReplicaSet rfs-test-cluster-54df69f8df 2759:	Deleted pod: rfs-test-cluster-54df69f8df-jnn5t
08:50:47 Pod rfs-test-cluster-64c7df4bf7-9859n 2388:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-9859n to acto-cluster-2-worker
08:50:47 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Container image "redis:6.2.6-alpine" already present on machine
08:50:47 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Created container sentinel-config-copy
08:51:01 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Started container sentinel-config-copy
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Container image "redis:6.2.6-alpine" already present on machine
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Created container sentinel
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Started container sentinel
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 109.534328ms
08:51:03 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Created container sentinel-exporter
08:51:06 Pod rfs-test-cluster-64c7df4bf7-9859n 2390:	Started container sentinel-exporter
08:52:27 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2643:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-f6g6f to acto-cluster-2-worker3
08:52:28 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Container image "redis:6.2.6-alpine" already present on machine
08:52:28 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Created container sentinel-config-copy
08:52:41 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Started container sentinel-config-copy
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Container image "redis:6.2.6-alpine" already present on machine
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Created container sentinel
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Started container sentinel
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.214885ms
08:52:43 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Created container sentinel-exporter
08:52:45 Pod rfs-test-cluster-64c7df4bf7-f6g6f 2646:	Started container sentinel-exporter
08:51:37 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2511:	Successfully assigned acto-namespace/rfs-test-cluster-64c7df4bf7-j2mnd to acto-cluster-2-worker2
08:51:38 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Container image "redis:6.2.6-alpine" already present on machine
08:51:38 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Created container sentinel-config-copy
08:51:49 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Started container sentinel-config-copy
08:51:51 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Container image "redis:6.2.6-alpine" already present on machine
08:51:51 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Created container sentinel
08:51:51 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Started container sentinel
08:51:51 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:51:52 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 175.891991ms
08:51:52 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Created container sentinel-exporter
08:51:54 Pod rfs-test-cluster-64c7df4bf7-j2mnd 2514:	Started container sentinel-exporter
08:50:47 ReplicaSet rfs-test-cluster-64c7df4bf7 2385:	Created pod: rfs-test-cluster-64c7df4bf7-9859n
08:51:37 ReplicaSet rfs-test-cluster-64c7df4bf7 2508:	Created pod: rfs-test-cluster-64c7df4bf7-j2mnd
08:52:27 ReplicaSet rfs-test-cluster-64c7df4bf7 2640:	Created pod: rfs-test-cluster-64c7df4bf7-f6g6f
08:39:20 PodDisruptionBudget rfs-test-cluster 847:	No matching pods found
08:39:20 Deployment rfs-test-cluster 851:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:50:47 Deployment rfs-test-cluster 2384:	Scaled up replica set rfs-test-cluster-64c7df4bf7 to 1
08:51:37 Deployment rfs-test-cluster 2469:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:51:37 Deployment rfs-test-cluster 2469:	Scaled up replica set rfs-test-cluster-64c7df4bf7 to 2
08:52:27 Deployment rfs-test-cluster 2616:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:52:27 Deployment rfs-test-cluster 2616:	Scaled up replica set rfs-test-cluster-64c7df4bf7 to 3
08:53:17 Deployment rfs-test-cluster 2714:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
