06:16:28 Pod redisoperator-56c8dfdfb-ppltg 791:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-ppltg to acto-cluster-5-worker3
06:19:38 Pod rfr-test-cluster-1 1342:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.311666ms
06:19:38 Pod rfr-test-cluster-1 1342:	Created container redis-exporter
06:19:41 Pod rfr-test-cluster-1 1342:	Started container redis-exporter
06:25:03 Pod rfr-test-cluster-1 1342:	Stopping container redis
06:25:03 Pod rfr-test-cluster-1 1342:	Stopping container redis-exporter
06:25:04 Pod rfr-test-cluster-1 2050:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-5-worker
06:25:05 Pod rfr-test-cluster-1 2051:	Container image "redis:6.2.6-alpine" already present on machine
06:25:05 Pod rfr-test-cluster-1 2051:	Created container redis
06:25:05 Pod rfr-test-cluster-1 2051:	Started container redis
06:25:05 Pod rfr-test-cluster-1 2051:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:25:05 Pod rfr-test-cluster-1 2051:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.019554ms
06:25:05 Pod rfr-test-cluster-1 2051:	Created container redis-exporter
06:25:07 Pod rfr-test-cluster-1 2051:	Started container redis-exporter
06:25:44 Pod rfr-test-cluster-1 2051:	Readiness probe failed: 
06:16:31 Pod rfr-test-cluster-2 834:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
06:16:31 Pod rfr-test-cluster-2 836:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfr-test-cluster-2 836:	Created container redis
06:16:32 Pod rfr-test-cluster-2 836:	Started container redis
06:16:32 Pod rfr-test-cluster-2 836:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:16:32 Pod rfr-test-cluster-2 836:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 301.77481ms
06:16:32 Pod rfr-test-cluster-2 836:	Created container redis-exporter
06:16:34 Pod rfr-test-cluster-2 836:	Started container redis-exporter
06:17:11 Pod rfr-test-cluster-2 836:	Readiness probe failed: 
06:19:35 Pod rfr-test-cluster-2 836:	Stopping container redis
06:19:35 Pod rfr-test-cluster-2 836:	Stopping container redis-exporter
06:19:38 Pod rfr-test-cluster-2 1360:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
06:19:38 Pod rfr-test-cluster-2 1361:	Container image "redis:6.2.6-alpine" already present on machine
06:19:38 Pod rfr-test-cluster-2 1361:	Created container redis
06:19:39 Pod rfr-test-cluster-2 1361:	Started container redis
06:19:39 Pod rfr-test-cluster-2 1361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:19:39 Pod rfr-test-cluster-2 1361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 122.387711ms
06:19:39 Pod rfr-test-cluster-2 1361:	Created container redis-exporter
06:19:41 Pod rfr-test-cluster-2 1361:	Started container redis-exporter
06:24:33 Pod rfr-test-cluster-2 1361:	Stopping container redis
06:24:33 Pod rfr-test-cluster-2 1361:	Stopping container redis-exporter
06:24:34 Pod rfr-test-cluster-2 1971:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-5-worker2
06:24:35 Pod rfr-test-cluster-2 1972:	Container image "redis:6.2.6-alpine" already present on machine
06:24:35 Pod rfr-test-cluster-2 1972:	Created container redis
06:24:35 Pod rfr-test-cluster-2 1972:	Started container redis
06:24:35 Pod rfr-test-cluster-2 1972:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:24:35 Pod rfr-test-cluster-2 1972:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 105.581783ms
06:24:35 Pod rfr-test-cluster-2 1972:	Created container redis-exporter
06:24:37 Pod rfr-test-cluster-2 1972:	Started container redis-exporter
06:16:30 PodDisruptionBudget rfr-test-cluster 817:	No matching pods found
06:16:31 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:16:31 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:16:31 StatefulSet rfr-test-cluster 821:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:16:31 Pod rfs-test-cluster-54df69f8df-8lqnn 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8lqnn to acto-cluster-5-worker3
06:16:31 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Created container sentinel-config-copy
06:16:45 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Started container sentinel-config-copy
06:16:47 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Container image "redis:6.2.6-alpine" already present on machine
06:16:47 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Created container sentinel
06:16:47 Pod rfs-test-cluster-54df69f8df-8lqnn 854:	Started container sentinel
06:16:31 Pod rfs-test-cluster-54df69f8df-8rrgv 855:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8rrgv to acto-cluster-5-worker2
06:16:31 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Created container sentinel-config-copy
06:16:43 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Started container sentinel-config-copy
06:16:45 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Container image "redis:6.2.6-alpine" already present on machine
06:16:45 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Created container sentinel
06:16:45 Pod rfs-test-cluster-54df69f8df-8rrgv 862:	Started container sentinel
06:16:31 Pod rfs-test-cluster-54df69f8df-ttnpk 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ttnpk to acto-cluster-5-worker
06:16:31 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Container image "redis:6.2.6-alpine" already present on machine
06:16:31 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Created container sentinel-config-copy
06:16:44 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Started container sentinel-config-copy
06:16:46 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Container image "redis:6.2.6-alpine" already present on machine
06:16:46 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Created container sentinel
06:16:46 Pod rfs-test-cluster-54df69f8df-ttnpk 860:	Started container sentinel
06:16:31 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-8lqnn
06:16:31 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-ttnpk
06:16:31 ReplicaSet rfs-test-cluster-54df69f8df 848:	Created pod: rfs-test-cluster-54df69f8df-8rrgv
06:28:28 Pod rfs-test-cluster-5dfc5484bb-8n8rh 2423:	0/4 nodes are available: 1 node(s) had taint {node-role.kubernetes.io/master: }, that the pod didn't tolerate, 3 node(s) didn't match Pod's node affinity/selector.
06:38:31 Pod rfs-test-cluster-5dfc5484bb-8n8rh 3413:	skip schedule deleting pod: acto-namespace/rfs-test-cluster-5dfc5484bb-8n8rh
06:28:28 ReplicaSet rfs-test-cluster-5dfc5484bb 2420:	Created pod: rfs-test-cluster-5dfc5484bb-8n8rh
06:38:31 ReplicaSet rfs-test-cluster-5dfc5484bb 3411:	Deleted pod: rfs-test-cluster-5dfc5484bb-8n8rh
06:16:31 PodDisruptionBudget rfs-test-cluster 843:	No matching pods found
06:16:31 Deployment rfs-test-cluster 846:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
06:28:28 Deployment rfs-test-cluster 2419:	Scaled up replica set rfs-test-cluster-5dfc5484bb to 1
06:38:31 Deployment rfs-test-cluster 3408:	Scaled down replica set rfs-test-cluster-5dfc5484bb to 0
