Name,Owner,Desc,url,forks,stars,watches,created_at
spark-on-k8s-operator,GoogleCloudPlatform,Kubernetes operator for managing the lifecycle of Apache Spark applications on Kubernetes.,https://github.com/GoogleCloudPlatform/spark-on-k8s-operator,1210,2289,88,2018-01-03
ci-operator,openshift,,https://github.com/openshift/ci-operator,57,27,17,2018-01-29
kube-arangodb,arangodb,ArangoDB Kubernetes Operator - Start ArangoDB on Kubernetes in 5min,https://github.com/arangodb/kube-arangodb,69,212,36,2018-02-05
kooper,spotahome,Kooper is a simple Go library to create Kubernetes operators and controllers.,https://github.com/spotahome/kooper,44,462,42,2018-01-25
chart-operator,giantswarm,The chart-operator deploys Helm charts.,https://github.com/giantswarm/chart-operator,2,60,10,2018-02-23
rbac-manager,FairwindsOps,A Kubernetes operator that simplifies the management of Role Bindings and Service Accounts.,https://github.com/FairwindsOps/rbac-manager,107,1215,41,2018-03-13
bank-vaults,banzaicloud,"A Vault swiss-army knife: a K8s operator, Go client with automatic token renewal, automatic configuration, multiple unseal options and more. A CLI tool to init, unseal and configure Vault (auth methods, secret engines). Direct secret injection into Pods.",https://github.com/banzaicloud/bank-vaults,465,1821,44,2018-03-07
node-operator,christopherhein,[DEMO PURPOSES ONLY] Authorized Keys Operator and CRD,https://github.com/christopherhein/node-operator,0,2,2,2018-03-22
cluster-monitoring-operator,openshift,Manage the OpenShift monitoring stack,https://github.com/openshift/cluster-monitoring-operator,326,217,188,2018-04-11
cassandra-operator,instaclustr,Kubernetes operator for Apache Cassandra,https://github.com/instaclustr/cassandra-operator,62,235,19,2018-04-04
wordpress-operator,bitpoke,Bitpoke Kubernetes operator for WordPress,https://github.com/bitpoke/wordpress-operator,35,187,14,2018-04-25
dynatrace-oneagent-operator,Dynatrace,Kubernetes/Openshift Operator for managing Dynatrace OneAgent deployments,https://github.com/Dynatrace/dynatrace-oneagent-operator,50,87,18,2018-04-03
aerospike-operator,travelaudience,"Manages Aerospike clusters atop Kubernetes, automating their creation and administration.",https://github.com/travelaudience/aerospike-operator,5,25,5,2018-04-02
moodle-operator,SysBind,,https://github.com/SysBind/moodle-operator,0,0,3,2018-04-23
mpi-operator,kubeflow,"Kubernetes Operator for MPI-based applications (distributed training, HPC, etc.)",https://github.com/kubeflow/mpi-operator,182,298,37,2018-05-26
koperator,banzaicloud,Oh no! Yet another Apache Kafka operator for Kubernetes,https://github.com/banzaicloud/koperator,173,677,27,2018-05-27
pravega-operator,pravega,Pravega Kubernetes Operator,https://github.com/pravega/pravega-operator,35,39,31,2018-05-13
envoy-operator,solo-io,Envoy Operator creates/configures/manages Envoy clusters atop Kubernetes,https://github.com/solo-io/envoy-operator,15,153,57,2018-05-04
radix-operator,equinor,The operator for the Radix platform,https://github.com/equinor/radix-operator,1,10,4,2018-05-28
logging-operator,kube-logging,Logging operator for Kubernetes,https://github.com/kube-logging/logging-operator,268,1114,36,2018-06-26
kuberhealthy,kuberhealthy,A Kubernetes operator for running synthetic checks as pods. Works great with Prometheus!,https://github.com/kuberhealthy/kuberhealthy,231,1653,26,2018-06-19
rpaas-operator,tsuru,RPaaS operator manages reverse proxy as service instances inside a Kubernetes cluster,https://github.com/tsuru/rpaas-operator,21,28,13,2018-06-28
nginx-operator,tsuru,Nginx Operator manages nginx instances inside a Kubernetes cluster.,https://github.com/tsuru/nginx-operator,16,26,14,2018-06-26
flux-operator,justinbarrick,"Operator for creating and managing Weaveworks Flux, helm-operator, and Tiller instances",https://github.com/justinbarrick/flux-operator,9,65,5,2018-06-16
pgo-osb,CrunchyData,Open Service Broker Implementation Based on the Crunchy PostgreSQL Operator,https://github.com/CrunchyData/pgo-osb,14,13,11,2018-06-21
edge-cloud-infra,mobiledgex,Operator Side Infrastructure Utilities for Edge-Cloud,https://github.com/mobiledgex/edge-cloud-infra,4,2,6,2018-06-11
release-operator,giantswarm,The release-operator manages chart configs for new releases.,https://github.com/giantswarm/release-operator,0,6,5,2018-06-22
zookeeper-operator,pravega,Kubernetes Operator for Zookeeper,https://github.com/pravega/zookeeper-operator,168,315,37,2018-07-10
machine-config-operator,openshift,,https://github.com/openshift/machine-config-operator,348,216,31,2018-07-25
machine-api-operator,openshift,Machine API operator,https://github.com/openshift/machine-api-operator,184,134,22,2018-07-19
cluster-version-operator,openshift,,https://github.com/openshift/cluster-version-operator,166,71,24,2018-07-25
nats-streaming-operator,nats-io,NATS Streaming Operator,https://github.com/nats-io/nats-streaming-operator,46,172,10,2018-07-23
m3db-operator,m3db,Kubernetes operator for M3DB,https://github.com/m3db/m3db-operator,33,134,10,2018-07-19
hpa-operator,banzaicloud,Horizontal Pod Autoscaler operator for Kubernetes. Annotate and let the HPA operator do the rest.,https://github.com/banzaicloud/hpa-operator,32,238,13,2018-07-20
sso-operator,ccojocar,Single Sign-On Kubernetes operator for Dex identity provider,https://github.com/ccojocar/sso-operator,19,78,9,2018-07-23
cluster-operator,storageos,"cluster-operator creates, configures and helps manage StorageOS cluster on Kubernetes",https://github.com/storageos/cluster-operator,19,67,13,2018-07-21
Konfigurator,stakater,A kubernetes operator that dynamically generates and manages app configuration based on kubernetes resources  – [✩Star] if you're using it!,https://github.com/stakater/Konfigurator,9,74,3,2018-07-26
ember-csi-operator,embercsi,Operator to create/configure/manage Ember CSI Driver atop Kubernetes/OpenShift,https://github.com/embercsi/ember-csi-operator,6,3,3,2018-07-27
zy-es-operator,zyseeker,,https://github.com/zyseeker/zy-es-operator,0,1,1,2018-07-04
tidb-operator,pingcap,TiDB operator creates and manages TiDB clusters running in Kubernetes.,https://github.com/pingcap/tidb-operator,436,1073,110,2018-08-07
jaeger-operator,jaegertracing,Jaeger Operator for Kubernetes simplifies deploying and running Jaeger on Kubernetes.,https://github.com/jaegertracing/jaeger-operator,311,907,19,2018-08-28
operator-marketplace,operator-framework,Marketplace Operator,https://github.com/operator-framework/operator-marketplace,94,96,17,2018-08-28
cluster-network-operator,openshift,Create and manage cluster networking configuration,https://github.com/openshift/cluster-network-operator,191,85,28,2018-08-31
istio-operator,maistra,,https://github.com/maistra/istio-operator,97,87,19,2018-08-14
cluster-ingress-operator,openshift,The Cluster Ingress Operator manages highly available network ingress for OpenShift,https://github.com/openshift/cluster-ingress-operator,167,59,24,2018-08-16
cluster-kube-apiserver-operator,openshift,The kube-apiserver operator installs and maintains the kube-apiserver on a cluster,https://github.com/openshift/cluster-kube-apiserver-operator,143,60,21,2018-08-20
cluster-logging-operator,openshift,Operator to support logging subsystem of OpenShift,https://github.com/openshift/cluster-logging-operator,121,83,21,2018-08-29
elasticsearch-operator,openshift,,https://github.com/openshift/elasticsearch-operator,89,63,19,2018-08-29
local-storage-operator,openshift,Operator for local storage,https://github.com/openshift/local-storage-operator,62,52,17,2018-08-31
cluster-image-registry-operator,openshift,The image registry operator installs+maintains the internal registry on a cluster,https://github.com/openshift/cluster-image-registry-operator,101,54,18,2018-08-17
externalsecret-operator,ContainerSolutions,An operator to fetch secrets from cloud services and inject them in Kubernetes,https://github.com/ContainerSolutions/externalsecret-operator,27,192,11,2018-08-05
cluster-dns-operator,openshift,The Cluster DNS Operator manages cluster DNS services for OpenShift,https://github.com/openshift/cluster-dns-operator,77,35,22,2018-08-16
cluster-storage-operator,openshift,Operator that sets OCP cluster wide storage defaults,https://github.com/openshift/cluster-storage-operator,81,31,16,2018-08-31
cluster-samples-operator,openshift,The samples operator installs+maintains the sample templates+imagestreams on a cluster,https://github.com/openshift/cluster-samples-operator,74,26,16,2018-08-17
mxnet-operator,kubeflow,A Kubernetes operator for mxnet jobs,https://github.com/kubeflow/mxnet-operator,34,53,25,2018-08-23
camel-k,apache,"Apache Camel K is a lightweight integration platform, born on Kubernetes, with serverless superpowers",https://github.com/apache/camel-k,301,763,58,2018-08-31
ci-operator-prowgen,openshift,A generator for Prow job configuration from CI Operator configuration,https://github.com/openshift/ci-operator-prowgen,21,8,18,2018-08-23
istio-cloud-map,tetratelabs,An operator for syncing Cloud Map data into Istio,https://github.com/tetratelabs/istio-cloud-map,4,43,5,2018-08-02
s3-operator,agill17,☁️ ⎈ A kubernetes operator to  create/manage AWS S3 bucket,https://github.com/agill17/s3-operator,2,13,1,2018-08-12
KubernetesPodOperator,jinghzhu,Example of Controller for Pod resources in Kubernetes,https://github.com/jinghzhu/KubernetesPodOperator,1,2,2,2018-08-13
aws-service-operator,amazon-archives,AWS Service Operator allows you to create AWS resources using kubectl.,https://github.com/amazon-archives/aws-service-operator,103,737,58,2018-09-10
operator,halkyonio,Kubernetes Operator simplifying the development of microservices on k8s !,https://github.com/halkyonio/operator,14,40,6,2018-09-28
console-operator,openshift,The console operator installs and maintains the web console on a cluster,https://github.com/openshift/console-operator,109,38,21,2018-09-10
flagger,fluxcd,"Progressive delivery Kubernetes operator (Canary, A/B Testing and Blue/Green deployments)",https://github.com/fluxcd/flagger,632,4157,59,2018-09-19
cluster-node-tuning-operator,openshift,Manage node-level tuning by orchestrating the tuned daemon.,https://github.com/openshift/cluster-node-tuning-operator,69,66,18,2018-09-24
cluster-kube-controller-manager-operator,openshift,The kube-controller-manager operator installs and maintains the kube-controller-manager on a cluster,https://github.com/openshift/cluster-kube-controller-manager-operator,106,36,16,2018-09-12
kie-cloud-operator,kiegroup,OCP Operator for KIE,https://github.com/kiegroup/kie-cloud-operator,39,28,11,2018-09-12
cluster-openshift-apiserver-operator,openshift,The openshift-apiserver operator installs and maintains the openshift-apiserver on a cluster,https://github.com/openshift/cluster-openshift-apiserver-operator,74,23,16,2018-09-12
service-ca-operator,openshift,Controller to mint and manage serving certificates for Kubernetes services,https://github.com/openshift/service-ca-operator,59,36,16,2018-09-10
cluster-kube-scheduler-operator,openshift,Installs and maintains the kube-scheduler on a cluster.,https://github.com/openshift/cluster-kube-scheduler-operator,68,21,19,2018-09-24
cluster-openshift-controller-manager-operator,openshift,The openshift-controller-manager operator installs and maintains the openshift-controller-manager on a cluster,https://github.com/openshift/cluster-openshift-controller-manager-operator,63,13,157,2018-09-12
mloperator,polyaxon,Machine Learning Operator & Controller for Kubernetes,https://github.com/polyaxon/mloperator,7,86,3,2018-09-13
paddle-on-k8s-operator,baidu,Kubernetes operator for managing the lifecycle of PaddlePaddle job.,https://github.com/baidu/paddle-on-k8s-operator,7,24,11,2018-09-25
kong-operator,troposhq,A Kong Operator for Kubernetes. WIP,https://github.com/troposhq/kong-operator,0,2,1,2018-09-22
terraform-operator,krubot,Simple operator to automate terraform configuration creation on kubernetes,https://github.com/krubot/terraform-operator,1,2,3,2018-09-23
operator-registry,operator-framework,Operator Registry runs in a Kubernetes or OpenShift cluster to provide operator catalog data to Operator Lifecycle Manager.,https://github.com/operator-framework/operator-registry,225,181,20,2018-10-09
percona-server-mongodb-operator,percona,Percona Operator for MongoDB,https://github.com/percona/percona-server-mongodb-operator,111,231,46,2018-10-03
percona-xtradb-cluster-operator,percona,Percona Operator for MySQL based on Percona XtraDB Cluster,https://github.com/percona/percona-xtradb-cluster-operator,165,418,53,2018-10-24
service-level-operator,spotahome,Manage application's SLI and SLO's easily with the application lifecycle inside a Kubernetes cluster,https://github.com/spotahome/service-level-operator,34,281,39,2018-10-31
cluster-autoscaler-operator,openshift,Manage Kubernetes cluster-autoscaler deployments,https://github.com/openshift/cluster-autoscaler-operator,63,35,14,2018-10-17
quarks-operator,cloudfoundry-incubator,BOSH releases deployed on Kubernetes,https://github.com/cloudfoundry-incubator/quarks-operator,36,52,16,2018-10-24
cluster-kube-descheduler-operator,openshift,An operator to run descheduler on OpenShift.,https://github.com/openshift/cluster-kube-descheduler-operator,37,35,17,2018-10-16
cluster-nfd-operator,openshift,The Cluster Node Feature Discovery operator manages detection of hardware features and configuration in a Openshift cluster.,https://github.com/openshift/cluster-nfd-operator,38,32,15,2018-10-26
multicluster-controller,admiraltyio,A Library for Building Hybrid and Multicloud Kubernetes Operators,https://github.com/admiraltyio/multicluster-controller,20,233,12,2018-10-18
dex-operator,SUSE,A Kubernetes operator for Dex,https://github.com/SUSE/dex-operator,12,16,18,2018-10-10
kube-fledged,senthilrch,"A kubernetes operator for creating and managing a cache of container images directly on the cluster worker nodes, so application pods start almost instantly",https://github.com/senthilrch/kube-fledged,95,927,20,2018-10-26
ipam,inwinstack,The IPAM provides two custom resource to implement IP address allocation.  :hatching_chick::hatching_chick::hatching_chick:,https://github.com/inwinstack/ipam,4,8,5,2018-10-16
newrelic-operator,sstarcher,Kubernetes Operator for managing New Relic resources,https://github.com/sstarcher/newrelic-operator,4,5,4,2018-10-14
kms-operator,kubaj,,https://github.com/kubaj/kms-operator,1,27,2,2018-10-03
redis-operator,anywhy,Redis operator creates and manages redis clusters(replica cluster & rediscluster) running in Kubernetes.(WIP),https://github.com/anywhy/redis-operator,0,4,2,2018-10-31
memcached-operator,edwardstudy,,https://github.com/edwardstudy/memcached-operator,0,0,1,2018-10-25
auth-operator,agilestacks,Kubernetes Auth operator based on Dex and oauth2_proxy,https://github.com/agilestacks/auth-operator,0,0,11,2018-10-22
operator-sdk-mock,EMCECS,,https://github.com/EMCECS/operator-sdk-mock,0,0,5,2018-10-08
KubeOperator,KubeOperator,KubeOperator 是一个开源的轻量级 Kubernetes 发行版，专注于帮助企业规划、部署和运营生产级别的 K8s 集群。,https://github.com/KubeOperator/KubeOperator,829,4618,149,2018-11-19
kudo,kudobuilder,Kubernetes Universal Declarative Operator (KUDO),https://github.com/kudobuilder/kudo,100,1088,24,2018-11-21
che-operator,eclipse-che,,https://github.com/eclipse-che/che-operator,77,59,31,2018-11-21
aws-secret-operator,mumoshu,A Kubernetes operator that automatically creates and updates Kubernetes secrets according to what are stored in AWS Secrets Manager.,https://github.com/mumoshu/aws-secret-operator,43,303,7,2018-11-30
3scale-operator,3scale,Openshift operator to install a 3scale API Management solution,https://github.com/3scale/3scale-operator,86,36,13,2018-11-21
cloud-operators,IBM,Provision and bind IBM Cloud services to your Kubernetes cluster in a Kubernetes-native way,https://github.com/IBM/cloud-operators,31,41,16,2018-11-29
hawtio-operator,hawtio,Operator for Hawtio on OpenShift,https://github.com/hawtio/hawtio-operator,16,6,7,2018-11-26
synopsys-operator,blackducksoftware,Archived and moved this to https://github.com/blackducksoftware/synopsysctl,https://github.com/blackducksoftware/synopsys-operator,14,8,7,2018-11-13
hyperledger-fabric-operator,KompiTech,Hyperledger Fabric Kubernetes operator - scale and automate management of Hyperledger Fabric blockchain infrastructure,https://github.com/KompiTech/hyperledger-fabric-operator,10,26,13,2018-11-16
registries-operator,SUSE,A Kubernetes operator for images registries,https://github.com/SUSE/registries-operator,8,12,17,2018-11-02
operator,libopenstorage,Storage operator for Kubernetes,https://github.com/libopenstorage/operator,29,29,22,2018-12-13
ocs-operator,red-hat-storage,Operator for RHOCS,https://github.com/red-hat-storage/ocs-operator,161,80,27,2018-12-13
scylla-operator,scylladb,The Kubernetes Operator for ScyllaDB,https://github.com/scylladb/scylla-operator,126,252,32,2018-12-11
cluster-etcd-operator,openshift,Operator to manage the lifecycle of the etcd members of an OpenShift cluster,https://github.com/openshift/cluster-etcd-operator,104,69,19,2018-12-14
cloud-credential-operator,openshift,Manage cloud provider credentials as Kubernetes CRDs,https://github.com/openshift/cloud-credential-operator,117,48,20,2018-12-21
cluster-authentication-operator,openshift,OpenShift operator for the top level Authentication and OAuth configs.,https://github.com/openshift/cluster-authentication-operator,85,38,15,2018-12-03
cdap-operator,cdapio,CDAP Kubernetes Operator,https://github.com/cdapio/cdap-operator,20,18,40,2018-12-11
gravity-operator,moiot,,https://github.com/moiot/gravity-operator,5,25,8,2018-12-27
app-operator,giantswarm,The app-operator manages apps in Kubernetes clusters.,https://github.com/giantswarm/app-operator,2,20,15,2018-12-11
kubedge-operator-arpscan,kubedge,GOLANG Operator Framework based KUBEDGE Operator,https://github.com/kubedge/kubedge-operator-arpscan,0,0,4,2018-12-11
myapp-operator,chrisduong,,https://github.com/chrisduong/myapp-operator,0,0,2,2018-12-10
clickhouse-operator,Altinity,"The Altinity Operator for ClickHouse creates, configures and manages ClickHouse clusters running on Kubernetes",https://github.com/Altinity/clickhouse-operator,346,1242,22,2019-01-10
grafana-operator,grafana-operator,"An operator for Grafana that installs and manages Grafana instances, Dashboards and Datasources through Kubernetes/OpenShift CRs",https://github.com/grafana-operator/grafana-operator,301,549,16,2019-01-24
baremetal-operator,metal3-io,Bare metal host provisioning integration for Kubernetes,https://github.com/metal3-io/baremetal-operator,209,418,35,2019-01-23
istio-operator,banzaicloud,An operator that manages Istio deployments on Kubernetes,https://github.com/banzaicloud/istio-operator,90,529,21,2019-01-29
infinispan-operator,infinispan,Infinispan Operator,https://github.com/infinispan/infinispan-operator,44,33,10,2019-01-14
k8up,k8up-io,Kubernetes and OpenShift Backup Operator,https://github.com/k8up-io/k8up,36,393,12,2019-01-17
cluster-config-operator,openshift,The canonical location for OpenShift cluster configuration,https://github.com/openshift/cluster-config-operator,103,23,172,2019-01-08
podset-operator,xcoulon,An example of Kubernetes Operator using the Operator SDK,https://github.com/xcoulon/podset-operator,31,45,2,2019-02-01
application-monitoring-operator,integr8ly,"Operator for installing the Application Monitoring Stack on OpenShift (Prometheus, AlertManager, Grafana)",https://github.com/integr8ly/application-monitoring-operator,46,31,17,2019-01-24
ocp-release-operator-sdk,openshift,,https://github.com/openshift/ocp-release-operator-sdk,29,14,13,2019-01-14
lyra-operator,lyraproj,,https://github.com/lyraproj/lyra-operator,4,2,2,2019-01-10
backup-restore-operator,tomgeorge,,https://github.com/tomgeorge/backup-restore-operator,3,2,1,2019-01-26
alerterator,nais,Cluster operator handling Alertmanager config using Alert resources.,https://github.com/nais/alerterator,4,0,6,2019-01-09
prometheus-operator,myonlyzzy,a simple prometheus operator,https://github.com/myonlyzzy/prometheus-operator,0,0,1,2019-01-08
edb-operator,UnlawfulMonad,Manages external databases with Kubernetes CRDs,https://github.com/UnlawfulMonad/edb-operator,0,0,1,2019-01-31
cluster-operator,rabbitmq,RabbitMQ Cluster Kubernetes Operator,https://github.com/rabbitmq/cluster-operator,213,597,22,2019-02-12
hyperconverged-cluster-operator,kubevirt,Operator pattern for managing multi-operator products,https://github.com/kubevirt/hyperconverged-cluster-operator,128,106,10,2019-03-01
gpu-operator,NVIDIA,NVIDIA GPU Operator creates/configures/manages GPUs atop Kubernetes,https://github.com/NVIDIA/gpu-operator,162,729,40,2019-02-26
fluent-operator,fluent,Operate Fluent Bit and Fluentd in the Kubernetes way - Previously known as FluentBit Operator,https://github.com/fluent/fluent-operator,133,380,22,2019-02-14
quay-operator,quay,Operator for deploying and managing Quay,https://github.com/quay/quay-operator,71,104,19,2019-02-26
kubebuilder-declarative-pattern,kubernetes-sigs,A toolkit for building declarative operators with kubebuilder,https://github.com/kubernetes-sigs/kubebuilder-declarative-pattern,76,189,16,2019-02-19
s2ioperator,kubesphere,Operator for Source to image,https://github.com/kubesphere/s2ioperator,27,41,4,2019-02-28
nodepool-labels-operator,banzaicloud,Nodepool Labels operator for Kubernetes,https://github.com/banzaicloud/nodepool-labels-operator,10,69,3,2019-02-10
nifi-stateless-operator,B23admin,An Operator for scheduling and executing NiFi Flows as Jobs on Kubernetes,https://github.com/B23admin/nifi-stateless-operator,13,52,3,2019-02-08
activemq-artemis-operator,rh-messaging,,https://github.com/rh-messaging/activemq-artemis-operator,19,21,24,2019-03-01
cluster-svcat-apiserver-operator,openshift,Installs and maintains a singleton instance of the OpenShift Service Catalog API Server on a cluster,https://github.com/openshift/cluster-svcat-apiserver-operator,23,3,14,2019-02-08
picchu,Medium,Medium Picchu Kubernetes Operator,https://github.com/Medium/picchu,6,17,63,2019-02-08
rabbitmq-operator,tekliner,RabbitMQ Kubernetes operator,https://github.com/tekliner/rabbitmq-operator,6,17,11,2019-02-22
backup-controller,justinbarrick,Kubernetes operator that uses the CSI Volume Snapshot API to manage backups of your Persistent Volumes,https://github.com/justinbarrick/backup-controller,4,12,0,2019-02-21
rancher-operator,barpilot,A k8s operator to add some feature to rancher,https://github.com/barpilot/rancher-operator,2,1,2,2019-02-28
iot-simulator-operator,ctron,Kubernetes operator for the IoT simulator,https://github.com/ctron/iot-simulator-operator,0,3,3,2019-02-04
systemd-operator,mmlt,,https://github.com/mmlt/systemd-operator,0,0,2,2019-02-15
example-operator,jewzaam,Simple example operator installed via CatalogSource to test OCP 4.2 OperatorGroup serviceAccountRef,https://github.com/jewzaam/example-operator,1,0,2,2019-02-19
kubernetes-grafana-operator,headcr4sh,[Work-in-progress] Kubernetes operator for Grafana,https://github.com/headcr4sh/kubernetes-grafana-operator,0,0,1,2019-02-22
shell-operator,flant,Shell-operator is a tool for running event-driven scripts in a Kubernetes cluster,https://github.com/flant/shell-operator,178,1946,31,2019-03-22
es-operator,zalando-incubator,Kubernetes Operator for Elasticsearch,https://github.com/zalando-incubator/es-operator,40,341,13,2019-03-28
mattermost-operator,mattermost,Mattermost Operator for Kubernetes,https://github.com/mattermost/mattermost-operator,57,88,37,2019-03-07
integreatly-operator,integr8ly,An Openshift Operator based on the Operator SDK for installing and reconciling Integreatly services,https://github.com/integr8ly/integreatly-operator,96,28,8,2019-04-01
cluster-addons,kubernetes-sigs,Addon operators for Kubernetes clusters.,https://github.com/kubernetes-sigs/cluster-addons,47,148,15,2019-03-20
addon-operator,flant,"A system to manage additional components for Kubernetes cluster in a simple, consistent and automated way.",https://github.com/flant/addon-operator,23,425,16,2019-03-04
coherence-operator,oracle,Oracle Coherence Operator,https://github.com/oracle/coherence-operator,26,92,21,2019-03-18
certman-operator,openshift,Operator to Manage Let's Encrypt certificates for OpenShift Clusters,https://github.com/openshift/certman-operator,47,34,42,2019-03-13
devworkspace-operator,devfile,,https://github.com/devfile/devworkspace-operator,39,44,16,2019-03-11
aws-account-operator,openshift,Operator to manage pool of AWS accounts for Hive,https://github.com/openshift/aws-account-operator,59,30,47,2019-03-08
pagerduty-operator,openshift,A PagerDuty Operator that lives on Hive,https://github.com/openshift/pagerduty-operator,51,17,37,2019-03-13
configure-alertmanager-operator,openshift,Operator to configure Alertmanager with PagerDuty and DMS.,https://github.com/openshift/configure-alertmanager-operator,70,18,42,2019-03-06
cluster-network-addons-operator,kubevirt,Deploy additional networking components on top of your Kubernetes cluster,https://github.com/kubevirt/cluster-network-addons-operator,40,57,9,2019-03-11
deadmanssnitch-operator,openshift,Operator to manage deadmanssnitch configs for Openshift Dedicated,https://github.com/openshift/deadmanssnitch-operator,51,9,40,2019-03-19
node-maintenance-operator,kubevirt,A Kubernetes Operator to manage node maintenance through NodeMaintenance custom resources,https://github.com/kubevirt/node-maintenance-operator,26,40,13,2019-03-25
common,kubeflow,Common APIs and libraries shared by other Kubeflow operator repositories.,https://github.com/kubeflow/common,69,47,22,2019-03-28
vmq-operator,vernemq,VerneMQ Operator creates/configures/manages VerneMQ clusters atop Kubernetes,https://github.com/vernemq/vmq-operator,20,28,5,2019-03-27
akka-cluster-operator,lightbend,Run Akka Cluster applications in Kubernetes.,https://github.com/lightbend/akka-cluster-operator,17,71,22,2019-03-25
instana-agent-operator,instana,A Kubernetes operator to install and manage the Instana agent.,https://github.com/instana/instana-agent-operator,17,40,47,2019-03-11
