22:42:55 Pod redis-operator-54fb85ff56-tzxjs 831:	Successfully assigned redis-operator/redis-operator-54fb85ff56-tzxjs to acto-cluster-15-worker2
22:47:53 Pod test-cluster-follower-0 2070:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-15-worker2
22:47:56 Pod test-cluster-follower-0 2072:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:47:56 Pod test-cluster-follower-0 2072:	Created container test-cluster-follower
22:47:57 Pod test-cluster-follower-0 2072:	Started container test-cluster-follower
22:51:04 Pod test-cluster-follower-0 2072:	Stopping container test-cluster-follower
22:51:35 Pod test-cluster-follower-0 2860:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-15-worker2
22:51:36 Pod test-cluster-follower-0 2861:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:36 Pod test-cluster-follower-0 2861:	Created container test-cluster-follower
22:51:38 Pod test-cluster-follower-0 2861:	Started container test-cluster-follower
22:51:38 Pod test-cluster-follower-0 2861:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:38 Pod test-cluster-follower-0 2861:	Created container redis-exporter
22:51:39 Pod test-cluster-follower-0 2861:	Started container redis-exporter
22:54:46 Pod test-cluster-follower-0 2861:	Stopping container test-cluster-follower
22:54:46 Pod test-cluster-follower-0 2861:	Stopping container redis-exporter
22:55:17 Pod test-cluster-follower-0 3651:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-15-worker2
22:55:20 Pod test-cluster-follower-0 3654:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:55:21 Pod test-cluster-follower-0 3654:	Created container test-cluster-follower
22:55:22 Pod test-cluster-follower-0 3654:	Started container test-cluster-follower
22:58:30 Pod test-cluster-follower-0 3654:	Stopping container test-cluster-follower
22:59:01 Pod test-cluster-follower-0 4443:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-15-worker2
22:59:03 Pod test-cluster-follower-0 4445:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:59:03 Pod test-cluster-follower-0 4445:	Created container test-cluster-follower
22:59:04 Pod test-cluster-follower-0 4445:	Started container test-cluster-follower
22:59:04 Pod test-cluster-follower-0 4445:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:59:05 Pod test-cluster-follower-0 4445:	Created container redis-exporter
22:59:06 Pod test-cluster-follower-0 4445:	Started container redis-exporter
22:43:39 Pod test-cluster-follower-1 1046:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-15-worker3
22:43:41 Pod test-cluster-follower-1 1112:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:43:41 Pod test-cluster-follower-1 1112:	Created container test-cluster-follower
22:43:44 Pod test-cluster-follower-1 1112:	Started container test-cluster-follower
22:43:44 Pod test-cluster-follower-1 1112:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:43:44 Pod test-cluster-follower-1 1112:	Created container redis-exporter
22:43:45 Pod test-cluster-follower-1 1112:	Started container redis-exporter
22:46:21 Pod test-cluster-follower-1 1112:	Stopping container test-cluster-follower
22:46:21 Pod test-cluster-follower-1 1112:	Stopping container redis-exporter
22:46:52 Pod test-cluster-follower-1 1838:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-15-worker3
22:46:53 Pod test-cluster-follower-1 1839:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:46:53 Pod test-cluster-follower-1 1839:	Created container test-cluster-follower
22:46:55 Pod test-cluster-follower-1 1839:	Started container test-cluster-follower
22:50:01 Pod test-cluster-follower-1 1839:	Stopping container test-cluster-follower
22:50:34 Pod test-cluster-follower-1 2627:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-15-worker3
22:50:35 Pod test-cluster-follower-1 2628:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:50:35 Pod test-cluster-follower-1 2628:	Created container test-cluster-follower
22:50:37 Pod test-cluster-follower-1 2628:	Started container test-cluster-follower
22:50:37 Pod test-cluster-follower-1 2628:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:50:37 Pod test-cluster-follower-1 2628:	Created container redis-exporter
22:50:38 Pod test-cluster-follower-1 2628:	Started container redis-exporter
22:53:44 Pod test-cluster-follower-1 2628:	Stopping container test-cluster-follower
22:53:44 Pod test-cluster-follower-1 2628:	Stopping container redis-exporter
22:54:16 Pod test-cluster-follower-1 3411:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-15-worker3
22:54:18 Pod test-cluster-follower-1 3412:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:54:18 Pod test-cluster-follower-1 3412:	Created container test-cluster-follower
22:54:19 Pod test-cluster-follower-1 3412:	Started container test-cluster-follower
22:57:28 Pod test-cluster-follower-1 3412:	Stopping container test-cluster-follower
22:57:59 Pod test-cluster-follower-1 4217:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-15-worker3
22:58:01 Pod test-cluster-follower-1 4219:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:58:01 Pod test-cluster-follower-1 4219:	Created container test-cluster-follower
22:58:02 Pod test-cluster-follower-1 4219:	Started container test-cluster-follower
22:58:02 Pod test-cluster-follower-1 4219:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:58:03 Pod test-cluster-follower-1 4219:	Created container redis-exporter
22:58:04 Pod test-cluster-follower-1 4219:	Started container redis-exporter
22:44:13 Pod test-cluster-follower-2 1235:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
22:44:14 Pod test-cluster-follower-2 1277:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:44:14 Pod test-cluster-follower-2 1277:	Created container test-cluster-follower
22:44:15 Pod test-cluster-follower-2 1277:	Started container test-cluster-follower
22:44:15 Pod test-cluster-follower-2 1277:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:44:15 Pod test-cluster-follower-2 1277:	Created container redis-exporter
22:44:17 Pod test-cluster-follower-2 1277:	Started container redis-exporter
22:45:20 Pod test-cluster-follower-2 1277:	Stopping container test-cluster-follower
22:45:20 Pod test-cluster-follower-2 1277:	Stopping container redis-exporter
22:45:50 Pod test-cluster-follower-2 1609:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
22:45:53 Pod test-cluster-follower-2 1610:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:45:53 Pod test-cluster-follower-2 1610:	Created container test-cluster-follower
22:45:54 Pod test-cluster-follower-2 1610:	Started container test-cluster-follower
22:48:59 Pod test-cluster-follower-2 1610:	Stopping container test-cluster-follower
22:49:31 Pod test-cluster-follower-2 2396:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
22:49:33 Pod test-cluster-follower-2 2397:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:49:33 Pod test-cluster-follower-2 2397:	Created container test-cluster-follower
22:49:34 Pod test-cluster-follower-2 2397:	Started container test-cluster-follower
22:49:34 Pod test-cluster-follower-2 2397:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:49:34 Pod test-cluster-follower-2 2397:	Created container redis-exporter
22:49:36 Pod test-cluster-follower-2 2397:	Started container redis-exporter
22:52:43 Pod test-cluster-follower-2 2397:	Stopping container test-cluster-follower
22:52:43 Pod test-cluster-follower-2 2397:	Stopping container redis-exporter
22:53:14 Pod test-cluster-follower-2 3181:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
22:53:15 Pod test-cluster-follower-2 3185:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:53:15 Pod test-cluster-follower-2 3185:	Created container test-cluster-follower
22:53:17 Pod test-cluster-follower-2 3185:	Started container test-cluster-follower
22:56:27 Pod test-cluster-follower-2 3185:	Stopping container test-cluster-follower
22:56:58 Pod test-cluster-follower-2 3970:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
22:57:00 Pod test-cluster-follower-2 3975:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:57:00 Pod test-cluster-follower-2 3975:	Created container test-cluster-follower
22:57:01 Pod test-cluster-follower-2 3975:	Started container test-cluster-follower
22:57:01 Pod test-cluster-follower-2 3975:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:57:01 Pod test-cluster-follower-2 3975:	Created container redis-exporter
22:57:03 Pod test-cluster-follower-2 3975:	Started container redis-exporter
23:00:09 Pod test-cluster-follower-2 3975:	Stopping container test-cluster-follower
23:00:09 Pod test-cluster-follower-2 3975:	Stopping container redis-exporter
23:10:11 Pod test-cluster-follower-2 6204:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-15-worker
23:10:12 Pod test-cluster-follower-2 6205:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:10:12 Pod test-cluster-follower-2 6205:	Created container test-cluster-follower
23:10:13 Pod test-cluster-follower-2 6205:	Started container test-cluster-follower
23:10:13 Pod test-cluster-follower-2 6205:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:10:13 Pod test-cluster-follower-2 6205:	Created container redis-exporter
23:10:15 Pod test-cluster-follower-2 6205:	Started container redis-exporter
22:42:58 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 879:	waiting for first consumer to be created before binding
22:42:58 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:42:58 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
22:43:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	Successfully provisioned volume pvc-e8153ef1-f9c8-4659-a2c5-43f8c57d9cb4
22:43:34 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1043:	waiting for first consumer to be created before binding
22:43:34 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1050:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:43:34 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1050:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
22:43:38 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1050:	Successfully provisioned volume pvc-55c6564a-70b7-4e08-9d4e-02817c89108b
22:44:09 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1229:	waiting for first consumer to be created before binding
22:44:09 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1242:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:44:09 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1242:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
22:44:12 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1242:	Successfully provisioned volume pvc-058b577e-0418-495f-81d5-3440622c03fd
22:42:58 StatefulSet test-cluster-follower 877:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
22:42:58 StatefulSet test-cluster-follower 877:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
22:43:34 StatefulSet test-cluster-follower 885:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
22:43:34 StatefulSet test-cluster-follower 885:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
22:44:09 StatefulSet test-cluster-follower 1048:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
22:44:09 StatefulSet test-cluster-follower 1048:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
22:45:20 StatefulSet test-cluster-follower 1501:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
22:46:21 StatefulSet test-cluster-follower 1613:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
22:47:22 StatefulSet test-cluster-follower 1843:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
23:00:40 StatefulSet test-cluster-follower 4750:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower failed error: pods "test-cluster-follower-2" is forbidden: no PriorityClass with name ACTOKEY was found
22:43:03 Pod test-cluster-leader-0 855:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-15-worker2
22:43:04 Pod test-cluster-leader-0 938:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:43:04 Pod test-cluster-leader-0 938:	Created container test-cluster-leader
22:43:06 Pod test-cluster-leader-0 938:	Started container test-cluster-leader
22:43:06 Pod test-cluster-leader-0 938:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:43:06 Pod test-cluster-leader-0 938:	Created container redis-exporter
22:43:07 Pod test-cluster-leader-0 938:	Started container redis-exporter
22:47:21 Pod test-cluster-leader-0 938:	Stopping container test-cluster-leader
22:47:21 Pod test-cluster-leader-0 938:	Stopping container redis-exporter
22:47:52 Pod test-cluster-leader-0 2053:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-15-worker2
22:47:54 Pod test-cluster-leader-0 2056:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:47:54 Pod test-cluster-leader-0 2056:	Created container test-cluster-leader
22:47:55 Pod test-cluster-leader-0 2056:	Started container test-cluster-leader
22:51:03 Pod test-cluster-leader-0 2056:	Stopping container test-cluster-leader
22:51:34 Pod test-cluster-leader-0 2840:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-15-worker2
22:51:35 Pod test-cluster-leader-0 2841:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:35 Pod test-cluster-leader-0 2841:	Created container test-cluster-leader
22:51:36 Pod test-cluster-leader-0 2841:	Started container test-cluster-leader
22:51:36 Pod test-cluster-leader-0 2841:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:36 Pod test-cluster-leader-0 2841:	Created container redis-exporter
22:51:38 Pod test-cluster-leader-0 2841:	Started container redis-exporter
22:54:46 Pod test-cluster-leader-0 2841:	Stopping container test-cluster-leader
22:54:46 Pod test-cluster-leader-0 2841:	Stopping container redis-exporter
22:55:17 Pod test-cluster-leader-0 3636:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-15-worker2
22:55:20 Pod test-cluster-leader-0 3639:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:55:20 Pod test-cluster-leader-0 3639:	Created container test-cluster-leader
22:55:21 Pod test-cluster-leader-0 3639:	Started container test-cluster-leader
22:58:30 Pod test-cluster-leader-0 3639:	Stopping container test-cluster-leader
22:59:01 Pod test-cluster-leader-0 4440:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-15-worker2
22:59:03 Pod test-cluster-leader-0 4441:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:59:03 Pod test-cluster-leader-0 4441:	Created container test-cluster-leader
22:59:04 Pod test-cluster-leader-0 4441:	Started container test-cluster-leader
22:59:04 Pod test-cluster-leader-0 4441:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:59:04 Pod test-cluster-leader-0 4441:	Created container redis-exporter
22:59:05 Pod test-cluster-leader-0 4441:	Started container redis-exporter
22:43:39 Pod test-cluster-leader-1 1065:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-15-worker3
22:43:41 Pod test-cluster-leader-1 1115:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:43:41 Pod test-cluster-leader-1 1115:	Created container test-cluster-leader
22:43:44 Pod test-cluster-leader-1 1115:	Started container test-cluster-leader
22:43:44 Pod test-cluster-leader-1 1115:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:43:44 Pod test-cluster-leader-1 1115:	Created container redis-exporter
22:43:45 Pod test-cluster-leader-1 1115:	Started container redis-exporter
22:46:20 Pod test-cluster-leader-1 1115:	Stopping container test-cluster-leader
22:46:20 Pod test-cluster-leader-1 1115:	Stopping container redis-exporter
22:46:51 Pod test-cluster-leader-1 1821:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-15-worker3
22:46:52 Pod test-cluster-leader-1 1822:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:46:52 Pod test-cluster-leader-1 1822:	Created container test-cluster-leader
22:46:54 Pod test-cluster-leader-1 1822:	Started container test-cluster-leader
22:50:00 Pod test-cluster-leader-1 1822:	Stopping container test-cluster-leader
22:50:33 Pod test-cluster-leader-1 2607:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-15-worker3
22:50:34 Pod test-cluster-leader-1 2608:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:50:34 Pod test-cluster-leader-1 2608:	Created container test-cluster-leader
22:50:35 Pod test-cluster-leader-1 2608:	Started container test-cluster-leader
22:50:35 Pod test-cluster-leader-1 2608:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:50:35 Pod test-cluster-leader-1 2608:	Created container redis-exporter
22:50:37 Pod test-cluster-leader-1 2608:	Started container redis-exporter
22:53:44 Pod test-cluster-leader-1 2608:	Stopping container test-cluster-leader
22:53:44 Pod test-cluster-leader-1 2608:	Stopping container redis-exporter
22:54:16 Pod test-cluster-leader-1 3423:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-15-worker3
22:54:19 Pod test-cluster-leader-1 3424:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:54:19 Pod test-cluster-leader-1 3424:	Created container test-cluster-leader
22:54:20 Pod test-cluster-leader-1 3424:	Started container test-cluster-leader
22:57:28 Pod test-cluster-leader-1 3424:	Stopping container test-cluster-leader
22:57:59 Pod test-cluster-leader-1 4208:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-15-worker3
22:58:01 Pod test-cluster-leader-1 4213:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:58:01 Pod test-cluster-leader-1 4213:	Created container test-cluster-leader
22:58:03 Pod test-cluster-leader-1 4213:	Started container test-cluster-leader
22:58:03 Pod test-cluster-leader-1 4213:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:58:03 Pod test-cluster-leader-1 4213:	Created container redis-exporter
22:58:04 Pod test-cluster-leader-1 4213:	Started container redis-exporter
22:44:14 Pod test-cluster-leader-2 1224:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
22:44:15 Pod test-cluster-leader-2 1289:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:44:15 Pod test-cluster-leader-2 1289:	Created container test-cluster-leader
22:44:16 Pod test-cluster-leader-2 1289:	Started container test-cluster-leader
22:44:16 Pod test-cluster-leader-2 1289:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:44:16 Pod test-cluster-leader-2 1289:	Created container redis-exporter
22:44:18 Pod test-cluster-leader-2 1289:	Started container redis-exporter
22:45:19 Pod test-cluster-leader-2 1289:	Stopping container test-cluster-leader
22:45:19 Pod test-cluster-leader-2 1289:	Stopping container redis-exporter
22:45:50 Pod test-cluster-leader-2 1594:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
22:45:51 Pod test-cluster-leader-2 1596:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:45:51 Pod test-cluster-leader-2 1596:	Created container test-cluster-leader
22:45:53 Pod test-cluster-leader-2 1596:	Started container test-cluster-leader
22:48:59 Pod test-cluster-leader-2 1596:	Stopping container test-cluster-leader
22:49:30 Pod test-cluster-leader-2 2376:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
22:49:31 Pod test-cluster-leader-2 2377:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:49:31 Pod test-cluster-leader-2 2377:	Created container test-cluster-leader
22:49:32 Pod test-cluster-leader-2 2377:	Started container test-cluster-leader
22:49:32 Pod test-cluster-leader-2 2377:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:49:32 Pod test-cluster-leader-2 2377:	Created container redis-exporter
22:49:33 Pod test-cluster-leader-2 2377:	Started container redis-exporter
22:52:42 Pod test-cluster-leader-2 2377:	Stopping container test-cluster-leader
22:52:42 Pod test-cluster-leader-2 2377:	Stopping container redis-exporter
22:53:14 Pod test-cluster-leader-2 3195:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
22:53:16 Pod test-cluster-leader-2 3196:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:53:16 Pod test-cluster-leader-2 3196:	Created container test-cluster-leader
22:53:18 Pod test-cluster-leader-2 3196:	Started container test-cluster-leader
22:56:27 Pod test-cluster-leader-2 3196:	Stopping container test-cluster-leader
22:56:58 Pod test-cluster-leader-2 3980:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
22:57:00 Pod test-cluster-leader-2 3981:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:57:00 Pod test-cluster-leader-2 3981:	Created container test-cluster-leader
22:57:02 Pod test-cluster-leader-2 3981:	Started container test-cluster-leader
22:57:02 Pod test-cluster-leader-2 3981:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:57:02 Pod test-cluster-leader-2 3981:	Created container redis-exporter
22:57:03 Pod test-cluster-leader-2 3981:	Started container redis-exporter
23:00:08 Pod test-cluster-leader-2 3981:	Stopping container test-cluster-leader
23:00:08 Pod test-cluster-leader-2 3981:	Stopping container redis-exporter
23:10:11 Pod test-cluster-leader-2 6195:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-15-worker
23:10:12 Pod test-cluster-leader-2 6196:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:10:12 Pod test-cluster-leader-2 6196:	Created container test-cluster-leader
23:10:13 Pod test-cluster-leader-2 6196:	Started container test-cluster-leader
23:10:13 Pod test-cluster-leader-2 6196:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:10:13 Pod test-cluster-leader-2 6196:	Created container redis-exporter
23:10:14 Pod test-cluster-leader-2 6196:	Started container redis-exporter
22:42:58 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 854:	waiting for first consumer to be created before binding
22:42:58 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 861:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:42:58 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 861:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
22:43:02 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 861:	Successfully provisioned volume pvc-85bb05eb-1431-4eff-8216-6cc34881e5d7
22:43:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1061:	waiting for first consumer to be created before binding
22:43:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1069:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:43:34 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1069:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
22:43:38 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1069:	Successfully provisioned volume pvc-b1b1483e-e429-4cba-9820-e17e55d4a2d7
22:44:09 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1220:	waiting for first consumer to be created before binding
22:44:09 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:44:09 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
22:44:13 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1234:	Successfully provisioned volume pvc-31a03bd9-f995-4245-a4b8-49ca4d357021
22:42:58 StatefulSet test-cluster-leader 852:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
22:42:58 StatefulSet test-cluster-leader 852:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
22:43:34 StatefulSet test-cluster-leader 859:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
22:43:34 StatefulSet test-cluster-leader 859:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
22:44:09 StatefulSet test-cluster-leader 1068:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
22:44:09 StatefulSet test-cluster-leader 1068:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
22:45:19 StatefulSet test-cluster-leader 1486:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
22:46:20 StatefulSet test-cluster-leader 1598:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
22:47:21 StatefulSet test-cluster-leader 1823:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
23:00:40 StatefulSet test-cluster-leader 4760:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader failed error: pods "test-cluster-leader-2" is forbidden: no PriorityClass with name ACTOKEY was found
