08:48:19 Pod redisoperator-56c8dfdfb-wrjfq 817:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wrjfq to acto-cluster-13-worker3
08:48:23 Pod rfr-test-cluster-0 853:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 392.759191ms
08:48:23 Pod rfr-test-cluster-0 853:	Created container redis-exporter
08:48:26 Pod rfr-test-cluster-0 853:	Started container redis-exporter
08:49:01 Pod rfr-test-cluster-0 853:	Readiness probe failed: 
08:59:53 Pod rfr-test-cluster-0 853:	Stopping container redis
08:59:53 Pod rfr-test-cluster-0 853:	Stopping container redis-exporter
09:09:06 Pod rfr-test-cluster-0 3255:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-13-worker
09:09:06 Pod rfr-test-cluster-0 3258:	Container image "redis:6.2.6-alpine" already present on machine
09:09:06 Pod rfr-test-cluster-0 3258:	Created container redis
09:09:07 Pod rfr-test-cluster-0 3258:	Started container redis
09:09:07 Pod rfr-test-cluster-0 3258:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:09:07 Pod rfr-test-cluster-0 3258:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 222.074285ms
09:09:07 Pod rfr-test-cluster-0 3258:	Created container redis-exporter
09:09:09 Pod rfr-test-cluster-0 3258:	Started container redis-exporter
09:09:46 Pod rfr-test-cluster-0 3258:	Readiness probe failed: 
08:48:21 Pod rfr-test-cluster-1 855:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
08:48:22 Pod rfr-test-cluster-1 858:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfr-test-cluster-1 858:	Created container redis
08:48:22 Pod rfr-test-cluster-1 858:	Started container redis
08:48:22 Pod rfr-test-cluster-1 858:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:48:23 Pod rfr-test-cluster-1 858:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 252.895745ms
08:48:23 Pod rfr-test-cluster-1 858:	Created container redis-exporter
08:48:26 Pod rfr-test-cluster-1 858:	Started container redis-exporter
08:49:01 Pod rfr-test-cluster-1 858:	Readiness probe failed: 
08:59:04 Pod rfr-test-cluster-1 858:	Stopping container redis
08:59:04 Pod rfr-test-cluster-1 858:	Stopping container redis-exporter
09:09:06 Pod rfr-test-cluster-1 3256:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker3
09:09:06 Pod rfr-test-cluster-1 3263:	Container image "redis:6.2.6-alpine" already present on machine
09:09:06 Pod rfr-test-cluster-1 3263:	Created container redis
09:09:07 Pod rfr-test-cluster-1 3263:	Started container redis
09:09:07 Pod rfr-test-cluster-1 3263:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:09:07 Pod rfr-test-cluster-1 3263:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 197.097ms
09:09:07 Pod rfr-test-cluster-1 3263:	Created container redis-exporter
09:09:10 Pod rfr-test-cluster-1 3263:	Started container redis-exporter
09:09:46 Pod rfr-test-cluster-1 3263:	Readiness probe failed: 
08:48:21 Pod rfr-test-cluster-2 860:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker3
08:48:22 Pod rfr-test-cluster-2 864:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfr-test-cluster-2 864:	Created container redis
08:48:22 Pod rfr-test-cluster-2 864:	Started container redis
08:48:22 Pod rfr-test-cluster-2 864:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:48:23 Pod rfr-test-cluster-2 864:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 254.615303ms
08:48:23 Pod rfr-test-cluster-2 864:	Created container redis-exporter
08:48:26 Pod rfr-test-cluster-2 864:	Started container redis-exporter
08:49:01 Pod rfr-test-cluster-2 864:	Readiness probe failed: 
08:59:24 Pod rfr-test-cluster-2 864:	Stopping container redis
08:59:24 Pod rfr-test-cluster-2 864:	Stopping container redis-exporter
09:09:06 Pod rfr-test-cluster-2 3261:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker2
09:09:06 Pod rfr-test-cluster-2 3267:	Container image "redis:6.2.6-alpine" already present on machine
09:09:06 Pod rfr-test-cluster-2 3267:	Created container redis
09:09:07 Pod rfr-test-cluster-2 3267:	Started container redis
09:09:07 Pod rfr-test-cluster-2 3267:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:09:07 Pod rfr-test-cluster-2 3267:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 235.775246ms
09:09:07 Pod rfr-test-cluster-2 3267:	Created container redis-exporter
09:09:10 Pod rfr-test-cluster-2 3267:	Started container redis-exporter
09:09:46 Pod rfr-test-cluster-2 3267:	Readiness probe failed: 
08:48:21 PodDisruptionBudget rfr-test-cluster 842:	No matching pods found
08:48:21 StatefulSet rfr-test-cluster 848:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:48:21 StatefulSet rfr-test-cluster 848:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:48:21 StatefulSet rfr-test-cluster 848:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:59:04 StatefulSet rfr-test-cluster 2232:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers]
08:59:04 StatefulSet rfr-test-cluster 2232:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
08:59:54 StatefulSet rfr-test-cluster 2232:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource type or fully qualified, spec.containers[0].resources.requests[qklsuazeme]: Invalid value: "qklsuazeme": must be a standard resource for containers]
08:48:22 Pod rfs-test-cluster-54df69f8df-lh9nh 882:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lh9nh to acto-cluster-13-worker2
08:48:22 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Created container sentinel-config-copy
08:48:37 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Started container sentinel-config-copy
08:48:39 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Container image "redis:6.2.6-alpine" already present on machine
08:48:39 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Created container sentinel
08:48:39 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Started container sentinel
08:53:53 Pod rfs-test-cluster-54df69f8df-lh9nh 888:	Stopping container sentinel
08:48:22 Pod rfs-test-cluster-54df69f8df-w86z6 877:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-w86z6 to acto-cluster-13-worker
08:48:22 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Created container sentinel-config-copy
08:48:37 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Started container sentinel-config-copy
08:48:39 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Container image "redis:6.2.6-alpine" already present on machine
08:48:40 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Created container sentinel
08:48:40 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Started container sentinel
08:52:13 Pod rfs-test-cluster-54df69f8df-w86z6 884:	Stopping container sentinel
08:48:22 Pod rfs-test-cluster-54df69f8df-wmh49 881:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wmh49 to acto-cluster-13-worker3
08:48:22 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Container image "redis:6.2.6-alpine" already present on machine
08:48:22 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Created container sentinel-config-copy
08:48:37 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Started container sentinel-config-copy
08:48:39 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Container image "redis:6.2.6-alpine" already present on machine
08:48:40 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Created container sentinel
08:48:40 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Started container sentinel
08:53:03 Pod rfs-test-cluster-54df69f8df-wmh49 887:	Stopping container sentinel
08:48:22 ReplicaSet rfs-test-cluster-54df69f8df 875:	Created pod: rfs-test-cluster-54df69f8df-w86z6
08:48:22 ReplicaSet rfs-test-cluster-54df69f8df 875:	Created pod: rfs-test-cluster-54df69f8df-wmh49
08:48:22 ReplicaSet rfs-test-cluster-54df69f8df 875:	Created pod: rfs-test-cluster-54df69f8df-lh9nh
08:52:13 ReplicaSet rfs-test-cluster-54df69f8df 1443:	Deleted pod: rfs-test-cluster-54df69f8df-w86z6
08:53:03 ReplicaSet rfs-test-cluster-54df69f8df 1571:	Deleted pod: rfs-test-cluster-54df69f8df-wmh49
08:53:53 ReplicaSet rfs-test-cluster-54df69f8df 1700:	Deleted pod: rfs-test-cluster-54df69f8df-lh9nh
08:53:03 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1584:	Successfully assigned acto-namespace/rfs-test-cluster-6fbdccbbcb-kt4qh to acto-cluster-13-worker2
08:53:04 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Container image "redis:6.2.6-alpine" already present on machine
08:53:04 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Created container sentinel-config-copy
08:53:17 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Started container sentinel-config-copy
08:53:18 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Container image "redis:6.2.6-alpine" already present on machine
08:53:18 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Created container sentinel
08:53:18 Pod rfs-test-cluster-6fbdccbbcb-kt4qh 1586:	Started container sentinel
08:51:23 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1335:	Successfully assigned acto-namespace/rfs-test-cluster-6fbdccbbcb-mnq77 to acto-cluster-13-worker
08:51:23 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Container image "redis:6.2.6-alpine" already present on machine
08:51:23 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Created container sentinel-config-copy
08:51:37 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Started container sentinel-config-copy
08:51:39 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Container image "redis:6.2.6-alpine" already present on machine
08:51:39 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Created container sentinel
08:51:39 Pod rfs-test-cluster-6fbdccbbcb-mnq77 1336:	Started container sentinel
08:52:13 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1456:	Successfully assigned acto-namespace/rfs-test-cluster-6fbdccbbcb-x95sl to acto-cluster-13-worker3
08:52:13 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Container image "redis:6.2.6-alpine" already present on machine
08:52:13 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Created container sentinel-config-copy
08:52:26 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Started container sentinel-config-copy
08:52:29 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Container image "redis:6.2.6-alpine" already present on machine
08:52:29 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Created container sentinel
08:52:29 Pod rfs-test-cluster-6fbdccbbcb-x95sl 1458:	Started container sentinel
08:51:23 ReplicaSet rfs-test-cluster-6fbdccbbcb 1332:	Created pod: rfs-test-cluster-6fbdccbbcb-mnq77
08:52:13 ReplicaSet rfs-test-cluster-6fbdccbbcb 1453:	Created pod: rfs-test-cluster-6fbdccbbcb-x95sl
08:53:03 ReplicaSet rfs-test-cluster-6fbdccbbcb 1581:	Created pod: rfs-test-cluster-6fbdccbbcb-kt4qh
08:48:21 PodDisruptionBudget rfs-test-cluster 870:	No matching pods found
08:48:22 Deployment rfs-test-cluster 874:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:51:23 Deployment rfs-test-cluster 1331:	Scaled up replica set rfs-test-cluster-6fbdccbbcb to 1
08:52:13 Deployment rfs-test-cluster 1409:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:52:13 Deployment rfs-test-cluster 1409:	Scaled up replica set rfs-test-cluster-6fbdccbbcb to 2
08:53:03 Deployment rfs-test-cluster 1549:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:53:03 Deployment rfs-test-cluster 1574:	Scaled up replica set rfs-test-cluster-6fbdccbbcb to 3
08:53:53 Deployment rfs-test-cluster 1646:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
