08:04:49 Pod redisoperator-56c8dfdfb-vmn2h 787:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-vmn2h to acto-cluster-12-worker
08:10:56 Pod rfr-test-cluster-0 1685:	Created container redis
08:10:56 Pod rfr-test-cluster-0 1685:	Started container redis
08:10:56 Pod rfr-test-cluster-0 1685:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:10:56 Pod rfr-test-cluster-0 1685:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 119.774787ms
08:10:56 Pod rfr-test-cluster-0 1685:	Created container redis-exporter
08:10:59 Pod rfr-test-cluster-0 1685:	Started container redis-exporter
08:11:35 Pod rfr-test-cluster-0 1685:	Readiness probe failed: 
08:14:18 Pod rfr-test-cluster-0 1685:	Stopping container redis
08:14:18 Pod rfr-test-cluster-0 1685:	Stopping container redis-exporter
08:14:19 Pod rfr-test-cluster-0 2065:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-12-worker
08:14:20 Pod rfr-test-cluster-0 2066:	Container image "redis:6.2.6-alpine" already present on machine
08:14:20 Pod rfr-test-cluster-0 2066:	Created container redis
08:14:20 Pod rfr-test-cluster-0 2066:	Started container redis
08:14:20 Pod rfr-test-cluster-0 2066:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:14:20 Pod rfr-test-cluster-0 2066:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 229.633868ms
08:14:20 Pod rfr-test-cluster-0 2066:	Created container redis-exporter
08:14:23 Pod rfr-test-cluster-0 2066:	Started container redis-exporter
08:04:51 Pod rfr-test-cluster-1 821:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker2
08:04:52 Pod rfr-test-cluster-1 828:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfr-test-cluster-1 828:	Created container redis
08:04:52 Pod rfr-test-cluster-1 828:	Started container redis
08:04:52 Pod rfr-test-cluster-1 828:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:53 Pod rfr-test-cluster-1 828:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 246.049594ms
08:04:53 Pod rfr-test-cluster-1 828:	Created container redis-exporter
08:04:55 Pod rfr-test-cluster-1 828:	Started container redis-exporter
08:05:31 Pod rfr-test-cluster-1 828:	Readiness probe failed: 
08:09:56 Pod rfr-test-cluster-1 828:	Stopping container redis
08:09:56 Pod rfr-test-cluster-1 828:	Stopping container redis-exporter
08:09:58 Pod rfr-test-cluster-1 1519:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker2
08:09:58 Pod rfr-test-cluster-1 1520:	Container image "redis:6.2.6-alpine" already present on machine
08:09:58 Pod rfr-test-cluster-1 1520:	Created container redis
08:09:59 Pod rfr-test-cluster-1 1520:	Started container redis
08:09:59 Pod rfr-test-cluster-1 1520:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:09:59 Pod rfr-test-cluster-1 1520:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 181.748883ms
08:09:59 Pod rfr-test-cluster-1 1520:	Created container redis-exporter
08:10:01 Pod rfr-test-cluster-1 1520:	Started container redis-exporter
08:15:24 Pod rfr-test-cluster-1 1520:	Stopping container redis
08:15:24 Pod rfr-test-cluster-1 1520:	Stopping container redis-exporter
08:15:26 Pod rfr-test-cluster-1 2244:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-12-worker2
08:15:26 Pod rfr-test-cluster-1 2245:	Container image "redis:6.2.6-alpine" already present on machine
08:15:26 Pod rfr-test-cluster-1 2245:	Created container redis
08:15:26 Pod rfr-test-cluster-1 2245:	Started container redis
08:15:26 Pod rfr-test-cluster-1 2245:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:15:27 Pod rfr-test-cluster-1 2245:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 185.983959ms
08:15:27 Pod rfr-test-cluster-1 2245:	Created container redis-exporter
08:15:29 Pod rfr-test-cluster-1 2245:	Started container redis-exporter
08:15:56 Pod rfr-test-cluster-1 2245:	Readiness probe failed: 
08:04:51 Pod rfr-test-cluster-2 826:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker3
08:04:52 Pod rfr-test-cluster-2 831:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfr-test-cluster-2 831:	Created container redis
08:04:52 Pod rfr-test-cluster-2 831:	Started container redis
08:04:52 Pod rfr-test-cluster-2 831:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:53 Pod rfr-test-cluster-2 831:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 238.774256ms
08:04:53 Pod rfr-test-cluster-2 831:	Created container redis-exporter
08:04:55 Pod rfr-test-cluster-2 831:	Started container redis-exporter
08:05:31 Pod rfr-test-cluster-2 831:	Readiness probe failed: 
08:10:24 Pod rfr-test-cluster-2 831:	Stopping container redis
08:10:24 Pod rfr-test-cluster-2 831:	Stopping container redis-exporter
08:10:25 Pod rfr-test-cluster-2 1595:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker3
08:10:25 Pod rfr-test-cluster-2 1597:	Container image "redis:6.2.6-alpine" already present on machine
08:10:25 Pod rfr-test-cluster-2 1597:	Created container redis
08:10:26 Pod rfr-test-cluster-2 1597:	Started container redis
08:10:26 Pod rfr-test-cluster-2 1597:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:10:26 Pod rfr-test-cluster-2 1597:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 171.199722ms
08:10:26 Pod rfr-test-cluster-2 1597:	Created container redis-exporter
08:10:28 Pod rfr-test-cluster-2 1597:	Started container redis-exporter
08:14:54 Pod rfr-test-cluster-2 1597:	Stopping container redis
08:14:54 Pod rfr-test-cluster-2 1597:	Stopping container redis-exporter
08:14:55 Pod rfr-test-cluster-2 1597:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:14:55 Pod rfr-test-cluster-2 1597:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:14:55 Pod rfr-test-cluster-2 2161:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-12-worker3
08:14:56 Pod rfr-test-cluster-2 2163:	Container image "redis:6.2.6-alpine" already present on machine
08:14:56 Pod rfr-test-cluster-2 2163:	Created container redis
08:14:56 Pod rfr-test-cluster-2 2163:	Started container redis
08:14:56 Pod rfr-test-cluster-2 2163:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:14:56 Pod rfr-test-cluster-2 2163:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.044342ms
08:14:56 Pod rfr-test-cluster-2 2163:	Created container redis-exporter
08:14:59 Pod rfr-test-cluster-2 2163:	Started container redis-exporter
08:04:51 PodDisruptionBudget rfr-test-cluster 812:	No matching pods found
08:04:51 StatefulSet rfr-test-cluster 816:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:04:51 StatefulSet rfr-test-cluster 816:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:04:51 StatefulSet rfr-test-cluster 816:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:04:52 Pod rfs-test-cluster-54df69f8df-4vt2n 845:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4vt2n to acto-cluster-12-worker3
08:04:52 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Created container sentinel-config-copy
08:05:06 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Started container sentinel-config-copy
08:05:08 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Container image "redis:6.2.6-alpine" already present on machine
08:05:08 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Created container sentinel
08:05:08 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Started container sentinel
08:19:40 Pod rfs-test-cluster-54df69f8df-4vt2n 852:	Stopping container sentinel
08:04:52 Pod rfs-test-cluster-54df69f8df-lf27f 849:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lf27f to acto-cluster-12-worker
08:04:52 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Created container sentinel-config-copy
08:05:06 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Started container sentinel-config-copy
08:05:08 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Container image "redis:6.2.6-alpine" already present on machine
08:05:08 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Created container sentinel
08:05:08 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Started container sentinel
08:20:31 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Stopping container sentinel
08:20:32 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Readiness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:20:32 Pod rfs-test-cluster-54df69f8df-lf27f 855:	Liveness probe errored: rpc error: code = Unknown desc = failed to exec in container: container is in CONTAINER_EXITED state
08:04:52 Pod rfs-test-cluster-54df69f8df-qns5k 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-qns5k to acto-cluster-12-worker2
08:04:52 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Container image "redis:6.2.6-alpine" already present on machine
08:04:52 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Created container sentinel-config-copy
08:05:06 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Started container sentinel-config-copy
08:05:08 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Container image "redis:6.2.6-alpine" already present on machine
08:05:08 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Created container sentinel
08:05:08 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Started container sentinel
08:21:21 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Stopping container sentinel
08:21:22 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Readiness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task d7c822ff7a0ddb28022c8d690b462d6ca42fb1a441477a731f9b787874c93e99 not found: not found
08:21:22 Pod rfs-test-cluster-54df69f8df-qns5k 856:	Liveness probe errored: rpc error: code = NotFound desc = failed to exec in container: failed to load task: no running task found: task d7c822ff7a0ddb28022c8d690b462d6ca42fb1a441477a731f9b787874c93e99 not found: not found
08:04:52 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-4vt2n
08:04:52 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-qns5k
08:04:52 ReplicaSet rfs-test-cluster-54df69f8df 843:	Created pod: rfs-test-cluster-54df69f8df-lf27f
08:19:40 ReplicaSet rfs-test-cluster-54df69f8df 2720:	Deleted pod: rfs-test-cluster-54df69f8df-4vt2n
08:20:31 ReplicaSet rfs-test-cluster-54df69f8df 2852:	Deleted pod: rfs-test-cluster-54df69f8df-lf27f
08:21:21 ReplicaSet rfs-test-cluster-54df69f8df 2977:	Deleted pod: rfs-test-cluster-54df69f8df-qns5k
08:18:49 Pod rfs-test-cluster-855cf5cb54-7hjns 2612:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-7hjns to acto-cluster-12-worker3
08:18:50 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Container image "redis:6.2.6-alpine" already present on machine
08:18:50 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Created container sentinel-config-copy
08:19:02 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Started container sentinel-config-copy
08:19:05 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Container image "redis:6.2.6-alpine" already present on machine
08:19:05 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Created container sentinel
08:19:05 Pod rfs-test-cluster-855cf5cb54-7hjns 2615:	Started container sentinel
08:20:31 Pod rfs-test-cluster-855cf5cb54-nd9bk 2864:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-nd9bk to acto-cluster-12-worker2
08:20:32 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Container image "redis:6.2.6-alpine" already present on machine
08:20:32 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Created container sentinel-config-copy
08:20:45 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Started container sentinel-config-copy
08:20:47 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Container image "redis:6.2.6-alpine" already present on machine
08:20:47 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Created container sentinel
08:20:48 Pod rfs-test-cluster-855cf5cb54-nd9bk 2868:	Started container sentinel
08:19:40 Pod rfs-test-cluster-855cf5cb54-t7g5l 2733:	Successfully assigned acto-namespace/rfs-test-cluster-855cf5cb54-t7g5l to acto-cluster-12-worker
08:19:40 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Container image "redis:6.2.6-alpine" already present on machine
08:19:40 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Created container sentinel-config-copy
08:19:51 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Started container sentinel-config-copy
08:19:53 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Container image "redis:6.2.6-alpine" already present on machine
08:19:53 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Created container sentinel
08:19:53 Pod rfs-test-cluster-855cf5cb54-t7g5l 2737:	Started container sentinel
08:18:49 ReplicaSet rfs-test-cluster-855cf5cb54 2609:	Created pod: rfs-test-cluster-855cf5cb54-7hjns
08:19:40 ReplicaSet rfs-test-cluster-855cf5cb54 2730:	Created pod: rfs-test-cluster-855cf5cb54-t7g5l
08:20:31 ReplicaSet rfs-test-cluster-855cf5cb54 2862:	Created pod: rfs-test-cluster-855cf5cb54-nd9bk
08:04:52 PodDisruptionBudget rfs-test-cluster 838:	No matching pods found
08:04:52 Deployment rfs-test-cluster 842:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
08:18:49 Deployment rfs-test-cluster 2608:	Scaled up replica set rfs-test-cluster-855cf5cb54 to 1
08:19:40 Deployment rfs-test-cluster 2688:	Scaled down replica set rfs-test-cluster-54df69f8df to 2
08:19:40 Deployment rfs-test-cluster 2723:	Scaled up replica set rfs-test-cluster-855cf5cb54 to 2
08:20:31 Deployment rfs-test-cluster 2833:	Scaled down replica set rfs-test-cluster-54df69f8df to 1
08:20:31 Deployment rfs-test-cluster 2855:	Scaled up replica set rfs-test-cluster-855cf5cb54 to 3
08:21:21 Deployment rfs-test-cluster 2928:	Scaled down replica set rfs-test-cluster-54df69f8df to 0
