09:00:45 Pod redisoperator-56c8dfdfb-l9t6f 795:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-l9t6f to acto-cluster-0-worker2
09:00:47 Pod rfr-test-cluster-1 834:	Container image "redis:6.2.6-alpine" already present on machine
09:00:47 Pod rfr-test-cluster-1 834:	Created container redis
09:00:48 Pod rfr-test-cluster-1 834:	Started container redis
09:00:48 Pod rfr-test-cluster-1 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:00:48 Pod rfr-test-cluster-1 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 241.945745ms
09:00:48 Pod rfr-test-cluster-1 834:	Created container redis-exporter
09:00:52 Pod rfr-test-cluster-1 834:	Started container redis-exporter
09:01:27 Pod rfr-test-cluster-1 834:	Readiness probe failed: 
09:03:49 Pod rfr-test-cluster-1 834:	Stopping container redis
09:03:49 Pod rfr-test-cluster-1 834:	Stopping container redis-exporter
09:13:51 Pod rfr-test-cluster-1 2352:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-0-worker2
09:13:51 Pod rfr-test-cluster-1 2356:	Container image "redis:6.2.6-alpine" already present on machine
09:13:51 Pod rfr-test-cluster-1 2356:	Created container redis
09:13:52 Pod rfr-test-cluster-1 2356:	Started container redis
09:13:52 Pod rfr-test-cluster-1 2356:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:13:52 Pod rfr-test-cluster-1 2356:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 125.479222ms
09:13:52 Pod rfr-test-cluster-1 2356:	Created container redis-exporter
09:13:55 Pod rfr-test-cluster-1 2356:	Started container redis-exporter
09:14:31 Pod rfr-test-cluster-1 2356:	Readiness probe failed: 
09:00:47 Pod rfr-test-cluster-2 835:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker
09:00:47 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
09:00:47 Pod rfr-test-cluster-2 840:	Created container redis
09:00:48 Pod rfr-test-cluster-2 840:	Started container redis
09:00:48 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:00:48 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 253.163376ms
09:00:48 Pod rfr-test-cluster-2 840:	Created container redis-exporter
09:00:51 Pod rfr-test-cluster-2 840:	Started container redis-exporter
09:01:27 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
09:03:51 Pod rfr-test-cluster-2 840:	Stopping container redis
09:03:51 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
09:13:51 Pod rfr-test-cluster-2 2360:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker
09:13:51 Pod rfr-test-cluster-2 2362:	Container image "redis:6.2.6-alpine" already present on machine
09:13:51 Pod rfr-test-cluster-2 2362:	Created container redis
09:13:52 Pod rfr-test-cluster-2 2362:	Started container redis
09:13:52 Pod rfr-test-cluster-2 2362:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:13:52 Pod rfr-test-cluster-2 2362:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 165.417607ms
09:13:52 Pod rfr-test-cluster-2 2362:	Created container redis-exporter
09:13:55 Pod rfr-test-cluster-2 2362:	Started container redis-exporter
09:14:31 Pod rfr-test-cluster-2 2362:	Readiness probe failed: 
09:00:47 PodDisruptionBudget rfr-test-cluster 820:	No matching pods found
09:00:47 StatefulSet rfr-test-cluster 822:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:00:47 StatefulSet rfr-test-cluster 822:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:00:47 StatefulSet rfr-test-cluster 822:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:03:51 StatefulSet rfr-test-cluster 1333:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
09:04:21 StatefulSet rfr-test-cluster 1333:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
09:00:47 Pod rfs-test-cluster-54df69f8df-8jzzd 857:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-8jzzd to acto-cluster-0-worker
09:00:48 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Container image "redis:6.2.6-alpine" already present on machine
09:00:48 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Created container sentinel-config-copy
09:01:05 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Started container sentinel-config-copy
09:01:07 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Container image "redis:6.2.6-alpine" already present on machine
09:01:07 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Created container sentinel
09:01:08 Pod rfs-test-cluster-54df69f8df-8jzzd 864:	Started container sentinel
09:00:47 Pod rfs-test-cluster-54df69f8df-rpvmq 856:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rpvmq to acto-cluster-0-worker3
09:00:48 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Container image "redis:6.2.6-alpine" already present on machine
09:00:48 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Created container sentinel-config-copy
09:01:05 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Started container sentinel-config-copy
09:01:07 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Container image "redis:6.2.6-alpine" already present on machine
09:01:07 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Created container sentinel
09:01:08 Pod rfs-test-cluster-54df69f8df-rpvmq 862:	Started container sentinel
09:00:47 Pod rfs-test-cluster-54df69f8df-sdrtf 853:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-sdrtf to acto-cluster-0-worker2
09:00:48 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Container image "redis:6.2.6-alpine" already present on machine
09:00:48 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Created container sentinel-config-copy
09:01:05 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Started container sentinel-config-copy
09:01:06 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Container image "redis:6.2.6-alpine" already present on machine
09:01:06 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Created container sentinel
09:01:07 Pod rfs-test-cluster-54df69f8df-sdrtf 859:	Started container sentinel
09:00:47 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-sdrtf
09:00:47 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-8jzzd
09:00:47 ReplicaSet rfs-test-cluster-54df69f8df 851:	Created pod: rfs-test-cluster-54df69f8df-rpvmq
09:00:47 PodDisruptionBudget rfs-test-cluster 846:	No matching pods found
09:00:47 Deployment rfs-test-cluster 850:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
