05:42:49 Pod redisoperator-56c8dfdfb-lrd5s 818:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-lrd5s to acto-cluster-15-worker2
05:56:33 Pod rfr-test-cluster-1 2441:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 126.467912ms
05:56:33 Pod rfr-test-cluster-1 2441:	Created container redis-exporter
05:56:36 Pod rfr-test-cluster-1 2441:	Started container redis-exporter
05:57:12 Pod rfr-test-cluster-1 2441:	Readiness probe failed: 
05:42:58 Pod rfr-test-cluster-2 881:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
05:43:03 Pod rfr-test-cluster-2 885:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfr-test-cluster-2 885:	Created container redis
05:43:05 Pod rfr-test-cluster-2 885:	Started container redis
05:43:05 Pod rfr-test-cluster-2 885:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:43:05 Pod rfr-test-cluster-2 885:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 229.247701ms
05:43:05 Pod rfr-test-cluster-2 885:	Created container redis-exporter
05:43:20 Pod rfr-test-cluster-2 885:	Started container redis-exporter
05:43:39 Pod rfr-test-cluster-2 885:	Readiness probe failed: 
05:46:54 Pod rfr-test-cluster-2 885:	Stopping container redis
05:46:54 Pod rfr-test-cluster-2 885:	Stopping container redis-exporter
05:56:32 Pod rfr-test-cluster-2 2443:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker3
05:56:33 Pod rfr-test-cluster-2 2445:	Container image "redis:6.2.6-alpine" already present on machine
05:56:33 Pod rfr-test-cluster-2 2445:	Created container redis
05:56:33 Pod rfr-test-cluster-2 2445:	Started container redis
05:56:33 Pod rfr-test-cluster-2 2445:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
05:56:33 Pod rfr-test-cluster-2 2445:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 127.149181ms
05:56:33 Pod rfr-test-cluster-2 2445:	Created container redis-exporter
05:56:36 Pod rfr-test-cluster-2 2445:	Started container redis-exporter
05:57:12 Pod rfr-test-cluster-2 2445:	Readiness probe failed: 
05:42:58 PodDisruptionBudget rfr-test-cluster 866:	No matching pods found
05:42:58 StatefulSet rfr-test-cluster 870:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
05:42:58 StatefulSet rfr-test-cluster 870:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
05:42:58 StatefulSet rfr-test-cluster 870:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
05:46:27 StatefulSet rfr-test-cluster 1401:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY, spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory", spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom: Invalid value: "": may not be specified when `value` is not empty, spec.containers[1].env[1].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY, spec.containers[1].env[1].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory", spec.containers[1].env[1].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[1].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[1].valueFrom: Invalid value: "": may not have more than one field specified at a time]
05:47:25 StatefulSet rfr-test-cluster 1401:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY, spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory", spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[0].valueFrom: Invalid value: "": may not be specified when `value` is not empty, spec.containers[1].env[1].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY, spec.containers[1].env[1].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory", spec.containers[1].env[1].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[1].valueFrom.secretKeyRef.name: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*'), spec.containers[1].env[1].valueFrom: Invalid value: "": may not have more than one field specified at a time]
05:42:58 Pod rfs-test-cluster-54df69f8df-6vd72 905:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6vd72 to acto-cluster-15-worker3
05:43:03 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Created container sentinel-config-copy
05:43:37 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Started container sentinel-config-copy
05:43:40 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Container image "redis:6.2.6-alpine" already present on machine
05:43:40 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-6vd72 909:	Started container sentinel
05:42:58 Pod rfs-test-cluster-54df69f8df-76p4h 906:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-76p4h to acto-cluster-15-worker2
05:43:03 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-76p4h 911:	Started container sentinel
05:42:58 Pod rfs-test-cluster-54df69f8df-l5rpp 900:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-l5rpp to acto-cluster-15-worker
05:43:03 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Container image "redis:6.2.6-alpine" already present on machine
05:43:03 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Created container sentinel-config-copy
05:43:38 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Started container sentinel-config-copy
05:43:41 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Container image "redis:6.2.6-alpine" already present on machine
05:43:41 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Created container sentinel
05:43:41 Pod rfs-test-cluster-54df69f8df-l5rpp 903:	Started container sentinel
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-l5rpp
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-76p4h
05:42:58 ReplicaSet rfs-test-cluster-54df69f8df 897:	Created pod: rfs-test-cluster-54df69f8df-6vd72
05:42:58 PodDisruptionBudget rfs-test-cluster 892:	No matching pods found
05:42:58 Deployment rfs-test-cluster 895:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
