08:39:21 Pod redisoperator-56c8dfdfb-spxtg 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-spxtg to acto-cluster-14-worker
08:52:28 Pod rfr-test-cluster-0 2336:	Container image "redis:6.2.6-alpine" already present on machine
08:52:28 Pod rfr-test-cluster-0 2336:	Created container redis
08:52:28 Pod rfr-test-cluster-0 2336:	Started container redis
08:52:28 Pod rfr-test-cluster-0 2336:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:52:28 Pod rfr-test-cluster-0 2336:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 116.702909ms
08:52:28 Pod rfr-test-cluster-0 2336:	Created container redis-exporter
08:52:30 Pod rfr-test-cluster-0 2336:	Started container redis-exporter
08:53:07 Pod rfr-test-cluster-0 2336:	Readiness probe failed: 
08:39:23 Pod rfr-test-cluster-1 821:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker3
08:39:24 Pod rfr-test-cluster-1 824:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfr-test-cluster-1 824:	Created container redis
08:39:24 Pod rfr-test-cluster-1 824:	Started container redis
08:39:24 Pod rfr-test-cluster-1 824:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:24 Pod rfr-test-cluster-1 824:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 248.568432ms
08:39:24 Pod rfr-test-cluster-1 824:	Created container redis-exporter
08:39:27 Pod rfr-test-cluster-1 824:	Started container redis-exporter
08:40:03 Pod rfr-test-cluster-1 824:	Readiness probe failed: 
08:42:25 Pod rfr-test-cluster-1 824:	Stopping container redis
08:42:25 Pod rfr-test-cluster-1 824:	Stopping container redis-exporter
08:52:27 Pod rfr-test-cluster-1 2335:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-14-worker
08:52:28 Pod rfr-test-cluster-1 2342:	Container image "redis:6.2.6-alpine" already present on machine
08:52:28 Pod rfr-test-cluster-1 2342:	Created container redis
08:52:28 Pod rfr-test-cluster-1 2342:	Started container redis
08:52:28 Pod rfr-test-cluster-1 2342:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:52:28 Pod rfr-test-cluster-1 2342:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.863052ms
08:52:28 Pod rfr-test-cluster-1 2342:	Created container redis-exporter
08:52:31 Pod rfr-test-cluster-1 2342:	Started container redis-exporter
08:53:07 Pod rfr-test-cluster-1 2342:	Readiness probe failed: 
08:39:23 Pod rfr-test-cluster-2 825:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker
08:39:24 Pod rfr-test-cluster-2 829:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfr-test-cluster-2 829:	Created container redis
08:39:24 Pod rfr-test-cluster-2 829:	Started container redis
08:39:24 Pod rfr-test-cluster-2 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:39:25 Pod rfr-test-cluster-2 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 323.091318ms
08:39:25 Pod rfr-test-cluster-2 829:	Created container redis-exporter
08:39:27 Pod rfr-test-cluster-2 829:	Started container redis-exporter
08:40:03 Pod rfr-test-cluster-2 829:	Readiness probe failed: 
08:42:27 Pod rfr-test-cluster-2 829:	Stopping container redis
08:42:27 Pod rfr-test-cluster-2 829:	Stopping container redis-exporter
08:52:27 Pod rfr-test-cluster-2 2343:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-14-worker2
08:52:28 Pod rfr-test-cluster-2 2348:	Container image "redis:6.2.6-alpine" already present on machine
08:52:28 Pod rfr-test-cluster-2 2348:	Created container redis
08:52:28 Pod rfr-test-cluster-2 2348:	Started container redis
08:52:28 Pod rfr-test-cluster-2 2348:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:52:28 Pod rfr-test-cluster-2 2348:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 106.754769ms
08:52:28 Pod rfr-test-cluster-2 2348:	Created container redis-exporter
08:52:31 Pod rfr-test-cluster-2 2348:	Started container redis-exporter
08:53:07 Pod rfr-test-cluster-2 2348:	Readiness probe failed: 
08:39:23 PodDisruptionBudget rfr-test-cluster 810:	No matching pods found
08:39:23 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:39:23 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:39:23 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:42:26 StatefulSet rfr-test-cluster 1321:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:42:56 StatefulSet rfr-test-cluster 1321:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:39:23 Pod rfs-test-cluster-54df69f8df-vjw62 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-vjw62 to acto-cluster-14-worker3
08:39:24 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Created container sentinel-config-copy
08:39:41 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Started container sentinel-config-copy
08:39:43 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Container image "redis:6.2.6-alpine" already present on machine
08:39:43 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Created container sentinel
08:39:43 Pod rfs-test-cluster-54df69f8df-vjw62 847:	Started container sentinel
08:39:23 Pod rfs-test-cluster-54df69f8df-w6z46 851:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-w6z46 to acto-cluster-14-worker2
08:39:24 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Created container sentinel-config-copy
08:39:41 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Started container sentinel-config-copy
08:39:43 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Container image "redis:6.2.6-alpine" already present on machine
08:39:43 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Created container sentinel
08:39:43 Pod rfs-test-cluster-54df69f8df-w6z46 855:	Started container sentinel
08:39:23 Pod rfs-test-cluster-54df69f8df-wmjlf 848:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-wmjlf to acto-cluster-14-worker
08:39:24 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Container image "redis:6.2.6-alpine" already present on machine
08:39:24 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Created container sentinel-config-copy
08:39:40 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Started container sentinel-config-copy
08:39:42 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Container image "redis:6.2.6-alpine" already present on machine
08:39:42 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Created container sentinel
08:39:42 Pod rfs-test-cluster-54df69f8df-wmjlf 854:	Started container sentinel
08:39:23 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-vjw62
08:39:23 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-wmjlf
08:39:23 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-w6z46
08:39:23 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
08:39:23 Deployment rfs-test-cluster 841:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
