22:50:25 Pod redis-operator-54fb85ff56-vsvh5 824:	Successfully assigned redis-operator/redis-operator-54fb85ff56-vsvh5 to acto-cluster-5-worker
22:59:13 Pod test-cluster-follower-0 2879:	Started container test-cluster-follower
22:59:13 Pod test-cluster-follower-0 2879:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:59:13 Pod test-cluster-follower-0 2879:	Created container redis-exporter
22:59:14 Pod test-cluster-follower-0 2879:	Started container redis-exporter
23:02:21 Pod test-cluster-follower-0 2879:	Stopping container test-cluster-follower
23:02:21 Pod test-cluster-follower-0 2879:	Stopping container redis-exporter
23:02:52 Pod test-cluster-follower-0 3692:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker
23:02:54 Pod test-cluster-follower-0 3693:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:02:54 Pod test-cluster-follower-0 3693:	Created container test-cluster-follower
23:02:55 Pod test-cluster-follower-0 3693:	Started container test-cluster-follower
23:02:55 Pod test-cluster-follower-0 3693:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:02:55 Pod test-cluster-follower-0 3693:	Created container redis-exporter
23:02:57 Pod test-cluster-follower-0 3693:	Started container redis-exporter
23:06:03 Pod test-cluster-follower-0 3693:	Stopping container test-cluster-follower
23:06:03 Pod test-cluster-follower-0 3693:	Stopping container redis-exporter
23:06:34 Pod test-cluster-follower-0 4482:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker
23:06:35 Pod test-cluster-follower-0 4483:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:06:35 Pod test-cluster-follower-0 4483:	Created container test-cluster-follower
23:06:36 Pod test-cluster-follower-0 4483:	Started container test-cluster-follower
23:06:36 Pod test-cluster-follower-0 4483:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:06:36 Pod test-cluster-follower-0 4483:	Created container redis-exporter
23:06:37 Pod test-cluster-follower-0 4483:	Started container redis-exporter
22:51:10 Pod test-cluster-follower-1 1072:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker3
22:51:11 Pod test-cluster-follower-1 1121:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:11 Pod test-cluster-follower-1 1121:	Created container test-cluster-follower
22:51:12 Pod test-cluster-follower-1 1121:	Started container test-cluster-follower
22:51:12 Pod test-cluster-follower-1 1121:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:12 Pod test-cluster-follower-1 1121:	Created container redis-exporter
22:51:14 Pod test-cluster-follower-1 1121:	Started container redis-exporter
22:53:52 Pod test-cluster-follower-1 1121:	Stopping container test-cluster-follower
22:53:52 Pod test-cluster-follower-1 1121:	Stopping container redis-exporter
22:54:24 Pod test-cluster-follower-1 1847:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker3
22:54:25 Pod test-cluster-follower-1 1848:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:54:25 Pod test-cluster-follower-1 1848:	Created container test-cluster-follower
22:54:27 Pod test-cluster-follower-1 1848:	Started container test-cluster-follower
22:54:27 Pod test-cluster-follower-1 1848:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:54:27 Pod test-cluster-follower-1 1848:	Created container redis-exporter
22:54:28 Pod test-cluster-follower-1 1848:	Started container redis-exporter
22:57:34 Pod test-cluster-follower-1 1848:	Stopping container test-cluster-follower
22:57:34 Pod test-cluster-follower-1 1848:	Stopping container redis-exporter
22:58:05 Pod test-cluster-follower-1 2646:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker3
22:58:08 Pod test-cluster-follower-1 2647:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:58:08 Pod test-cluster-follower-1 2647:	Created container test-cluster-follower
22:58:10 Pod test-cluster-follower-1 2647:	Started container test-cluster-follower
22:58:10 Pod test-cluster-follower-1 2647:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:58:10 Pod test-cluster-follower-1 2647:	Created container redis-exporter
22:58:11 Pod test-cluster-follower-1 2647:	Started container redis-exporter
23:01:19 Pod test-cluster-follower-1 2647:	Stopping container test-cluster-follower
23:01:19 Pod test-cluster-follower-1 2647:	Stopping container redis-exporter
23:01:51 Pod test-cluster-follower-1 3455:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker3
23:01:52 Pod test-cluster-follower-1 3457:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:01:52 Pod test-cluster-follower-1 3457:	Created container test-cluster-follower
23:01:53 Pod test-cluster-follower-1 3457:	Started container test-cluster-follower
23:01:53 Pod test-cluster-follower-1 3457:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:01:53 Pod test-cluster-follower-1 3457:	Created container redis-exporter
23:01:54 Pod test-cluster-follower-1 3457:	Started container redis-exporter
23:05:02 Pod test-cluster-follower-1 3457:	Stopping container test-cluster-follower
23:05:02 Pod test-cluster-follower-1 3457:	Stopping container redis-exporter
23:05:33 Pod test-cluster-follower-1 4261:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker3
23:05:35 Pod test-cluster-follower-1 4262:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:05:35 Pod test-cluster-follower-1 4262:	Created container test-cluster-follower
23:05:37 Pod test-cluster-follower-1 4262:	Started container test-cluster-follower
23:05:37 Pod test-cluster-follower-1 4262:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:05:37 Pod test-cluster-follower-1 4262:	Created container redis-exporter
23:05:38 Pod test-cluster-follower-1 4262:	Started container redis-exporter
22:51:46 Pod test-cluster-follower-2 1245:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker2
22:51:47 Pod test-cluster-follower-2 1296:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:47 Pod test-cluster-follower-2 1296:	Created container test-cluster-follower
22:51:48 Pod test-cluster-follower-2 1296:	Started container test-cluster-follower
22:51:48 Pod test-cluster-follower-2 1296:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:48 Pod test-cluster-follower-2 1296:	Created container redis-exporter
22:51:49 Pod test-cluster-follower-2 1296:	Started container redis-exporter
22:52:51 Pod test-cluster-follower-2 1296:	Stopping container test-cluster-follower
22:52:51 Pod test-cluster-follower-2 1296:	Stopping container redis-exporter
22:53:22 Pod test-cluster-follower-2 1614:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker2
22:53:23 Pod test-cluster-follower-2 1615:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:53:23 Pod test-cluster-follower-2 1615:	Created container test-cluster-follower
22:53:25 Pod test-cluster-follower-2 1615:	Started container test-cluster-follower
22:53:25 Pod test-cluster-follower-2 1615:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:53:25 Pod test-cluster-follower-2 1615:	Created container redis-exporter
22:53:26 Pod test-cluster-follower-2 1615:	Started container redis-exporter
22:56:32 Pod test-cluster-follower-2 1615:	Stopping container test-cluster-follower
22:56:32 Pod test-cluster-follower-2 1615:	Stopping container redis-exporter
22:57:04 Pod test-cluster-follower-2 2415:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker2
22:57:05 Pod test-cluster-follower-2 2416:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:57:05 Pod test-cluster-follower-2 2416:	Created container test-cluster-follower
22:57:07 Pod test-cluster-follower-2 2416:	Started container test-cluster-follower
22:57:07 Pod test-cluster-follower-2 2416:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:57:07 Pod test-cluster-follower-2 2416:	Created container redis-exporter
22:57:08 Pod test-cluster-follower-2 2416:	Started container redis-exporter
23:00:18 Pod test-cluster-follower-2 2416:	Stopping container test-cluster-follower
23:00:18 Pod test-cluster-follower-2 2416:	Stopping container redis-exporter
23:00:49 Pod test-cluster-follower-2 3225:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker2
23:00:51 Pod test-cluster-follower-2 3227:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:00:51 Pod test-cluster-follower-2 3227:	Created container test-cluster-follower
23:00:52 Pod test-cluster-follower-2 3227:	Started container test-cluster-follower
23:00:52 Pod test-cluster-follower-2 3227:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:00:52 Pod test-cluster-follower-2 3227:	Created container redis-exporter
23:00:53 Pod test-cluster-follower-2 3227:	Started container redis-exporter
23:04:01 Pod test-cluster-follower-2 3227:	Stopping container test-cluster-follower
23:04:01 Pod test-cluster-follower-2 3227:	Stopping container redis-exporter
23:04:32 Pod test-cluster-follower-2 4025:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker2
23:04:34 Pod test-cluster-follower-2 4026:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:04:34 Pod test-cluster-follower-2 4026:	Created container test-cluster-follower
23:04:35 Pod test-cluster-follower-2 4026:	Started container test-cluster-follower
23:04:35 Pod test-cluster-follower-2 4026:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:04:35 Pod test-cluster-follower-2 4026:	Created container redis-exporter
23:04:37 Pod test-cluster-follower-2 4026:	Started container redis-exporter
22:50:28 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 870:	waiting for first consumer to be created before binding
22:50:28 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:50:28 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
22:50:34 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 877:	Successfully provisioned volume pvc-d71e4e46-02e7-4ebc-ae1e-58ed1ab8690c
22:51:05 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1069:	waiting for first consumer to be created before binding
22:51:05 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1075:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:51:05 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1075:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
22:51:09 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1075:	Successfully provisioned volume pvc-a26f5302-4222-4ff4-bff1-7433b94833db
22:51:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1238:	waiting for first consumer to be created before binding
22:51:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1249:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:51:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1249:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
22:51:45 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1249:	Successfully provisioned volume pvc-98ac628a-b318-4768-866d-28e23da7100a
22:50:28 StatefulSet test-cluster-follower 868:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
22:50:28 StatefulSet test-cluster-follower 868:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
22:51:05 StatefulSet test-cluster-follower 876:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
22:51:05 StatefulSet test-cluster-follower 876:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
22:51:41 StatefulSet test-cluster-follower 1076:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
22:51:41 StatefulSet test-cluster-follower 1076:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
22:52:51 StatefulSet test-cluster-follower 1500:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
22:53:52 StatefulSet test-cluster-follower 1617:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
22:54:54 StatefulSet test-cluster-follower 1850:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
22:50:33 Pod test-cluster-leader-0 850:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker
22:50:33 Pod test-cluster-leader-0 925:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:50:33 Pod test-cluster-leader-0 925:	Created container test-cluster-leader
22:50:34 Pod test-cluster-leader-0 925:	Started container test-cluster-leader
22:50:34 Pod test-cluster-leader-0 925:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:50:34 Pod test-cluster-leader-0 925:	Created container redis-exporter
22:50:36 Pod test-cluster-leader-0 925:	Started container redis-exporter
22:54:53 Pod test-cluster-leader-0 925:	Stopping container test-cluster-leader
22:54:53 Pod test-cluster-leader-0 925:	Stopping container redis-exporter
22:55:24 Pod test-cluster-leader-0 2066:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker
22:55:26 Pod test-cluster-leader-0 2068:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:55:26 Pod test-cluster-leader-0 2068:	Created container test-cluster-leader
22:55:27 Pod test-cluster-leader-0 2068:	Started container test-cluster-leader
22:55:27 Pod test-cluster-leader-0 2068:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:55:27 Pod test-cluster-leader-0 2068:	Created container redis-exporter
22:55:28 Pod test-cluster-leader-0 2068:	Started container redis-exporter
22:58:34 Pod test-cluster-leader-0 2068:	Stopping container test-cluster-leader
22:58:34 Pod test-cluster-leader-0 2068:	Stopping container redis-exporter
22:59:06 Pod test-cluster-leader-0 2859:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker
22:59:06 Pod test-cluster-leader-0 2860:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:59:07 Pod test-cluster-leader-0 2860:	Created container test-cluster-leader
22:59:07 Pod test-cluster-leader-0 2860:	Started container test-cluster-leader
22:59:07 Pod test-cluster-leader-0 2860:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:59:08 Pod test-cluster-leader-0 2860:	Created container redis-exporter
22:59:10 Pod test-cluster-leader-0 2860:	Started container redis-exporter
23:02:20 Pod test-cluster-leader-0 2860:	Stopping container test-cluster-leader
23:02:20 Pod test-cluster-leader-0 2860:	Stopping container redis-exporter
23:02:51 Pod test-cluster-leader-0 3670:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker
23:02:52 Pod test-cluster-leader-0 3671:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:02:52 Pod test-cluster-leader-0 3671:	Created container test-cluster-leader
23:02:53 Pod test-cluster-leader-0 3671:	Started container test-cluster-leader
23:02:53 Pod test-cluster-leader-0 3671:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:02:53 Pod test-cluster-leader-0 3671:	Created container redis-exporter
23:02:55 Pod test-cluster-leader-0 3671:	Started container redis-exporter
23:06:03 Pod test-cluster-leader-0 3671:	Stopping container test-cluster-leader
23:06:03 Pod test-cluster-leader-0 3671:	Stopping container redis-exporter
23:06:35 Pod test-cluster-leader-0 4493:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker
23:06:36 Pod test-cluster-leader-0 4496:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:06:36 Pod test-cluster-leader-0 4496:	Created container test-cluster-leader
23:06:38 Pod test-cluster-leader-0 4496:	Started container test-cluster-leader
23:06:38 Pod test-cluster-leader-0 4496:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:06:38 Pod test-cluster-leader-0 4496:	Created container redis-exporter
23:06:39 Pod test-cluster-leader-0 4496:	Started container redis-exporter
22:51:08 Pod test-cluster-leader-1 1044:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker3
22:51:08 Pod test-cluster-leader-1 1098:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:09 Pod test-cluster-leader-1 1098:	Created container test-cluster-leader
22:51:10 Pod test-cluster-leader-1 1098:	Started container test-cluster-leader
22:51:10 Pod test-cluster-leader-1 1098:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:10 Pod test-cluster-leader-1 1098:	Created container redis-exporter
22:51:11 Pod test-cluster-leader-1 1098:	Started container redis-exporter
22:53:52 Pod test-cluster-leader-1 1098:	Stopping container test-cluster-leader
22:53:52 Pod test-cluster-leader-1 1098:	Stopping container redis-exporter
22:54:23 Pod test-cluster-leader-1 1825:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker3
22:54:23 Pod test-cluster-leader-1 1826:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:54:24 Pod test-cluster-leader-1 1826:	Created container test-cluster-leader
22:54:25 Pod test-cluster-leader-1 1826:	Started container test-cluster-leader
22:54:25 Pod test-cluster-leader-1 1826:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:54:25 Pod test-cluster-leader-1 1826:	Created container redis-exporter
22:54:27 Pod test-cluster-leader-1 1826:	Started container redis-exporter
22:57:33 Pod test-cluster-leader-1 1826:	Stopping container test-cluster-leader
22:57:33 Pod test-cluster-leader-1 1826:	Stopping container redis-exporter
22:58:04 Pod test-cluster-leader-1 2628:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker3
22:58:05 Pod test-cluster-leader-1 2629:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:58:05 Pod test-cluster-leader-1 2629:	Created container test-cluster-leader
22:58:06 Pod test-cluster-leader-1 2629:	Started container test-cluster-leader
22:58:06 Pod test-cluster-leader-1 2629:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:58:06 Pod test-cluster-leader-1 2629:	Created container redis-exporter
22:58:08 Pod test-cluster-leader-1 2629:	Started container redis-exporter
23:01:19 Pod test-cluster-leader-1 2629:	Stopping container test-cluster-leader
23:01:19 Pod test-cluster-leader-1 2629:	Stopping container redis-exporter
23:01:49 Pod test-cluster-leader-1 3436:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker3
23:01:50 Pod test-cluster-leader-1 3437:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:01:50 Pod test-cluster-leader-1 3437:	Created container test-cluster-leader
23:01:52 Pod test-cluster-leader-1 3437:	Started container test-cluster-leader
23:01:52 Pod test-cluster-leader-1 3437:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:01:52 Pod test-cluster-leader-1 3437:	Created container redis-exporter
23:01:53 Pod test-cluster-leader-1 3437:	Started container redis-exporter
23:05:02 Pod test-cluster-leader-1 3437:	Stopping container test-cluster-leader
23:05:02 Pod test-cluster-leader-1 3437:	Stopping container redis-exporter
23:05:33 Pod test-cluster-leader-1 4254:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker3
23:05:35 Pod test-cluster-leader-1 4257:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:05:35 Pod test-cluster-leader-1 4257:	Created container test-cluster-leader
23:05:37 Pod test-cluster-leader-1 4257:	Started container test-cluster-leader
23:05:37 Pod test-cluster-leader-1 4257:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:05:37 Pod test-cluster-leader-1 4257:	Created container redis-exporter
23:05:38 Pod test-cluster-leader-1 4257:	Started container redis-exporter
22:51:43 Pod test-cluster-leader-2 1215:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker2
22:51:44 Pod test-cluster-leader-2 1273:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:51:44 Pod test-cluster-leader-2 1273:	Created container test-cluster-leader
22:51:45 Pod test-cluster-leader-2 1273:	Started container test-cluster-leader
22:51:45 Pod test-cluster-leader-2 1273:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:51:45 Pod test-cluster-leader-2 1273:	Created container redis-exporter
22:51:47 Pod test-cluster-leader-2 1273:	Started container redis-exporter
22:52:50 Pod test-cluster-leader-2 1273:	Stopping container test-cluster-leader
22:52:50 Pod test-cluster-leader-2 1273:	Stopping container redis-exporter
22:53:21 Pod test-cluster-leader-2 1594:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker2
22:53:22 Pod test-cluster-leader-2 1595:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:53:22 Pod test-cluster-leader-2 1595:	Created container test-cluster-leader
22:53:23 Pod test-cluster-leader-2 1595:	Started container test-cluster-leader
22:53:23 Pod test-cluster-leader-2 1595:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:53:23 Pod test-cluster-leader-2 1595:	Created container redis-exporter
22:53:25 Pod test-cluster-leader-2 1595:	Started container redis-exporter
22:56:32 Pod test-cluster-leader-2 1595:	Stopping container test-cluster-leader
22:56:32 Pod test-cluster-leader-2 1595:	Stopping container redis-exporter
22:57:03 Pod test-cluster-leader-2 2394:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker2
22:57:03 Pod test-cluster-leader-2 2395:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:57:03 Pod test-cluster-leader-2 2395:	Created container test-cluster-leader
22:57:04 Pod test-cluster-leader-2 2395:	Started container test-cluster-leader
22:57:04 Pod test-cluster-leader-2 2395:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:57:05 Pod test-cluster-leader-2 2395:	Created container redis-exporter
22:57:06 Pod test-cluster-leader-2 2395:	Started container redis-exporter
23:00:18 Pod test-cluster-leader-2 2395:	Stopping container test-cluster-leader
23:00:18 Pod test-cluster-leader-2 2395:	Stopping container redis-exporter
23:00:48 Pod test-cluster-leader-2 3205:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker2
23:00:49 Pod test-cluster-leader-2 3206:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:00:49 Pod test-cluster-leader-2 3206:	Created container test-cluster-leader
23:00:50 Pod test-cluster-leader-2 3206:	Started container test-cluster-leader
23:00:50 Pod test-cluster-leader-2 3206:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:00:50 Pod test-cluster-leader-2 3206:	Created container redis-exporter
23:00:52 Pod test-cluster-leader-2 3206:	Started container redis-exporter
23:04:01 Pod test-cluster-leader-2 3206:	Stopping container test-cluster-leader
23:04:01 Pod test-cluster-leader-2 3206:	Stopping container redis-exporter
23:04:32 Pod test-cluster-leader-2 4015:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker2
23:04:34 Pod test-cluster-leader-2 4019:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
23:04:34 Pod test-cluster-leader-2 4019:	Created container test-cluster-leader
23:04:35 Pod test-cluster-leader-2 4019:	Started container test-cluster-leader
23:04:35 Pod test-cluster-leader-2 4019:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
23:04:35 Pod test-cluster-leader-2 4019:	Created container redis-exporter
23:04:37 Pod test-cluster-leader-2 4019:	Started container redis-exporter
22:50:28 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 848:	waiting for first consumer to be created before binding
22:50:28 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 855:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:50:28 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 855:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
22:50:32 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 855:	Successfully provisioned volume pvc-27d8dda4-8599-4be4-9481-986754b93bf5
22:51:03 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1041:	waiting for first consumer to be created before binding
22:51:03 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1048:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
22:51:03 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1048:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
22:51:07 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1048:	Successfully provisioned volume pvc-a0b37525-1c5c-4f8c-a981-1a47495071ee
