21:39:48 Pod redis-operator-54fb85ff56-g8pgt 869:	Successfully assigned redis-operator/redis-operator-54fb85ff56-g8pgt to acto-cluster-5-worker
21:47:58 Pod test-cluster-follower-0 2128:	Stopping container test-cluster-follower
21:47:58 Pod test-cluster-follower-0 2128:	Stopping container redis-exporter
21:48:29 Pod test-cluster-follower-0 2921:	Successfully assigned redis-operator/test-cluster-follower-0 to acto-cluster-5-worker3
21:48:30 Pod test-cluster-follower-0 2922:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:48:30 Pod test-cluster-follower-0 2922:	Created container test-cluster-follower
21:48:31 Pod test-cluster-follower-0 2922:	Started container test-cluster-follower
21:48:31 Pod test-cluster-follower-0 2922:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:48:31 Pod test-cluster-follower-0 2922:	Created container redis-exporter
21:48:33 Pod test-cluster-follower-0 2922:	Started container redis-exporter
21:40:32 Pod test-cluster-follower-1 1104:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker2
21:40:33 Pod test-cluster-follower-1 1154:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:40:33 Pod test-cluster-follower-1 1154:	Created container test-cluster-follower
21:40:35 Pod test-cluster-follower-1 1154:	Started container test-cluster-follower
21:40:35 Pod test-cluster-follower-1 1154:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:40:35 Pod test-cluster-follower-1 1154:	Created container redis-exporter
21:40:36 Pod test-cluster-follower-1 1154:	Started container redis-exporter
21:43:15 Pod test-cluster-follower-1 1154:	Stopping container test-cluster-follower
21:43:15 Pod test-cluster-follower-1 1154:	Stopping container redis-exporter
21:43:46 Pod test-cluster-follower-1 1890:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker2
21:43:48 Pod test-cluster-follower-1 1892:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:43:48 Pod test-cluster-follower-1 1892:	Created container test-cluster-follower
21:43:49 Pod test-cluster-follower-1 1892:	Started container test-cluster-follower
21:43:49 Pod test-cluster-follower-1 1892:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:43:49 Pod test-cluster-follower-1 1892:	Created container redis-exporter
21:43:50 Pod test-cluster-follower-1 1892:	Started container redis-exporter
21:46:56 Pod test-cluster-follower-1 1892:	Stopping container test-cluster-follower
21:46:56 Pod test-cluster-follower-1 1892:	Stopping container redis-exporter
21:47:28 Pod test-cluster-follower-1 2685:	Successfully assigned redis-operator/test-cluster-follower-1 to acto-cluster-5-worker2
21:47:29 Pod test-cluster-follower-1 2687:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:47:29 Pod test-cluster-follower-1 2687:	Created container test-cluster-follower
21:47:30 Pod test-cluster-follower-1 2687:	Started container test-cluster-follower
21:47:30 Pod test-cluster-follower-1 2687:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:47:30 Pod test-cluster-follower-1 2687:	Created container redis-exporter
21:47:32 Pod test-cluster-follower-1 2687:	Started container redis-exporter
21:41:07 Pod test-cluster-follower-2 1279:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker
21:41:09 Pod test-cluster-follower-2 1329:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:41:09 Pod test-cluster-follower-2 1329:	Created container test-cluster-follower
21:41:10 Pod test-cluster-follower-2 1329:	Started container test-cluster-follower
21:41:10 Pod test-cluster-follower-2 1329:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:41:10 Pod test-cluster-follower-2 1329:	Created container redis-exporter
21:41:12 Pod test-cluster-follower-2 1329:	Started container redis-exporter
21:42:13 Pod test-cluster-follower-2 1329:	Stopping container test-cluster-follower
21:42:13 Pod test-cluster-follower-2 1329:	Stopping container redis-exporter
21:42:44 Pod test-cluster-follower-2 1654:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker
21:42:46 Pod test-cluster-follower-2 1656:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:42:46 Pod test-cluster-follower-2 1656:	Created container test-cluster-follower
21:42:47 Pod test-cluster-follower-2 1656:	Started container test-cluster-follower
21:42:47 Pod test-cluster-follower-2 1656:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:42:47 Pod test-cluster-follower-2 1656:	Created container redis-exporter
21:42:48 Pod test-cluster-follower-2 1656:	Started container redis-exporter
21:45:54 Pod test-cluster-follower-2 1656:	Stopping container test-cluster-follower
21:45:54 Pod test-cluster-follower-2 1656:	Stopping container redis-exporter
21:46:26 Pod test-cluster-follower-2 2456:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker
21:46:27 Pod test-cluster-follower-2 2458:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:46:27 Pod test-cluster-follower-2 2458:	Created container test-cluster-follower
21:46:28 Pod test-cluster-follower-2 2458:	Started container test-cluster-follower
21:46:28 Pod test-cluster-follower-2 2458:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:46:28 Pod test-cluster-follower-2 2458:	Created container redis-exporter
21:46:30 Pod test-cluster-follower-2 2458:	Started container redis-exporter
21:50:38 Pod test-cluster-follower-2 2458:	Stopping container test-cluster-follower
21:50:38 Pod test-cluster-follower-2 2458:	Stopping container redis-exporter
22:00:41 Pod test-cluster-follower-2 4852:	Successfully assigned redis-operator/test-cluster-follower-2 to acto-cluster-5-worker
22:00:42 Pod test-cluster-follower-2 4854:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:00:42 Pod test-cluster-follower-2 4854:	Created container test-cluster-follower
22:00:44 Pod test-cluster-follower-2 4854:	Started container test-cluster-follower
22:00:44 Pod test-cluster-follower-2 4854:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:00:44 Pod test-cluster-follower-2 4854:	Created container redis-exporter
22:00:45 Pod test-cluster-follower-2 4854:	Started container redis-exporter
21:39:52 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 916:	waiting for first consumer to be created before binding
21:39:52 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 923:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:39:52 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 923:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
21:39:56 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 923:	Successfully provisioned volume pvc-911b4541-d2d8-4c10-9a3c-34c57982f5c6
21:40:27 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1101:	waiting for first consumer to be created before binding
21:40:27 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1108:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:40:27 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1108:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
21:40:31 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1108:	Successfully provisioned volume pvc-d901a4fe-87ef-4702-8cf7-71d032c8685a
21:41:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1276:	waiting for first consumer to be created before binding
21:41:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1283:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:41:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1283:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
21:41:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1283:	Successfully provisioned volume pvc-93e3e0e4-8e0d-49b9-9dda-39049abba7df
21:39:52 StatefulSet test-cluster-follower 914:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
21:39:52 StatefulSet test-cluster-follower 914:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
21:40:27 StatefulSet test-cluster-follower 922:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
21:40:27 StatefulSet test-cluster-follower 922:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
21:41:02 StatefulSet test-cluster-follower 1107:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
21:41:02 StatefulSet test-cluster-follower 1107:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
21:42:13 StatefulSet test-cluster-follower 1542:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
21:43:15 StatefulSet test-cluster-follower 1657:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
21:44:16 StatefulSet test-cluster-follower 1893:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
21:51:10 StatefulSet test-cluster-follower 3405:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower failed error: Pod "test-cluster-follower-2" is invalid: [spec.volumes[1].secret.secretName: Required value, spec.containers[0].volumeMounts[1].name: Not found: "tls-certs", spec.containers[1].volumeMounts[0].name: Not found: "tls-certs"]
21:39:56 Pod test-cluster-leader-0 895:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker3
21:39:58 Pod test-cluster-leader-0 973:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:39:58 Pod test-cluster-leader-0 973:	Created container test-cluster-leader
21:39:59 Pod test-cluster-leader-0 973:	Started container test-cluster-leader
21:39:59 Pod test-cluster-leader-0 973:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:39:59 Pod test-cluster-leader-0 973:	Created container redis-exporter
21:40:01 Pod test-cluster-leader-0 973:	Started container redis-exporter
21:44:15 Pod test-cluster-leader-0 973:	Stopping container test-cluster-leader
21:44:15 Pod test-cluster-leader-0 973:	Stopping container redis-exporter
21:44:47 Pod test-cluster-leader-0 2106:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker3
21:44:47 Pod test-cluster-leader-0 2107:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:44:47 Pod test-cluster-leader-0 2107:	Created container test-cluster-leader
21:44:49 Pod test-cluster-leader-0 2107:	Started container test-cluster-leader
21:44:49 Pod test-cluster-leader-0 2107:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:44:49 Pod test-cluster-leader-0 2107:	Created container redis-exporter
21:44:50 Pod test-cluster-leader-0 2107:	Started container redis-exporter
21:47:56 Pod test-cluster-leader-0 2107:	Stopping container test-cluster-leader
21:47:56 Pod test-cluster-leader-0 2107:	Stopping container redis-exporter
21:48:27 Pod test-cluster-leader-0 2897:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-5-worker3
21:48:28 Pod test-cluster-leader-0 2898:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:48:28 Pod test-cluster-leader-0 2898:	Created container test-cluster-leader
21:48:29 Pod test-cluster-leader-0 2898:	Started container test-cluster-leader
21:48:29 Pod test-cluster-leader-0 2898:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:48:29 Pod test-cluster-leader-0 2898:	Created container redis-exporter
21:48:31 Pod test-cluster-leader-0 2898:	Started container redis-exporter
21:40:32 Pod test-cluster-leader-1 1084:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker2
21:40:33 Pod test-cluster-leader-1 1151:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:40:33 Pod test-cluster-leader-1 1151:	Created container test-cluster-leader
21:40:34 Pod test-cluster-leader-1 1151:	Started container test-cluster-leader
21:40:34 Pod test-cluster-leader-1 1151:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:40:34 Pod test-cluster-leader-1 1151:	Created container redis-exporter
21:40:36 Pod test-cluster-leader-1 1151:	Started container redis-exporter
21:43:14 Pod test-cluster-leader-1 1151:	Stopping container test-cluster-leader
21:43:14 Pod test-cluster-leader-1 1151:	Stopping container redis-exporter
21:43:45 Pod test-cluster-leader-1 1870:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker2
21:43:46 Pod test-cluster-leader-1 1871:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:43:46 Pod test-cluster-leader-1 1871:	Created container test-cluster-leader
21:43:47 Pod test-cluster-leader-1 1871:	Started container test-cluster-leader
21:43:47 Pod test-cluster-leader-1 1871:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:43:47 Pod test-cluster-leader-1 1871:	Created container redis-exporter
21:43:48 Pod test-cluster-leader-1 1871:	Started container redis-exporter
21:46:55 Pod test-cluster-leader-1 1871:	Stopping container test-cluster-leader
21:46:55 Pod test-cluster-leader-1 1871:	Stopping container redis-exporter
21:47:26 Pod test-cluster-leader-1 2666:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-5-worker2
21:47:27 Pod test-cluster-leader-1 2668:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:47:27 Pod test-cluster-leader-1 2668:	Created container test-cluster-leader
21:47:28 Pod test-cluster-leader-1 2668:	Started container test-cluster-leader
21:47:28 Pod test-cluster-leader-1 2668:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:47:28 Pod test-cluster-leader-1 2668:	Created container redis-exporter
21:47:29 Pod test-cluster-leader-1 2668:	Started container redis-exporter
21:41:07 Pod test-cluster-leader-2 1262:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker
21:41:08 Pod test-cluster-leader-2 1324:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:41:08 Pod test-cluster-leader-2 1324:	Created container test-cluster-leader
21:41:10 Pod test-cluster-leader-2 1324:	Started container test-cluster-leader
21:41:10 Pod test-cluster-leader-2 1324:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:41:10 Pod test-cluster-leader-2 1324:	Created container redis-exporter
21:41:11 Pod test-cluster-leader-2 1324:	Started container redis-exporter
21:42:13 Pod test-cluster-leader-2 1324:	Stopping container test-cluster-leader
21:42:13 Pod test-cluster-leader-2 1324:	Stopping container redis-exporter
21:42:44 Pod test-cluster-leader-2 1638:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker
21:42:44 Pod test-cluster-leader-2 1639:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:42:44 Pod test-cluster-leader-2 1639:	Created container test-cluster-leader
21:42:46 Pod test-cluster-leader-2 1639:	Started container test-cluster-leader
21:42:46 Pod test-cluster-leader-2 1639:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:42:46 Pod test-cluster-leader-2 1639:	Created container redis-exporter
21:42:47 Pod test-cluster-leader-2 1639:	Started container redis-exporter
21:45:54 Pod test-cluster-leader-2 1639:	Stopping container test-cluster-leader
21:45:54 Pod test-cluster-leader-2 1639:	Stopping container redis-exporter
21:46:24 Pod test-cluster-leader-2 2435:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker
21:46:25 Pod test-cluster-leader-2 2437:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
21:46:25 Pod test-cluster-leader-2 2437:	Created container test-cluster-leader
21:46:27 Pod test-cluster-leader-2 2437:	Started container test-cluster-leader
21:46:27 Pod test-cluster-leader-2 2437:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
21:46:27 Pod test-cluster-leader-2 2437:	Created container redis-exporter
21:46:28 Pod test-cluster-leader-2 2437:	Started container redis-exporter
21:50:38 Pod test-cluster-leader-2 2437:	Stopping container test-cluster-leader
21:50:38 Pod test-cluster-leader-2 2437:	Stopping container redis-exporter
22:00:41 Pod test-cluster-leader-2 4844:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-5-worker
22:00:42 Pod test-cluster-leader-2 4846:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
22:00:42 Pod test-cluster-leader-2 4846:	Created container test-cluster-leader
22:00:43 Pod test-cluster-leader-2 4846:	Started container test-cluster-leader
22:00:43 Pod test-cluster-leader-2 4846:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
22:00:43 Pod test-cluster-leader-2 4846:	Created container redis-exporter
22:00:45 Pod test-cluster-leader-2 4846:	Started container redis-exporter
21:39:51 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 893:	waiting for first consumer to be created before binding
21:39:51 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 900:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:39:51 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 900:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
21:39:56 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 900:	Successfully provisioned volume pvc-b3742b75-faee-46a0-ad38-d622461e4170
21:40:27 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1081:	waiting for first consumer to be created before binding
21:40:27 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1088:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:40:27 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1088:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
21:40:31 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1088:	Successfully provisioned volume pvc-d415e678-fee5-407a-a64e-5c9978e5a2c0
21:41:02 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1259:	waiting for first consumer to be created before binding
21:41:02 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1266:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
21:41:02 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1266:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
21:41:06 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1266:	Successfully provisioned volume pvc-15b5e85c-0c9d-42f8-b896-4be6237f7ef6
21:39:51 StatefulSet test-cluster-leader 890:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
21:39:51 StatefulSet test-cluster-leader 890:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
21:40:27 StatefulSet test-cluster-leader 898:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
21:40:27 StatefulSet test-cluster-leader 898:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
21:41:02 StatefulSet test-cluster-leader 1087:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
21:41:02 StatefulSet test-cluster-leader 1087:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
21:42:13 StatefulSet test-cluster-leader 1530:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
21:43:14 StatefulSet test-cluster-leader 1643:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
21:44:15 StatefulSet test-cluster-leader 1875:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
21:51:09 StatefulSet test-cluster-leader 3286:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader failed error: Pod "test-cluster-leader-2" is invalid: [spec.volumes[1].secret.secretName: Required value, spec.containers[0].volumeMounts[1].name: Not found: "tls-certs", spec.containers[1].volumeMounts[0].name: Not found: "tls-certs"]
