06:28:32 Pod acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 719:	Successfully assigned acto-namespace/acto-test-operator-zookeeper-operator-658b9fbcfb-2c946 to acto-cluster-15-worker
06:42:38 Pod test-cluster-2 2720:	Created container zookeeper
06:42:38 Pod test-cluster-2 2720:	Started container zookeeper
06:45:26 Pod test-cluster-2 2720:	Stopping container zookeeper
06:45:57 Pod test-cluster-2 3186:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:45:58 Pod test-cluster-2 3187:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:45:58 Pod test-cluster-2 3187:	Created container zookeeper
06:45:58 Pod test-cluster-2 3187:	Started container zookeeper
06:48:46 Pod test-cluster-2 3187:	Stopping container zookeeper
06:58:49 Pod test-cluster-2 4515:	Successfully assigned acto-namespace/test-cluster-2 to acto-cluster-15-worker2
06:58:50 Pod test-cluster-2 4516:	Container image "pravega/zookeeper:0.2.14" already present on machine
06:58:50 Pod test-cluster-2 4516:	Created container zookeeper
06:58:50 Pod test-cluster-2 4516:	Started container zookeeper
06:29:05 StatefulSet test-cluster 805:	create Claim data-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
06:29:05 StatefulSet test-cluster 805:	create Pod test-cluster-0 in StatefulSet test-cluster successful
06:29:20 StatefulSet test-cluster 844:	create Claim data-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
06:29:20 StatefulSet test-cluster 844:	create Pod test-cluster-1 in StatefulSet test-cluster successful
06:30:08 StatefulSet test-cluster 1021:	create Claim data-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
06:30:08 StatefulSet test-cluster 1021:	create Pod test-cluster-2 in StatefulSet test-cluster successful
06:31:17 StatefulSet test-cluster 1188:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
06:32:09 StatefulSet test-cluster 1300:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
06:33:01 StatefulSet test-cluster 1399:	delete Pod test-cluster-0 in StatefulSet test-cluster successful
06:49:18 StatefulSet test-cluster 3629:	create Pod test-cluster-2 in StatefulSet test-cluster failed error: Pod "test-cluster-2" is invalid: [spec.containers[0].name: Invalid value: "ACTOKEY": a lowercase RFC 1123 label must consist of lower case alphanumeric characters or '-', and must start and end with an alphanumeric character (e.g. 'my-name',  or '123-abc', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?'), spec.containers[0].lifecycle.postStart.httpGet: Forbidden: may not specify more than 1 handler type, spec.containers[0].lifecycle.preStop.httpGet.port: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].lifecycle.preStop.httpGet.port: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].lifecycle.preStop.httpGet.scheme: Unsupported value: "ACTOKEY": supported values: "HTTP", "HTTPS", spec.containers[0].lifecycle.preStop.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].startupProbe.httpGet: Forbidden: may not specify more than 1 handler type, spec.containers[0].startupProbe.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].terminationMessagePolicy: Invalid value: "ACTOKEY": must be 'File' or 'FallbackToLogsOnError', spec.containers[0].readinessProbe.httpGet.scheme: Unsupported value: "ACTOKEY": supported values: "HTTP", "HTTPS", spec.containers[0].readinessProbe.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].ports[0].name: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].ports[0].name: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].ports[0].containerPort: Required value, spec.containers[0].ports[0].protocol: Unsupported value: "ACTOKEY": supported values: "SCTP", "TCP", "UDP", spec.containers[0].ports[1].name: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].ports[1].name: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].ports[1].protocol: Unsupported value: "ACTOKEY": supported values: "SCTP", "TCP", "UDP", spec.containers[0].volumeDevices[0].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[1].name: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[1].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[1].devicePath: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[2].name: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[2].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[2].devicePath: Invalid value: "ACTOKEY": must be unique, spec.containers[0].imagePullPolicy: Unsupported value: "ACTOKEY": supported values: "Always", "IfNotPresent", "Never", spec.containers[0].securityContext.seccompProfile.type: Unsupported value: "ACTOKEY": supported values: "Localhost", "RuntimeDefault", "Unconfined", spec.containers[0].securityContext.seccompProfile.localhostProfile: Invalid value: core.SeccompProfile{Type:"ACTOKEY", LocalhostProfile:(*string)(0xc005ad8380)}: can only be set when seccomp type is Localhost, spec.containers[0].securityContext.windowsOptions.gmsaCredentialSpecName: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')]
06:49:20 StatefulSet test-cluster 3857:	(combined from similar events): create Pod test-cluster-2 in StatefulSet test-cluster failed error: Pod "test-cluster-2" is invalid: [spec.containers[0].name: Invalid value: "ACTOKEY": a lowercase RFC 1123 label must consist of lower case alphanumeric characters or '-', and must start and end with an alphanumeric character (e.g. 'my-name',  or '123-abc', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?'), spec.containers[0].lifecycle.postStart.httpGet: Forbidden: may not specify more than 1 handler type, spec.containers[0].lifecycle.preStop.httpGet.port: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].lifecycle.preStop.httpGet.port: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].lifecycle.preStop.httpGet.scheme: Unsupported value: "ACTOKEY": supported values: "HTTP", "HTTPS", spec.containers[0].lifecycle.preStop.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].startupProbe.httpGet: Forbidden: may not specify more than 1 handler type, spec.containers[0].startupProbe.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].terminationMessagePolicy: Invalid value: "ACTOKEY": must be 'File' or 'FallbackToLogsOnError', spec.containers[0].readinessProbe.httpGet.scheme: Unsupported value: "ACTOKEY": supported values: "HTTP", "HTTPS", spec.containers[0].readinessProbe.tcpSocket: Forbidden: may not specify more than 1 handler type, spec.containers[0].ports[0].name: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].ports[0].name: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].ports[0].containerPort: Required value, spec.containers[0].ports[0].protocol: Unsupported value: "ACTOKEY": supported values: "SCTP", "TCP", "UDP", spec.containers[0].ports[1].name: Invalid value: "ACTOKEY": must contain only alpha-numeric characters (a-z, 0-9), and hyphens (-), spec.containers[0].ports[1].name: Invalid value: "ACTOKEY": must contain at least one letter or number (a-z, 0-9), spec.containers[0].ports[1].protocol: Unsupported value: "ACTOKEY": supported values: "SCTP", "TCP", "UDP", spec.containers[0].volumeDevices[0].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[1].name: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[1].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[1].devicePath: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[2].name: Invalid value: "ACTOKEY": must be unique, spec.containers[0].volumeDevices[2].name: Not found: "ACTOKEY", spec.containers[0].volumeDevices[2].devicePath: Invalid value: "ACTOKEY": must be unique, spec.containers[0].imagePullPolicy: Unsupported value: "ACTOKEY": supported values: "Always", "IfNotPresent", "Never", spec.containers[0].securityContext.seccompProfile.type: Unsupported value: "ACTOKEY": supported values: "Localhost", "RuntimeDefault", "Unconfined", spec.containers[0].securityContext.seccompProfile.localhostProfile: Invalid value: core.SeccompProfile{Type:"ACTOKEY", LocalhostProfile:(*string)(0xc012180840)}: can only be set when seccomp type is Localhost, spec.containers[0].securityContext.windowsOptions.gmsaCredentialSpecName: Invalid value: "ACTOKEY": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')]
06:29:02 Pod zkapp 787:	Successfully assigned acto-namespace/zkapp to acto-cluster-15-worker3
06:29:02 Pod zkapp 788:	Container image "tylergu1998/zkapp:v1" already present on machine
06:29:02 Pod zkapp 788:	Created container zkapp
06:29:03 Pod zkapp 788:	Started container zkapp
