04:40:36 Pod cockroach-operator-manager-57b7fbd794-pkf4d 747:	Successfully assigned cockroach-operator-system/cockroach-operator-manager-57b7fbd794-pkf4d to acto-cluster-15-worker2
04:56:54 Pod test-cluster-1 3058:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:56:54 Pod test-cluster-1 3058:	Created container db-init
04:56:54 Pod test-cluster-1 3058:	Started container db-init
04:56:55 Pod test-cluster-1 3058:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:56:55 Pod test-cluster-1 3058:	Created container db
04:56:55 Pod test-cluster-1 3058:	Started container db
04:57:09 Pod test-cluster-1 3058:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:58:43 Pod test-cluster-1 3058:	Stopping container db
04:49:51 Pod test-cluster-2 1860:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-15-worker
04:49:52 Pod test-cluster-2 1929:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:52 Pod test-cluster-2 1929:	Created container db-init
04:49:52 Pod test-cluster-2 1929:	Started container db-init
04:49:53 Pod test-cluster-2 1929:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:49:53 Pod test-cluster-2 1929:	Created container db
04:49:53 Pod test-cluster-2 1929:	Started container db
04:50:06 Pod test-cluster-2 1929:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:51:23 Pod test-cluster-2 1929:	Stopping container db
04:51:32 Pod test-cluster-2 2174:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-15-worker
04:51:32 Pod test-cluster-2 2176:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:32 Pod test-cluster-2 2176:	Created container db-init
04:51:32 Pod test-cluster-2 2176:	Started container db-init
04:51:32 Pod test-cluster-2 2176:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:51:32 Pod test-cluster-2 2176:	Created container db
04:51:33 Pod test-cluster-2 2176:	Started container db
04:52:02 Pod test-cluster-2 2176:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:53:51 Pod test-cluster-2 2176:	Stopping container db
04:53:59 Pod test-cluster-2 2573:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-15-worker
04:53:59 Pod test-cluster-2 2574:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:53:59 Pod test-cluster-2 2574:	Created container db-init
04:54:00 Pod test-cluster-2 2574:	Started container db-init
04:54:00 Pod test-cluster-2 2574:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:54:00 Pod test-cluster-2 2574:	Created container db
04:54:00 Pod test-cluster-2 2574:	Started container db
04:54:29 Pod test-cluster-2 2574:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:56:22 Pod test-cluster-2 2574:	Stopping container db
04:56:31 Pod test-cluster-2 2979:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-15-worker
04:56:32 Pod test-cluster-2 2980:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:56:32 Pod test-cluster-2 2980:	Created container db-init
04:56:32 Pod test-cluster-2 2980:	Started container db-init
04:56:32 Pod test-cluster-2 2980:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:56:32 Pod test-cluster-2 2980:	Created container db
04:56:32 Pod test-cluster-2 2980:	Started container db
04:57:01 Pod test-cluster-2 2980:	Readiness probe failed: HTTP probe failed with statuscode: 503
04:58:21 Pod test-cluster-2 2980:	Stopping container db
04:58:28 Pod test-cluster-2 3288:	Successfully assigned cockroach-operator-system/test-cluster-2 to acto-cluster-15-worker
04:58:29 Pod test-cluster-2 3289:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:58:29 Pod test-cluster-2 3289:	Created container db-init
04:58:29 Pod test-cluster-2 3289:	Started container db-init
04:58:29 Pod test-cluster-2 3289:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:58:29 Pod test-cluster-2 3289:	Created container db
04:58:30 Pod test-cluster-2 3289:	Started container db
04:41:29 Pod test-cluster-vcheck-28006841--1-7qc27 896:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006841--1-7qc27 to acto-cluster-15-worker
04:41:30 Pod test-cluster-vcheck-28006841--1-7qc27 898:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:41:30 Pod test-cluster-vcheck-28006841--1-7qc27 898:	Created container crdb
04:41:30 Pod test-cluster-vcheck-28006841--1-7qc27 898:	Started container crdb
04:41:29 Job test-cluster-vcheck-28006841 895:	Created pod: test-cluster-vcheck-28006841--1-7qc27
04:44:04 Job test-cluster-vcheck-28006841 899:	Job completed
04:42:31 Pod test-cluster-vcheck-28006842--1-kpmxz 999:	Successfully assigned cockroach-operator-system/test-cluster-vcheck-28006842--1-kpmxz to acto-cluster-15-worker2
04:42:31 Pod test-cluster-vcheck-28006842--1-kpmxz 1000:	Container image "cockroachdb/cockroach:v21.2.10" already present on machine
04:42:31 Pod test-cluster-vcheck-28006842--1-kpmxz 1000:	Created container crdb
04:42:32 Pod test-cluster-vcheck-28006842--1-kpmxz 1000:	Started container crdb
04:42:34 Pod test-cluster-vcheck-28006842--1-kpmxz 1000:	Stopping container crdb
04:42:31 Job test-cluster-vcheck-28006842 998:	Created pod: test-cluster-vcheck-28006842--1-kpmxz
04:42:35 StatefulSet test-cluster 1036:	create Claim datadir-test-cluster-0 Pod test-cluster-0 in StatefulSet test-cluster success
04:42:35 StatefulSet test-cluster 1036:	create Pod test-cluster-0 in StatefulSet test-cluster failed error: Pod "test-cluster-0" is invalid: spec.containers[0].env[4].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
04:42:35 PodDisruptionBudget test-cluster 1043:	No matching pods found
04:49:46 StatefulSet test-cluster 1841:	create Pod test-cluster-0 in StatefulSet test-cluster successful
04:49:46 StatefulSet test-cluster 1841:	create Claim datadir-test-cluster-1 Pod test-cluster-1 in StatefulSet test-cluster success
04:49:46 StatefulSet test-cluster 1841:	create Pod test-cluster-1 in StatefulSet test-cluster successful
04:49:46 StatefulSet test-cluster 1841:	create Claim datadir-test-cluster-2 Pod test-cluster-2 in StatefulSet test-cluster success
04:49:46 StatefulSet test-cluster 1841:	create Pod test-cluster-2 in StatefulSet test-cluster successful
04:51:23 StatefulSet test-cluster 2142:	delete Pod test-cluster-2 in StatefulSet test-cluster successful
04:51:47 StatefulSet test-cluster 2179:	delete Pod test-cluster-1 in StatefulSet test-cluster successful
