06:01:50 Pod redisoperator-56c8dfdfb-wh7cz 803:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-wh7cz to acto-cluster-15-worker3
06:15:59 Pod rfr-test-cluster-2 2469:	Created container redis-exporter
06:16:02 Pod rfr-test-cluster-2 2469:	Started container redis-exporter
06:16:38 Pod rfr-test-cluster-2 2469:	Readiness probe failed: 
06:01:52 PodDisruptionBudget rfr-test-cluster 829:	No matching pods found
06:01:52 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:01:52 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:01:52 StatefulSet rfr-test-cluster 833:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:05:57 StatefulSet rfr-test-cluster 1444:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:06:56 StatefulSet rfr-test-cluster 1444:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:01:52 Pod rfs-test-cluster-54df69f8df-6qcrp 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-6qcrp to acto-cluster-15-worker3
06:01:53 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Created container sentinel-config-copy
06:02:08 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Started container sentinel-config-copy
06:02:10 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Container image "redis:6.2.6-alpine" already present on machine
06:02:10 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Created container sentinel
06:02:10 Pod rfs-test-cluster-54df69f8df-6qcrp 874:	Started container sentinel
06:01:52 Pod rfs-test-cluster-54df69f8df-jng2l 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-jng2l to acto-cluster-15-worker2
06:01:53 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Created container sentinel-config-copy
06:02:05 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Started container sentinel-config-copy
06:02:07 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Container image "redis:6.2.6-alpine" already present on machine
06:02:07 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Created container sentinel
06:02:08 Pod rfs-test-cluster-54df69f8df-jng2l 870:	Started container sentinel
06:01:52 Pod rfs-test-cluster-54df69f8df-lbssz 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lbssz to acto-cluster-15-worker
06:01:53 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Container image "redis:6.2.6-alpine" already present on machine
06:01:53 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Created container sentinel-config-copy
06:02:08 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Started container sentinel-config-copy
06:02:10 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Container image "redis:6.2.6-alpine" already present on machine
06:02:10 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Created container sentinel
06:02:11 Pod rfs-test-cluster-54df69f8df-lbssz 866:	Started container sentinel
06:01:52 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-lbssz
06:01:52 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-jng2l
06:01:52 ReplicaSet rfs-test-cluster-54df69f8df 860:	Created pod: rfs-test-cluster-54df69f8df-6qcrp
06:01:52 PodDisruptionBudget rfs-test-cluster 855:	No matching pods found
06:01:52 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
