07:51:39 Pod redisoperator-56c8dfdfb-2kg9n 800:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2kg9n to acto-cluster-8-worker
08:04:47 Pod rfr-test-cluster-0 2354:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:47 Pod rfr-test-cluster-0 2354:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 114.41463ms
08:04:47 Pod rfr-test-cluster-0 2354:	Created container redis-exporter
08:04:50 Pod rfr-test-cluster-0 2354:	Started container redis-exporter
08:05:26 Pod rfr-test-cluster-0 2354:	Readiness probe failed: 
07:51:41 Pod rfr-test-cluster-1 838:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker2
07:51:42 Pod rfr-test-cluster-1 840:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfr-test-cluster-1 840:	Created container redis
07:51:42 Pod rfr-test-cluster-1 840:	Started container redis
07:51:42 Pod rfr-test-cluster-1 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:51:42 Pod rfr-test-cluster-1 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 289.777005ms
07:51:42 Pod rfr-test-cluster-1 840:	Created container redis-exporter
07:51:46 Pod rfr-test-cluster-1 840:	Started container redis-exporter
07:52:21 Pod rfr-test-cluster-1 840:	Readiness probe failed: 
07:54:45 Pod rfr-test-cluster-1 840:	Stopping container redis
07:54:45 Pod rfr-test-cluster-1 840:	Stopping container redis-exporter
08:04:46 Pod rfr-test-cluster-1 2353:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-8-worker
08:04:46 Pod rfr-test-cluster-1 2358:	Container image "redis:6.2.6-alpine" already present on machine
08:04:46 Pod rfr-test-cluster-1 2358:	Created container redis
08:04:47 Pod rfr-test-cluster-1 2358:	Started container redis
08:04:47 Pod rfr-test-cluster-1 2358:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:47 Pod rfr-test-cluster-1 2358:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 112.660466ms
08:04:47 Pod rfr-test-cluster-1 2358:	Created container redis-exporter
08:04:50 Pod rfr-test-cluster-1 2358:	Started container redis-exporter
08:05:26 Pod rfr-test-cluster-1 2358:	Readiness probe failed: 
07:51:41 Pod rfr-test-cluster-2 843:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker
07:51:42 Pod rfr-test-cluster-2 847:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfr-test-cluster-2 847:	Created container redis
07:51:42 Pod rfr-test-cluster-2 847:	Started container redis
07:51:42 Pod rfr-test-cluster-2 847:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:51:42 Pod rfr-test-cluster-2 847:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 290.041981ms
07:51:42 Pod rfr-test-cluster-2 847:	Created container redis-exporter
07:51:46 Pod rfr-test-cluster-2 847:	Started container redis-exporter
07:52:21 Pod rfr-test-cluster-2 847:	Readiness probe failed: 
07:55:14 Pod rfr-test-cluster-2 847:	Stopping container redis
07:55:14 Pod rfr-test-cluster-2 847:	Stopping container redis-exporter
08:04:46 Pod rfr-test-cluster-2 2359:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-8-worker2
08:04:46 Pod rfr-test-cluster-2 2363:	Container image "redis:6.2.6-alpine" already present on machine
08:04:46 Pod rfr-test-cluster-2 2363:	Created container redis
08:04:46 Pod rfr-test-cluster-2 2363:	Started container redis
08:04:46 Pod rfr-test-cluster-2 2363:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:04:47 Pod rfr-test-cluster-2 2363:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 162.712328ms
08:04:47 Pod rfr-test-cluster-2 2363:	Created container redis-exporter
08:04:49 Pod rfr-test-cluster-2 2363:	Started container redis-exporter
08:05:16 Pod rfr-test-cluster-2 2363:	Readiness probe failed: 
07:51:41 PodDisruptionBudget rfr-test-cluster 827:	No matching pods found
07:51:41 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:51:41 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:51:41 StatefulSet rfr-test-cluster 831:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:54:48 StatefulSet rfr-test-cluster 1341:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:55:45 StatefulSet rfr-test-cluster 1341:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
07:51:41 Pod rfs-test-cluster-54df69f8df-f8bng 865:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-f8bng to acto-cluster-8-worker2
07:51:42 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Created container sentinel-config-copy
07:51:58 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Started container sentinel-config-copy
07:52:00 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Container image "redis:6.2.6-alpine" already present on machine
07:52:00 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Created container sentinel
07:52:01 Pod rfs-test-cluster-54df69f8df-f8bng 873:	Started container sentinel
07:51:41 Pod rfs-test-cluster-54df69f8df-fqzzx 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fqzzx to acto-cluster-8-worker3
07:51:42 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Created container sentinel-config-copy
07:51:57 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Started container sentinel-config-copy
07:51:59 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Container image "redis:6.2.6-alpine" already present on machine
07:51:59 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Created container sentinel
07:51:59 Pod rfs-test-cluster-54df69f8df-fqzzx 870:	Started container sentinel
07:51:41 Pod rfs-test-cluster-54df69f8df-x4lhl 860:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-x4lhl to acto-cluster-8-worker
07:51:42 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Container image "redis:6.2.6-alpine" already present on machine
07:51:42 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Created container sentinel-config-copy
07:51:58 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Started container sentinel-config-copy
07:51:59 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Container image "redis:6.2.6-alpine" already present on machine
07:51:59 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Created container sentinel
07:51:59 Pod rfs-test-cluster-54df69f8df-x4lhl 866:	Started container sentinel
07:51:41 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-x4lhl
07:51:41 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-fqzzx
07:51:41 ReplicaSet rfs-test-cluster-54df69f8df 858:	Created pod: rfs-test-cluster-54df69f8df-f8bng
07:51:41 PodDisruptionBudget rfs-test-cluster 853:	No matching pods found
07:51:41 Deployment rfs-test-cluster 857:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
