03:18:23 Pod redis-operator-54fb85ff56-mkjpl 833:	Successfully assigned redis-operator/redis-operator-54fb85ff56-mkjpl to acto-cluster-3-worker2
03:28:42 Pod test-cluster-follower-2 3218:	Created container redis-exporter
03:28:44 Pod test-cluster-follower-2 3218:	Started container redis-exporter
03:18:26 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 879:	waiting for first consumer to be created before binding
03:18:26 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:18:26 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-0"
03:18:30 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-0 886:	Successfully provisioned volume pvc-26067310-2178-4ed8-ad91-4721caee0aa1
03:19:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1071:	waiting for first consumer to be created before binding
03:19:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1078:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:19:02 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1078:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-1"
03:19:06 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-1 1078:	Successfully provisioned volume pvc-bd10b536-8c5f-4578-bf28-74541d01a33f
03:19:37 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1242:	waiting for first consumer to be created before binding
03:19:37 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1250:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:19:37 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1250:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-follower-test-cluster-follower-2"
03:19:41 PersistentVolumeClaim test-cluster-follower-test-cluster-follower-2 1250:	Successfully provisioned volume pvc-dfb813fe-a841-4aab-83bf-eba633cc6450
03:18:26 StatefulSet test-cluster-follower 877:	create Claim test-cluster-follower-test-cluster-follower-0 Pod test-cluster-follower-0 in StatefulSet test-cluster-follower success
03:18:26 StatefulSet test-cluster-follower 877:	create Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
03:19:02 StatefulSet test-cluster-follower 885:	create Claim test-cluster-follower-test-cluster-follower-1 Pod test-cluster-follower-1 in StatefulSet test-cluster-follower success
03:19:02 StatefulSet test-cluster-follower 885:	create Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
03:19:37 StatefulSet test-cluster-follower 1076:	create Claim test-cluster-follower-test-cluster-follower-2 Pod test-cluster-follower-2 in StatefulSet test-cluster-follower success
03:19:37 StatefulSet test-cluster-follower 1076:	create Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
03:20:48 StatefulSet test-cluster-follower 1502:	delete Pod test-cluster-follower-2 in StatefulSet test-cluster-follower successful
03:21:48 StatefulSet test-cluster-follower 1617:	delete Pod test-cluster-follower-1 in StatefulSet test-cluster-follower successful
03:22:49 StatefulSet test-cluster-follower 1851:	delete Pod test-cluster-follower-0 in StatefulSet test-cluster-follower successful
03:18:30 Pod test-cluster-leader-0 858:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-3-worker3
03:18:31 Pod test-cluster-leader-0 930:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:18:31 Pod test-cluster-leader-0 930:	Created container test-cluster-leader
03:18:32 Pod test-cluster-leader-0 930:	Started container test-cluster-leader
03:18:32 Pod test-cluster-leader-0 930:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:18:32 Pod test-cluster-leader-0 930:	Created container redis-exporter
03:18:33 Pod test-cluster-leader-0 930:	Started container redis-exporter
03:22:49 Pod test-cluster-leader-0 930:	Stopping container test-cluster-leader
03:22:49 Pod test-cluster-leader-0 930:	Stopping container redis-exporter
03:23:21 Pod test-cluster-leader-0 2083:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-3-worker3
03:23:22 Pod test-cluster-leader-0 2084:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:23:22 Pod test-cluster-leader-0 2084:	Created container test-cluster-leader
03:23:24 Pod test-cluster-leader-0 2084:	Started container test-cluster-leader
03:23:24 Pod test-cluster-leader-0 2084:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:23:24 Pod test-cluster-leader-0 2084:	Created container redis-exporter
03:23:25 Pod test-cluster-leader-0 2084:	Started container redis-exporter
03:26:29 Pod test-cluster-leader-0 2084:	Stopping container test-cluster-leader
03:26:29 Pod test-cluster-leader-0 2084:	Stopping container redis-exporter
03:27:00 Pod test-cluster-leader-0 2862:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-3-worker3
03:27:01 Pod test-cluster-leader-0 2863:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:27:01 Pod test-cluster-leader-0 2863:	Created container test-cluster-leader
03:27:02 Pod test-cluster-leader-0 2863:	Started container test-cluster-leader
03:27:02 Pod test-cluster-leader-0 2863:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:27:02 Pod test-cluster-leader-0 2863:	Created container redis-exporter
03:27:04 Pod test-cluster-leader-0 2863:	Started container redis-exporter
03:30:10 Pod test-cluster-leader-0 2863:	Stopping container test-cluster-leader
03:30:10 Pod test-cluster-leader-0 2863:	Stopping container redis-exporter
03:30:41 Pod test-cluster-leader-0 3660:	Successfully assigned redis-operator/test-cluster-leader-0 to acto-cluster-3-worker3
03:30:41 Pod test-cluster-leader-0 3661:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:30:41 Pod test-cluster-leader-0 3661:	Created container test-cluster-leader
03:30:43 Pod test-cluster-leader-0 3661:	Started container test-cluster-leader
03:30:43 Pod test-cluster-leader-0 3661:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:30:43 Pod test-cluster-leader-0 3661:	Created container redis-exporter
03:30:44 Pod test-cluster-leader-0 3661:	Started container redis-exporter
03:19:05 Pod test-cluster-leader-1 1047:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-3-worker2
03:19:06 Pod test-cluster-leader-1 1104:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:19:06 Pod test-cluster-leader-1 1104:	Created container test-cluster-leader
03:19:07 Pod test-cluster-leader-1 1104:	Started container test-cluster-leader
03:19:07 Pod test-cluster-leader-1 1104:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:19:08 Pod test-cluster-leader-1 1104:	Created container redis-exporter
03:19:09 Pod test-cluster-leader-1 1104:	Started container redis-exporter
03:21:48 Pod test-cluster-leader-1 1104:	Stopping container test-cluster-leader
03:21:48 Pod test-cluster-leader-1 1104:	Stopping container redis-exporter
03:22:19 Pod test-cluster-leader-1 1833:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-3-worker2
03:22:21 Pod test-cluster-leader-1 1837:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:22:21 Pod test-cluster-leader-1 1837:	Created container test-cluster-leader
03:22:22 Pod test-cluster-leader-1 1837:	Started container test-cluster-leader
03:22:22 Pod test-cluster-leader-1 1837:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:22:22 Pod test-cluster-leader-1 1837:	Created container redis-exporter
03:22:24 Pod test-cluster-leader-1 1837:	Started container redis-exporter
03:25:28 Pod test-cluster-leader-1 1837:	Stopping container test-cluster-leader
03:25:28 Pod test-cluster-leader-1 1837:	Stopping container redis-exporter
03:25:58 Pod test-cluster-leader-1 2625:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-3-worker2
03:25:59 Pod test-cluster-leader-1 2626:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:25:59 Pod test-cluster-leader-1 2626:	Created container test-cluster-leader
03:26:00 Pod test-cluster-leader-1 2626:	Started container test-cluster-leader
03:26:00 Pod test-cluster-leader-1 2626:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:26:00 Pod test-cluster-leader-1 2626:	Created container redis-exporter
03:26:02 Pod test-cluster-leader-1 2626:	Started container redis-exporter
03:29:09 Pod test-cluster-leader-1 2626:	Stopping container test-cluster-leader
03:29:09 Pod test-cluster-leader-1 2626:	Stopping container redis-exporter
03:29:39 Pod test-cluster-leader-1 3428:	Successfully assigned redis-operator/test-cluster-leader-1 to acto-cluster-3-worker2
03:29:40 Pod test-cluster-leader-1 3429:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:29:40 Pod test-cluster-leader-1 3429:	Created container test-cluster-leader
03:29:41 Pod test-cluster-leader-1 3429:	Started container test-cluster-leader
03:29:41 Pod test-cluster-leader-1 3429:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:29:41 Pod test-cluster-leader-1 3429:	Created container redis-exporter
03:29:43 Pod test-cluster-leader-1 3429:	Started container redis-exporter
03:19:41 Pod test-cluster-leader-2 1221:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-3-worker
03:19:41 Pod test-cluster-leader-2 1276:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:19:41 Pod test-cluster-leader-2 1276:	Created container test-cluster-leader
03:19:43 Pod test-cluster-leader-2 1276:	Started container test-cluster-leader
03:19:43 Pod test-cluster-leader-2 1276:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:19:43 Pod test-cluster-leader-2 1276:	Created container redis-exporter
03:19:44 Pod test-cluster-leader-2 1276:	Started container redis-exporter
03:20:47 Pod test-cluster-leader-2 1276:	Stopping container test-cluster-leader
03:20:47 Pod test-cluster-leader-2 1276:	Stopping container redis-exporter
03:21:18 Pod test-cluster-leader-2 1608:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-3-worker
03:21:20 Pod test-cluster-leader-2 1610:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:21:20 Pod test-cluster-leader-2 1610:	Created container test-cluster-leader
03:21:22 Pod test-cluster-leader-2 1610:	Started container test-cluster-leader
03:21:22 Pod test-cluster-leader-2 1610:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:21:22 Pod test-cluster-leader-2 1610:	Created container redis-exporter
03:21:23 Pod test-cluster-leader-2 1610:	Started container redis-exporter
03:24:27 Pod test-cluster-leader-2 1610:	Stopping container test-cluster-leader
03:24:27 Pod test-cluster-leader-2 1610:	Stopping container redis-exporter
03:24:58 Pod test-cluster-leader-2 2395:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-3-worker
03:24:58 Pod test-cluster-leader-2 2396:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:24:58 Pod test-cluster-leader-2 2396:	Created container test-cluster-leader
03:25:00 Pod test-cluster-leader-2 2396:	Started container test-cluster-leader
03:25:00 Pod test-cluster-leader-2 2396:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:25:00 Pod test-cluster-leader-2 2396:	Created container redis-exporter
03:25:01 Pod test-cluster-leader-2 2396:	Started container redis-exporter
03:28:07 Pod test-cluster-leader-2 2396:	Stopping container test-cluster-leader
03:28:07 Pod test-cluster-leader-2 2396:	Stopping container redis-exporter
03:28:38 Pod test-cluster-leader-2 3195:	Successfully assigned redis-operator/test-cluster-leader-2 to acto-cluster-3-worker
03:28:39 Pod test-cluster-leader-2 3196:	Container image "quay.io/opstree/redis:v6.2.5" already present on machine
03:28:39 Pod test-cluster-leader-2 3196:	Created container test-cluster-leader
03:28:40 Pod test-cluster-leader-2 3196:	Started container test-cluster-leader
03:28:40 Pod test-cluster-leader-2 3196:	Container image "quay.io/opstree/redis-exporter:1.0" already present on machine
03:28:40 Pod test-cluster-leader-2 3196:	Created container redis-exporter
03:28:42 Pod test-cluster-leader-2 3196:	Started container redis-exporter
03:18:26 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 856:	waiting for first consumer to be created before binding
03:18:26 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 863:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:18:26 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 863:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-0"
03:18:29 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-0 863:	Successfully provisioned volume pvc-2507c53c-e202-4830-a570-9d32b8316a16
03:19:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1044:	waiting for first consumer to be created before binding
03:19:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1051:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:19:00 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1051:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-1"
03:19:04 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-1 1051:	Successfully provisioned volume pvc-13ec8d2e-15b2-4f25-8b09-12e82c3f50e3
03:19:36 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1218:	waiting for first consumer to be created before binding
03:19:36 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1225:	waiting for a volume to be created, either by external provisioner "rancher.io/local-path" or manually created by system administrator
03:19:36 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1225:	External provisioner is provisioning volume for claim "redis-operator/test-cluster-leader-test-cluster-leader-2"
03:19:40 PersistentVolumeClaim test-cluster-leader-test-cluster-leader-2 1225:	Successfully provisioned volume pvc-cc5bfd4f-4528-40d4-8265-740c5bbbb72a
03:18:26 StatefulSet test-cluster-leader 854:	create Claim test-cluster-leader-test-cluster-leader-0 Pod test-cluster-leader-0 in StatefulSet test-cluster-leader success
03:18:26 StatefulSet test-cluster-leader 854:	create Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
03:19:00 StatefulSet test-cluster-leader 861:	create Claim test-cluster-leader-test-cluster-leader-1 Pod test-cluster-leader-1 in StatefulSet test-cluster-leader success
03:19:00 StatefulSet test-cluster-leader 861:	create Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
03:19:36 StatefulSet test-cluster-leader 1050:	create Claim test-cluster-leader-test-cluster-leader-2 Pod test-cluster-leader-2 in StatefulSet test-cluster-leader success
03:19:36 StatefulSet test-cluster-leader 1050:	create Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
03:20:47 StatefulSet test-cluster-leader 1490:	delete Pod test-cluster-leader-2 in StatefulSet test-cluster-leader successful
03:21:48 StatefulSet test-cluster-leader 1614:	delete Pod test-cluster-leader-1 in StatefulSet test-cluster-leader successful
03:22:49 StatefulSet test-cluster-leader 1838:	delete Pod test-cluster-leader-0 in StatefulSet test-cluster-leader successful
