06:38:40 Pod redisoperator-56c8dfdfb-scrq9 783:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-scrq9 to acto-cluster-9-worker2
06:54:52 Pod rfr-test-cluster-0 2635:	Successfully assigned acto-namespace/rfr-test-cluster-0 to acto-cluster-9-worker
06:54:53 Pod rfr-test-cluster-0 2636:	Container image "redis:6.2.6-alpine" already present on machine
06:54:53 Pod rfr-test-cluster-0 2636:	Created container redis
06:54:53 Pod rfr-test-cluster-0 2636:	Started container redis
06:54:53 Pod rfr-test-cluster-0 2636:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:53 Pod rfr-test-cluster-0 2636:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 168.956295ms
06:54:53 Pod rfr-test-cluster-0 2636:	Created container redis-exporter
06:54:57 Pod rfr-test-cluster-0 2636:	Started container redis-exporter
06:55:32 Pod rfr-test-cluster-0 2636:	Readiness probe failed: 
06:38:42 Pod rfr-test-cluster-1 821:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker3
06:38:43 Pod rfr-test-cluster-1 825:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfr-test-cluster-1 825:	Created container redis
06:38:43 Pod rfr-test-cluster-1 825:	Started container redis
06:38:43 Pod rfr-test-cluster-1 825:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:44 Pod rfr-test-cluster-1 825:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 270.930734ms
06:38:44 Pod rfr-test-cluster-1 825:	Created container redis-exporter
06:38:47 Pod rfr-test-cluster-1 825:	Started container redis-exporter
06:39:22 Pod rfr-test-cluster-1 825:	Readiness probe failed: 
06:44:51 Pod rfr-test-cluster-1 825:	Stopping container redis
06:44:51 Pod rfr-test-cluster-1 825:	Stopping container redis-exporter
06:54:52 Pod rfr-test-cluster-1 2637:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-9-worker2
06:54:53 Pod rfr-test-cluster-1 2641:	Container image "redis:6.2.6-alpine" already present on machine
06:54:53 Pod rfr-test-cluster-1 2641:	Created container redis
06:54:53 Pod rfr-test-cluster-1 2641:	Started container redis
06:54:53 Pod rfr-test-cluster-1 2641:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:53 Pod rfr-test-cluster-1 2641:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 144.685202ms
06:54:53 Pod rfr-test-cluster-1 2641:	Created container redis-exporter
06:54:57 Pod rfr-test-cluster-1 2641:	Started container redis-exporter
06:55:32 Pod rfr-test-cluster-1 2641:	Readiness probe failed: 
06:38:42 Pod rfr-test-cluster-2 826:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker
06:38:43 Pod rfr-test-cluster-2 829:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfr-test-cluster-2 829:	Created container redis
06:38:43 Pod rfr-test-cluster-2 829:	Started container redis
06:38:43 Pod rfr-test-cluster-2 829:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:38:44 Pod rfr-test-cluster-2 829:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 305.253008ms
06:38:44 Pod rfr-test-cluster-2 829:	Created container redis-exporter
06:38:48 Pod rfr-test-cluster-2 829:	Started container redis-exporter
06:39:22 Pod rfr-test-cluster-2 829:	Readiness probe failed: 
06:45:15 Pod rfr-test-cluster-2 829:	Stopping container redis
06:45:15 Pod rfr-test-cluster-2 829:	Stopping container redis-exporter
06:54:52 Pod rfr-test-cluster-2 2644:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-9-worker3
06:54:53 Pod rfr-test-cluster-2 2648:	Container image "redis:6.2.6-alpine" already present on machine
06:54:53 Pod rfr-test-cluster-2 2648:	Created container redis
06:54:53 Pod rfr-test-cluster-2 2648:	Started container redis
06:54:53 Pod rfr-test-cluster-2 2648:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:54:53 Pod rfr-test-cluster-2 2648:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 141.184242ms
06:54:53 Pod rfr-test-cluster-2 2648:	Created container redis-exporter
06:54:57 Pod rfr-test-cluster-2 2648:	Started container redis-exporter
06:55:32 Pod rfr-test-cluster-2 2648:	Readiness probe failed: 
06:38:42 PodDisruptionBudget rfr-test-cluster 809:	No matching pods found
06:38:42 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:38:42 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:38:42 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:44:52 StatefulSet rfr-test-cluster 1619:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
06:45:46 StatefulSet rfr-test-cluster 1619:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: unsupported pod version: ACTOKEY
06:38:43 Pod rfs-test-cluster-54df69f8df-4d9bt 850:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-4d9bt to acto-cluster-9-worker3
06:38:43 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Created container sentinel-config-copy
06:38:59 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Started container sentinel-config-copy
06:39:01 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Container image "redis:6.2.6-alpine" already present on machine
06:39:01 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Created container sentinel
06:39:01 Pod rfs-test-cluster-54df69f8df-4d9bt 855:	Started container sentinel
06:38:43 Pod rfs-test-cluster-54df69f8df-b69rj 847:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-b69rj to acto-cluster-9-worker
06:38:43 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Created container sentinel-config-copy
06:38:58 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Started container sentinel-config-copy
06:39:00 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Container image "redis:6.2.6-alpine" already present on machine
06:39:00 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Created container sentinel
06:39:00 Pod rfs-test-cluster-54df69f8df-b69rj 852:	Started container sentinel
06:38:43 Pod rfs-test-cluster-54df69f8df-z4vx5 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-z4vx5 to acto-cluster-9-worker2
06:38:43 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Container image "redis:6.2.6-alpine" already present on machine
06:38:43 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Created container sentinel-config-copy
06:38:59 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Started container sentinel-config-copy
06:39:00 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Container image "redis:6.2.6-alpine" already present on machine
06:39:00 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Created container sentinel
06:39:00 Pod rfs-test-cluster-54df69f8df-z4vx5 848:	Started container sentinel
06:38:43 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-z4vx5
06:38:43 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-b69rj
06:38:43 ReplicaSet rfs-test-cluster-54df69f8df 841:	Created pod: rfs-test-cluster-54df69f8df-4d9bt
06:38:43 PodDisruptionBudget rfs-test-cluster 836:	No matching pods found
06:38:43 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
