06:21:21 Pod redisoperator-56c8dfdfb-pw74n 803:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-pw74n to acto-cluster-15-worker2
06:34:33 Pod rfr-test-cluster-0 2356:	Started container redis-exporter
06:35:09 Pod rfr-test-cluster-0 2356:	Readiness probe failed: 
06:21:25 Pod rfr-test-cluster-1 853:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker
06:21:26 Pod rfr-test-cluster-1 856:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfr-test-cluster-1 856:	Created container redis
06:21:26 Pod rfr-test-cluster-1 856:	Started container redis
06:21:26 Pod rfr-test-cluster-1 856:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:21:26 Pod rfr-test-cluster-1 856:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 308.966286ms
06:21:26 Pod rfr-test-cluster-1 856:	Created container redis-exporter
06:21:29 Pod rfr-test-cluster-1 856:	Started container redis-exporter
06:22:05 Pod rfr-test-cluster-1 856:	Readiness probe failed: 
06:24:28 Pod rfr-test-cluster-1 856:	Stopping container redis
06:24:28 Pod rfr-test-cluster-1 856:	Stopping container redis-exporter
06:34:29 Pod rfr-test-cluster-1 2357:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-15-worker3
06:34:30 Pod rfr-test-cluster-1 2361:	Container image "redis:6.2.6-alpine" already present on machine
06:34:30 Pod rfr-test-cluster-1 2361:	Created container redis
06:34:30 Pod rfr-test-cluster-1 2361:	Started container redis
06:34:30 Pod rfr-test-cluster-1 2361:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:34:30 Pod rfr-test-cluster-1 2361:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 141.398472ms
06:34:30 Pod rfr-test-cluster-1 2361:	Created container redis-exporter
06:34:33 Pod rfr-test-cluster-1 2361:	Started container redis-exporter
06:35:09 Pod rfr-test-cluster-1 2361:	Readiness probe failed: 
06:21:25 Pod rfr-test-cluster-2 857:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker2
06:21:26 Pod rfr-test-cluster-2 861:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfr-test-cluster-2 861:	Created container redis
06:21:26 Pod rfr-test-cluster-2 861:	Started container redis
06:21:26 Pod rfr-test-cluster-2 861:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:21:26 Pod rfr-test-cluster-2 861:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 290.914878ms
06:21:26 Pod rfr-test-cluster-2 861:	Created container redis-exporter
06:21:28 Pod rfr-test-cluster-2 861:	Started container redis-exporter
06:22:05 Pod rfr-test-cluster-2 861:	Readiness probe failed: 
06:24:56 Pod rfr-test-cluster-2 861:	Stopping container redis
06:24:56 Pod rfr-test-cluster-2 861:	Stopping container redis-exporter
06:34:29 Pod rfr-test-cluster-2 2363:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-15-worker
06:34:30 Pod rfr-test-cluster-2 2366:	Container image "redis:6.2.6-alpine" already present on machine
06:34:30 Pod rfr-test-cluster-2 2366:	Created container redis
06:34:30 Pod rfr-test-cluster-2 2366:	Started container redis
06:34:30 Pod rfr-test-cluster-2 2366:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
06:34:30 Pod rfr-test-cluster-2 2366:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 123.348889ms
06:34:30 Pod rfr-test-cluster-2 2366:	Created container redis-exporter
06:34:33 Pod rfr-test-cluster-2 2366:	Started container redis-exporter
06:35:09 Pod rfr-test-cluster-2 2366:	Readiness probe failed: 
06:21:25 PodDisruptionBudget rfr-test-cluster 842:	No matching pods found
06:21:25 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
06:21:25 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
06:21:25 StatefulSet rfr-test-cluster 844:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
06:24:29 StatefulSet rfr-test-cluster 1333:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:25:28 StatefulSet rfr-test-cluster 1333:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.secretKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
06:21:25 Pod rfs-test-cluster-54df69f8df-kr8l2 881:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-kr8l2 to acto-cluster-15-worker3
06:21:26 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Created container sentinel-config-copy
06:21:40 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Started container sentinel-config-copy
06:21:42 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Container image "redis:6.2.6-alpine" already present on machine
06:21:42 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Created container sentinel
06:21:42 Pod rfs-test-cluster-54df69f8df-kr8l2 885:	Started container sentinel
06:21:25 Pod rfs-test-cluster-54df69f8df-n485f 882:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n485f to acto-cluster-15-worker
06:21:26 Pod rfs-test-cluster-54df69f8df-n485f 887:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfs-test-cluster-54df69f8df-n485f 887:	Created container sentinel-config-copy
06:21:41 Pod rfs-test-cluster-54df69f8df-n485f 887:	Started container sentinel-config-copy
06:21:43 Pod rfs-test-cluster-54df69f8df-n485f 887:	Container image "redis:6.2.6-alpine" already present on machine
06:21:43 Pod rfs-test-cluster-54df69f8df-n485f 887:	Created container sentinel
06:21:43 Pod rfs-test-cluster-54df69f8df-n485f 887:	Started container sentinel
06:21:25 Pod rfs-test-cluster-54df69f8df-pfvdq 875:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-pfvdq to acto-cluster-15-worker2
06:21:26 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Container image "redis:6.2.6-alpine" already present on machine
06:21:26 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Created container sentinel-config-copy
06:21:40 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Started container sentinel-config-copy
06:21:43 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Container image "redis:6.2.6-alpine" already present on machine
06:21:43 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Created container sentinel
06:21:43 Pod rfs-test-cluster-54df69f8df-pfvdq 880:	Started container sentinel
06:21:25 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-pfvdq
06:21:25 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-n485f
06:21:25 ReplicaSet rfs-test-cluster-54df69f8df 873:	Created pod: rfs-test-cluster-54df69f8df-kr8l2
06:21:25 PodDisruptionBudget rfs-test-cluster 868:	No matching pods found
06:21:25 Deployment rfs-test-cluster 871:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
