07:05:58 Pod redisoperator-56c8dfdfb-fmknf 805:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-fmknf to acto-cluster-6-worker
07:09:04 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:09:33 StatefulSet rfr-test-cluster 1347:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.resourceFieldRef.resource: Unsupported value: "ACTOKEY": supported values: "limits.cpu", "limits.ephemeral-storage", "limits.memory", "requests.cpu", "requests.ephemeral-storage", "requests.memory"
07:06:00 Pod rfs-test-cluster-54df69f8df-n868g 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n868g to acto-cluster-6-worker
07:06:01 Pod rfs-test-cluster-54df69f8df-n868g 868:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfs-test-cluster-54df69f8df-n868g 868:	Created container sentinel-config-copy
07:06:17 Pod rfs-test-cluster-54df69f8df-n868g 868:	Started container sentinel-config-copy
07:06:19 Pod rfs-test-cluster-54df69f8df-n868g 868:	Container image "redis:6.2.6-alpine" already present on machine
07:06:22 Pod rfs-test-cluster-54df69f8df-n868g 868:	Created container sentinel
07:06:22 Pod rfs-test-cluster-54df69f8df-n868g 868:	Started container sentinel
07:06:00 Pod rfs-test-cluster-54df69f8df-rbcn7 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rbcn7 to acto-cluster-6-worker2
07:06:01 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Created container sentinel-config-copy
07:06:17 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Started container sentinel-config-copy
07:06:23 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Container image "redis:6.2.6-alpine" already present on machine
07:06:23 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Created container sentinel
07:06:23 Pod rfs-test-cluster-54df69f8df-rbcn7 873:	Started container sentinel
07:06:00 Pod rfs-test-cluster-54df69f8df-t6c24 867:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-t6c24 to acto-cluster-6-worker3
07:06:01 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Container image "redis:6.2.6-alpine" already present on machine
07:06:01 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Created container sentinel-config-copy
07:06:17 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Started container sentinel-config-copy
07:06:23 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Container image "redis:6.2.6-alpine" already present on machine
07:06:23 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Created container sentinel
07:06:23 Pod rfs-test-cluster-54df69f8df-t6c24 874:	Started container sentinel
07:06:00 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-n868g
07:06:00 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-t6c24
07:06:00 ReplicaSet rfs-test-cluster-54df69f8df 861:	Created pod: rfs-test-cluster-54df69f8df-rbcn7
07:06:00 PodDisruptionBudget rfs-test-cluster 856:	No matching pods found
07:06:00 Deployment rfs-test-cluster 859:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
