07:26:59 Pod redisoperator-56c8dfdfb-dqgf9 794:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-dqgf9 to acto-cluster-3-worker3
07:27:02 Pod rfr-test-cluster-1 831:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker
07:27:03 Pod rfr-test-cluster-1 834:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfr-test-cluster-1 834:	Created container redis
07:27:03 Pod rfr-test-cluster-1 834:	Started container redis
07:27:03 Pod rfr-test-cluster-1 834:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:03 Pod rfr-test-cluster-1 834:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 238.996107ms
07:27:03 Pod rfr-test-cluster-1 834:	Created container redis-exporter
07:27:06 Pod rfr-test-cluster-1 834:	Started container redis-exporter
07:27:42 Pod rfr-test-cluster-1 834:	Readiness probe failed: 
07:30:05 Pod rfr-test-cluster-1 834:	Stopping container redis
07:30:05 Pod rfr-test-cluster-1 834:	Stopping container redis-exporter
07:40:07 Pod rfr-test-cluster-1 2344:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-3-worker
07:40:07 Pod rfr-test-cluster-1 2349:	Container image "redis:6.2.6-alpine" already present on machine
07:40:07 Pod rfr-test-cluster-1 2349:	Created container redis
07:40:08 Pod rfr-test-cluster-1 2349:	Started container redis
07:40:08 Pod rfr-test-cluster-1 2349:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:08 Pod rfr-test-cluster-1 2349:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 139.436647ms
07:40:08 Pod rfr-test-cluster-1 2349:	Created container redis-exporter
07:40:11 Pod rfr-test-cluster-1 2349:	Started container redis-exporter
07:40:47 Pod rfr-test-cluster-1 2349:	Readiness probe failed: 
07:27:02 Pod rfr-test-cluster-2 836:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
07:27:03 Pod rfr-test-cluster-2 840:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfr-test-cluster-2 840:	Created container redis
07:27:03 Pod rfr-test-cluster-2 840:	Started container redis
07:27:03 Pod rfr-test-cluster-2 840:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:27:03 Pod rfr-test-cluster-2 840:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 271.057886ms
07:27:03 Pod rfr-test-cluster-2 840:	Created container redis-exporter
07:27:06 Pod rfr-test-cluster-2 840:	Started container redis-exporter
07:27:42 Pod rfr-test-cluster-2 840:	Readiness probe failed: 
07:30:33 Pod rfr-test-cluster-2 840:	Stopping container redis
07:30:33 Pod rfr-test-cluster-2 840:	Stopping container redis-exporter
07:40:07 Pod rfr-test-cluster-2 2351:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker2
07:40:07 Pod rfr-test-cluster-2 2355:	Container image "redis:6.2.6-alpine" already present on machine
07:40:07 Pod rfr-test-cluster-2 2355:	Created container redis
07:40:08 Pod rfr-test-cluster-2 2355:	Started container redis
07:40:08 Pod rfr-test-cluster-2 2355:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
07:40:08 Pod rfr-test-cluster-2 2355:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 139.739295ms
07:40:08 Pod rfr-test-cluster-2 2355:	Created container redis-exporter
07:40:11 Pod rfr-test-cluster-2 2355:	Started container redis-exporter
07:40:47 Pod rfr-test-cluster-2 2355:	Readiness probe failed: 
07:27:02 PodDisruptionBudget rfr-test-cluster 821:	No matching pods found
07:27:02 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
07:27:02 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
07:27:02 StatefulSet rfr-test-cluster 825:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
07:30:07 StatefulSet rfr-test-cluster 1326:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:31:05 StatefulSet rfr-test-cluster 1326:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Invalid value: "ACTOKEY": error converting fieldPath: field label not supported: ACTOKEY
07:27:02 Pod rfs-test-cluster-54df69f8df-n49zn 854:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n49zn to acto-cluster-3-worker3
07:27:03 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Created container sentinel-config-copy
07:27:18 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Started container sentinel-config-copy
07:27:20 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Container image "redis:6.2.6-alpine" already present on machine
07:27:20 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Created container sentinel
07:27:20 Pod rfs-test-cluster-54df69f8df-n49zn 860:	Started container sentinel
07:27:03 Pod rfs-test-cluster-54df69f8df-n9qn7 861:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-n9qn7 to acto-cluster-3-worker2
07:27:03 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Created container sentinel-config-copy
07:27:18 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Started container sentinel-config-copy
07:27:20 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Container image "redis:6.2.6-alpine" already present on machine
07:27:20 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Created container sentinel
07:27:20 Pod rfs-test-cluster-54df69f8df-n9qn7 866:	Started container sentinel
07:27:03 Pod rfs-test-cluster-54df69f8df-ssmm9 858:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-ssmm9 to acto-cluster-3-worker
07:27:03 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Container image "redis:6.2.6-alpine" already present on machine
07:27:03 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Created container sentinel-config-copy
07:27:18 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Started container sentinel-config-copy
07:27:20 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Container image "redis:6.2.6-alpine" already present on machine
07:27:20 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Created container sentinel
07:27:20 Pod rfs-test-cluster-54df69f8df-ssmm9 864:	Started container sentinel
07:27:02 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-n49zn
07:27:02 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-ssmm9
07:27:02 ReplicaSet rfs-test-cluster-54df69f8df 852:	Created pod: rfs-test-cluster-54df69f8df-n9qn7
07:27:02 PodDisruptionBudget rfs-test-cluster 847:	No matching pods found
07:27:02 Deployment rfs-test-cluster 850:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
