08:03:44 Pod redisoperator-56c8dfdfb-76k46 801:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-76k46 to acto-cluster-3-worker2
08:07:18 Pod rfr-test-cluster-2 847:	Stopping container redis
08:07:18 Pod rfr-test-cluster-2 847:	Stopping container redis-exporter
08:16:51 Pod rfr-test-cluster-2 2368:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-3-worker
08:16:51 Pod rfr-test-cluster-2 2372:	Container image "redis:6.2.6-alpine" already present on machine
08:16:51 Pod rfr-test-cluster-2 2372:	Created container redis
08:16:51 Pod rfr-test-cluster-2 2372:	Started container redis
08:16:51 Pod rfr-test-cluster-2 2372:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:16:52 Pod rfr-test-cluster-2 2372:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 397.836247ms
08:16:52 Pod rfr-test-cluster-2 2372:	Created container redis-exporter
08:16:55 Pod rfr-test-cluster-2 2372:	Started container redis-exporter
08:17:21 Pod rfr-test-cluster-2 2372:	Readiness probe failed: 
08:03:46 PodDisruptionBudget rfr-test-cluster 828:	No matching pods found
08:03:47 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:03:47 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:03:47 StatefulSet rfr-test-cluster 832:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:06:52 StatefulSet rfr-test-cluster 1351:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Required value
08:07:50 StatefulSet rfr-test-cluster 1351:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.fieldRef.fieldPath: Required value
08:03:47 Pod rfs-test-cluster-54df69f8df-bzp5m 864:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-bzp5m to acto-cluster-3-worker2
08:03:47 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Created container sentinel-config-copy
08:03:59 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Started container sentinel-config-copy
08:04:02 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Container image "redis:6.2.6-alpine" already present on machine
08:04:02 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Created container sentinel
08:04:02 Pod rfs-test-cluster-54df69f8df-bzp5m 871:	Started container sentinel
08:03:47 Pod rfs-test-cluster-54df69f8df-nm44n 868:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-nm44n to acto-cluster-3-worker
08:03:47 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Created container sentinel-config-copy
08:04:00 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Started container sentinel-config-copy
08:04:02 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Container image "redis:6.2.6-alpine" already present on machine
08:04:02 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Created container sentinel
08:04:02 Pod rfs-test-cluster-54df69f8df-nm44n 872:	Started container sentinel
08:03:47 Pod rfs-test-cluster-54df69f8df-tlbtx 862:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-tlbtx to acto-cluster-3-worker3
08:03:47 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Container image "redis:6.2.6-alpine" already present on machine
08:03:47 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Created container sentinel-config-copy
08:04:01 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Started container sentinel-config-copy
08:04:02 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Container image "redis:6.2.6-alpine" already present on machine
08:04:02 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Created container sentinel
08:04:02 Pod rfs-test-cluster-54df69f8df-tlbtx 867:	Started container sentinel
08:03:47 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-tlbtx
08:03:47 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-bzp5m
08:03:47 ReplicaSet rfs-test-cluster-54df69f8df 859:	Created pod: rfs-test-cluster-54df69f8df-nm44n
08:03:47 PodDisruptionBudget rfs-test-cluster 854:	No matching pods found
08:03:47 Deployment rfs-test-cluster 858:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
