09:32:42 Pod redisoperator-56c8dfdfb-j8xsm 781:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-j8xsm to acto-cluster-13-worker2
09:49:55 Pod rfr-test-cluster-1 2729:	Successfully assigned acto-namespace/rfr-test-cluster-1 to acto-cluster-13-worker2
09:49:56 Pod rfr-test-cluster-1 2735:	Container image "redis:6.2.6-alpine" already present on machine
09:49:56 Pod rfr-test-cluster-1 2735:	Created container redis
09:49:56 Pod rfr-test-cluster-1 2735:	Started container redis
09:49:56 Pod rfr-test-cluster-1 2735:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:49:56 Pod rfr-test-cluster-1 2735:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 187.557478ms
09:49:56 Pod rfr-test-cluster-1 2735:	Created container redis-exporter
09:49:59 Pod rfr-test-cluster-1 2735:	Started container redis-exporter
09:50:35 Pod rfr-test-cluster-1 2735:	Readiness probe failed: 
09:32:45 Pod rfr-test-cluster-2 827:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker2
09:32:46 Pod rfr-test-cluster-2 830:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfr-test-cluster-2 830:	Created container redis
09:32:46 Pod rfr-test-cluster-2 830:	Started container redis
09:32:46 Pod rfr-test-cluster-2 830:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:32:46 Pod rfr-test-cluster-2 830:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 252.872317ms
09:32:46 Pod rfr-test-cluster-2 830:	Created container redis-exporter
09:32:49 Pod rfr-test-cluster-2 830:	Started container redis-exporter
09:33:25 Pod rfr-test-cluster-2 830:	Readiness probe failed: 
09:40:17 Pod rfr-test-cluster-2 830:	Stopping container redis
09:40:17 Pod rfr-test-cluster-2 830:	Stopping container redis-exporter
09:49:55 Pod rfr-test-cluster-2 2736:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-13-worker
09:49:56 Pod rfr-test-cluster-2 2740:	Container image "redis:6.2.6-alpine" already present on machine
09:49:56 Pod rfr-test-cluster-2 2740:	Created container redis
09:49:56 Pod rfr-test-cluster-2 2740:	Started container redis
09:49:56 Pod rfr-test-cluster-2 2740:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
09:49:56 Pod rfr-test-cluster-2 2740:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 151.94595ms
09:49:56 Pod rfr-test-cluster-2 2740:	Created container redis-exporter
09:49:59 Pod rfr-test-cluster-2 2740:	Started container redis-exporter
09:50:35 Pod rfr-test-cluster-2 2740:	Readiness probe failed: 
09:32:45 PodDisruptionBudget rfr-test-cluster 810:	No matching pods found
09:32:45 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
09:32:45 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
09:32:45 StatefulSet rfr-test-cluster 814:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
09:39:54 StatefulSet rfr-test-cluster 1701:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers]
09:40:18 StatefulSet rfr-test-cluster 1712:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: [spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers]
09:40:48 StatefulSet rfr-test-cluster 1712:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: [spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[ACTOKEY]: Invalid value: "ACTOKEY": must be a standard resource for containers, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource type or fully qualified, spec.containers[1].resources.requests[dxslhvwwrv]: Invalid value: "dxslhvwwrv": must be a standard resource for containers]
09:32:45 Pod rfs-test-cluster-54df69f8df-fvld2 846:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-fvld2 to acto-cluster-13-worker2
09:32:46 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Created container sentinel-config-copy
09:33:01 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Started container sentinel-config-copy
09:33:04 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Container image "redis:6.2.6-alpine" already present on machine
09:33:04 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Created container sentinel
09:33:04 Pod rfs-test-cluster-54df69f8df-fvld2 853:	Started container sentinel
09:32:45 Pod rfs-test-cluster-54df69f8df-lf82x 844:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-lf82x to acto-cluster-13-worker3
09:32:46 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Created container sentinel-config-copy
09:33:00 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Started container sentinel-config-copy
09:33:02 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Container image "redis:6.2.6-alpine" already present on machine
09:33:03 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Created container sentinel
09:33:03 Pod rfs-test-cluster-54df69f8df-lf82x 849:	Started container sentinel
09:32:45 Pod rfs-test-cluster-54df69f8df-mxp6l 851:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-mxp6l to acto-cluster-13-worker
09:32:46 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Container image "redis:6.2.6-alpine" already present on machine
09:32:46 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Created container sentinel-config-copy
09:33:01 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Started container sentinel-config-copy
09:33:04 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Container image "redis:6.2.6-alpine" already present on machine
09:33:04 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Created container sentinel
09:33:04 Pod rfs-test-cluster-54df69f8df-mxp6l 855:	Started container sentinel
09:32:45 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-lf82x
09:32:45 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-fvld2
09:32:45 ReplicaSet rfs-test-cluster-54df69f8df 842:	Created pod: rfs-test-cluster-54df69f8df-mxp6l
09:32:45 PodDisruptionBudget rfs-test-cluster 837:	No matching pods found
09:32:45 Deployment rfs-test-cluster 840:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
