08:42:26 Pod redisoperator-56c8dfdfb-2glv5 804:	Successfully assigned acto-namespace/redisoperator-56c8dfdfb-2glv5 to acto-cluster-0-worker3
08:42:32 Pod rfr-test-cluster-2 851:	Created container redis-exporter
08:42:35 Pod rfr-test-cluster-2 851:	Started container redis-exporter
08:43:09 Pod rfr-test-cluster-2 851:	Readiness probe failed: 
08:46:00 Pod rfr-test-cluster-2 851:	Stopping container redis
08:46:00 Pod rfr-test-cluster-2 851:	Stopping container redis-exporter
08:55:32 Pod rfr-test-cluster-2 2370:	Successfully assigned acto-namespace/rfr-test-cluster-2 to acto-cluster-0-worker2
08:55:33 Pod rfr-test-cluster-2 2374:	Container image "redis:6.2.6-alpine" already present on machine
08:55:33 Pod rfr-test-cluster-2 2374:	Created container redis
08:55:33 Pod rfr-test-cluster-2 2374:	Started container redis
08:55:33 Pod rfr-test-cluster-2 2374:	Pulling image "quay.io/oliver006/redis_exporter:v1.33.0-alpine"
08:55:33 Pod rfr-test-cluster-2 2374:	Successfully pulled image "quay.io/oliver006/redis_exporter:v1.33.0-alpine" in 171.063549ms
08:55:33 Pod rfr-test-cluster-2 2374:	Created container redis-exporter
08:55:36 Pod rfr-test-cluster-2 2374:	Started container redis-exporter
08:56:13 Pod rfr-test-cluster-2 2374:	Readiness probe failed: 
08:42:28 PodDisruptionBudget rfr-test-cluster 832:	No matching pods found
08:42:28 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster successful
08:42:28 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster successful
08:42:28 StatefulSet rfr-test-cluster 836:	create Pod rfr-test-cluster-2 in StatefulSet rfr-test-cluster successful
08:45:33 StatefulSet rfr-test-cluster 1348:	create Pod rfr-test-cluster-1 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-1" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:46:31 StatefulSet rfr-test-cluster 1348:	create Pod rfr-test-cluster-0 in StatefulSet rfr-test-cluster failed error: Pod "rfr-test-cluster-0" is invalid: spec.containers[1].env[0].valueFrom.configMapKeyRef.name: Invalid value: "": a lowercase RFC 1123 subdomain must consist of lower case alphanumeric characters, '-' or '.', and must start and end with an alphanumeric character (e.g. 'example.com', regex used for validation is '[a-z0-9]([-a-z0-9]*[a-z0-9])?(\.[a-z0-9]([-a-z0-9]*[a-z0-9])?)*')
08:42:29 Pod rfs-test-cluster-54df69f8df-7xtdn 866:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-7xtdn to acto-cluster-0-worker
08:42:30 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Container image "redis:6.2.6-alpine" already present on machine
08:42:31 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Created container sentinel-config-copy
08:42:45 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Started container sentinel-config-copy
08:42:47 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Container image "redis:6.2.6-alpine" already present on machine
08:42:47 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Created container sentinel
08:42:47 Pod rfs-test-cluster-54df69f8df-7xtdn 870:	Started container sentinel
08:42:29 Pod rfs-test-cluster-54df69f8df-d424c 871:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-d424c to acto-cluster-0-worker2
08:42:30 Pod rfs-test-cluster-54df69f8df-d424c 877:	Container image "redis:6.2.6-alpine" already present on machine
08:42:31 Pod rfs-test-cluster-54df69f8df-d424c 877:	Created container sentinel-config-copy
08:42:45 Pod rfs-test-cluster-54df69f8df-d424c 877:	Started container sentinel-config-copy
08:42:48 Pod rfs-test-cluster-54df69f8df-d424c 877:	Container image "redis:6.2.6-alpine" already present on machine
08:42:48 Pod rfs-test-cluster-54df69f8df-d424c 877:	Created container sentinel
08:42:48 Pod rfs-test-cluster-54df69f8df-d424c 877:	Started container sentinel
08:42:29 Pod rfs-test-cluster-54df69f8df-rv94k 869:	Successfully assigned acto-namespace/rfs-test-cluster-54df69f8df-rv94k to acto-cluster-0-worker3
08:42:31 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Container image "redis:6.2.6-alpine" already present on machine
08:42:31 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Created container sentinel-config-copy
08:42:47 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Started container sentinel-config-copy
08:42:49 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Container image "redis:6.2.6-alpine" already present on machine
08:42:49 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Created container sentinel
08:42:49 Pod rfs-test-cluster-54df69f8df-rv94k 876:	Started container sentinel
08:42:29 ReplicaSet rfs-test-cluster-54df69f8df 863:	Created pod: rfs-test-cluster-54df69f8df-7xtdn
08:42:29 ReplicaSet rfs-test-cluster-54df69f8df 863:	Created pod: rfs-test-cluster-54df69f8df-rv94k
08:42:29 ReplicaSet rfs-test-cluster-54df69f8df 863:	Created pod: rfs-test-cluster-54df69f8df-d424c
08:42:29 PodDisruptionBudget rfs-test-cluster 858:	No matching pods found
08:42:29 Deployment rfs-test-cluster 861:	Scaled up replica set rfs-test-cluster-54df69f8df to 3
